stat,role_bucket,n,before_n,before_mean_ae,before_variance_ae,before_p0_error,before_pit_ks,before_nll,before_rps,before_mean_pass,before_variance_pass,before_p0_pass,before_pit_pass,before_internal_pass,after_n,after_mean_ae,after_variance_ae,after_p0_error,after_pit_ks,after_nll,after_rps,after_mean_pass,after_variance_pass,after_p0_pass,after_pit_pass,after_internal_pass,mean_ae_abs_error_delta,variance_ae_abs_error_delta,p0_abs_error_delta,pit_ks_delta,nll_delta,rps_delta
blk,rotation,4772,4772.0,0.924525281346876,0.396858441992406,-0.03888896702168132,0.20844437398076038,1.4362827999083723,0.027954132308759067,False,False,False,False,False,4772.0,0.924525281346876,0.396858441992406,-0.03888896702168132,0.20844437398076043,1.4362827999083723,0.027954132308759067,False,False,False,False,False,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0
stocks,rotation,4772,4772.0,0.8836116005230246,0.4575458758245176,-0.027796992692134814,0.08245039562478557,2.7061350745209847,0.031240341189443854,False,False,True,False,False,4772.0,0.8836116005230247,0.45754587582451767,-0.027796992692134814,0.0824503956247856,2.7061350745209847,0.031240341189443854,False,False,True,False,False,-1.1102230246251565e-16,0.0,0.0,2.7755575615628914e-17,0.0,0.0
stocks,core,5248,5248.0,0.8840022779760235,0.49400986911666317,-0.026106436653325904,0.054114012191893955,3.054274115192627,0.035598586008657195,False,False,True,True,False,5248.0,0.8840022779760235,0.49400986911666317,-0.026106436653325904,0.05411401219189397,3.054274115192627,0.03559858600865719,False,False,True,True,False,0.0,0.0,0.0,1.3877787807814457e-17,0.0,-6.938893903907228e-18
reb,inactive_risk,1237,1237.0,1.1873567840668804,0.7404805829637893,-0.13433673087208678,0.16471938463045993,2.228773758103775,0.038109682788254634,False,False,False,False,False,1237.0,1.1873567840668802,0.7404805829637893,-0.13433673087208678,0.16471938463045993,2.228773758103776,0.038109682788254634,False,False,False,False,False,-2.220446049250313e-16,0.0,0.0,0.0,8.881784197001252e-16,0.0
ast,starter,3369,3369.0,1.0390203222150305,0.5673400489021615,-0.0721787011746603,0.1191403977441377,2.248372733516348,0.04938938644314422,False,False,False,False,False,3369.0,1.0390203222150305,0.5673400489021615,-0.0721787011746603,0.1191403977441377,2.2483727335163484,0.04938938644314422,False,False,False,False,False,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0
fg3m,rotation,4772,4772.0,0.9038090812483165,1.9231371178550793,0.09844088637707782,0.1646227427460185,2.5913950712771037,0.03750785575243365,False,False,False,False,False,4772.0,0.9038090812483165,1.9231371178550793,0.09844088637707782,0.1646227427460185,2.591395071277104,0.03750785575243365,False,False,False,False,False,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0
stl,rotation,4772,4772.0,0.8603168534407454,0.42089962450113527,-0.021255363636517477,0.13568607930224624,2.1426174419482837,0.0428547768921382,False,False,True,False,False,4772.0,0.8603168534407454,0.42089962450113527,-0.021255363636517477,0.13568607930224624,2.142617441948284,0.0428547768921382,False,False,True,False,False,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0
stl,starter,3369,3369.0,0.9014114027282035,0.478543597956332,-0.020564631364488384,0.07603865324621512,2.7963359229911977,0.05545852810550243,False,False,True,True,False,3369.0,0.9014114027282035,0.478543597956332,-0.020564631364488384,0.07603865324621512,2.796335922991198,0.05545852810550244,False,False,True,True,False,0.0,0.0,0.0,0.0,4.440892098500626e-16,6.938893903907228e-18
stl,inactive_risk,1237,1237.0,0.7750253201696239,0.35297353790540226,0.003610314688982097,0.16909026449530196,1.1639238105540228,0.030950768712353454,False,False,True,False,False,1237.0,0.7750253201696239,0.3529735379054023,0.003610314688982097,0.16909026449530196,1.163923810554023,0.030950768712353458,False,False,True,False,False,0.0,-1.1102230246251565e-16,0.0,0.0,2.220446049250313e-16,3.469446951953614e-18
ast,bench,3286,3286.0,1.0205559333616092,0.6584781560920067,-0.09379481174673643,0.16980056806654495,1.4555646433690974,0.025596954796850598,False,False,False,False,False,3286.0,1.0205559333616092,0.6584781560920067,-0.09379481174673643,0.16980056806654495,1.4555646433690974,0.025596954796850598,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
ast,core,5248,5248.0,1.0722595422077252,0.6390796934354446,-0.10797086452381383,0.13228658536585367,2.027243257714946,0.041000911252374844,False,False,False,False,False,5248.0,1.0722595422077252,0.6390796934354446,-0.1079708645238138,0.13228658536585367,2.027243257714946,0.041000911252374844,False,False,False,False,False,0.0,0.0,-2.7755575615628914e-17,0.0,0.0,0.0
ast,fringe,1296,1296.0,1.0051825124291003,0.753708746585331,-0.06315698828919802,0.23576543209876544,1.1606469220194153,0.019486172625149102,True,False,False,False,False,1296.0,1.0051825124291003,0.753708746585331,-0.06315698828919802,0.23576543209876544,1.1606469220194153,0.019486172625149102,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
ast,inactive_risk,1237,1237.0,1.171354606226965,0.7624947960014461,-0.10935794094409335,0.19340070061977915,1.7919631594508914,0.03066637218235842,False,False,False,False,False,1237.0,1.171354606226965,0.7624947960014461,-0.10935794094409335,0.19340070061977915,1.7919631594508914,0.03066637218235842,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
ast,rotation,4772,4772.0,1.0669088482025064,0.6754128058658733,-0.13179660904532853,0.12859485889913383,1.7923306266339298,0.03317224508637625,False,False,False,False,False,4772.0,1.0669088482025064,0.6754128058658732,-0.13179660904532847,0.12859485889913383,1.7923306266339298,0.03317224508637625,False,False,False,False,False,0.0,1.1102230246251565e-16,-5.551115123125783e-17,0.0,0.0,0.0
blk,bench,3286,3286.0,0.9010425651598315,0.42327164373958664,-0.02552698002745224,0.2702373706634206,1.3491754784181536,0.022482436109999893,False,False,True,False,False,3286.0,0.9010425651598315,0.4232716437395867,-0.02552698002745224,0.2702373706634206,1.3491754784181536,0.022482436109999893,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0
blk,core,5248,5248.0,0.9125144411564872,0.4414963207004244,-0.0281542094910876,0.170748054135536,1.8234851586842689,0.03260422941419998,False,False,True,False,False,5248.0,0.9125144411564872,0.4414963207004244,-0.0281542094910876,0.170748054135536,1.8234851586842689,0.03260422941419998,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0
blk,fringe,1296,1296.0,0.768022151370688,0.34055294190269103,0.0035026614645151666,0.3564814814814815,0.8618525306855631,0.014137817696433646,False,False,True,False,False,1296.0,0.768022151370688,0.34055294190269103,0.0035026614645153886,0.3564814814814815,0.8618525306855631,0.014137817696433646,False,False,True,False,False,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0
blk,inactive_risk,1237,1237.0,0.8762741120202412,0.38608620485896983,-0.017485996408461046,0.25990299110751824,0.784123400580827,0.022347113225343537,False,False,True,False,False,1237.0,0.8762741120202412,0.3860862048589698,-0.017485996408461046,0.25990299110751824,0.784123400580827,0.022347113225343537,False,False,True,False,False,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
blk,starter,3369,3369.0,0.8741495538970988,0.39600215335825434,-0.024394283994064736,0.16481775889779304,1.9096463693025203,0.034249944133274444,False,False,True,False,False,3369.0,0.8741495538970988,0.39600215335825434,-0.024394283994064736,0.16481775889779304,1.9096463693025203,0.034249944133274444,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0
fg3m,bench,3286,3286.0,0.9085902581404837,2.1023541989923977,0.07360342409525233,0.19728652708460137,3.4759609675778353,0.030706285387910252,False,False,False,False,False,3286.0,0.9085902581404837,2.1023541989923977,0.07360342409525233,0.19728652708460137,3.4759609675778353,0.030706285387910252,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
fg3m,core,5248,5248.0,0.9850991336221283,1.9739659518848598,0.08468054617843226,0.10882032164634137,2.5221022556961197,0.045545522488932795,True,False,False,False,False,5248.0,0.9850991336221283,1.9739659518848598,0.08468054617843226,0.10882032164634137,2.5221022556961197,0.045545522488932795,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
