date,has_stat_grid,has_canonical_delivery,has_model_pmfs,has_daily_pmf_delivery,has_processed_odds,has_raw_odds,has_player_game_stats,stat_grid_path,canonical_path,processed_odds_paths,raw_odds_paths,actual_rows,model_stats_present,raw_market_keys_seen,processed_stats_present,processed_market_keys_seen,two_way_market_rows,estimated_joinable_rows,eligible_for_event_market_backtest,missing_reason,odds_snapshot_family,odds_snapshot_path,odds_snapshot_type,odds_snapshot_substr_used,odds_snapshot_rank,odds_snapshot_is_historical,odds_snapshot_lock_offset_minutes
2026-04-27,True,True,True,True,True,True,True,predictions/stat_grid_2026-04-27.parquet,deliveries/2026-04-27/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.parquet,"[""data/odds_api/processed/2026-04-27/odds_pairs_hist_lockday_2026-04-27.parquet""]","[""data/odds_api/raw/2026-04-27/hist_event_0d0aa62d4305ee094389473b308ce0bd_lock_2026-04-30T013500Z.json"", ""data/odds_api/raw/2026-04-27/hist_event_595b24bea54d0917338e4a51372398b3_lock_2026-04-29T000500Z.json"", ""data/odds_api/raw/2026-04-27/hist_event_6fa2ebdc614d327bc9a4558541adcd30_lock_2026-04-29T230500Z.json"", ""data/odds_api/raw/2026-04-27/hist_event_846b0e9b691b5a291619fa22f96c7dfa_lock_2026-04-28T000500Z.json"", ""data/odds_api/raw/2026-04-27/hist_event_b3eb8f644d05290981f8805f5410f24a_lock_2026-04-28T013500Z.json"", ""data/odds_api/raw/2026-04-27/hist_event_d749c50ad2a2660df91f9dc1b8e20d78_lock_2026-04-28T230500Z.json"", ""data/odds_api/raw/2026-04-27/hist_event_e4d639b6c49e5fd0accc6e80636e88fe_lock_2026-04-28T023500Z.json"", ""data/odds_api/raw/2026-04-27/hist_event_f61ea629819d5176316c94a379c02ad2_lock_2026-04-29T013500Z.json"", ""data/odds_api/raw/2026-04-27/hist_events_2026-04-27T110000Z.json""]",67,"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]",[],"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]","[""player_assists"", ""player_assists_alternate"", ""player_blocks"", ""player_blocks_steals"", ""player_points"", ""player_points_alternate"", ""player_points_assists"", ""player_points_assists_alternate"", ""player_points_rebounds"", ""player_points_rebounds_alternate"", ""player_points_rebounds_assists"", ""player_points_rebounds_assists_alternate"", ""player_rebounds"", ""player_rebounds_alternate"", ""player_rebounds_assists"", ""player_rebounds_assists_alternate"", ""player_steals"", ""player_threes"", ""player_threes_alternate"", ""player_turnovers""]",18977,67,True,eligible,hist_lockday,data/odds_api/processed/2026-04-27/odds_pairs_hist_lockday_2026-04-27.parquet,hist_lockday,auto,1,True,5.0
2026-04-28,True,True,True,True,True,True,True,predictions/stat_grid_2026-04-28.parquet,deliveries/2026-04-28/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.parquet,"[""data/odds_api/processed/2026-04-28/odds_pairs_hist_lockday_2026-04-28.parquet""]","[""data/odds_api/raw/2026-04-28/hist_event_0d0aa62d4305ee094389473b308ce0bd_lock_2026-04-30T013500Z.json"", ""data/odds_api/raw/2026-04-28/hist_event_595b24bea54d0917338e4a51372398b3_lock_2026-04-29T000500Z.json"", ""data/odds_api/raw/2026-04-28/hist_event_6fa2ebdc614d327bc9a4558541adcd30_lock_2026-04-29T230500Z.json"", ""data/odds_api/raw/2026-04-28/hist_event_912bee9cc9d36b6017819f012c0c56f1_lock_2026-04-29T230500Z.json"", ""data/odds_api/raw/2026-04-28/hist_event_b981ac0f551b6f109cd18fa31de439b4_lock_2026-05-01T020500Z.json"", ""data/odds_api/raw/2026-04-28/hist_event_d749c50ad2a2660df91f9dc1b8e20d78_lock_2026-04-28T230500Z.json"", ""data/odds_api/raw/2026-04-28/hist_event_f61ea629819d5176316c94a379c02ad2_lock_2026-04-29T013500Z.json"", ""data/odds_api/raw/2026-04-28/hist_events_2026-04-28T110000Z.json""]",80,"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]",[],"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]","[""player_assists"", ""player_assists_alternate"", ""player_blocks"", ""player_blocks_steals"", ""player_points"", ""player_points_alternate"", ""player_points_assists"", ""player_points_assists_alternate"", ""player_points_rebounds"", ""player_points_rebounds_alternate"", ""player_points_rebounds_assists"", ""player_points_rebounds_assists_alternate"", ""player_rebounds"", ""player_rebounds_alternate"", ""player_rebounds_assists"", ""player_rebounds_assists_alternate"", ""player_steals"", ""player_threes"", ""player_threes_alternate"", ""player_turnovers""]",15319,80,True,eligible,hist_lockday,data/odds_api/processed/2026-04-28/odds_pairs_hist_lockday_2026-04-28.parquet,hist_lockday,auto,1,True,5.0
2026-04-29,True,True,True,True,True,True,True,predictions/stat_grid_2026-04-29.parquet,deliveries/2026-04-29/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.parquet,"[""data/odds_api/processed/2026-04-29/odds_pairs_hist_lockday_2026-04-29.parquet""]","[""data/odds_api/raw/2026-04-29/hist_event_0d0aa62d4305ee094389473b308ce0bd_lock_2026-04-30T020500Z.json"", ""data/odds_api/raw/2026-04-29/hist_event_24992ea72a9115eaa601ff602cc60468_lock_2026-04-30T230500Z.json"", ""data/odds_api/raw/2026-04-29/hist_event_6fa2ebdc614d327bc9a4558541adcd30_lock_2026-04-29T233500Z.json"", ""data/odds_api/raw/2026-04-29/hist_event_912bee9cc9d36b6017819f012c0c56f1_lock_2026-04-29T230500Z.json"", ""data/odds_api/raw/2026-04-29/hist_event_b2f1e46d7adfcf49fa68a52df4938626_lock_2026-05-01T000500Z.json"", ""data/odds_api/raw/2026-04-29/hist_event_b981ac0f551b6f109cd18fa31de439b4_lock_2026-05-01T013500Z.json"", ""data/odds_api/raw/2026-04-29/hist_events_2026-04-29T110000Z.json""]",54,"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]",[],"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]","[""player_assists"", ""player_assists_alternate"", ""player_blocks"", ""player_blocks_steals"", ""player_points"", ""player_points_alternate"", ""player_points_assists"", ""player_points_assists_alternate"", ""player_points_rebounds"", ""player_points_rebounds_alternate"", ""player_points_rebounds_assists"", ""player_points_rebounds_assists_alternate"", ""player_rebounds"", ""player_rebounds_alternate"", ""player_rebounds_assists"", ""player_rebounds_assists_alternate"", ""player_steals"", ""player_threes"", ""player_threes_alternate"", ""player_turnovers""]",13553,54,True,eligible,hist_lockday,data/odds_api/processed/2026-04-29/odds_pairs_hist_lockday_2026-04-29.parquet,hist_lockday,auto,1,True,5.0
2026-04-30,True,True,True,True,True,True,True,predictions/stat_grid_2026-04-30.parquet,deliveries/2026-04-30/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.parquet,"[""data/odds_api/processed/2026-04-30/odds_pairs_hist_lockday_2026-04-30.parquet""]","[""data/odds_api/raw/2026-04-30/hist_event_24992ea72a9115eaa601ff602cc60468_lock_2026-04-30T230500Z.json"", ""data/odds_api/raw/2026-04-30/hist_event_88e10294c54deffd6e9e6efcba249d2c_lock_2026-05-01T230500Z.json"", ""data/odds_api/raw/2026-04-30/hist_event_b2f1e46d7adfcf49fa68a52df4938626_lock_2026-05-01T000500Z.json"", ""data/odds_api/raw/2026-04-30/hist_event_b981ac0f551b6f109cd18fa31de439b4_lock_2026-05-01T013500Z.json"", ""data/odds_api/raw/2026-04-30/hist_event_c361a0b8c035a055bd9497b52674e3fb_lock_2026-05-02T013500Z.json"", ""data/odds_api/raw/2026-04-30/hist_event_d1938a9c13602a661e894f996f2680e8_lock_2026-05-01T233500Z.json"", ""data/odds_api/raw/2026-04-30/hist_events_2026-04-30T110000Z.json""]",71,"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]",[],"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]","[""player_assists"", ""player_assists_alternate"", ""player_blocks"", ""player_blocks_steals"", ""player_points"", ""player_points_alternate"", ""player_points_assists"", ""player_points_assists_alternate"", ""player_points_rebounds"", ""player_points_rebounds_alternate"", ""player_points_rebounds_assists"", ""player_points_rebounds_assists_alternate"", ""player_rebounds"", ""player_rebounds_alternate"", ""player_rebounds_assists"", ""player_rebounds_assists_alternate"", ""player_steals"", ""player_threes"", ""player_threes_alternate"", ""player_turnovers""]",13916,71,True,eligible,hist_lockday,data/odds_api/processed/2026-04-30/odds_pairs_hist_lockday_2026-04-30.parquet,hist_lockday,auto,1,True,5.0
2026-05-01,True,True,True,True,True,True,True,predictions/stat_grid_2026-05-01.parquet,deliveries/2026-05-01/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.parquet,"[""data/odds_api/processed/2026-05-01/odds_pairs_hist_lockday_2026-05-01.parquet""]","[""data/odds_api/raw/2026-05-01/hist_event_219920e3a715ceb3dc69f3638f7571d5_lock_2026-05-05T012500Z.json"", ""data/odds_api/raw/2026-05-01/hist_event_88e10294c54deffd6e9e6efcba249d2c_lock_2026-05-01T230500Z.json"", ""data/odds_api/raw/2026-05-01/hist_event_a37e80a2e3cf3aaa3ae84a9124987058_lock_2026-05-02T233500Z.json"", ""data/odds_api/raw/2026-05-01/hist_event_c361a0b8c035a055bd9497b52674e3fb_lock_2026-05-02T013500Z.json"", ""data/odds_api/raw/2026-05-01/hist_event_d1938a9c13602a661e894f996f2680e8_lock_2026-05-01T233500Z.json"", ""data/odds_api/raw/2026-05-01/hist_events_2026-05-01T110000Z.json""]",61,"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]",[],"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]","[""player_assists"", ""player_assists_alternate"", ""player_blocks"", ""player_blocks_steals"", ""player_points"", ""player_points_alternate"", ""player_points_assists"", ""player_points_assists_alternate"", ""player_points_rebounds"", ""player_points_rebounds_alternate"", ""player_points_rebounds_assists"", ""player_points_rebounds_assists_alternate"", ""player_rebounds"", ""player_rebounds_alternate"", ""player_rebounds_assists"", ""player_rebounds_assists_alternate"", ""player_steals"", ""player_threes"", ""player_threes_alternate"", ""player_turnovers""]",11030,61,True,eligible,hist_lockday,data/odds_api/processed/2026-05-01/odds_pairs_hist_lockday_2026-05-01.parquet,hist_lockday,auto,1,True,5.0
2026-05-02,True,True,True,True,True,True,True,predictions/stat_grid_2026-05-02.parquet,deliveries/2026-05-02/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.parquet,"[""data/odds_api/processed/2026-05-02/odds_pairs_hist_lockday_2026-05-02.parquet""]","[""data/odds_api/raw/2026-05-02/hist_event_219920e3a715ceb3dc69f3638f7571d5_lock_2026-05-05T013500Z.json"", ""data/odds_api/raw/2026-05-02/hist_event_689b4554b0b10e67f46872eb2e74b98d_lock_2026-05-06T013500Z.json"", ""data/odds_api/raw/2026-05-02/hist_event_a37e80a2e3cf3aaa3ae84a9124987058_lock_2026-05-02T233500Z.json"", ""data/odds_api/raw/2026-05-02/hist_event_a463f640631f8b0580966b909965de14_lock_2026-05-03T233500Z.json"", ""data/odds_api/raw/2026-05-02/hist_event_be60e6f50fc77fc3a3cf6925472bad91_lock_2026-05-03T193500Z.json"", ""data/odds_api/raw/2026-05-02/hist_events_2026-05-02T110000Z.json""]",19,"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]",[],"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]","[""player_assists"", ""player_assists_alternate"", ""player_blocks"", ""player_blocks_steals"", ""player_points"", ""player_points_alternate"", ""player_points_assists"", ""player_points_assists_alternate"", ""player_points_rebounds"", ""player_points_rebounds_alternate"", ""player_points_rebounds_assists"", ""player_points_rebounds_assists_alternate"", ""player_rebounds"", ""player_rebounds_alternate"", ""player_rebounds_assists"", ""player_rebounds_assists_alternate"", ""player_steals"", ""player_threes"", ""player_threes_alternate"", ""player_turnovers""]",9244,19,True,eligible,hist_lockday,data/odds_api/processed/2026-05-02/odds_pairs_hist_lockday_2026-05-02.parquet,hist_lockday,auto,1,True,5.0
2026-05-03,True,True,True,True,True,True,True,predictions/stat_grid_2026-05-03.parquet,deliveries/2026-05-03/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.parquet,"[""data/odds_api/processed/2026-05-03/odds_pairs_hist_lockday_2026-05-03.parquet""]","[""data/odds_api/raw/2026-05-03/hist_event_219920e3a715ceb3dc69f3638f7571d5_lock_2026-05-05T013500Z.json"", ""data/odds_api/raw/2026-05-03/hist_event_689b4554b0b10e67f46872eb2e74b98d_lock_2026-05-06T013500Z.json"", ""data/odds_api/raw/2026-05-03/hist_event_a463f640631f8b0580966b909965de14_lock_2026-05-03T233500Z.json"", ""data/odds_api/raw/2026-05-03/hist_event_b11391b35b7a0cf79deeef3bb3eb9009_lock_2026-05-05T000500Z.json"", ""data/odds_api/raw/2026-05-03/hist_event_be60e6f50fc77fc3a3cf6925472bad91_lock_2026-05-03T193500Z.json"", ""data/odds_api/raw/2026-05-03/hist_events_2026-05-03T110000Z.json""]",44,"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]",[],"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]","[""player_assists"", ""player_assists_alternate"", ""player_blocks"", ""player_blocks_steals"", ""player_points"", ""player_points_alternate"", ""player_points_assists"", ""player_points_assists_alternate"", ""player_points_rebounds"", ""player_points_rebounds_alternate"", ""player_points_rebounds_assists"", ""player_points_rebounds_assists_alternate"", ""player_rebounds"", ""player_rebounds_alternate"", ""player_rebounds_assists"", ""player_rebounds_assists_alternate"", ""player_steals"", ""player_threes"", ""player_threes_alternate"", ""player_turnovers""]",9124,44,True,eligible,hist_lockday,data/odds_api/processed/2026-05-03/odds_pairs_hist_lockday_2026-05-03.parquet,hist_lockday,auto,1,True,5.0
2026-05-04,True,True,True,True,True,True,True,predictions/stat_grid_2026-05-04.parquet,deliveries/2026-05-04/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.parquet,"[""data/odds_api/processed/2026-05-04/odds_pairs_hist_lockday_2026-05-04.parquet""]","[""data/odds_api/raw/2026-05-04/hist_event_0d7933fbc3dd3e384f9b709cff4e882c_lock_2026-05-05T230500Z.json"", ""data/odds_api/raw/2026-05-04/hist_event_219920e3a715ceb3dc69f3638f7571d5_lock_2026-05-05T013500Z.json"", ""data/odds_api/raw/2026-05-04/hist_event_689b4554b0b10e67f46872eb2e74b98d_lock_2026-05-06T013500Z.json"", ""data/odds_api/raw/2026-05-04/hist_event_b11391b35b7a0cf79deeef3bb3eb9009_lock_2026-05-05T000500Z.json"", ""data/odds_api/raw/2026-05-04/hist_events_2026-05-04T110000Z.json""]",46,"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]",[],"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]","[""player_assists"", ""player_assists_alternate"", ""player_blocks"", ""player_blocks_steals"", ""player_points"", ""player_points_alternate"", ""player_points_assists"", ""player_points_assists_alternate"", ""player_points_rebounds"", ""player_points_rebounds_alternate"", ""player_points_rebounds_assists"", ""player_points_rebounds_assists_alternate"", ""player_rebounds"", ""player_rebounds_alternate"", ""player_rebounds_assists"", ""player_rebounds_assists_alternate"", ""player_steals"", ""player_threes"", ""player_threes_alternate"", ""player_turnovers""]",6736,46,True,eligible,hist_lockday,data/odds_api/processed/2026-05-04/odds_pairs_hist_lockday_2026-05-04.parquet,hist_lockday,auto,1,True,5.0
2026-05-05,True,True,True,True,True,True,True,predictions/stat_grid_2026-05-05.parquet,deliveries/2026-05-05/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.parquet,"[""data/odds_api/processed/2026-05-05/odds_pairs_hist_lockday_2026-05-05.parquet""]","[""data/odds_api/raw/2026-05-05/hist_event_0d7933fbc3dd3e384f9b709cff4e882c_lock_2026-05-05T230500Z.json"", ""data/odds_api/raw/2026-05-05/hist_event_246001ab42d44857430f7fe63f423461_lock_2026-05-07T013500Z.json"", ""data/odds_api/raw/2026-05-05/hist_event_689b4554b0b10e67f46872eb2e74b98d_lock_2026-05-06T003500Z.json"", ""data/odds_api/raw/2026-05-05/hist_event_d146e10295545e18ac8915a1f5860317_lock_2026-05-06T230500Z.json"", ""data/odds_api/raw/2026-05-05/hist_events_2026-05-05T110000Z.json""]",46,"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]",[],"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]","[""player_assists"", ""player_assists_alternate"", ""player_blocks"", ""player_blocks_steals"", ""player_points"", ""player_points_alternate"", ""player_points_assists"", ""player_points_assists_alternate"", ""player_points_rebounds"", ""player_points_rebounds_alternate"", ""player_points_rebounds_assists"", ""player_points_rebounds_assists_alternate"", ""player_rebounds"", ""player_rebounds_alternate"", ""player_rebounds_assists"", ""player_rebounds_assists_alternate"", ""player_steals"", ""player_threes"", ""player_threes_alternate"", ""player_turnovers""]",8484,46,True,eligible,hist_lockday,data/odds_api/processed/2026-05-05/odds_pairs_hist_lockday_2026-05-05.parquet,hist_lockday,auto,1,True,5.0
2026-05-06,True,True,True,True,True,True,True,predictions/stat_grid_2026-05-06.parquet,deliveries/2026-05-06/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.parquet,"[""data/odds_api/processed/2026-05-06/odds_pairs_hist_lockday_2026-05-06.parquet""]","[""data/odds_api/raw/2026-05-06/hist_event_246001ab42d44857430f7fe63f423461_lock_2026-05-07T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_862af0717b53a01b5e93a188a655d663_lock_2026-05-07T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_a306b74e13d87d2f8d64b1e01c2cf958_lock_2026-05-08T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_d146e10295545e18ac8915a1f5860317_lock_2026-05-06T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_events_2026-05-06T110000Z.json""]",48,"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks"", ""tov""]",[],"[""ast"", ""blk"", ""fg3m"", ""pa"", ""pr"", ""pra"", ""pts"", ""ra"", ""reb"", ""stl"", ""stocks""]","[""player_assists"", ""player_assists_alternate"", ""player_blocks"", ""player_blocks_steals"", ""player_points"", ""player_points_alternate"", ""player_points_assists"", ""player_points_assists_alternate"", ""player_points_rebounds"", ""player_points_rebounds_alternate"", ""player_points_rebounds_assists"", ""player_points_rebounds_assists_alternate"", ""player_rebounds"", ""player_rebounds_alternate"", ""player_rebounds_assists"", ""player_rebounds_assists_alternate"", ""player_steals"", ""player_threes"", ""player_threes_alternate""]",4884,48,True,eligible,hist_lockday,data/odds_api/processed/2026-05-06/odds_pairs_hist_lockday_2026-05-06.parquet,hist_lockday,auto,1,True,5.0
