stat,model_stat_grid_rows,canonical_rows,raw_odds_rows,processed_odds_rows,two_way_odds_rows,event_market_rows,matched_rows,scored_rows,books_count,players_count,games_count,market_keys_requested,market_keys_seen_raw,market_keys_seen_processed,missing_reason
pts,34,32,200,248,248,248,142,142,6,16,7,"[""player_points"", ""player_points_alternate""]","[""player_points"", ""player_points_alternate""]","[""player_points""]",covered
reb,34,32,200,187,187,187,118,118,6,15,6,"[""player_rebounds"", ""player_rebounds_alternate""]","[""player_rebounds"", ""player_rebounds_alternate""]","[""player_rebounds""]",covered
ast,34,32,200,180,180,180,109,109,6,16,7,"[""player_assists"", ""player_assists_alternate""]","[""player_assists"", ""player_assists_alternate""]","[""player_assists""]",covered
fg3m,32,32,192,159,159,159,97,97,6,14,7,"[""player_threes"", ""player_threes_alternate""]","[""player_threes"", ""player_threes_alternate""]","[""player_threes""]",insufficient_scored_rows
tov,34,32,0,0,0,0,0,0,0,0,0,"[""player_turnovers"", ""player_turnovers_alternate""]",[],[],no_offered_market
stl,34,32,0,0,0,0,0,0,0,0,0,"[""player_steals"", ""player_steals_alternate""]",[],[],no_offered_market
blk,34,32,0,0,0,0,0,0,0,0,0,"[""player_blocks"", ""player_blocks_alternate""]",[],[],no_offered_market
stocks,34,32,0,0,0,0,0,0,0,0,0,"[""player_blocks_steals""]",[],[],no_offered_market
pa,34,32,0,0,0,0,0,0,0,0,0,"[""player_points_assists"", ""player_points_assists_alternate""]",[],[],no_offered_market
pr,34,32,0,0,0,0,0,0,0,0,0,"[""player_points_rebounds"", ""player_points_rebounds_alternate""]",[],[],no_offered_market
ra,34,32,0,0,0,0,0,0,0,0,0,"[""player_rebounds_assists"", ""player_rebounds_assists_alternate""]",[],[],no_offered_market
pra,34,32,0,0,0,0,0,0,0,0,0,"[""player_points_rebounds_assists"", ""player_points_rebounds_assists_alternate""]",[],[],no_offered_market
