stat,model_stat_grid_rows,canonical_rows,raw_odds_rows,processed_odds_rows,two_way_odds_rows,event_market_rows,matched_rows,scored_rows,books_count,players_count,games_count,expected_market_keys_for_stat,requested_market_keys,raw_market_keys_seen_for_stat,processed_market_keys_seen_for_stat,odds_snapshot_files_checked,raw_json_files_checked,raw_json_paths_checked,request_registry_source,request_coverage_status,raw_market_presence_status,processed_market_presence_status,event_join_presence_status,final_missing_reason,missing_reason,market_keys_requested,market_keys_seen_raw,market_keys_seen_processed
pts,70,68,0,1063,1063,1063,669,669,8,30,2,"[""player_points"", ""player_points_alternate""]","[""player_points"", ""player_points_alternate""]",[],"[""player_points"", ""player_points_alternate""]","[""data/odds_api/processed/2026-05-06/odds_pairs_hist_lockday_2026-05-06.parquet""]",5,"[""data/odds_api/raw/2026-05-06/hist_event_246001ab42d44857430f7fe63f423461_lock_2026-05-07T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_862af0717b53a01b5e93a188a655d663_lock_2026-05-07T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_a306b74e13d87d2f8d64b1e01c2cf958_lock_2026-05-08T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_d146e10295545e18ac8915a1f5860317_lock_2026-05-06T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_events_2026-05-06T110000Z.json""]",nba_props_model.markets.oddsapi_markets.ODDSAPI_NBA_DEFAULT_MARKETS,all_expected_keys_in_registry,expected_keys_absent_in_raw,no_processed_rows_for_stat,no_event_rows_expected,no_offered_market,no_offered_market,"[""player_points"", ""player_points_alternate""]",[],"[""player_points"", ""player_points_alternate""]"
reb,70,68,0,526,526,526,333,333,8,28,2,"[""player_rebounds"", ""player_rebounds_alternate""]","[""player_rebounds"", ""player_rebounds_alternate""]",[],"[""player_rebounds"", ""player_rebounds_alternate""]","[""data/odds_api/processed/2026-05-06/odds_pairs_hist_lockday_2026-05-06.parquet""]",5,"[""data/odds_api/raw/2026-05-06/hist_event_246001ab42d44857430f7fe63f423461_lock_2026-05-07T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_862af0717b53a01b5e93a188a655d663_lock_2026-05-07T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_a306b74e13d87d2f8d64b1e01c2cf958_lock_2026-05-08T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_d146e10295545e18ac8915a1f5860317_lock_2026-05-06T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_events_2026-05-06T110000Z.json""]",nba_props_model.markets.oddsapi_markets.ODDSAPI_NBA_DEFAULT_MARKETS,all_expected_keys_in_registry,expected_keys_absent_in_raw,no_processed_rows_for_stat,no_event_rows_expected,no_offered_market,no_offered_market,"[""player_rebounds"", ""player_rebounds_alternate""]",[],"[""player_rebounds"", ""player_rebounds_alternate""]"
ast,70,68,0,352,352,352,226,226,8,23,2,"[""player_assists"", ""player_assists_alternate""]","[""player_assists"", ""player_assists_alternate""]",[],"[""player_assists"", ""player_assists_alternate""]","[""data/odds_api/processed/2026-05-06/odds_pairs_hist_lockday_2026-05-06.parquet""]",5,"[""data/odds_api/raw/2026-05-06/hist_event_246001ab42d44857430f7fe63f423461_lock_2026-05-07T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_862af0717b53a01b5e93a188a655d663_lock_2026-05-07T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_a306b74e13d87d2f8d64b1e01c2cf958_lock_2026-05-08T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_d146e10295545e18ac8915a1f5860317_lock_2026-05-06T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_events_2026-05-06T110000Z.json""]",nba_props_model.markets.oddsapi_markets.ODDSAPI_NBA_DEFAULT_MARKETS,all_expected_keys_in_registry,expected_keys_absent_in_raw,no_processed_rows_for_stat,no_event_rows_expected,no_offered_market,no_offered_market,"[""player_assists"", ""player_assists_alternate""]",[],"[""player_assists"", ""player_assists_alternate""]"
fg3m,68,68,0,336,336,336,225,225,8,26,2,"[""player_threes"", ""player_threes_alternate""]","[""player_threes"", ""player_threes_alternate""]",[],"[""player_threes"", ""player_threes_alternate""]","[""data/odds_api/processed/2026-05-06/odds_pairs_hist_lockday_2026-05-06.parquet""]",5,"[""data/odds_api/raw/2026-05-06/hist_event_246001ab42d44857430f7fe63f423461_lock_2026-05-07T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_862af0717b53a01b5e93a188a655d663_lock_2026-05-07T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_a306b74e13d87d2f8d64b1e01c2cf958_lock_2026-05-08T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_d146e10295545e18ac8915a1f5860317_lock_2026-05-06T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_events_2026-05-06T110000Z.json""]",nba_props_model.markets.oddsapi_markets.ODDSAPI_NBA_DEFAULT_MARKETS,all_expected_keys_in_registry,expected_keys_absent_in_raw,no_processed_rows_for_stat,no_event_rows_expected,no_offered_market,no_offered_market,"[""player_threes"", ""player_threes_alternate""]",[],"[""player_threes"", ""player_threes_alternate""]"
tov,70,68,0,0,0,0,0,0,0,0,0,"[""player_turnovers"", ""player_turnovers_alternate""]","[""player_turnovers"", ""player_turnovers_alternate""]",[],[],"[""data/odds_api/processed/2026-05-06/odds_pairs_hist_lockday_2026-05-06.parquet""]",5,"[""data/odds_api/raw/2026-05-06/hist_event_246001ab42d44857430f7fe63f423461_lock_2026-05-07T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_862af0717b53a01b5e93a188a655d663_lock_2026-05-07T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_a306b74e13d87d2f8d64b1e01c2cf958_lock_2026-05-08T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_d146e10295545e18ac8915a1f5860317_lock_2026-05-06T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_events_2026-05-06T110000Z.json""]",nba_props_model.markets.oddsapi_markets.ODDSAPI_NBA_DEFAULT_MARKETS,all_expected_keys_in_registry,expected_keys_absent_in_raw,no_processed_rows_for_stat,no_event_rows_expected,no_offered_market,no_offered_market,"[""player_turnovers"", ""player_turnovers_alternate""]",[],[]
stl,70,68,0,81,81,81,51,51,3,22,2,"[""player_steals"", ""player_steals_alternate""]","[""player_steals"", ""player_steals_alternate""]",[],"[""player_steals""]","[""data/odds_api/processed/2026-05-06/odds_pairs_hist_lockday_2026-05-06.parquet""]",5,"[""data/odds_api/raw/2026-05-06/hist_event_246001ab42d44857430f7fe63f423461_lock_2026-05-07T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_862af0717b53a01b5e93a188a655d663_lock_2026-05-07T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_a306b74e13d87d2f8d64b1e01c2cf958_lock_2026-05-08T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_d146e10295545e18ac8915a1f5860317_lock_2026-05-06T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_events_2026-05-06T110000Z.json""]",nba_props_model.markets.oddsapi_markets.ODDSAPI_NBA_DEFAULT_MARKETS,all_expected_keys_in_registry,expected_keys_absent_in_raw,no_processed_rows_for_stat,no_event_rows_expected,no_offered_market,no_offered_market,"[""player_steals"", ""player_steals_alternate""]",[],"[""player_steals""]"
blk,70,68,0,107,107,107,67,67,4,23,2,"[""player_blocks"", ""player_blocks_alternate""]","[""player_blocks"", ""player_blocks_alternate""]",[],"[""player_blocks""]","[""data/odds_api/processed/2026-05-06/odds_pairs_hist_lockday_2026-05-06.parquet""]",5,"[""data/odds_api/raw/2026-05-06/hist_event_246001ab42d44857430f7fe63f423461_lock_2026-05-07T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_862af0717b53a01b5e93a188a655d663_lock_2026-05-07T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_a306b74e13d87d2f8d64b1e01c2cf958_lock_2026-05-08T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_d146e10295545e18ac8915a1f5860317_lock_2026-05-06T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_events_2026-05-06T110000Z.json""]",nba_props_model.markets.oddsapi_markets.ODDSAPI_NBA_DEFAULT_MARKETS,all_expected_keys_in_registry,expected_keys_absent_in_raw,no_processed_rows_for_stat,no_event_rows_expected,no_offered_market,no_offered_market,"[""player_blocks"", ""player_blocks_alternate""]",[],"[""player_blocks""]"
stocks,70,68,0,9,9,9,9,9,1,9,1,"[""player_blocks_steals""]","[""player_blocks_steals""]",[],"[""player_blocks_steals""]","[""data/odds_api/processed/2026-05-06/odds_pairs_hist_lockday_2026-05-06.parquet""]",5,"[""data/odds_api/raw/2026-05-06/hist_event_246001ab42d44857430f7fe63f423461_lock_2026-05-07T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_862af0717b53a01b5e93a188a655d663_lock_2026-05-07T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_a306b74e13d87d2f8d64b1e01c2cf958_lock_2026-05-08T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_d146e10295545e18ac8915a1f5860317_lock_2026-05-06T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_events_2026-05-06T110000Z.json""]",nba_props_model.markets.oddsapi_markets.ODDSAPI_NBA_DEFAULT_MARKETS,all_expected_keys_in_registry,expected_keys_absent_in_raw,no_processed_rows_for_stat,no_event_rows_expected,no_offered_market,no_offered_market,"[""player_blocks_steals""]",[],"[""player_blocks_steals""]"
pa,70,68,0,499,499,499,330,330,4,25,2,"[""player_points_assists"", ""player_points_assists_alternate""]","[""player_points_assists"", ""player_points_assists_alternate""]",[],"[""player_points_assists"", ""player_points_assists_alternate""]","[""data/odds_api/processed/2026-05-06/odds_pairs_hist_lockday_2026-05-06.parquet""]",5,"[""data/odds_api/raw/2026-05-06/hist_event_246001ab42d44857430f7fe63f423461_lock_2026-05-07T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_862af0717b53a01b5e93a188a655d663_lock_2026-05-07T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_a306b74e13d87d2f8d64b1e01c2cf958_lock_2026-05-08T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_d146e10295545e18ac8915a1f5860317_lock_2026-05-06T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_events_2026-05-06T110000Z.json""]",nba_props_model.markets.oddsapi_markets.ODDSAPI_NBA_DEFAULT_MARKETS,all_expected_keys_in_registry,expected_keys_absent_in_raw,no_processed_rows_for_stat,no_event_rows_expected,no_offered_market,no_offered_market,"[""player_points_assists"", ""player_points_assists_alternate""]",[],"[""player_points_assists"", ""player_points_assists_alternate""]"
pr,70,68,0,708,708,708,463,463,4,28,2,"[""player_points_rebounds"", ""player_points_rebounds_alternate""]","[""player_points_rebounds"", ""player_points_rebounds_alternate""]",[],"[""player_points_rebounds"", ""player_points_rebounds_alternate""]","[""data/odds_api/processed/2026-05-06/odds_pairs_hist_lockday_2026-05-06.parquet""]",5,"[""data/odds_api/raw/2026-05-06/hist_event_246001ab42d44857430f7fe63f423461_lock_2026-05-07T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_862af0717b53a01b5e93a188a655d663_lock_2026-05-07T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_a306b74e13d87d2f8d64b1e01c2cf958_lock_2026-05-08T013500Z.json"", ""data/odds_api/raw/2026-05-06/hist_event_d146e10295545e18ac8915a1f5860317_lock_2026-05-06T230500Z.json"", ""data/odds_api/raw/2026-05-06/hist_events_2026-05-06T110000Z.json""]",nba_props_model.markets.oddsapi_markets.ODDSAPI_NBA_DEFAULT_MARKETS,all_expected_keys_in_registry,expected_keys_absent_in_raw,no_processed_rows_for_stat,no_event_rows_expected,no_offered_market,no_offered_market,"[""player_points_rebounds"", ""player_points_rebounds_alternate""]",[],"[""player_points_rebounds"", ""player_points_rebounds_alternate""]"
