stat,n_rows,n_scored,n_market_joined,n_books,n_players,n_games,model_brier_avg,market_brier_avg,model_logloss_avg,market_logloss_avg,model_rps_avg,market_rps_avg,market_coverage_status,availability_freshness_status,failure_reason,market_superiority_pass,brier_delta_model_minus_market,logloss_delta_model_minus_market,rps_delta_model_minus_market,rps_status,model_beats_market_brier,model_beats_market_logloss,model_beats_market_rps,calibration_pass,model_ece,market_ece,model_calibration_slope,model_calibration_intercept,market_calibration_slope,market_calibration_intercept,pit_ks,mean_error,variance_error,p0_error,model_better_calibrated
ast,230,42,42,7,11,1,0.19363587354379216,0.22433300819734484,0.5622156775259617,0.6382295263572221,1.2460352718786005,,covered,unknown,,True,-0.03069713465355267,-0.07601384883126039,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
blk,71,14,14,4,10,1,0.3144489632884796,0.26192446618564474,0.8351662131227264,0.714453090419282,0.40714363871786385,,covered,unknown,model_logloss_not_better,False,0.052524497102834855,0.12071312270344448,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
fg3m,229,47,47,7,10,1,0.09340987193816609,0.1958412720086008,0.34459405315534736,0.5768782591125198,0.5487762303428649,,covered,unknown,,True,-0.1024314000704347,-0.23228420595717242,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
pa,385,195,195,4,11,1,0.18535633951282046,0.21224999246282109,0.5533640127237628,0.6123812704113673,3.611840692948717,,covered,unknown,,True,-0.026893652950000624,-0.05901725768760446,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
pr,498,221,221,4,11,1,0.18993302559954753,0.21188863931464605,0.5631930363952639,0.611265652697224,3.833885847873303,,covered,unknown,,True,-0.02195561371509852,-0.048072616301960136,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
pra,560,257,257,6,11,1,0.17860959976653698,0.22540275965424864,0.5384077932005814,0.641657010088682,4.103222954455252,,covered,unknown,,True,-0.046793159887711655,-0.10324921688810063,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
pts,743,162,162,7,11,1,0.2095761715988961,0.2021932966481442,0.6044066435578934,0.5923920598200146,2.7122250973408093,,covered,unknown,model_logloss_not_better,False,0.007382874950751905,0.012014583737878781,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
ra,275,126,126,4,11,1,0.1786478655753968,0.2433304471779036,0.5380231207733362,0.682591086591698,1.7319816992261905,,covered,unknown,,True,-0.06468258160250681,-0.14456796581836173,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
reb,346,99,99,7,11,1,0.21359215649422963,0.21626226177368715,0.6177479564609002,0.6186874345976435,1.6446317438829328,,covered,unknown,,True,-0.0026701052794575186,-0.0009394781367433325,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
stl,65,9,9,3,9,1,0.28063538114240544,0.2256167600461693,0.7498410901309774,0.643557864989281,0.7260391895937143,,covered,unknown,insufficient_scored_rows,False,0.05501862109623615,0.10628322514169641,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
stocks,19,9,9,1,9,1,0.21523265972222222,0.21180166073838358,0.6221568335656914,0.6152021265992291,0.7719346641666667,,covered,unknown,insufficient_scored_rows,False,0.00343099898383864,0.006954706966462276,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
