book,n_rows,n_scored,n_market_joined,n_books,n_players,n_games,model_brier_avg,market_brier_avg,model_logloss_avg,market_logloss_avg,model_rps_avg,market_rps_avg,market_coverage_status,availability_freshness_status,failure_reason,market_superiority_pass,brier_delta_model_minus_market,logloss_delta_model_minus_market,rps_delta_model_minus_market,rps_status,model_beats_market_brier,model_beats_market_logloss,model_beats_market_rps,calibration_pass,model_ece,market_ece,model_calibration_slope,model_calibration_intercept,market_calibration_slope,market_calibration_intercept,pit_ks,mean_error,variance_error,p0_error,model_better_calibrated
betmgm,6796,3240,3241,1,139,49,0.2559186487715722,0.2459849516896175,0.9808824006388491,0.6848332233273182,2.79857512739525,,covered,unknown,model_logloss_not_better,False,0.009933697081954712,0.2960491773115309,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
betonlineag,4260,2023,2024,1,130,48,0.24877212230634446,0.24726518073882406,0.692840911964602,0.687626309496828,2.547476080058626,,covered,unknown,model_logloss_not_better,False,0.0015069415675204034,0.005214602467773943,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
betparx,7013,3323,3323,1,116,46,0.27188330834375024,0.24670318545377254,1.5469617777947402,0.6864842845944806,2.7783096626889576,,covered,unknown,model_logloss_not_better,False,0.025180122889977702,0.8604774932002596,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
betrivers,4492,2155,2155,1,118,28,0.24517792740864422,0.24825201060363003,0.6849404640892018,0.6896518554457352,3.414695637776875,,covered,unknown,,True,-0.0030740831949858105,-0.004711391356533312,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
bovada,23570,10709,10709,1,128,47,0.24747596009314718,0.2392430707509797,0.7815456048271012,0.6712278092746385,3.3300738648989374,,covered,unknown,model_logloss_not_better,False,0.008232889342167482,0.11031779555246268,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
draftkings,8841,3943,3943,1,132,48,0.26825192406332654,0.24535627580164182,1.3630377285370965,0.6835886990967366,2.4972074555531703,,covered,unknown,model_logloss_not_better,False,0.02289564826168472,0.6794490294403599,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
espnbet,12088,5790,5793,1,125,48,0.23108079391599104,0.22925374993125736,0.6606882785288013,0.6495029302706372,2.4685041662223766,,covered,unknown,model_logloss_not_better,False,0.001827043984733684,0.011185348258164085,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
fanatics,335,145,145,1,60,39,0.254672311855113,0.24998553892176859,0.7041749280014846,0.6931922012054929,2.623603147700019,,covered,unknown,model_logloss_not_better,False,0.004686772933344435,0.01098272679599177,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
fanduel,49234,23547,23548,1,134,49,0.21934460788877408,0.20818235285241204,0.6456835404074718,0.6041960973883344,3.9446586577342138,,covered,unknown,model_logloss_not_better,False,0.011162255036362034,0.04148744301913743,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
fliff,8057,3687,3689,1,132,50,0.2625861696613875,0.24728421186620544,1.0579274867795687,0.6876734331203926,2.650487405819152,,covered,unknown,model_logloss_not_better,False,0.015301957795182036,0.3702540536591761,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
hardrockbet,6990,3374,3376,1,129,46,0.2742384143374509,0.24648368950952657,1.4848008806608253,0.6859459863997388,2.4384800829586033,,covered,unknown,model_logloss_not_better,False,0.02775472482792432,0.7988548942610865,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
hardrockbet_az,6993,3374,3376,1,129,46,0.27424650384265087,0.24648651763873253,1.4848169298979768,0.685951334534794,2.4384800829586033,,covered,unknown,model_logloss_not_better,False,0.02775998620391834,0.7988655953631828,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
hardrockbet_fl,5892,2545,2547,1,128,50,0.24947151145823415,0.24955050046058946,0.6951228958795423,0.6921960260391039,2.9224537593357223,,covered,unknown,model_logloss_not_better,False,-7.898900235531192e-05,0.0029268698404384397,,unavailable_market_distribution,True,False,True,False,,,,,,,,,,,False
williamhill_us,2581,1194,1195,1,129,46,0.24307140087637463,0.24630000960597598,0.679944895066553,0.6856929484571712,2.1009640364648536,,covered,unknown,,True,-0.0032286087296013455,-0.005748053390618235,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
