book,n_rows,n_scored,n_market_joined,n_books,n_players,n_games,model_brier_avg,market_brier_avg,model_logloss_avg,market_logloss_avg,model_rps_avg,market_rps_avg,market_coverage_status,availability_freshness_status,failure_reason,market_superiority_pass,brier_delta_model_minus_market,logloss_delta_model_minus_market,rps_delta_model_minus_market,rps_status,model_beats_market_brier,model_beats_market_logloss,model_beats_market_rps,calibration_pass,model_ece,market_ece,model_calibration_slope,model_calibration_intercept,market_calibration_slope,market_calibration_intercept,pit_ks,mean_error,variance_error,p0_error,model_better_calibrated
betmgm,335,211,211,1,34,2,0.23822393503306863,0.23748608894178505,1.1358472872572314,0.666700782358797,2.334233635774954,,covered,unknown,model_logloss_not_better,False,0.0007378460912835783,0.46914650489843435,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
betonlineag,206,128,128,1,29,2,0.2450272695630532,0.24134292784193861,0.6835565857067069,0.675537468772679,2.220563367580321,,covered,unknown,model_logloss_not_better,False,0.0036843417211145923,0.008019116934027903,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
betparx,376,195,195,1,43,8,0.27126599406578356,0.24639740893265158,0.7409386919154651,0.6858850788287487,2.54998842029046,,covered,unknown,model_logloss_not_better,False,0.024868585133131976,0.05505361308671641,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
betrivers,248,161,161,1,26,2,0.24340935936521416,0.24426396096023403,0.6838700056441727,0.6815809314907135,2.8407588452015107,,covered,unknown,model_logloss_not_better,False,-0.0008546015950198771,0.0022890741534591363,,unavailable_market_distribution,True,False,True,False,,,,,,,,,,,False
bovada,1143,712,712,1,29,2,0.2539124345863755,0.23394275324003497,1.3376607602138728,0.6602128495114654,2.783501766833544,,covered,unknown,model_logloss_not_better,False,0.019969681346340556,0.6774479107024074,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
draftkings,403,258,258,1,30,2,0.28077659941607985,0.24264158303225408,2.9009709643444266,0.677936620080291,2.1309097495553533,,covered,unknown,model_logloss_not_better,False,0.03813501638382577,2.2230343442641356,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
espnbet,609,459,459,1,48,8,0.2443315704074304,0.22181666682187764,0.7420662562433296,0.6339628705416775,1.8760920260679115,,covered,unknown,model_logloss_not_better,False,0.022514903585552748,0.10810338570165201,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
fanatics,15,10,10,1,9,2,0.21962308438108863,0.2464625947991223,0.6401389478107824,0.6859121813983126,2.1154750670975995,,covered,unknown,insufficient_scored_rows,False,-0.026839510418033674,-0.04577323358753016,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
fanduel,2406,1564,1564,1,30,2,0.20726772340584526,0.18677422795784654,0.6953536931462949,0.5571452731371154,3.088587221609239,,covered,unknown,model_logloss_not_better,False,0.020493495447998722,0.13820842000917954,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
fliff,337,179,179,1,50,9,0.28112986352631675,0.2579727223960086,0.7676881267452695,0.7094171720490752,1.7929670554969501,,covered,unknown,model_logloss_not_better,False,0.023157141130308145,0.058270954696194366,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
hardrockbet,330,175,175,1,49,9,0.2791136990653925,0.2528924594046906,0.7613210057308689,0.6990994710174783,1.8362913559935572,,covered,unknown,model_logloss_not_better,False,0.026221239660701945,0.06222153471339065,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
hardrockbet_az,330,175,175,1,49,9,0.2791136990653925,0.2528924594046906,0.7613210057308689,0.6990994710174783,1.8362913559935572,,covered,unknown,model_logloss_not_better,False,0.026221239660701945,0.06222153471339065,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
hardrockbet_fl,294,147,147,1,48,9,0.2782989653110947,0.254095431759419,0.7602972054265408,0.7015498032182604,1.8852805341250238,,covered,unknown,model_logloss_not_better,False,0.024203533551675704,0.05874740220828034,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
williamhill_us,128,83,83,1,30,2,0.22937346518071083,0.23201299369168193,0.6533028299388163,0.6567839529321099,1.825584789480734,,covered,unknown,insufficient_scored_rows,False,-0.002639528510971101,-0.003481122993293617,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
