stat,n_rows,n_scored,n_market_joined,n_books,n_players,n_games,model_brier_avg,market_brier_avg,model_logloss_avg,market_logloss_avg,model_rps_avg,market_rps_avg,market_coverage_status,availability_freshness_status,failure_reason,market_superiority_pass,brier_delta_model_minus_market,logloss_delta_model_minus_market,rps_delta_model_minus_market,rps_status,model_beats_market_brier,model_beats_market_logloss,model_beats_market_rps,calibration_pass,model_ece,market_ece,model_calibration_slope,model_calibration_intercept,market_calibration_slope,market_calibration_intercept,pit_ks,mean_error,variance_error,p0_error,model_better_calibrated
ast,823,506,506,14,54,11,0.2652898476064998,0.24516068037098873,0.7321927393592962,0.6833041885034788,1.1606720351339481,,covered,unknown,model_logloss_not_better,False,0.020129167235511086,0.048888550855817337,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
blk,107,67,67,4,23,2,0.208955223880597,0.19189285018307137,5.773646203329144,0.5680574769199933,0.3283582089552239,,covered,unknown,insufficient_scored_rows,False,0.01706237369752564,5.20558872640915,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
fg3m,827,507,507,14,54,11,0.231573411928607,0.215394472212812,0.7076193409843768,0.620389633141917,0.6938402898481422,,covered,unknown,model_logloss_not_better,False,0.01617893971579501,0.08722970784245987,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
pa,499,330,330,4,25,2,0.21638599,0.20349316406528986,0.6163901525087719,0.5938207290916724,3.6638777291742426,,covered,unknown,model_logloss_not_better,False,0.01289282593471014,0.022569423417099554,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
pr,708,463,463,4,28,2,0.21106169176565875,0.1974174873139899,0.6048809840280764,0.5785086812528071,3.747586905642549,,covered,unknown,model_logloss_not_better,False,0.013644204451668862,0.026372302775269363,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
pra,859,525,525,7,33,2,0.22725795989523812,0.21710820851163962,0.6447766070926902,0.6230454368385773,4.3051593814333335,,covered,unknown,model_logloss_not_better,False,0.010149751383598499,0.021731170254112975,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
pts,1796,1091,1091,14,63,11,0.24529569721967617,0.22380615571628248,0.6829323830839577,0.6378629611839268,3.2874306835726657,,covered,unknown,model_logloss_not_better,False,0.02148954150339369,0.045069421900030826,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
ra,344,229,229,4,24,2,0.23111025546943237,0.21977738125749638,0.6506133714439356,0.6297278785286401,2.1282071578820956,,covered,unknown,model_logloss_not_better,False,0.01133287421193599,0.02088549291529551,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
reb,1102,678,678,14,58,10,0.23945169731235658,0.22923465439284096,0.6771180918999352,0.6483242382958866,1.5952406084890196,,covered,unknown,model_logloss_not_better,False,0.010217042919515612,0.028793853604048625,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
stl,81,51,51,3,22,2,0.6470588235294118,0.26676790230288794,17.87889601618941,0.7280346840104768,0.803921568627451,,covered,unknown,insufficient_scored_rows,False,0.38029092122652386,17.150861332178934,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
stocks,9,9,9,1,9,1,0.3333333333333333,0.30809831836449214,9.210340371976848,0.8122277984821122,0.5555555555555556,,covered,unknown,insufficient_scored_rows,False,0.025235014968841174,8.398112573494735,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
tov,5,1,1,1,1,1,0.4378027777777777,0.28352167313206283,1.0837236761743592,0.760286483397574,1.109969,,covered,unknown,insufficient_scored_rows,False,0.15428110464571487,0.3234371927767852,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
