dataset,column,present,non_null_rate,unique_count
event_market_rows,date,True,1.0,16
event_market_rows,game_id,True,0.46936972448383196,53
event_market_rows,event_id,True,1.0,36
event_market_rows,snapshot_type,True,1.0,2
event_market_rows,snapshot_time_utc,True,1.0,40
event_market_rows,home_team,True,1.0,15
event_market_rows,away_team,True,1.0,15
event_market_rows,bookmaker_key,True,1.0,14
event_market_rows,player_id,True,0.47243479088227697,143
event_market_rows,player_name,True,1.0,155
event_market_rows,stat,True,1.0,12
event_market_rows,line,True,1.0,65
event_market_rows,side,True,1.0,1
event_market_rows,role_bucket,True,0.46936972448383196,6
event_market_rows,pmf_kind,True,0.46936972448383196,2
event_market_rows,pmf_col_used,True,0.46936972448383196,1
event_market_rows,is_alternate,True,1.0,2
event_market_rows,model_pmf_raw,True,0.46936972448383196,3572
event_market_rows,model_pmf,True,0.46936972448383196,3572
event_market_rows,model_mean,True,0.46936972448383196,3564
event_market_rows,model_variance,True,0.46936972448383196,3572
event_market_rows,pmf_mean_raw,True,0.46936972448383196,3563
event_market_rows,pmf_mean_repaired,True,0.46936972448383196,3564
event_market_rows,pmf_mean_shift_delta_or_gamma,True,0.05691780728819779,3
event_market_rows,pmf_mean_shift_repair_applied,True,1.0,2
event_market_rows,pmf_mean_shift_repair_scope,True,0.05691780728819779,3
event_market_rows,pmf_mean_shift_repair_method,True,0.05691780728819779,2
event_market_rows,pmf_mean_shift_repair_version,True,0.05691780728819779,1
event_market_rows,pmf_mean_shift_row_rollback_reason,True,0.0,0
event_market_rows,model_prob_over_raw,True,0.46936972448383196,20589
event_market_rows,model_prob_over_after_pmf_mean_shift,True,0.46936972448383196,21501
event_market_rows,model_prob_over_calibrated,True,0.2606393823653342,11496
event_market_rows,model_prob_over_active,True,0.46936972448383196,22558
event_market_rows,probability_scale_repair_scope,True,0.2606393823653342,29
event_market_rows,probability_scale_repair_method,True,0.2606393823653342,4
event_market_rows,probability_scale_repair_version,True,0.2606393823653342,1
event_market_rows,model_prob_over,True,0.46936972448383196,22558
event_market_rows,model_prob_under,True,0.46936972448383196,21215
event_market_rows,model_probability_for_side,True,0.46936972448383196,22558
event_market_rows,market_prob_over_no_vig,True,1.0,1949
event_market_rows,market_prob_under_no_vig,True,1.0,3024
event_market_rows,market_probability_for_side,True,1.0,1949
event_market_rows,over_odds_american,True,0.46936972448383196,396
event_market_rows,under_odds_american,True,0.46936972448383196,384
event_market_rows,actual,True,0.46926778214242026,56
event_market_rows,hit_result,True,0.46926778214242026,2
event_market_rows,closing_line_result,True,0.0,0
event_market_rows,settled,True,1.0,2
event_market_rows,model_event_logloss,True,0.46926778214242026,22270
event_market_rows,market_event_logloss,True,0.46926778214242026,2640
event_market_rows,event_logloss_delta,True,0.46926778214242026,58628
event_market_rows,model_brier,True,0.46926778214242026,22824
event_market_rows,market_brier,True,0.46926778214242026,2672
event_market_rows,brier_delta,True,0.46926778214242026,58630
event_market_rows,model_nll,True,0.45212108031697273,2830
event_market_rows,model_rps,True,0.46926778214242026,3720
event_market_rows,walk_forward_only,True,1.0,1
event_market_rows,same_sample_predictions_used,True,0.46936972448383196,1
event_market_rows,join_status,True,1.0,2
event_market_rows,join_blockers,True,0.530630275516168,1
event_market_rows,scoring_blocker,True,0.5307322178575797,2
event_market_rows,model_prob_over_pre_event_calibration,True,0.46936972448383196,21501
event_market_rows,event_calibration_applied,True,1.0,1
event_market_rows,event_calibration_version,True,0.0,0
event_market_rows,event_calibration_stage,True,0.0,0
event_market_rows,event_calibration_source,True,0.0,0
event_market_rows,event_calibration_segment,True,0.0,0
event_market_rows,market_pmf_used,True,1.0,1
event_market_rows,market_prob_used_as_training_label,True,1.0,1
event_market_rows,m8_6q_schema_version,True,1.0,1
event_market_rows,m8_6q_delta_sign_convention,True,1.0,1
event_market_rows,odds_snapshot_family,True,1.0,2
event_market_rows,odds_snapshot_path,True,1.0,16
event_market_rows,odds_snapshot_type,True,1.0,2
event_market_rows,odds_snapshot_substr_used,True,1.0,1
event_market_rows,odds_snapshot_rank,True,1.0,2
event_market_rows,odds_snapshot_is_historical,True,1.0,2
event_market_rows,odds_snapshot_lock_offset_minutes,True,0.9845319487297984,1
