stat,role_bucket,n,method,selected
ast,bench,177,none,False
ast,core,2064,market_residual,True
ast,fringe,35,none,False
ast,inactive_risk,77,none,False
ast,rotation,776,none,False
ast,starter,2616,market_residual,True
blk,bench,86,none,False
blk,core,772,none,False
blk,inactive_risk,18,none,False
blk,rotation,220,none,False
blk,starter,730,none,False
fg3m,bench,495,none,False
fg3m,core,2021,market_residual,True
fg3m,fringe,49,none,False
fg3m,inactive_risk,75,none,False
fg3m,rotation,999,none,False
fg3m,starter,2289,market_residual,True
pa,core,2287,none,False
pa,fringe,36,none,False
pa,inactive_risk,68,none,False
pa,rotation,760,none,False
pr,bench,604,none,False
pr,core,3259,none,False
pr,fringe,56,none,False
pr,inactive_risk,69,none,False
pr,rotation,1288,none,False
pr,starter,3372,none,False
pra,bench,448,none,False
pra,core,3793,none,False
pra,fringe,55,none,False
pra,inactive_risk,91,none,False
pra,rotation,1295,none,False
pts,bench,1472,none,False
pts,core,4922,market_residual,True
pts,inactive_risk,143,none,False
pts,rotation,2319,none,False
ra,bench,103,none,False
ra,core,1817,none,False
ra,fringe,29,none,False
ra,inactive_risk,46,none,False
ra,rotation,623,none,False
ra,starter,2175,none,False
reb,bench,793,none,False
reb,core,3154,market_residual,True
reb,fringe,69,none,False
reb,inactive_risk,70,none,False
reb,rotation,1483,market_residual,True
reb,starter,2828,platt,True
stl,bench,63,none,False
stl,core,757,none,False
stl,inactive_risk,18,none,False
stl,rotation,294,none,False
stl,starter,783,none,False
stocks,bench,17,none,False
stocks,core,391,none,False
stocks,rotation,87,none,False
stocks,starter,413,none,False
tov,starter,31,none,False
