date,step,rc,tail,quota_lines
2026-04-27,build_backtest_delivery_range,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 102, ""reb"": 102, ""ast"": 102, ""tov"": 102, ""stl"": 102, ""blk"": 102, ""stocks"": 102, ""pa"": 102, ""pr"": 102, ""ra"": 102, ""pra"": 102, ""fg3m"": 99}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
BACKTEST_DELIVERY_RANGE_PASS wrote artifacts/model_diagnostics/backtest_delivery_range_2026-04-27_2026-04-27.json failures=0
",
2026-04-27,verify_stat_grid_mission_stats_contract,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 102, ""reb"": 102, ""ast"": 102, ""tov"": 102, ""stl"": 102, ""blk"": 102, ""stocks"": 102, ""pa"": 102, ""pr"": 102, ""ra"": 102, ""pra"": 102, ""fg3m"": 99}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-04-27,verify_canonical_model_only_rectangularity,0,"CANONICAL_MODEL_ONLY_RECTANGULARITY_PASS
  rows=1188 per_stat=99 stats=['ast', 'blk', 'fg3m', 'pa', 'pr', 'pra', 'pts', 'ra', 'reb', 'stl', 'stocks', 'tov']
",
2026-04-27,build_event_market_loss_rows,0,"M8_6Q_EVENT_MARKET_LOSS_ROWS_BUILD_PASS
  rows=18977 matched=6592 scored_all_fields=6592
  wrote: artifacts/model_diagnostics/event_market_loss_rows_2026-04-27.parquet
  pmf_col_single=pmf pmf_col_combo=pmf
  sign_convention=model_minus_market_negative_better
",
2026-04-28,build_backtest_delivery_range,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 106, ""reb"": 106, ""ast"": 106, ""tov"": 106, ""stl"": 106, ""blk"": 106, ""stocks"": 106, ""pa"": 106, ""pr"": 106, ""ra"": 106, ""pra"": 106, ""fg3m"": 105}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
BACKTEST_DELIVERY_RANGE_PASS wrote artifacts/model_diagnostics/backtest_delivery_range_2026-04-28_2026-04-28.json failures=0
",
2026-04-28,verify_stat_grid_mission_stats_contract,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 106, ""reb"": 106, ""ast"": 106, ""tov"": 106, ""stl"": 106, ""blk"": 106, ""stocks"": 106, ""pa"": 106, ""pr"": 106, ""ra"": 106, ""pra"": 106, ""fg3m"": 105}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-04-28,verify_canonical_model_only_rectangularity,0,"CANONICAL_MODEL_ONLY_RECTANGULARITY_PASS
  rows=1260 per_stat=105 stats=['ast', 'blk', 'fg3m', 'pa', 'pr', 'pra', 'pts', 'ra', 'reb', 'stl', 'stocks', 'tov']
",
2026-04-28,build_event_market_loss_rows,0,"M8_6Q_EVENT_MARKET_LOSS_ROWS_BUILD_PASS
  rows=15319 matched=6944 scored_all_fields=6944
  wrote: artifacts/model_diagnostics/event_market_loss_rows_2026-04-28.parquet
  pmf_col_single=pmf pmf_col_combo=pmf
  sign_convention=model_minus_market_negative_better
",
2026-04-29,build_backtest_delivery_range,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 101, ""reb"": 101, ""ast"": 101, ""fg3m"": 101, ""tov"": 101, ""stl"": 101, ""blk"": 101, ""stocks"": 101, ""pa"": 101, ""pr"": 101, ""ra"": 101, ""pra"": 101}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
BACKTEST_DELIVERY_RANGE_PASS wrote artifacts/model_diagnostics/backtest_delivery_range_2026-04-29_2026-04-29.json failures=0
",
2026-04-29,verify_stat_grid_mission_stats_contract,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 101, ""reb"": 101, ""ast"": 101, ""fg3m"": 101, ""tov"": 101, ""stl"": 101, ""blk"": 101, ""stocks"": 101, ""pa"": 101, ""pr"": 101, ""ra"": 101, ""pra"": 101}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
