stat,role_bucket,n_rows,n_dates,market_logloss,model_logloss,delta_logloss,bootstrap_upper_logloss_delta,market_brier,model_brier,delta_brier,bootstrap_upper_brier_delta,calibration_pass,model_better_calibrated,dominant_failure_mode,worst_20_rows_path,recommended_repair_family
stl,core,757,14,0.6660161073108269,12.50858309664589,11.842566989335062,12.682961562134588,0.2365837383212071,0.4851923159124313,0.24860857759122418,0.2785017286715189,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/stl__core__worst20.csv,D_sparse_p0_tail_repair
blk,core,772,14,0.66825530621502,12.448774351881012,11.780519045665992,12.62253518225726,0.2374855391916781,0.4696726134390432,0.2321870742473651,0.257456626140127,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/blk__core__worst20.csv,D_sparse_p0_tail_repair
stl,rotation,294,14,0.6882365667190561,12.057261904531588,11.369025337812532,12.662756384395394,0.2474217830827302,0.4769337048924819,0.2295119218097517,0.2732848441034093,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/stl__rotation__worst20.csv,D_sparse_p0_tail_repair
stocks,core,391,13,0.6875168634222228,12.034788097272662,11.347271233850439,12.414030430318146,0.2471899986770556,0.4639055409406827,0.2167155422636271,0.2539094944586433,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/stocks__core__worst20.csv,D_sparse_p0_tail_repair
stocks,starter,413,14,0.6897037899860966,10.760970187776694,10.071266397790598,11.208552686271556,0.2483037142570346,0.4281668889285762,0.1798631746715416,0.2180557522772649,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/stocks__starter__worst20.csv,D_sparse_p0_tail_repair
blk,starter,730,14,0.6390014952177081,9.165128195178552,8.526126699960844,9.285768144021604,0.2244944754705247,0.3701404668499397,0.14564599137941497,0.1709794925068303,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/blk__starter__worst20.csv,D_sparse_p0_tail_repair
stl,starter,783,14,0.6676254794779872,9.114802540116225,8.447177060638237,9.224535327677232,0.2373866421402979,0.367144936594411,0.1297582944541131,0.155065472701594,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/stl__starter__worst20.csv,D_sparse_p0_tail_repair
blk,rotation,220,14,0.6133219944441208,7.447715892459222,6.834393898015101,8.195098138089683,0.2129637267534198,0.3258155905568636,0.11285186380344381,0.1558171043613817,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/blk__rotation__worst20.csv,D_sparse_p0_tail_repair
pts,inactive_risk,143,4,0.7038506756070041,1.2176763475075496,0.5138256719005455,0.6187016572029661,0.2540236118203488,0.4457233706293707,0.19169975880902185,0.2338770098189394,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pts__inactive_risk__worst20.csv,F_market_residual_stacker
ra,bench,103,9,0.6872773336351746,0.914125459703364,0.22684812606818938,0.3184857311877054,0.245653584895832,0.3402642081796118,0.09461062328377978,0.1319907395013331,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/ra__bench__worst20.csv,F_market_residual_stacker
fg3m,bench,495,15,0.6475961143245819,0.7397669328987023,0.09217081857412046,0.2459418188890274,0.2282685091280001,0.2281286517068126,-0.00013985742118749478,0.0123718834368157,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/fg3m__bench__worst20.csv,F_market_residual_stacker
pra,core,3793,14,0.6533444572373978,0.7354680281881854,0.0821235709507876,0.0934510676620218,0.231093232045009,0.266077822712233,0.03498459066722401,0.0392921106419658,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pra__core__worst20.csv,F_market_residual_stacker
ast,bench,177,11,0.6621068846722294,0.7409986193426087,0.07889173467037924,0.1405871563412379,0.234552155211226,0.2699662868801004,0.03541413166887439,0.0627572356974959,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/ast__bench__worst20.csv,F_market_residual_stacker
pr,core,3259,14,0.6409248994091177,0.7143927235329872,0.07346782412386954,0.0848964812095708,0.2253308009079176,0.2566018918610003,0.0312710909530827,0.035983826391226,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pr__core__worst20.csv,F_market_residual_stacker
reb,bench,793,14,0.6707457812651904,0.7399642024241304,0.06921842115894006,0.0870419838678987,0.2390302101053809,0.2695758125262715,0.030545602420890605,0.0385585821737448,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/reb__bench__worst20.csv,F_market_residual_stacker
ast,rotation,776,16,0.6513539722823196,0.7201502145626598,0.0687962422803402,0.0891642918075278,0.2298740043791583,0.2616939034936998,0.0318198991145415,0.0413554319920208,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/ast__rotation__worst20.csv,F_market_residual_stacker
pts,core,4922,16,0.6560838099622692,0.7237672440617797,0.0676834340995105,0.0758071366369302,0.2322936296923405,0.261730857149307,0.029437227456966503,0.0332300508531263,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pts__core__worst20.csv,F_market_residual_stacker
