date,game_id,event_id,snapshot_type,snapshot_time_utc,home_team,away_team,bookmaker_key,player_id,player_name,stat,line,side,role_bucket,pmf_kind,pmf_col_used,is_alternate,model_pmf_raw,model_pmf,model_mean,model_variance,pmf_mean_raw,pmf_mean_repaired,pmf_mean_shift_delta_or_gamma,pmf_mean_shift_repair_applied,pmf_mean_shift_repair_scope,pmf_mean_shift_repair_method,pmf_mean_shift_repair_version,pmf_mean_shift_row_rollback_reason,model_prob_over_raw,model_prob_over_after_pmf_mean_shift,model_prob_over_calibrated,model_prob_over_active,probability_scale_repair_scope,probability_scale_repair_method,probability_scale_repair_version,model_prob_over,model_prob_under,model_probability_for_side,market_prob_over_no_vig,market_prob_under_no_vig,market_probability_for_side,over_odds_american,under_odds_american,actual,hit_result,closing_line_result,settled,model_event_logloss,market_event_logloss,event_logloss_delta,model_brier,market_brier,brier_delta,model_nll,model_rps,walk_forward_only,same_sample_predictions_used,join_status,join_blockers,scoring_blocker,model_prob_over_pre_event_calibration,event_calibration_applied,event_calibration_version,event_calibration_stage,event_calibration_source,event_calibration_segment,market_pmf_used,market_prob_used_as_training_label,m8_6q_schema_version,m8_6q_delta_sign_convention,injury_status_current,official_lineup_status,expected_lineup_status,projected_minutes,minutes_q10,minutes_q50,minutes_q90,p_inactive,p_starter,usage_projection,opponent_def_rating_recent,expected_steal_opportunities,cov_pts_reb_player,cov_pts_ast_player,cov_reb_ast_player,combo_covariance_sample_size,odds_snapshot_family,odds_snapshot_path,odds_snapshot_type,odds_snapshot_substr_used,odds_snapshot_rank,odds_snapshot_is_historical,odds_snapshot_lock_offset_minutes
2026-05-01,21681995.0,d1938a9c13602a661e894f996f2680e8,historical_lock_minus_5m,2026-05-01T23:35:00Z,Toronto Raptors,Cleveland Cavaliers,espnbet,1028243201.0,Jamison Battle,fg3m,0.5,OVER,bench,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.66,0.33999999999999997,0.66,-240.0,175.0,1.0,1.0,,True,27.631021115928547,0.4155154439616658,27.21550567196688,1.0,0.11559999999999998,0.8844000000000001,,1.0,True,False,matched,,,0.0,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,2.0630110579049754,10.595471690432646,27.224500840210553,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-01/odds_pairs_hist_lockday_2026-05-01.parquet,hist_lockday,auto,1,True,5.0
2026-05-01,21681995.0,d1938a9c13602a661e894f996f2680e8,historical_lock_minus_5m,2026-05-01T23:35:00Z,Toronto Raptors,Cleveland Cavaliers,fliff,1028243201.0,Jamison Battle,fg3m,0.5,OVER,bench,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.6338028169014084,0.3661971830985915,0.6338028169014084,-225.0,150.0,1.0,1.0,,True,27.631021115928547,0.4560173872709958,27.17500372865755,1.0,0.13410037690934343,0.8658996230906566,,1.0,True,False,matched,,,0.0,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,2.0630110579049754,10.595471690432646,27.224500840210553,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-01/odds_pairs_hist_lockday_2026-05-01.parquet,hist_lockday,auto,1,True,5.0
2026-05-11,18447178.0,0db68bfa022e22873f48b8539addd5ae,historical_lock_minus_5m,2026-05-12T02:35:00Z,Los Angeles Lakers,Oklahoma City Thunder,espnbet,3547272.0,Isaiah Joe,fg3m,0.5,OVER,bench,oof_single,pmf,False,"{""0"": 0.04712450832540359, ""1"": 0.18771393166558442, ""2"": 0.3115551528060241, ""3"": 0.27578592561198784, ""4"": 0.13731936479099402, ""5"": 0.03646617407760844, ""6"": 0.004034942722397602}","{""0"": 0.04712450832540359, ""1"": 0.18771393166558442, ""2"": 0.3115551528060241, ""3"": 0.27578592561198784, ""4"": 0.13731936479099402, ""5"": 0.03646617407760844, ""6"": 0.004034942722397602}",2.3939999999999997,1.4387940000000001,2.3939999999999997,2.3939999999999997,,False,,,,,0.9528754916745964,0.9528754916745964,,0.9528754916745964,,,,0.9528754916745964,0.0471245083254036,0.9528754916745964,0.752212389380531,0.24778761061946902,0.752212389380531,-425.0,275.0,0.0,0.0,,True,3.054962066681577,1.3951833085371368,1.65977875814444,0.9079717026341039,0.5658234787375677,0.3421482238965362,3.054962066681577,1.7324794331032076,True,False,matched,,,0.9528754916745964,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,8.937796266588002,15.917725317985976,28.00544061040572,0.0,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-11/odds_pairs_hist_lockday_2026-05-11.parquet,hist_lockday,auto,1,True,5.0
2026-05-07,21708301.0,a306b74e13d87d2f8d64b1e01c2cf958,close_or_lock,2026-05-07T20:13:23Z,Oklahoma City Thunder,Los Angeles Lakers,espnbet,3547272.0,Isaiah Joe,fg3m,0.5,OVER,bench,oof_single,pmf,False,"{""0"": 0.06563275667904367, ""1"": 0.23643169742553863, ""2"": 0.34382640627340866, ""3"": 0.2500015838361054, ""4"": 0.09089004041019036, ""5"": 0.013217515375713342}","{""0"": 0.06563275667904367, ""1"": 0.23643169742553863, ""2"": 0.34382640627340866, ""3"": 0.2500015838361054, ""4"": 0.09089004041019036, ""5"": 0.013217515375713342}",2.103737,1.2207207428310003,2.103737,2.103737,,False,,,,,0.9343672433209563,0.9343672433209563,,0.9343672433209563,,,,0.9343672433209563,0.06563275667904367,0.9343672433209563,0.7676767676767676,0.2323232323232323,0.7676767676767676,-475.0,300.0,0.0,0.0,,True,2.7236803680410673,1.4596256342054401,1.2640547338356272,0.8730421453912032,0.5893276196306498,0.28371452576055334,2.7236803680410673,1.4965625402637999,True,False,matched,,,0.9343672433209563,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,4.130503614986974,14.196449208004449,25.323768122372606,0.050000000000000044,,,,,,,,,close_or_lock,data/odds_api/processed/2026-05-07/odds_pairs_live_slate_close_or_lock_2026-05-07T201323Z.parquet,close_or_lock,auto,0,False,
2026-04-27,21684902.0,b3eb8f644d05290981f8805f5410f24a,historical_lock_minus_5m,2026-04-28T01:35:00Z,Phoenix Suns,Oklahoma City Thunder,espnbet,89.0,Alex Caruso,fg3m,2.5,OVER,bench,oof_single,pmf,False,"{""0"": 0.26460928799999994, ""1"": 0.4426641360000001, ""2"": 0.246843864, ""3"": 0.045882712}","{""0"": 0.26460928799999994, ""1"": 0.4426641360000001, ""2"": 0.246843864, ""3"": 0.045882712}",1.074,0.689508,1.074,1.074,,False,,,,,0.045882712,0.045882712,,0.045882712,,,,0.045882712,0.954117288,0.045882712,0.16058394160583941,0.8394160583941606,0.16058394160583941,475.0,-1000.0,4.0,1.0,,True,3.0816668777443104,1.828938472469809,1.2527284052745014,0.9103397992604748,0.7046193190899888,0.20572048017048605,,2.480593570853026,True,False,matched,,,0.045882712,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,7.479129196867847,15.745001501660127,26.18685600673698,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-27/odds_pairs_hist_lockday_2026-04-27.parquet,hist_lockday,auto,1,True,5.0
2026-05-01,21681996.0,c361a0b8c035a055bd9497b52674e3fb,historical_lock_minus_5m,2026-05-02T01:35:00Z,Houston Rockets,Los Angeles Lakers,fliff,158.0,Dorian Finney-Smith,fg3m,0.5,OVER,bench,oof_single,pmf,False,"{""0"": 0.18294097665600004, ""1"": 0.387141149376, ""2"": 0.307226691936, ""3"": 0.10835926137600004, ""4"": 0.014331920655999997}","{""0"": 0.18294097665600004, ""1"": 0.387141149376, ""2"": 0.307226691936, ""3"": 0.10835926137600004, ""4"": 0.014331920655999997}",1.3840000000000001,0.905136,1.3840000000000001,1.3840000000000001,,False,,,,,0.817059023344,0.817059023344,,0.817059023344,,,,0.817059023344,0.18294097665599995,0.817059023344,0.46753246753246747,0.5324675324675324,0.46753246753246747,-105.0,-140.0,0.0,0.0,,True,1.6985917100997536,0.630233355149376,1.0683583549503777,0.6675854476278512,0.21858660819699774,0.4489988394308535,1.6985917100997532,0.8676733560831154,True,False,matched,,,0.817059023344,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,3.82217788404816,14.16149844770236,26.337940468773866,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-01/odds_pairs_hist_lockday_2026-05-01.parquet,hist_lockday,auto,1,True,5.0
2026-05-01,21681996.0,c361a0b8c035a055bd9497b52674e3fb,historical_lock_minus_5m,2026-05-02T01:35:00Z,Houston Rockets,Los Angeles Lakers,hardrockbet_az,158.0,Dorian Finney-Smith,fg3m,0.5,OVER,bench,oof_single,pmf,False,"{""0"": 0.18294097665600004, ""1"": 0.387141149376, ""2"": 0.307226691936, ""3"": 0.10835926137600004, ""4"": 0.014331920655999997}","{""0"": 0.18294097665600004, ""1"": 0.387141149376, ""2"": 0.307226691936, ""3"": 0.10835926137600004, ""4"": 0.014331920655999997}",1.3840000000000001,0.905136,1.3840000000000001,1.3840000000000001,,False,,,,,0.817059023344,0.817059023344,,0.817059023344,,,,0.817059023344,0.18294097665599995,0.817059023344,0.4693877551020409,0.5306122448979592,0.4693877551020409,100.0,-130.0,0.0,0.0,,True,1.6985917100997536,0.6337237600891447,1.0648679500106089,0.6675854476278512,0.22032486463973353,0.44726058298811766,1.6985917100997532,0.8676733560831154,True,False,matched,,,0.817059023344,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,3.82217788404816,14.16149844770236,26.337940468773866,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-01/odds_pairs_hist_lockday_2026-05-01.parquet,hist_lockday,auto,1,True,5.0
2026-05-01,21681996.0,c361a0b8c035a055bd9497b52674e3fb,historical_lock_minus_5m,2026-05-02T01:35:00Z,Houston Rockets,Los Angeles Lakers,hardrockbet,158.0,Dorian Finney-Smith,fg3m,0.5,OVER,bench,oof_single,pmf,False,"{""0"": 0.18294097665600004, ""1"": 0.387141149376, ""2"": 0.307226691936, ""3"": 0.10835926137600004, ""4"": 0.014331920655999997}","{""0"": 0.18294097665600004, ""1"": 0.387141149376, ""2"": 0.307226691936, ""3"": 0.10835926137600004, ""4"": 0.014331920655999997}",1.3840000000000001,0.905136,1.3840000000000001,1.3840000000000001,,False,,,,,0.817059023344,0.817059023344,,0.817059023344,,,,0.817059023344,0.18294097665599995,0.817059023344,0.4693877551020409,0.5306122448979592,0.4693877551020409,100.0,-130.0,0.0,0.0,,True,1.6985917100997536,0.6337237600891447,1.0648679500106089,0.6675854476278512,0.22032486463973353,0.44726058298811766,1.6985917100997532,0.8676733560831154,True,False,matched,,,0.817059023344,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,3.82217788404816,14.16149844770236,26.337940468773866,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-01/odds_pairs_hist_lockday_2026-05-01.parquet,hist_lockday,auto,1,True,5.0
2026-04-27,21684800.0,846b0e9b691b5a291619fa22f96c7dfa,historical_lock_minus_5m,2026-04-28T00:05:00Z,Orlando Magic,Detroit Pistons,betonlineag,221.0,Kevin Huerter,fg3m,0.5,OVER,bench,oof_single,pmf,False,"{""0"": 0.1677721600000001, ""1"": 0.37748736, ""2"": 0.3185049599999999, ""3"": 0.11943935999999994, ""4"": 0.016796159999999997}","{""0"": 0.1677721600000001, ""1"": 0.37748736, ""2"": 0.3185049599999999, ""3"": 0.11943935999999994, ""4"": 0.016796159999999997}",1.4399999999999997,0.9216,1.4399999999999997,1.4399999999999997,,False,,,,,0.8322278399999998,0.8322278399999998,,0.8322278399999998,,,,0.8322278399999998,0.16777216000000017,0.8322278399999998,0.56575682382134,0.4342431761786601,0.56575682382134,-152.0,116.0,0.0,0.0,,True,1.785148410513677,0.834150588023169,0.950997822490508,0.6926031776710653,0.3200807837004107,0.37252239397065456,1.7851484105136775,0.9182343097221118,True,False,matched,,,0.8322278399999998,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,5.95446054623217,14.884089822918753,25.252057823487995,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-27/odds_pairs_hist_lockday_2026-04-27.parquet,hist_lockday,auto,1,True,5.0
2026-04-27,21684800.0,846b0e9b691b5a291619fa22f96c7dfa,historical_lock_minus_5m,2026-04-28T00:05:00Z,Orlando Magic,Detroit Pistons,fliff,221.0,Kevin Huerter,fg3m,0.5,OVER,bench,oof_single,pmf,False,"{""0"": 0.1677721600000001, ""1"": 0.37748736, ""2"": 0.3185049599999999, ""3"": 0.11943935999999994, ""4"": 0.016796159999999997}","{""0"": 0.1677721600000001, ""1"": 0.37748736, ""2"": 0.3185049599999999, ""3"": 0.11943935999999994, ""4"": 0.016796159999999997}",1.4399999999999997,0.9216,1.4399999999999997,1.4399999999999997,,False,,,,,0.8322278399999998,0.8322278399999998,,0.8322278399999998,,,,0.8322278399999998,0.16777216000000017,0.8322278399999998,0.572408229124647,0.42759177087535294,0.572408229124647,-165.0,115.0,0.0,0.0,,True,1.785148410513677,0.8495863449290775,0.9355620655845995,0.6926031776710653,0.3276511807696143,0.36495199690145097,1.7851484105136775,0.9182343097221118,True,False,matched,,,0.8322278399999998,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,5.95446054623217,14.884089822918753,25.252057823487995,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-27/odds_pairs_hist_lockday_2026-04-27.parquet,hist_lockday,auto,1,True,5.0
