date,game_id,event_id,snapshot_type,snapshot_time_utc,home_team,away_team,bookmaker_key,player_id,player_name,stat,line,side,role_bucket,pmf_kind,pmf_col_used,is_alternate,model_pmf_raw,model_pmf,model_mean,model_variance,pmf_mean_raw,pmf_mean_repaired,pmf_mean_shift_delta_or_gamma,pmf_mean_shift_repair_applied,pmf_mean_shift_repair_scope,pmf_mean_shift_repair_method,pmf_mean_shift_repair_version,pmf_mean_shift_row_rollback_reason,model_prob_over_raw,model_prob_over_after_pmf_mean_shift,model_prob_over_calibrated,model_prob_over_active,probability_scale_repair_scope,probability_scale_repair_method,probability_scale_repair_version,model_prob_over,model_prob_under,model_probability_for_side,market_prob_over_no_vig,market_prob_under_no_vig,market_probability_for_side,over_odds_american,under_odds_american,actual,hit_result,closing_line_result,settled,model_event_logloss,market_event_logloss,event_logloss_delta,model_brier,market_brier,brier_delta,model_nll,model_rps,walk_forward_only,same_sample_predictions_used,join_status,join_blockers,scoring_blocker,model_prob_over_pre_event_calibration,event_calibration_applied,event_calibration_version,event_calibration_stage,event_calibration_source,event_calibration_segment,market_pmf_used,market_prob_used_as_training_label,m8_6q_schema_version,m8_6q_delta_sign_convention,injury_status_current,official_lineup_status,expected_lineup_status,projected_minutes,minutes_q10,minutes_q50,minutes_q90,p_inactive,p_starter,usage_projection,opponent_def_rating_recent,expected_steal_opportunities,cov_pts_reb_player,cov_pts_ast_player,cov_reb_ast_player,combo_covariance_sample_size,odds_snapshot_family,odds_snapshot_path,odds_snapshot_type,odds_snapshot_substr_used,odds_snapshot_rank,odds_snapshot_is_historical,odds_snapshot_lock_offset_minutes
2026-05-11,20054973.0,b537062ee0483d20ae932052628b663d,historical_lock_minus_5m,2026-05-11T23:55:00Z,Cleveland Cavaliers,Detroit Pistons,bovada,409.0,Dennis Schroder,pts,5.5,OVER,inactive_risk,oof_single,pmf,False,"{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}","{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}",1.1986666666666668,13.945864888888888,1.1986666666666668,1.1986666666666668,,False,,,,,0.09400000000000003,0.09400000000000003,,0.09400000000000003,,,,0.09400000000000003,0.9059999999999999,0.09400000000000003,0.625,0.375,0.625,-200.0,150.0,7.0,1.0,,True,2.364460496712133,0.4700036292457356,1.8944568674663973,0.8208359999999999,0.140625,0.6802109999999999,4.787491742782046,5.608065333333335,True,False,matched,,,0.09400000000000003,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,2.0816681711721685e-17,2.0816681711721685e-17,17.746347041963794,0.85,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-11/odds_pairs_hist_lockday_2026-05-11.parquet,hist_lockday,auto,1,True,5.0
2026-05-11,20054973.0,b537062ee0483d20ae932052628b663d,historical_lock_minus_5m,2026-05-11T23:55:00Z,Cleveland Cavaliers,Detroit Pistons,betparx,409.0,Dennis Schroder,pts,6.5,OVER,inactive_risk,oof_single,pmf,False,"{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}","{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}",1.1986666666666668,13.945864888888888,1.1986666666666668,1.1986666666666668,,False,,,,,0.08633333333333335,0.08633333333333335,,0.08633333333333335,,,,0.08633333333333335,0.9136666666666666,0.08633333333333335,0.5411245353159851,0.4588754646840148,0.5411245353159851,-137.0,104.0,7.0,1.0,,True,2.449539505950709,0.6141058319572793,1.8354336739934296,0.8347867777777777,0.21056669208897055,0.6242200856888072,4.787491742782046,5.608065333333335,True,False,matched,,,0.08633333333333335,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,2.0816681711721685e-17,2.0816681711721685e-17,17.746347041963794,0.85,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-11/odds_pairs_hist_lockday_2026-05-11.parquet,hist_lockday,auto,1,True,5.0
2026-05-11,20054973.0,b537062ee0483d20ae932052628b663d,historical_lock_minus_5m,2026-05-11T23:55:00Z,Cleveland Cavaliers,Detroit Pistons,espnbet,409.0,Dennis Schroder,pts,5.5,OVER,inactive_risk,oof_single,pmf,False,"{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}","{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}",1.1986666666666668,13.945864888888888,1.1986666666666668,1.1986666666666668,,False,,,,,0.09400000000000003,0.09400000000000003,,0.09400000000000003,,,,0.09400000000000003,0.9059999999999999,0.09400000000000003,0.5834970530451867,0.4165029469548134,0.5834970530451867,-165.0,125.0,7.0,1.0,,True,2.364460496712133,0.5387158777478229,1.82574461896431,0.8208359999999999,0.173474704822044,0.6473612951779559,4.787491742782046,5.608065333333335,True,False,matched,,,0.09400000000000003,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,2.0816681711721685e-17,2.0816681711721685e-17,17.746347041963794,0.85,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-11/odds_pairs_hist_lockday_2026-05-11.parquet,hist_lockday,auto,1,True,5.0
2026-05-11,20054973.0,b537062ee0483d20ae932052628b663d,historical_lock_minus_5m,2026-05-11T23:55:00Z,Cleveland Cavaliers,Detroit Pistons,betmgm,409.0,Dennis Schroder,pts,6.5,OVER,inactive_risk,oof_single,pmf,False,"{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}","{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}",1.1986666666666668,13.945864888888888,1.1986666666666668,1.1986666666666668,,False,,,,,0.08633333333333335,0.08633333333333335,,0.08633333333333335,,,,0.08633333333333335,0.9136666666666666,0.08633333333333335,0.5346534653465347,0.4653465346534653,0.5346534653465347,-135.0,100.0,7.0,1.0,,True,2.449539505950709,0.626136470276985,1.8234030356737239,0.8347867777777777,0.2165473973139888,0.6182393804637889,4.787491742782046,5.608065333333335,True,False,matched,,,0.08633333333333335,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,2.0816681711721685e-17,2.0816681711721685e-17,17.746347041963794,0.85,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-11/odds_pairs_hist_lockday_2026-05-11.parquet,hist_lockday,auto,1,True,5.0
2026-05-11,20054973.0,b537062ee0483d20ae932052628b663d,historical_lock_minus_5m,2026-05-11T23:55:00Z,Cleveland Cavaliers,Detroit Pistons,bovada,409.0,Dennis Schroder,pts,6.5,OVER,inactive_risk,oof_single,pmf,False,"{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}","{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}",1.1986666666666668,13.945864888888888,1.1986666666666668,1.1986666666666668,,False,,,,,0.08633333333333335,0.08633333333333335,,0.08633333333333335,,,,0.08633333333333335,0.9136666666666666,0.08633333333333335,0.5306122448979592,0.4693877551020409,0.5306122448979592,-130.0,100.0,7.0,1.0,,True,2.449539505950709,0.6337237600891445,1.8158157458615645,0.8347867777777777,0.22032486463973341,0.6144619131380442,4.787491742782046,5.608065333333335,True,False,matched,,,0.08633333333333335,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,2.0816681711721685e-17,2.0816681711721685e-17,17.746347041963794,0.85,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-11/odds_pairs_hist_lockday_2026-05-11.parquet,hist_lockday,auto,1,True,5.0
2026-05-11,20054973.0,b537062ee0483d20ae932052628b663d,historical_lock_minus_5m,2026-05-11T23:55:00Z,Cleveland Cavaliers,Detroit Pistons,draftkings,409.0,Dennis Schroder,pts,6.5,OVER,inactive_risk,oof_single,pmf,False,"{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}","{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}",1.1986666666666668,13.945864888888888,1.1986666666666668,1.1986666666666668,,False,,,,,0.08633333333333335,0.08633333333333335,,0.08633333333333335,,,,0.08633333333333335,0.9136666666666666,0.08633333333333335,0.528066528066528,0.47193347193347185,0.528066528066528,-127.0,100.0,7.0,1.0,,True,2.449539505950709,0.6385330030872247,1.8110065028634843,0.8347867777777777,0.22272120193118122,0.6120655758465965,4.787491742782046,5.608065333333335,True,False,matched,,,0.08633333333333335,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,2.0816681711721685e-17,2.0816681711721685e-17,17.746347041963794,0.85,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-11/odds_pairs_hist_lockday_2026-05-11.parquet,hist_lockday,auto,1,True,5.0
2026-05-11,20054973.0,b537062ee0483d20ae932052628b663d,historical_lock_minus_5m,2026-05-11T23:55:00Z,Cleveland Cavaliers,Detroit Pistons,betonlineag,409.0,Dennis Schroder,pts,6.5,OVER,inactive_risk,oof_single,pmf,False,"{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}","{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}",1.1986666666666668,13.945864888888888,1.1986666666666668,1.1986666666666668,,False,,,,,0.08633333333333335,0.08633333333333335,,0.08633333333333335,,,,0.08633333333333335,0.9136666666666666,0.08633333333333335,0.5226570545829042,0.4773429454170958,0.5226570545829042,-125.0,-103.0,7.0,1.0,,True,2.449539505950709,0.6488297573753825,1.8007097485753265,0.8347867777777777,0.22785628753946846,0.6069304902383093,4.787491742782046,5.608065333333335,True,False,matched,,,0.08633333333333335,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,2.0816681711721685e-17,2.0816681711721685e-17,17.746347041963794,0.85,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-11/odds_pairs_hist_lockday_2026-05-11.parquet,hist_lockday,auto,1,True,5.0
2026-05-11,20054973.0,b537062ee0483d20ae932052628b663d,historical_lock_minus_5m,2026-05-11T23:55:00Z,Cleveland Cavaliers,Detroit Pistons,williamhill_us,409.0,Dennis Schroder,pts,6.5,OVER,inactive_risk,oof_single,pmf,False,"{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}","{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}",1.1986666666666668,13.945864888888888,1.1986666666666668,1.1986666666666668,,False,,,,,0.08633333333333335,0.08633333333333335,,0.08633333333333335,,,,0.08633333333333335,0.9136666666666666,0.08633333333333335,0.5206319264324452,0.4793680735675548,0.5206319264324452,-128.0,-107.0,7.0,1.0,,True,2.449539505950709,0.6527119620776048,1.7968275438731043,0.8347867777777777,0.22979374995586868,0.604993027821909,4.787491742782046,5.608065333333335,True,False,matched,,,0.08633333333333335,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,2.0816681711721685e-17,2.0816681711721685e-17,17.746347041963794,0.85,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-11/odds_pairs_hist_lockday_2026-05-11.parquet,hist_lockday,auto,1,True,5.0
2026-05-11,20054973.0,b537062ee0483d20ae932052628b663d,historical_lock_minus_5m,2026-05-11T23:55:00Z,Cleveland Cavaliers,Detroit Pistons,hardrockbet_fl,409.0,Dennis Schroder,pts,6.5,OVER,inactive_risk,oof_single,pmf,False,"{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}","{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}",1.1986666666666668,13.945864888888888,1.1986666666666668,1.1986666666666668,,False,,,,,0.08633333333333335,0.08633333333333335,,0.08633333333333335,,,,0.08633333333333335,0.9136666666666666,0.08633333333333335,0.5203045685279188,0.4796954314720812,0.5203045685279188,-125.0,-105.0,7.0,1.0,,True,2.449539505950709,0.6533409301595255,1.7961985757911836,0.8347867777777777,0.23010770697518612,0.6046790708025915,4.787491742782046,5.608065333333335,True,False,matched,,,0.08633333333333335,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,2.0816681711721685e-17,2.0816681711721685e-17,17.746347041963794,0.85,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-11/odds_pairs_hist_lockday_2026-05-11.parquet,hist_lockday,auto,1,True,5.0
2026-05-11,20054973.0,b537062ee0483d20ae932052628b663d,historical_lock_minus_5m,2026-05-11T23:55:00Z,Cleveland Cavaliers,Detroit Pistons,hardrockbet,409.0,Dennis Schroder,pts,6.5,OVER,inactive_risk,oof_single,pmf,False,"{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}","{""0"": 0.877, ""1"": 0.003, ""2"": 0.006, ""3"": 0.006333333333333333, ""4"": 0.005666666666666667, ""5"": 0.008, ""6"": 0.007666666666666666, ""7"": 0.008333333333333333, ""8"": 0.009333333333333334, ""9"": 0.009666666666666667, ""10"": 0.008333333333333333, ""11"": 0.01, ""12"": 0.008333333333333333, ""13"": 0.006333333333333333, ""14"": 0.008, ""15"": 0.0026666666666666666, ""16"": 0.0013333333333333333, ""17"": 0.004, ""18"": 0.0016666666666666668, ""19"": 0.0016666666666666668, ""20"": 0.0016666666666666668, ""21"": 0.0006666666666666666, ""22"": 0.0006666666666666666, ""23"": 0.002, ""25"": 0.0003333333333333333, ""27"": 0.0003333333333333333, ""29"": 0.0003333333333333333, ""32"": 0.0003333333333333333, ""35"": 0.0003333333333333333}",1.1986666666666668,13.945864888888888,1.1986666666666668,1.1986666666666668,,False,,,,,0.08633333333333335,0.08633333333333335,,0.08633333333333335,,,,0.08633333333333335,0.9136666666666666,0.08633333333333335,0.5203045685279188,0.4796954314720812,0.5203045685279188,-125.0,-105.0,7.0,1.0,,True,2.449539505950709,0.6533409301595255,1.7961985757911836,0.8347867777777777,0.23010770697518612,0.6046790708025915,4.787491742782046,5.608065333333335,True,False,matched,,,0.08633333333333335,False,,,,,False,False,v2,model_minus_market_negative_better,,,,,2.0816681711721685e-17,2.0816681711721685e-17,17.746347041963794,0.85,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-11/odds_pairs_hist_lockday_2026-05-11.parquet,hist_lockday,auto,1,True,5.0
