stat,role_bucket,bin,n,mean_model_prob,mean_market_prob,actual_rate
pts,core,"(0.999, 44.0]",44,0.15583333333333335,0.32556683141449,0.13636363636363635
pts,core,"(44.0, 87.0]",43,0.2544341085271318,0.42415897332202673,0.46511627906976744
pts,core,"(87.0, 130.0]",43,0.3024883720930233,0.4544415359603461,0.5348837209302325
pts,core,"(130.0, 173.0]",43,0.3502325581395351,0.4593010908362524,0.4186046511627907
pts,core,"(173.0, 216.0]",43,0.3840775193798451,0.4842569033765764,0.32558139534883723
pts,core,"(216.0, 259.0]",43,0.4103488372093025,0.51309328129327,0.3953488372093023
pts,core,"(259.0, 302.0]",43,0.4379844961240311,0.5291818367138063,0.4883720930232558
pts,core,"(302.0, 345.0]",43,0.47351937984496134,0.544807635183919,0.4418604651162791
pts,core,"(345.0, 388.0]",43,0.5623953488372093,0.6195632666495251,0.3488372093023256
pts,core,"(388.0, 431.0]",43,0.6992868217054264,0.6357675309655366,0.32558139534883723
pts,starter,"(0.999, 35.7]",35,0.15664761904761906,0.3051606264475503,0.22857142857142856
pts,starter,"(35.7, 70.4]",35,0.23829523809523814,0.45535072374361,0.5428571428571428
pts,starter,"(70.4, 105.1]",35,0.28834285714285723,0.4499676650286441,0.6
pts,starter,"(105.1, 139.8]",34,0.33336274509803937,0.49273906299099285,0.6176470588235294
pts,starter,"(139.8, 174.5]",35,0.36763809523809526,0.5113274795908912,0.42857142857142855
pts,starter,"(174.5, 209.2]",35,0.4046761904761906,0.5128026313079179,0.6
pts,starter,"(209.2, 243.9]",34,0.44030392156862747,0.5141752760962945,0.2647058823529412
pts,starter,"(243.9, 278.6]",35,0.483904761904762,0.5634990530904527,0.6
pts,starter,"(278.6, 313.3]",35,0.5631142857142859,0.6073089694655996,0.6571428571428571
pts,starter,"(313.3, 348.0]",35,0.6910190476190478,0.5977191552033196,0.5428571428571428
reb,core,"(0.999, 28.3]",28,0.17074999999999996,0.3558697377026826,0.32142857142857145
reb,core,"(28.3, 55.6]",27,0.23983950617283953,0.38978862203957293,0.25925925925925924
reb,core,"(55.6, 82.9]",27,0.2789876543209877,0.4341581710425776,0.48148148148148145
reb,core,"(82.9, 110.2]",28,0.3105714285714285,0.4488360901277138,0.14285714285714285
reb,core,"(110.2, 137.5]",27,0.34132098765432106,0.49914606732510947,0.14814814814814814
reb,core,"(137.5, 164.8]",27,0.36512345679012365,0.4480641562633484,0.18518518518518517
reb,core,"(164.8, 192.1]",28,0.40015476190476196,0.5100603275142003,0.42857142857142855
reb,core,"(192.1, 219.4]",27,0.4307654320987653,0.5351645036092703,0.5185185185185185
reb,core,"(219.4, 246.7]",27,0.47367901234567894,0.5901350218261664,0.5925925925925926
reb,core,"(246.7, 274.0]",28,0.629452380952381,0.6532029880499496,0.6428571428571429
reb,rotation,"(0.999, 12.1]",12,0.2206111111111111,0.30156792340601907,0.25
reb,rotation,"(12.1, 23.2]",11,0.30833333333333324,0.4500484791459339,0.6363636363636364
reb,rotation,"(23.2, 34.3]",11,0.3381515151515151,0.49304483365721324,0.36363636363636365
reb,rotation,"(34.3, 45.4]",11,0.35133333333333333,0.49718548905464566,0.6363636363636364
reb,rotation,"(45.4, 56.5]",11,0.37706060606060615,0.518168453412431,1.0
reb,rotation,"(56.5, 67.6]",11,0.3907272727272728,0.4510596308195052,0.7272727272727273
reb,rotation,"(67.6, 78.7]",11,0.43809090909090903,0.47185489795450714,0.45454545454545453
reb,rotation,"(78.7, 89.8]",11,0.4484545454545456,0.5213413088136101,1.0
reb,rotation,"(89.8, 100.9]",11,0.485,0.6112822252495348,0.7272727272727273
reb,rotation,"(100.9, 112.0]",12,0.680861111111111,0.5851634003529903,0.3333333333333333
ast,core,"(0.999, 20.3]",20,0.19838333333333333,0.28276701037461743,0.4
ast,core,"(20.3, 39.6]",19,0.2769122807017544,0.34925980293640374,0.42105263157894735
ast,core,"(39.6, 58.9]",19,0.32245614035087716,0.46770568239156557,0.42105263157894735
ast,core,"(58.9, 78.2]",20,0.3350166666666668,0.520517959546578,0.6
ast,core,"(78.2, 97.5]",19,0.3488771929824563,0.47563393818098776,0.2631578947368421
ast,core,"(97.5, 116.8]",19,0.3600526315789474,0.4309552452108688,0.6842105263157895
ast,core,"(116.8, 136.1]",20,0.3860666666666668,0.4942998269553403,0.15
ast,core,"(136.1, 155.4]",19,0.4337192982456141,0.5725224157795781,0.3157894736842105
ast,core,"(155.4, 174.7]",19,0.47370175438596496,0.595263081108678,0.6842105263157895
ast,core,"(174.7, 194.0]",20,0.5587166666666668,0.6704086689103538,0.45
ast,starter,"(0.999, 20.2]",20,0.1701333333333333,0.30251178849950855,0.05
ast,starter,"(20.2, 39.4]",19,0.25343859649122813,0.427924396548133,0.3157894736842105
ast,starter,"(39.4, 58.6]",19,0.2750175438596492,0.48179262027275993,0.5789473684210527
ast,starter,"(58.6, 77.8]",19,0.28852631578947363,0.4479776057549007,0.6842105263157895
ast,starter,"(77.8, 97.0]",20,0.3231,0.4807914268645992,0.0
ast,starter,"(97.0, 116.2]",19,0.3668070175438598,0.5400471589968362,0.10526315789473684
ast,starter,"(116.2, 135.4]",19,0.4013157894736843,0.5261595388834075,0.2631578947368421
ast,starter,"(135.4, 154.6]",19,0.4491228070175439,0.596994345331404,0.5789473684210527
ast,starter,"(154.6, 173.8]",19,0.4936666666666665,0.5860600422369244,0.2631578947368421
ast,starter,"(173.8, 193.0]",20,0.6052833333333334,0.6123715204611659,0.2
fg3m,core,"(0.999, 18.3]",18,0.10753334741860211,0.2213541945111907,0.16666666666666666
fg3m,core,"(18.3, 35.6]",17,0.2731747928544038,0.4304906872191285,0.11764705882352941
fg3m,core,"(35.6, 52.9]",17,0.33986587570840426,0.40006810506908064,0.4117647058823529
fg3m,core,"(52.9, 70.2]",18,0.383879111013383,0.38679537946175807,0.0
fg3m,core,"(70.2, 87.5]",17,0.4219006880183126,0.4493663214884395,0.23529411764705882
fg3m,core,"(87.5, 104.8]",17,0.47594436432637754,0.46068565716295934,0.5294117647058824
fg3m,core,"(104.8, 122.1]",18,0.5572039996672854,0.532584417299844,0.3333333333333333
fg3m,core,"(122.1, 139.4]",17,0.6419424833708561,0.5272160541754862,0.6470588235294118
fg3m,core,"(139.4, 156.7]",17,0.7097424026605316,0.5460515092274258,0.35294117647058826
fg3m,core,"(156.7, 174.0]",18,0.7955572862457623,0.683985276974374,0.7777777777777778
fg3m,starter,"(0.999, 19.0]",19,0.12096120554834697,0.2384224138524412,0.2631578947368421
fg3m,starter,"(19.0, 37.0]",18,0.3229153246964169,0.39083619327297187,0.4444444444444444
fg3m,starter,"(37.0, 55.0]",18,0.3896974023399411,0.4501167716742326,0.1111111111111111
fg3m,starter,"(55.0, 73.0]",18,0.4206879110290738,0.4598163706143533,0.0
fg3m,starter,"(73.0, 91.0]",18,0.4664015599958959,0.41198514876821146,0.3333333333333333
fg3m,starter,"(91.0, 109.0]",18,0.493264516305996,0.5368408138003439,0.6666666666666666
fg3m,starter,"(109.0, 127.0]",17,0.5578888746180518,0.40247285889199685,0.11764705882352941
fg3m,starter,"(127.0, 145.0]",19,0.5956808554268551,0.49835986847925073,0.7894736842105263
fg3m,starter,"(145.0, 163.0]",18,0.6747861074246875,0.5587851760826467,0.8333333333333334
fg3m,starter,"(163.0, 181.0]",18,0.8054354222425472,0.6763205343142225,0.5
pa,starter,"(0.999, 15.9]",15,0.12393000000000001,0.27513503278519547,0.0
pa,starter,"(15.9, 30.8]",15,0.20413666666666666,0.392846755680001,0.13333333333333333
pa,starter,"(30.8, 45.7]",15,0.24384333333333333,0.42443651015256023,0.6
pa,starter,"(45.7, 60.6]",15,0.2958499999999999,0.4189756771847731,0.4
pa,starter,"(60.6, 75.5]",15,0.34336999999999995,0.4890550625010451,0.5333333333333333
pa,starter,"(75.5, 90.4]",15,0.3755499999999999,0.5355967510432477,0.4666666666666667
pa,starter,"(90.4, 105.3]",15,0.41293999999999986,0.5537907138603406,0.3333333333333333
pa,starter,"(105.3, 120.2]",15,0.4468999999999999,0.5804420299352482,0.26666666666666666
pa,starter,"(120.2, 135.1]",15,0.50188,0.6878271981936409,0.6666666666666666
pa,starter,"(135.1, 150.0]",15,0.6104966666666667,0.7795937189278398,0.6
pr,starter,"(0.999, 18.2]",18,0.12453333333333332,0.2640951332930197,0.05555555555555555
pr,starter,"(18.2, 35.4]",17,0.20479117647058823,0.35508664259573,0.35294117647058826
pr,starter,"(35.4, 52.6]",17,0.24142941176470584,0.4123340255784202,0.35294117647058826
pr,starter,"(52.6, 69.8]",17,0.29157647058823527,0.40968815249942453,0.4117647058823529
pr,starter,"(69.8, 87.0]",18,0.3353194444444445,0.49537239366561636,0.7222222222222222
pr,starter,"(87.0, 104.2]",17,0.38047352941176477,0.5228028955483061,0.4117647058823529
pr,starter,"(104.2, 121.4]",17,0.4211941176470589,0.5573903678227493,0.23529411764705882
pr,starter,"(121.4, 138.6]",17,0.4581705882352942,0.5833966870754008,0.35294117647058826
pr,starter,"(138.6, 155.8]",17,0.51545,0.671087416094679,0.47058823529411764
pr,starter,"(155.8, 173.0]",18,0.6188166666666667,0.7689590901624473,0.5555555555555556
ra,core,"(0.999, 11.5]",11,0.13068636363636366,0.2363811175580035,0.0
ra,core,"(11.5, 22.0]",11,0.20160454545454548,0.3996913060373228,0.0
ra,core,"(22.0, 32.5]",10,0.26138499999999987,0.44903271238159553,0.7
ra,core,"(32.5, 43.0]",11,0.29320909090909086,0.4986237441746702,0.45454545454545453
ra,core,"(43.0, 53.5]",10,0.3273949999999998,0.4881374594138985,0.8
ra,core,"(53.5, 64.0]",11,0.35832727272727266,0.5313541263209638,0.45454545454545453
ra,core,"(64.0, 74.5]",10,0.388185,0.5500479763909216,0.3
ra,core,"(74.5, 85.0]",11,0.4253318181818182,0.5688194735964527,0.36363636363636365
ra,core,"(85.0, 95.5]",10,0.45919499999999996,0.5490803894632446,0.4
ra,core,"(95.5, 106.0]",11,0.5381045454545453,0.7168576580179695,0.45454545454545453
pra,starter,"(0.999, 23.5]",23,0.1338347826086957,0.3046954611614873,0.13043478260869565
pra,starter,"(23.5, 46.0]",23,0.1951130434782609,0.44810523698261556,0.4782608695652174
pra,starter,"(46.0, 68.5]",22,0.2361545454545455,0.39113511934257694,0.2727272727272727
pra,starter,"(68.5, 91.0]",23,0.2889869565217391,0.4381596432185528,0.5217391304347826
pra,starter,"(91.0, 113.5]",22,0.33150909090909075,0.48843957059481313,0.5454545454545454
pra,starter,"(113.5, 136.0]",23,0.3700760869565217,0.5031235818825385,0.30434782608695654
pra,starter,"(136.0, 158.5]",22,0.39905681818181815,0.5371470793387886,0.2727272727272727
pra,starter,"(158.5, 181.0]",23,0.43211086956521727,0.5630034056598011,0.21739130434782608
pra,starter,"(181.0, 203.5]",22,0.4783068181818182,0.6475551931067238,0.4090909090909091
pra,starter,"(203.5, 226.0]",23,0.5844739130434783,0.7726137861375569,0.5217391304347826
