stat,role_bucket,n,model_logloss,market_logloss,delta_logloss,model_brier,market_brier,delta_brier,actual_hit_rate,mean_model_prob,mean_market_prob,model_prob_bias,market_prob_bias,mean_line,line_p25,line_p50,line_p75,line_min,line_max,model_pmf_mean_avg,model_pmf_variance_avg,model_p0_avg,actual_stat_mean,mean_error,minutes_pred_mean,actual_minutes_mean,top_book_share,top_date_share,dominant_row_root_cause,dominant_segment_heuristic
pts,core,431,0.7031025173543446,0.6530972404287879,0.0500052769255567,0.25455568007218354,0.23101395763144875,0.02354172244073476,0.3874709976798144,0.40248646558391343,0.4986114592046211,0.015015467904099068,0.11114046152480674,14.639211136890951,10.5,12.5,17.5,2.5,35.5,12.720614849187934,60.94484471951536,0.0596983758700696,12.953596287703016,-0.23298143851508085,,,0.33178654292343385,0.6751740139211136,unknown,distribution_mismatch_unclassified
pts,starter,348,0.7357701346496419,0.6185294771061101,0.11724065754353168,0.26886752554278415,0.2147572446792203,0.05411028086356383,0.5086206896551724,0.39678735632183915,0.5009909717376358,-0.11183333333333327,-0.0076297179175365765,19.620689655172413,15.5,18.5,24.5,6.5,35.5,16.897241379310344,87.30087090804605,0.04883716475095786,19.586206896551722,-2.6889655172413796,,,0.2959770114942529,0.6408045977011494,unknown,model_prob_too_low_vs_outcome
reb,core,274,0.6553279023544034,0.6331861033089377,0.022141799045465798,0.2294092485806975,0.2221246377147637,0.007284610865933804,0.3722627737226277,0.3642639902676399,0.48652358632084125,-0.00799878345498781,0.11426081259821354,7.145985401459854,4.5,6.5,9.5,1.5,15.5,5.923737226277372,16.75573339416059,0.10530535279805352,6.547445255474453,-0.6237080291970806,,,0.25547445255474455,0.572992700729927,unknown,distribution_mismatch_unclassified
reb,rotation,112,0.7923688787243189,0.6670242491405088,0.12534462958381007,0.29711525099206343,0.23798122868130794,0.05913402231075553,0.6071428571428571,0.40469940476190475,0.4892376284311545,-0.20244345238095235,-0.11790522871170261,3.4375,2.5,3.5,3.5,0.5,9.5,3.3090684523809526,8.214900774801588,0.20022321428571432,4.928571428571429,-1.6195029761904765,,,0.21428571428571427,0.45535714285714285,model_prob_too_low,model_prob_too_low
ast,core,194,0.7046425182789892,0.688782591275385,0.015859927003604217,0.25483443585337917,0.2480631267682752,0.006771309085103988,0.4381443298969072,0.36939347079037804,0.4860584147540791,-0.0687508591065292,0.047914084857171926,3.38659793814433,2.5,3.5,4.5,0.5,9.5,2.9063762886597937,6.843310396907214,0.23065292096219933,3.118556701030928,-0.2121804123711339,,,0.17525773195876287,0.5154639175257731,unknown,distribution_mismatch_unclassified
ast,starter,193,0.6481134732273066,0.6449498061985391,0.00316366702876744,0.22880276971790442,0.22697620231722462,0.0018265674006798414,0.3005181347150259,0.36269602763385145,0.499718410201909,0.062177892918825556,0.19920027548688307,4.6450777202072535,2.5,4.5,6.5,0.5,10.5,3.879899827288429,9.300038508923427,0.17065284974093264,3.5958549222797926,0.2840449050086355,,,0.22279792746113988,0.49740932642487046,unknown,distribution_mismatch_unclassified
fg3m,core,174,0.6249761321671544,0.605343816795416,0.019632315371738335,0.21618196887354282,0.20742672646112215,0.008755242412420695,0.3563218390804598,0.4704530328515612,0.4636832098406427,0.11413119377110141,0.10736137076018298,1.8620689655172413,1.5,1.5,2.5,0.5,4.5,1.805793103448276,1.1389671494252873,0.12092138642289835,1.7011494252873562,0.10464367816091945,,,0.19540229885057472,0.5574712643678161,unknown,distribution_mismatch_unclassified
fg3m,starter,181,0.6610966498009742,0.6251716814217985,0.03592496837917551,0.22871459725567175,0.21732731032557154,0.01138728693010015,0.4088397790055249,0.4829707095008716,0.46168795645829713,0.0741309304953468,0.05284817745277221,2.0248618784530388,1.5,1.5,2.5,0.5,4.5,1.98953591160221,1.2532094254143642,0.09187937544333978,1.839779005524862,0.1497569060773482,,,0.19337016574585636,0.48066298342541436,unknown,distribution_mismatch_unclassified
pa,starter,150,0.6311588679046792,0.5494879934609362,0.08167087444374291,0.22324399785000001,0.18306558075777143,0.04017841709222858,0.4,0.35588966666666666,0.5137699450263892,-0.044110333333333356,0.11376994502638922,24.526666666666667,18.5,22.5,30.5,10.5,42.5,20.172537666666667,122.46668009581673,0.02713666666666666,22.726666666666667,-2.554128999999998,,,0.7333333333333333,1.0,unknown,mean_bias_pmf_vs_actual
pr,starter,173,0.6552417875042776,0.5704815070948722,0.08476028040940557,0.233263160982659,0.19376921978990494,0.03949394119275409,0.3930635838150289,0.35918208092485554,0.5041158629527721,-0.03388150289017341,0.11105227913774317,24.390173410404625,20.5,23.5,28.5,12.5,40.5,20.26817803468208,118.78338895280345,0.021606069364161856,22.6878612716763,-2.419683236994215,,,0.7687861271676301,1.0,unknown,mean_bias_pmf_vs_actual
ra,core,106,0.6432500424796029,0.6283629661376048,0.014887076341998194,0.2301358954716982,0.2191012589063237,0.01103463656537447,0.3867924528301887,0.337561320754717,0.4984149722571303,-0.04923113207547173,0.11162251942694161,11.528301886792454,6.5,12.5,15.5,3.5,21.5,9.327981603773585,31.204086344551882,0.038528301886792446,10.39622641509434,-1.0682448113207552,,,0.5,1.0,unknown,distribution_mismatch_unclassified
pra,starter,226,0.6710996437264648,0.6052782103314728,0.06582143339499202,0.23885056327433632,0.20882976181492577,0.03002080145941057,0.3672566371681416,0.3446738938053097,0.509279729284967,-0.022582743362831875,0.14202309211682548,28.654867256637168,23.75,27.5,33.5,14.5,46.5,23.600010398230094,154.1767009595686,0.011812168141592925,26.221238938053098,-2.6212285398230053,,,0.6194690265486725,1.0,unknown,mean_bias_pmf_vs_actual
