stat,role_bucket,prob_bin,n,mean_model_prob,mean_market_prob,actual_hit_rate,model_logloss,market_logloss,delta_logloss,model_brier,market_brier,delta_brier
pts,core,"(0.114, 0.256]",15,0.1690444444444445,0.477754727460375,0.4666666666666667,0.7950749004243924,0.695075917863065,0.09999898256132746,0.29578907407407395,0.2509449220053611,0.044844152068712985
pts,core,"(0.256, 0.305]",13,0.28502564102564104,0.5003716932978517,0.8461538461538461,1.1252662178004256,0.6601936065361126,0.4650726112643131,0.44946647863247846,0.23358208972290256,0.21588438890957604
pts,core,"(0.305, 0.348]",15,0.3370444444444445,0.47434507042398333,0.3333333333333333,0.6538313079495149,0.6458151068203636,0.008016201129151128,0.2298652962962962,0.22648101496114173,0.0033842813351545467
pts,core,"(0.348, 0.376]",13,0.36105128205128223,0.4597565065657083,0.7692307692307693,0.8876717363319826,0.6908133946979986,0.196858341633984,0.3444261623931621,0.24904711886663156,0.09537904352653062
pts,core,"(0.376, 0.389]",16,0.3865833333333333,0.4837675323431101,0.5,0.7194116813259417,0.6828598924329065,0.03655178889303526,0.2627885555555556,0.2448122299448286,0.017976325610726956
pts,core,"(0.389, 0.423]",17,0.40929411764705903,0.5177965101254806,0.47058823529411764,0.6785057681449993,0.6844936108194336,-0.005987842674434405,0.2429280392156862,0.24564312226895813,-0.002715083053271925
pts,core,"(0.423, 0.427]",9,0.4252222222222224,0.4921278311305526,0.0,0.5537723839160679,0.6785762955235299,-0.12480391160746206,0.18081433333333352,0.24274437123292797,-0.06193003789959447
pts,core,"(0.427, 0.443]",14,0.43071428571428577,0.5188272293901278,1.0,0.8423572234085731,0.6569341732782589,0.18542305013031438,0.32410385714285717,0.2319320583631825,0.09217179877967462
pts,core,"(0.443, 0.672]",19,0.5408947368421053,0.5285363370172536,0.2631578947368421,0.8315135379204122,0.673773494832368,0.15774004308804404,0.3161753157894737,0.24048339584077905,0.07569191994869458
pts,core,"(0.672, 0.84]",9,0.7914814814814815,0.5092401015296208,0.2222222222222222,1.3870546467225076,0.6439080954344478,0.7431465512880597,0.5291262222222222,0.22664495738640852,0.3024812648358136
pts,starter,"(0.558, 0.584]",14,0.5732432495081027,0.47850997859007505,1.0,0.5565516115007869,0.7399294957069201,-0.18337788420613318,0.18219113409658697,0.27324608348951135,-0.09105494939292438
pts,starter,"(0.584, 0.597]",11,0.5887372933065271,0.4705746544367194,0.5454545454545454,0.6950400982479611,0.6581031423785745,0.03693695586938684,0.2508703417654672,0.23259308740153387,0.01827725436393328
pts,starter,"(0.597, 0.603]",17,0.5996800002008422,0.4994640954903299,0.35294117647058826,0.7749272319371743,0.6649238324484495,0.11000339948872465,0.29024659163229,0.23593044718215808,0.05431614445013186
pts,starter,"(0.603, 0.61]",8,0.6088369094201298,0.5090994187974828,0.75,0.6058650986829991,0.7346083170254053,-0.12874321834240623,0.20697629499511358,0.27068578438533314,-0.06370948939021956
pts,starter,"(0.61, 0.62]",13,0.6154618120609181,0.5075681931044989,0.46153846153846156,0.7329756653003952,0.7025225780226046,0.03045308727779037,0.2695302847320492,0.2546401832050754,0.014890101526973787
pts,starter,"(0.62, 0.628]",13,0.6227197217955689,0.4955625773362522,0.6153846153846154,0.6657775793451693,0.7274056509605948,-0.061628071615425606,0.23645519882067728,0.26706122047396785,-0.03060602165329055
pts,starter,"(0.628, 0.646]",11,0.6349060234420901,0.5181780850470583,0.8181818181818182,0.5568199877876386,0.6534054324086025,-0.09658544462096376,0.1832507482331507,0.23022965090605527,-0.04697890267290453
pts,starter,"(0.646, 0.656]",14,0.6531900627605668,0.48508101419291,0.5714285714285714,0.702057472027305,0.6784168902629311,0.023640581764374023,0.25377830787964484,0.24266484537937694,0.01111346250026791
pts,starter,"(0.656, 0.683]",14,0.67581386008166,0.5006755146251324,0.21428571428571427,0.9763765293438065,0.6569451266761854,0.31943140266762127,0.38456668948731537,0.23205056600718232,0.15251612348013316
pts,starter,"(0.683, 0.699]",10,0.6916637365175587,0.5283042901150294,0.8,0.5375631257266728,0.7044724346437153,-0.16690930891704264,0.17485460684271706,0.2555636059112367,-0.08070899906851968
reb,core,"(0.131, 0.222]",12,0.18680555555555553,0.41036124034709337,0.6666666666666666,1.2404952756479217,0.6522465480856475,0.5882487275622748,0.46755510185185195,0.23214945823099495,0.235405643620857
reb,core,"(0.222, 0.268]",12,0.25805555555555554,0.45087437445984246,0.5833333333333334,0.8995635784357855,0.5303520085247665,0.36921156991101894,0.3430560740740742,0.1713516671536125,0.17170440692046166
reb,core,"(0.268, 0.297]",11,0.2777878787878788,0.428155009808815,0.0,0.3255340592837798,0.568569653913647,-0.24303559462986712,0.07726758585858588,0.1898366453354262,-0.11256905947684034
reb,core,"(0.297, 0.33]",16,0.3175416666666667,0.4505031489485548,0.3125,0.6030272396733892,0.6840498748477946,-0.0810226351744053,0.2070023888888889,0.24545829862687885,-0.03845590973798997
reb,core,"(0.33, 0.339]",12,0.33594444444444443,0.48323815442891416,0.0,0.409395909156602,0.6646301029050783,-0.2552341937484764,0.11286435185185185,0.23565379311580872,-0.12278944126395686
reb,core,"(0.339, 0.38]",11,0.3686969696969697,0.4523682348010924,0.09090909090909091,0.5189968900418171,0.5575892102619164,-0.038592320220099306,0.1645299494949495,0.18283116282863576,-0.018301213333686308
reb,core,"(0.38, 0.389]",9,0.38544444444444453,0.4814718777727511,0.5555555555555556,0.7533475935854519,0.8373543003741629,-0.08400670678871104,0.27932025925925935,0.32155764263163633,-0.042237383372377
reb,core,"(0.389, 0.431]",11,0.40184848484848495,0.4925527684237579,0.6363636363636364,0.7674846736448182,0.5836231529858551,0.18386152065896322,0.2865392626262626,0.19959510448688958,0.08694415813937298
reb,core,"(0.431, 0.482]",12,0.45008333333333334,0.5887461898055858,0.5,0.6789558072049867,0.6926434275166437,-0.013687620311656915,0.24299369444444444,0.25026871443410487,-0.007275019989660396
reb,core,"(0.482, 0.82]",11,0.6522121212121212,0.5835070965047646,0.09090909090909091,1.1530133655285695,0.8119237287100731,0.3410896368184963,0.43992514141414146,0.309316862820587,0.13060827859355448
