stat,role_bucket,n,mean_delta_brier,bootstrap_upper95_mean_delta_brier,mean_delta_logloss,bootstrap_upper95_mean_delta_logloss
pts,bench,1472,0.00016323458949525215,0.006087837105824257,0.006180057800499245,0.021279172084314905
pts,core,4922,0.004560082962466151,0.005965846762542844,0.01037652974698691,0.013709783847906519
pts,fringe,110,-0.12138994016919726,-0.0775659640439405,-0.28406785098440707,-0.18321133229319464
pts,inactive_risk,143,0.06858205601181896,0.09093387499891722,0.14187734522922837,0.19163104645766652
pts,rotation,2319,0.0013641222503518564,0.005677864090074026,0.004474248543200772,0.013689617479904409
pts,starter,5214,-0.0024712277242803014,0.0006451768291746778,-0.0029270321517639443,0.004479070291111185
reb,bench,793,0.030545602420890626,0.038558582173744874,0.06921842115894013,0.08704198386789877
reb,core,3154,0.0021773934283161327,0.003838418657860284,0.004555086520076728,0.008920904215493684
reb,rotation,1483,-0.0009454628055606467,-2.8956007106937674e-05,-0.002096794154040946,-0.0002436986368808994
reb,starter,2828,-0.0022300691642930014,0.0009880751278434979,-0.004532182937402729,0.0019381078118900887
ast,bench,177,0.035414131668874325,0.06275723569749592,0.07889173467037937,0.14058715634123792
ast,core,2064,-0.0010793052397947657,-0.00027119162791532125,-0.0021458750669237953,-0.0005702238367406755
ast,rotation,776,0.03181989911454154,0.04135543199202086,0.06879624228034008,0.08916429180752784
ast,starter,2616,-0.006474337631130046,-0.004689100830420265,-0.014187780108366955,-0.010545968355610337
fg3m,bench,495,-0.0209583057720103,-0.013093718547247179,-0.02785216912390121,0.028077940833867953
fg3m,core,2021,0.0003880255249691179,0.0009577482770503175,0.0009876847894936692,0.002445316884955468
fg3m,rotation,999,0.002144290606122133,0.009261192930786089,0.012259444125367908,0.030176405209330393
fg3m,starter,2289,0.00037857387017159916,0.002309933170891751,0.0015256123789544826,0.005848433291955658
stl,core,757,0.07597816585627692,0.09158108108968264,0.17016897469445572,0.2050083845726218
stl,rotation,294,0.06324944471955528,0.08544930885210485,0.14331576508571583,0.19230751737408436
stl,starter,783,0.01834757047033,0.031145714178370094,0.04383394582197991,0.07171633115209226
blk,core,772,0.23145684756546453,0.25640590100958827,6.319467520029734,6.781587108342259
blk,rotation,220,0.09407519630182153,0.13751092085636205,2.120522544196451,2.6031687526523375
blk,starter,730,0.03242807048199102,0.044499756574322855,0.07499662930959035,0.10349465258201085
stocks,core,391,0.21599951829182726,0.25261962724618503,7.274578054613936,7.97910398344287
stocks,starter,413,0.17991524814045756,0.21818251946820102,9.539555970385978,10.61991066671773
pa,bench,153,-0.006594860689104694,0.018079404736473043,-0.01369419370645695,0.04514567815045817
pa,core,2287,0.013956055993669647,0.01816817185488885,0.02984248852179634,0.03927824171693575
pa,rotation,760,0.013738416788502536,0.022608346837624894,0.029687473025689,0.04840722543477464
pa,starter,3113,-0.006293211455054063,-0.00164190469057742,-0.01040228862036541,0.0006833256078040711
pr,bench,604,0.0055656982996061255,0.017204251389916075,0.01957217449539199,0.046148743140937254
pr,core,3259,0.01777084573023825,0.021076986683915947,0.038021468713951054,0.04552386293447509
pr,rotation,1288,0.016483640998462595,0.02269023975785491,0.03719358021071979,0.050507506244038845
pr,starter,3372,-0.002121262783412976,0.0014847208207888515,-0.0005379347248661997,0.008273132190776833
ra,bench,103,0.09461062328377956,0.13199073950133314,0.22684812606818922,0.3184857311877054
ra,core,1817,0.01126001058958452,0.016003557545701323,0.023653545314464983,0.03379583092688195
ra,rotation,623,0.022211258461430475,0.03237695252557117,0.04861302987084502,0.07032183851941058
ra,starter,2175,0.0014728693333066617,0.006669347946854107,0.005084454703950661,0.016711080915806486
pra,bench,448,0.01425224551142538,0.028096356466471305,0.0396314957123755,0.07326157498967333
pra,core,3793,0.01441171705946881,0.016981524061641207,0.030944321118990065,0.037175013989936716
pra,rotation,1295,0.01630690683987649,0.02330459281489754,0.03612086127244718,0.05111678383146404
pra,starter,4551,-0.0033885889534738434,0.0009636970483559292,-0.0011836813276937888,0.00857352415319926
