stat,role_bucket,reason
pts,core,mean_delta_not_negative
pts,core,bootstrap_ci_not_better
pts,starter,mean_delta_not_negative
pts,starter,bootstrap_ci_not_better
reb,core,mean_delta_not_negative
reb,core,bootstrap_ci_not_better
reb,rotation,mean_delta_not_negative
reb,rotation,bootstrap_ci_not_better
reb,starter,bootstrap_ci_not_better
ast,core,mean_delta_not_negative
ast,core,bootstrap_ci_not_better
ast,starter,mean_delta_not_negative
ast,starter,bootstrap_ci_not_better
fg3m,core,mean_delta_not_negative
fg3m,core,bootstrap_ci_not_better
fg3m,starter,mean_delta_not_negative
fg3m,starter,bootstrap_ci_not_better
pa,core,bootstrap_ci_not_better
pa,starter,mean_delta_not_negative
pa,starter,bootstrap_ci_not_better
pr,core,bootstrap_ci_not_better
pr,starter,mean_delta_not_negative
pr,starter,bootstrap_ci_not_better
ra,core,mean_delta_not_negative
ra,core,bootstrap_ci_not_better
pra,core,bootstrap_ci_not_better
pra,starter,mean_delta_not_negative
pra,starter,bootstrap_ci_not_better
