stat,role_bucket,n,raw_model_logloss,repaired_model_logloss,market_logloss,raw_model_brier,repaired_model_brier,market_brier,raw_ece,repaired_ece,raw_calibration_pass,repaired_calibration_pass,raw_market_superiority_pass,repaired_market_superiority_pass,raw_model_better_calibrated,repaired_model_better_calibrated,selected_scope,selected_method,rollback_reason,repaired_calibration_pass,repaired_market_superiority_pass,repaired_model_better_calibrated,claim_status
ast,bench,177,0.7409986193426087,0.7409986193426087,0.6621068846722294,0.26996628688010044,0.26996628688010044,0.23455215521122608,0.1978549905838041,0.1978549905838041,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ast,core,2064,0.7276461253596858,0.7276461253596858,0.6659658507479521,0.26540354139750216,0.26540354139750216,0.23714504415012014,0.1606845930232558,0.1606845930232558,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ast,fringe,35,1.288789265417699,1.288789265417699,0.6363971572140835,0.46654505396825396,0.46654505396825396,0.22465799106578413,0.5800761904761904,0.5800761904761904,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
ast,inactive_risk,77,0.3999034671633481,0.3999034671633481,0.6626194152684175,0.1237114458874459,0.1237114458874459,0.23540636657663253,0.0708658008658009,0.0708658008658009,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
ast,rotation,776,0.7201502145626598,0.7201502145626598,0.6513539722823196,0.26169390349369986,0.26169390349369986,0.22987400437915834,0.13711769759450165,0.13711769759450165,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ast,starter,2616,0.6650010476891094,0.6650010476891094,0.6564157246148198,0.2363532167006456,0.2363532167006456,0.2323488852885035,0.07892482161060142,0.07892482161060142,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
blk,bench,86,10.66952949120945,10.66952949120945,0.5857576223581141,0.41026698498507064,0.41026698498507064,0.19889797294676728,0.4267563845878992,0.4267563845878992,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
blk,core,772,12.448774351881013,6.987722826244753,0.66825530621502,0.4696726134390432,0.4689423867571426,0.2374855391916781,0.4744649453147779,0.47239170969756034,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
blk,fringe,5,16.578612669557526,16.578612669557526,1.143261931231702,0.6,0.6,0.4607465555682638,,,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
blk,inactive_risk,18,0.2179640898779541,0.2179640898779541,0.5632224394598744,0.047850854783932494,0.047850854783932494,0.19134107054071534,0.18785066757607996,0.18785066757607996,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
