segment_key,stat,role_bucket,selected_scope,selected_method,accepted,rollback_reason,n_train,n_val,n_dates,raw_logloss,cal_logloss,delta_logloss,raw_brier,cal_brier,delta_brier,raw_ece,cal_ece,a,b,lambda,isotonic_weight,isotonic_x,isotonic_y,parent_transform
pts|core,pts,core,segment,shrunk_isotonic,True,,4922,4922,16,0.750789091330044,0.6922436365162645,-0.058545454813779485,0.2732492611529166,0.2495463744998041,-0.023702886653112487,,,,,,0.1,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1.0]","[1e-12, 1e-12, 0.15384615384615385, 0.16666666666666666, 0.24074074074074073, 0.32038834951456313, 0.3333333333333333, 0.3409090909090909, 0.40625, 0.48025816249050884, 0.48025816249050884, 0.48025816249050884, 0.48025816249050884, 0.48025816249050884, 0.48025816249050884, 0.5916030534351145, 0.608433734939759, 0.6382978723404256, 0.7361111111111112, 0.7404580152671756, 0.7916666666666666, 0.8225806451612904, 0.8793103448275862, 0.8793103448275862, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888]","{'method': 'logit_ab', 'a': 0.35, 'b': 0.0}"
pts|inactive_risk,pts,inactive_risk,segment,shrink_to_half,True,,143,143,4,1.214140763609494,0.8245234830693844,-0.3896172805401097,0.4282620902777778,0.3116957309027778,-0.11656635937499998,,,,,0.5,,,,
reb|bench,reb,bench,segment,logit_ab,True,,793,793,14,0.6925837339835894,0.6925837339835894,0.0,0.24711201193596313,0.24711201193596313,0.0,0.1342899936265137,0.1342899936265137,1.0,0.0,,,,,
reb|core,reb,core,segment,shrink_to_half,True,,3154,3154,16,0.7198242209333832,0.6887535248680339,-0.03107069606534929,0.26075875441685625,0.24783063585945064,-0.01292811855740561,,,,,0.5,,,,
reb|rotation,reb,rotation,segment,logit_ab,True,,1483,1483,16,0.6810380765333274,0.6810380765333274,0.0,0.24496972398148253,0.24496972398148253,0.0,0.1257291666666666,0.1257291666666666,1.0,0.0,,,,,
ast|bench,ast,bench,segment,logit_ab,True,,177,177,11,0.6429224814057719,0.6429224814057719,0.0,0.23068117841420827,0.23068117841420824,-2.7755575615628914e-17,0.1373785310734463,0.1373785310734463,1.0,0.0,,,,,
ast|core,ast,core,segment,logit_ab,True,,2064,2064,16,0.7351462271059674,0.7351462271059674,0.0,0.26875212360085393,0.26875212360085393,0.0,0.1830015037593985,0.1830015037593985,1.0,0.0,,,,,
ast|rotation,ast,rotation,segment,logit_ab,True,,776,776,16,0.7141006635130505,0.7141006635130505,0.0,0.2585263626841087,0.2585263626841087,0.0,0.12940145502645503,0.12940145502645503,1.0,0.0,,,,,
fg3m|bench,fg3m,bench,segment,logit_ab,True,,495,495,15,0.7663198443046784,0.6016352760098929,-0.1646845682947855,0.23509507726177314,0.19835729726447973,-0.03673777999729341,0.22874419733380136,0.13271528275982755,0.35,-0.25,,,,,
fg3m|core,fg3m,core,segment,shrink_to_half,True,,2021,2021,16,0.7172549148643276,0.6675301826504325,-0.04972473221389506,0.2387878744486912,0.23563502482633267,-0.003152849622358539,,,,,0.9,,,,
fg3m|starter,fg3m,starter,segment,shrunk_isotonic,True,,2289,2289,16,0.6779164066480031,0.6538541488228337,-0.024062257825169464,0.2405744288548742,0.23192950933568268,-0.008644919519191524,,,,,,0.2,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875, 0.5, 0.53125, 0.5625, 0.59375, 0.625, 0.65625, 0.6875, 0.71875, 0.75, 0.78125, 0.8125, 0.84375, 0.875, 0.90625, 0.9375, 0.96875, 1.0]","[1e-12, 0.058823529411764705, 0.15217391304347827, 0.2391304347826087, 0.2391304347826087, 0.2391304347826087, 0.27835051546391754, 0.27835051546391754, 0.391304347826087, 0.391304347826087, 0.44821264894592117, 0.44821264894592117, 0.44821264894592117, 0.44821264894592117, 0.44821264894592117, 0.44821264894592117, 0.44821264894592117, 0.44821264894592117, 0.44821264894592117, 0.44821264894592117, 0.5735294117647058, 0.5735294117647058, 0.6175115207373272, 0.6175115207373272, 0.6175115207373272, 0.6175115207373272, 0.6175115207373272, 0.6175115207373272, 0.6215767581089519, 0.8181818181818182, 0.999999999999, 0.999999999999, 0.999999999999]","{'method': 'logit_ab', 'a': 0.55, 'b': -0.075}"
stl|core,stl,core,segment,shrink_to_half,True,,757,757,14,10.628572219831437,0.8042763107814542,-9.824295909049983,0.4443602235812047,0.29839751443544865,-0.14596270914575604,,,,,0.5,,,,
stl|rotation,stl,rotation,segment,shrink_to_half,True,,294,294,14,11.464064620713007,0.8443181294153062,-10.6197464912977,0.47833797520597937,0.3168449788516193,-0.1614929963543601,,,,,0.5,,,,
stl|starter,stl,starter,segment,shrink_to_half,True,,783,783,14,7.718459048294626,0.6835579949283243,-7.034901053366302,0.3333807351948853,0.2431998968520774,-0.0901808383428079,,,,,0.5,,,,
blk|core,blk,core,segment,logit_ab,True,,772,772,14,11.397063340565392,6.427163608051923,-4.969899732513469,0.4501605592811217,0.4487226455643437,-0.0014379137167779832,0.4769998828305244,0.4739857759554655,0.55,-0.25,,,,,
blk|rotation,blk,rotation,stat,logit_ab,True,,220,220,14,5.364519471610245,2.0199970900237734,-3.3445223815864713,0.28257863478484596,0.25309498718519385,-0.029483647599652107,,,0.35,-0.25,,,,,
blk|starter,blk,starter,segment,shrink_to_half,True,,730,730,14,7.8938223084017105,0.6877893751263721,-7.206032933275338,0.3392436241897024,0.24515079710477053,-0.09409282708493186,,,,,0.5,,,,
stocks|core,stocks,core,segment,logit_ab,True,,391,391,13,9.949058996391305,6.605140787792253,-3.3439182085990513,0.4047686373522682,0.40363975278262276,-0.0011288845696454386,0.43077361173707984,0.4194197306985672,0.65,-0.25,,,,,
stocks|starter,stocks,starter,segment,logit_ab,True,,413,413,14,9.327723652427746,8.86941656813726,-0.45830708429048705,0.38693047583608203,0.38699685343815654,6.637760207450771e-05,0.378653867238483,0.3790462624591093,0.95,0.0,,,,,
pa|core,pa,core,segment,shrink_to_half,True,,2287,2287,14,0.7355481126604742,0.6878288413063147,-0.04771927135415943,0.26594700601220217,0.2474468315247108,-0.01850017448749136,,,,,0.5,,,,
pa|rotation,pa,rotation,segment,logit_ab,True,,760,760,14,0.6618275418146193,0.6618275418146193,0.0,0.2365405305974831,0.23654053059748306,-2.7755575615628914e-17,0.096102098540146,0.09610209854014601,1.0,0.0,,,,,
