stat,role_bucket,segment_key,n,market_superiority_pass,calibration_pass,model_better_calibrated,model_logloss,market_logloss,delta_logloss,model_brier,market_brier,delta_brier,bootstrap_ci_pass,bootstrap_failure_type,dominant_failure,secondary_failures,allowed_repair_family,blocked_repair_family,next_action,claim_status
pts,bench,pts|bench,1472,False,False,False,0.6736752258369177,0.6674951680364185,0.006180057800499239,0.2379753300875604,0.2378120954980651,0.000163234589495298,False,bootstrap_ci_not_better,model_logloss_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data|do_not_claim,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,collect_more_oof_data_or_retrain,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pts,core,pts|core,4922,False,False,False,0.7237672440617797,0.6560838099622692,0.0676834340995105,0.261730857149307,0.2322936296923405,0.029437227456966503,False,bootstrap_ci_not_better,model_prob_too_high_or_overconfident_side,mean_delta_not_negative|bootstrap_ci_not_better,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage,pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,fit_event_neutral_probability_scale_repair,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pts,fringe,pts|fringe,110,True,False,False,0.3704441446025363,0.6545119955869432,-0.2840678509844069,0.1094631656565656,0.2308531058257629,-0.12138994016919731,True,,nan,,do_not_claim,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair|needs_more_data,review_segment_diagnostics,BLOCKED_CALIBRATION|BLOCKED_CALIBRATION
pts,inactive_risk,pts|inactive_risk,143,False,False,False,1.2176763475075496,0.7038506756070041,0.5138256719005455,0.4457233706293707,0.2540236118203488,0.19169975880902185,False,bootstrap_ci_not_better,model_prob_too_high_or_overconfident_side,mean_delta_not_negative|bootstrap_ci_not_better,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage,pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,fit_event_neutral_probability_scale_repair,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pts,rotation,pts|rotation,2328,False,False,False,0.6743097701771102,0.6698355216339096,0.004474248543200665,0.2402008093047769,0.2388366870544251,0.001364122250351818,False,bootstrap_ci_not_better,mean_too_low,mean_delta_not_negative|bootstrap_ci_not_better,pmf_mean_shift,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,fit_pmf_mean_shift_repair,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pts,starter,pts|starter,5214,True,False,False,0.6303613479739698,0.6332883801257336,-0.00292703215176382,0.2194600000852406,0.2219312278095209,-0.002471227724280295,False,bootstrap_ci_not_better,nan,bootstrap_ci_not_better,do_not_claim,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair|needs_more_data,review_segment_diagnostics,BLOCKED_CALIBRATION|BLOCKED_BOOTSTRAP|BLOCKED_CALIBRATION
pts,unknown,pts|unknown,0,False,False,False,,,,,,,True,,insufficient_scored_rows,,needs_more_data|do_not_claim,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,review_segment_diagnostics,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
reb,bench,reb|bench,793,False,False,False,0.7399642024241304,0.6707457812651904,0.06921842115894006,0.2695758125262715,0.2390302101053809,0.030545602420890605,False,bootstrap_ci_not_better,model_prob_too_high_or_overconfident_side,mean_delta_not_negative|bootstrap_ci_not_better,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage,pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,fit_event_neutral_probability_scale_repair,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
reb,core,reb|core,3154,False,False,False,0.7017954240585963,0.6671569338803338,0.03463849017826248,0.2528395244134432,0.2372721893191796,0.015567335094263612,False,bootstrap_ci_not_better,model_prob_too_high_or_overconfident_side,mean_delta_not_negative|bootstrap_ci_not_better,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage,pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,fit_event_neutral_probability_scale_repair,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
reb,fringe,reb|fringe,69,False,False,False,0.6791719598563125,0.6739390924117109,0.005232867444601608,0.2357507713365539,0.2421347773181933,-0.006384005981639407,True,,insufficient_scored_rows,,needs_more_data|do_not_claim,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,review_segment_diagnostics,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
reb,inactive_risk,reb|inactive_risk,70,False,False,False,1.285713819141248,0.655167783363663,0.6305460357775851,0.4933410857142857,0.2315287812559202,0.2618123044583655,True,,insufficient_scored_rows,,needs_more_data|do_not_claim,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,review_segment_diagnostics,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
reb,rotation,reb|rotation,1483,False,False,False,0.6935397558710649,0.6521695833916533,0.04137017247941155,0.2504512246946879,0.2307305017056273,0.01972072298906058,False,bootstrap_ci_not_better,model_prob_too_high_or_overconfident_side,mean_delta_not_negative|bootstrap_ci_not_better,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage,pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,fit_event_neutral_probability_scale_repair,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
reb,starter,reb|starter,2828,False,False,False,0.6644586293737793,0.6564207516277516,0.00803787774602771,0.2366963371837183,0.2325966888087137,0.004099648375004594,False,bootstrap_ci_not_better,mean_too_low,mean_delta_not_negative|bootstrap_ci_not_better,pmf_mean_shift,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,fit_pmf_mean_shift_repair,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
reb,unknown,reb|unknown,0,False,False,False,,,,,,,True,,insufficient_scored_rows,,needs_more_data|do_not_claim,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,review_segment_diagnostics,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
ast,bench,ast|bench,177,False,False,False,0.7409986193426087,0.6621068846722294,0.07889173467037924,0.2699662868801004,0.234552155211226,0.03541413166887439,False,bootstrap_ci_not_better,model_prob_too_high_or_overconfident_side,mean_delta_not_negative|bootstrap_ci_not_better,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage,pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,fit_event_neutral_probability_scale_repair,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ast,core,ast|core,2064,False,False,False,0.7276461253596858,0.6659658507479521,0.06168027461173364,0.2654035413975021,0.2371450441501201,0.028258497247381997,False,bootstrap_ci_not_better,model_prob_too_high_or_overconfident_side,mean_delta_not_negative|bootstrap_ci_not_better,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage,pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,fit_event_neutral_probability_scale_repair,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ast,fringe,ast|fringe,35,False,False,False,1.288789265417699,0.6363971572140835,0.6523921082036154,0.4665450539682539,0.2246579910657841,0.2418870629024698,True,,insufficient_scored_rows,,needs_more_data|do_not_claim,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,review_segment_diagnostics,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
ast,inactive_risk,ast|inactive_risk,77,False,False,False,0.3999034671633481,0.6626194152684175,-0.2627159481050694,0.1237114458874459,0.2354063665766325,-0.1116949206891866,True,,insufficient_scored_rows,,needs_more_data|do_not_claim,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,review_segment_diagnostics,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
ast,rotation,ast|rotation,776,False,False,False,0.7201502145626598,0.6513539722823196,0.0687962422803402,0.2616939034936998,0.2298740043791583,0.0318198991145415,False,bootstrap_ci_not_better,model_prob_too_high_or_overconfident_side,mean_delta_not_negative|bootstrap_ci_not_better,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage,pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,fit_event_neutral_probability_scale_repair,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ast,starter,ast|starter,2616,False,False,False,0.6650010476891094,0.6564157246148198,0.008585323074289608,0.2363532167006456,0.2323488852885035,0.004004331412142098,False,bootstrap_ci_not_better,mean_too_low,mean_delta_not_negative|bootstrap_ci_not_better,pmf_mean_shift,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,fit_pmf_mean_shift_repair,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ast,unknown,ast|unknown,0,False,False,False,,,,,,,True,,insufficient_scored_rows,,needs_more_data|do_not_claim,event_neutral_temperature|shrunk_isotonic|hierarchical_logit_shrinkage|pmf_mean_shift|pmf_variance_temperature|sparse_p0_tail_calibration|monotone_pit_repair,review_segment_diagnostics,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
