stat,role_bucket,n,nll_before,nll_after,rps_before,rps_after,nll_delta,rps_delta,used_map
blk,core,959,1.7349515972803193,1.814335653665383,0.03241744515977913,0.03415546686060867,0.07938405638506363,0.0017380217008295396,stat
blk,inactive_risk,243,0.8892976345453051,0.9584405786485352,0.022526382929954264,0.023975770912110544,0.06914294410323008,0.0014493879821562798,stat
blk,starter,694,1.5543104917846426,1.611453046762243,0.03210222378168461,0.03316026046089824,0.057142554977600346,0.001058036679213628,stat
blk,rotation,954,1.5915839506436509,1.6480576550768062,0.028876770587239278,0.030106515613324808,0.05647370443315536,0.0012297450260855304,stat
stl,starter,694,2.388087724948296,2.440709749570464,0.05377278848176182,0.054777947167657756,0.05262202462216781,0.0010051586858959363,stat
stocks,starter,694,2.850313679395981,2.894166005436912,0.036033343336154045,0.0372089780210833,0.04385232604093092,0.001175634684929254,stat
blk,bench,628,1.5492548909075368,1.5926310811534403,0.02507510849270964,0.02568313419944149,0.043376190245903556,0.0006080257067318517,stat
stocks,bench,628,2.316873826608031,2.3445359306428153,0.025760653536287027,0.026850819643908334,0.027662104034784196,0.0010901661076213078,stat
stl,core,959,2.4391532314409203,2.4649363473943025,0.048979163228727,0.04970243041053425,0.02578311595338212,0.0007232671818072495,stat
stocks,core,959,2.871373946990785,2.892444398304825,0.03529831308613125,0.03638331162683117,0.02107045131403984,0.001084998540699919,stat
stocks,rotation,954,3.0093338292727716,3.0263072992019318,0.03142208749973699,0.032429328112942274,0.016973469929160157,0.0010072406132052847,stat
stl,rotation,954,2.4807922869173096,2.496534576903042,0.04228504635881284,0.04264786728336844,0.01574228998573224,0.00036282092455559856,stat
stl,bench,628,1.3833095080796332,1.397687540416165,0.03118048298512758,0.03144685922004042,0.014378032336531898,0.0002663762349128379,stat
stocks,inactive_risk,243,1.4201046907344508,1.4329579593998558,0.02227458724411204,0.022178068407329485,0.012853268665405038,-9.651883678255674e-05,stat_role
fg3m,inactive_risk,243,3.4711705970189484,3.4826769460357294,0.02956056235591521,0.029088565042250384,0.011506349016781048,-0.00047199731366482506,stat
fg3m,bench,628,3.5470654860552546,3.558510347268699,0.03232612388121875,0.03208202147404678,0.011444861213444568,-0.0002441024071719658,stat_role
blk,fringe,239,0.5795909477936914,0.589577502387362,0.01283965204556163,0.013019793491430431,0.009986554593670594,0.0001801414458688002,stat
ast,fringe,239,1.1548697030881407,1.1629289914902992,0.018864677502413905,0.01894008465985002,0.008059288402158415,7.540715743611578e-05,stat_role
stocks,fringe,239,1.1794888529051863,1.1872715667909546,0.017116348040810365,0.017197764441514652,0.007782713885768233,8.141640070428655e-05,stat_role
reb,fringe,239,1.7065557744862077,1.7132907074502581,0.031339790734991976,0.031235031524868943,0.006734932964050477,-0.00010475921012303296,stat_role
stl,fringe,239,0.8277319140715428,0.8307670586179252,0.022332079198243412,0.02201531525856591,0.003035144546382429,-0.00031676393967750363,stat_role
pts,starter,694,3.495804663546066,3.4958069290869083,0.05321305492502856,0.05237146924908698,2.2655408424832046e-06,-0.0008415856759415863,stat_role
stl,inactive_risk,243,1.0096988096977364,1.0085489944934258,0.02989639779028342,0.029593776057615866,-0.001149815204310567,-0.00030262173266755454,stat_role
tov,fringe,239,0.9684589236035025,0.9639126112962964,0.02861428240889747,0.028299315629018763,-0.004546312307206146,-0.0003149667798787066,stat_role
fg3m,fringe,239,3.6688161737803147,3.6609500664971413,0.02017095165093643,0.01989716058226367,-0.007866107283173385,-0.00027379106867276085,stat
ast,bench,628,1.4234276816203342,1.4106869068327532,0.024521970548206217,0.024167330372986334,-0.012740774787580955,-0.00035464017521988356,stat_role
pts,rotation,954,3.040203184313758,3.0227748141789146,0.03819960774358488,0.037280789935039305,-0.01742837013484344,-0.0009188178085455731,stat_role
pts,bench,628,2.7111643099587472,2.6930942090346752,0.03158403570898098,0.03149017357353022,-0.01807010092407202,-9.386213545076183e-05,stat_role
reb,bench,628,2.047486538345302,2.025972130905239,0.03923821568728169,0.03886688396072116,-0.021514407440062833,-0.00037133172656052954,stat_role
pts,core,959,3.2215121831141262,3.1998631060881504,0.04299639967329938,0.04216142362034438,-0.02164907702597585,-0.0008349760529549957,stat_role
tov,bench,628,1.122577610510629,1.0895458303572758,0.03351934079155098,0.033023828190668236,-0.033031780153353285,-0.0004955126008827429,stat_role
ast,rotation,954,1.748664692748246,1.7042558046689242,0.03306096972710495,0.032255505335364934,-0.04440888807932186,-0.0008054643917400142,stat_role
tov,rotation,954,1.3768230537511312,1.3315773204280095,0.04324615671307495,0.04219578237414056,-0.04524573332312176,-0.0010503743389343873,stat_role
fg3m,rotation,954,2.730518321643552,2.6810472729009893,0.039257033651119225,0.03819640332590209,-0.04947104874256247,-0.0010606303252171378,stat_role
reb,rotation,954,2.2292404601236715,2.171335788588,0.04312429605584485,0.041597908298722855,-0.05790467153567169,-0.0015263877571219941,stat_role
fg3m,starter,694,2.6143319718308886,2.555493701127607,0.049493294581267874,0.04858409701137793,-0.058838270703281736,-0.0009091975698899413,stat_role
fg3m,core,959,2.6234996143928733,2.5633813195817132,0.04580428479239261,0.044964789251465596,-0.060118294811160045,-0.0008394955409270141,stat_role
ast,core,959,2.0517708169709286,1.9755815808703987,0.042545002281578925,0.04065800866069059,-0.07618923610052986,-0.0018869936208883373,stat_role
reb,starter,694,2.483319216922147,2.3992244347041063,0.049802893733279625,0.048012421836871946,-0.0840947822180409,-0.001790471896407679,stat_role
tov,starter,694,1.8558982354744167,1.7686008063915015,0.06700968278775339,0.06415812509036437,-0.08729742908291516,-0.002851557697389026,stat_role
ast,starter,694,2.2506110685653318,2.1608333490469525,0.04966790770092859,0.04773338128859353,-0.08977771951837932,-0.0019345264123350608,stat_role
tov,core,959,1.6238903767180097,1.5323104830393512,0.05334524991310393,0.050910986435045734,-0.09157989367865849,-0.002434263478058196,stat_role
pts,fringe,239,2.2648079645190293,2.161599901413887,0.024499758125706674,0.024374780972500808,-0.10320806310514241,-0.00012497715320586647,stat_role
tov,inactive_risk,243,2.029970926709057,1.9204865134981937,0.054460693503570044,0.045867061962288465,-0.10948441321086344,-0.00859363154128158,stat_role
ast,inactive_risk,243,2.3631678026871925,2.252531971708299,0.04065564857022264,0.03305472366503286,-0.11063583097889351,-0.007600924905189779,stat_role
reb,core,959,2.3049637671180503,2.1942405464755046,0.04318413688467303,0.04106879630152816,-0.1107232206425457,-0.002115340583144866,stat_role
pts,inactive_risk,243,3.5305986124427893,3.409975214272731,0.04329297599169052,0.03333276937758384,-0.1206233981700584,-0.009960206614106681,stat_role
reb,inactive_risk,243,2.757476548310662,2.534547812093326,0.05417220748705695,0.040018346006526734,-0.222928736217336,-0.014153861480530217,stat_role
