stat,role_bucket,n,raw_mean_bias,repaired_mean_bias,raw_model_logloss,repaired_model_logloss,market_logloss,raw_model_brier,repaired_model_brier,market_brier,raw_market_superiority_pass,repaired_market_superiority_pass,raw_calibration_pass,repaired_calibration_pass,raw_model_better_calibrated,repaired_model_better_calibrated,selected_scope,selected_method,rollback_reason,claim_status
ast,bench,177,-0.7853521657250473,-0.7853521657250473,0.7409986193426075,0.7409986193426087,0.6621068846722294,0.2699662868801005,0.2699662868801004,0.23455215521122608,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ast,core,2064,-0.7224113372093024,-0.7224113372093024,0.7276461253596828,0.7276461253596858,0.6659658507479521,0.2654035413975035,0.2654035413975021,0.23714504415012014,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ast,fringe,35,-1.280619047619048,-1.280619047619048,1.2887892654176987,1.288789265417699,0.6363971572140835,0.4665450539682541,0.4665450539682539,0.22465799106578413,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
ast,inactive_risk,77,-0.3284069264069267,-0.3284069264069267,0.39990346716334824,0.3999034671633481,0.6626194152684175,0.12371144588744588,0.1237114458874459,0.23540636657663253,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
ast,rotation,776,-0.3461142611683849,-0.3461142611683849,0.7201502145626578,0.7201502145626598,0.6513539722823196,0.26169390349369903,0.2616939034936998,0.22987400437915834,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ast,starter,2616,-0.461302624872579,-0.461302624872579,0.6650010476891091,0.6650010476891094,0.6564157246148198,0.236353216700644,0.2363532167006456,0.2323488852885035,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
blk,bench,86,-0.6114251836833229,-0.6114251836833229,10.669529491209463,10.66952949120945,0.5857576223581141,0.41026698498507064,0.4102669849850706,0.19889797294676728,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
blk,core,772,-0.9056704815906376,-0.9056704815906376,12.448774351881088,6.987722826244753,0.66825530621502,0.4696726134390439,0.4689423867571426,0.2374855391916781,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
blk,fringe,5,-0.6,-0.6,16.578612669557526,16.578612669557526,1.143261931231702,0.6,0.6,0.4607465555682638,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
blk,inactive_risk,18,0.325333398302879,0.325333398302879,0.21796408987795418,0.2179640898779541,0.5632224394598744,0.047850854783932494,0.0478508547839324,0.19134107054071534,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
blk,rotation,220,-0.38893478074387977,-0.38893478074387977,7.447715892459203,2.7338445386405716,0.6133219944441208,0.3258155905568636,0.3070389230552413,0.21296372675341987,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
blk,starter,730,-0.6199843785807476,-0.6199843785807476,9.165128195178545,0.7139981245272986,0.6390014952177081,0.3701404668499397,0.2569225459525157,0.2244944754705247,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
fg3m,bench,495,0.25038548808080807,0.25038548808080807,0.7397669328987027,0.6197439452006805,0.6475961143245819,0.2281286517068127,0.2073102033559898,0.22826850912800015,False,True,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
fg3m,core,2021,-0.07152398218703612,-0.07152398218703612,0.7088228985050099,0.6620972473213936,0.6435055053506005,0.2365023501679195,0.2336074953150613,0.22653571642623677,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
fg3m,fringe,49,-0.14765013877551011,-0.14765013877551011,1.2640419624688213,1.2640419624688213,0.6493708579437288,0.27034291749943945,0.2703429174994396,0.2277522395793369,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
fg3m,inactive_risk,75,-0.5660666666666662,-0.5660666666666662,0.5737929826755124,0.5737929826755123,0.6481246821299905,0.20317546352621477,0.2031754635262148,0.22878946651334076,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
fg3m,rotation,999,0.08656492492492487,0.08656492492492487,0.6464888429751026,0.6464888429751032,0.6342293988497353,0.2240177538204908,0.22401775382049,0.22187346321436785,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
fg3m,starter,2289,-0.015090980166011328,-0.015090980166011328,0.6983055607374282,0.6623952529385049,0.6576844070892998,0.2497586140012236,0.2362425054837705,0.2333485991863682,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pa,bench,153,-3.215124509803921,-3.215124509803921,0.665273979309684,0.6652739793096846,0.6789681730161417,0.23717428674836616,0.237174286748366,0.24376914743747072,True,True,False,False,False,False,,,,BLOCKED_CALIBRATION|BLOCKED_BOOTSTRAP|BLOCKED_CALIBRATION
pa,core,2287,-2.8986544818539555,-2.8986544818539555,0.7098296777380109,0.6788915824402432,0.6490490939184468,0.25573490664844817,0.2431025832427853,0.2291465272491156,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
