stat,role_bucket,accepted,rollback_reason,n_train,n_val,n_dates,segment_key
pts,rotation,False,all_candidates_failed_cv_rollback,2319,2319,16,pts|rotation
reb,bench,False,all_candidates_failed_cv_rollback,793,793,14,reb|bench
reb,core,False,all_candidates_failed_cv_rollback,3154,3154,16,reb|core
reb,rotation,False,all_candidates_failed_cv_rollback,1483,1483,16,reb|rotation
ast,core,False,all_candidates_failed_cv_rollback,2064,2064,16,ast|core
ast,rotation,False,all_candidates_failed_cv_rollback,776,776,16,ast|rotation
ast,starter,False,all_candidates_failed_cv_rollback,2616,2616,16,ast|starter
fg3m,bench,False,all_candidates_failed_cv_rollback,495,495,15,fg3m|bench
fg3m,core,False,all_candidates_failed_cv_rollback,2021,2021,16,fg3m|core
fg3m,starter,False,all_candidates_failed_cv_rollback,2289,2289,16,fg3m|starter
stl,core,False,all_candidates_failed_cv_rollback,757,757,14,stl|core
stl,rotation,False,all_candidates_failed_cv_rollback,294,294,14,stl|rotation
stl,starter,False,all_candidates_failed_cv_rollback,783,783,14,stl|starter
blk,core,False,all_candidates_failed_cv_rollback,772,772,14,blk|core
blk,rotation,False,all_candidates_failed_cv_rollback,220,220,14,blk|rotation
blk,starter,False,all_candidates_failed_cv_rollback,730,730,14,blk|starter
stocks,core,False,all_candidates_failed_cv_rollback,391,391,13,stocks|core
stocks,starter,False,all_candidates_failed_cv_rollback,413,413,14,stocks|starter
pa,rotation,False,all_candidates_failed_cv_rollback,760,760,14,pa|rotation
pr,bench,False,all_candidates_failed_cv_rollback,604,604,13,pr|bench
pr,core,False,all_candidates_failed_cv_rollback,3259,3259,14,pr|core
pr,rotation,False,all_candidates_failed_cv_rollback,1288,1288,14,pr|rotation
ra,core,False,all_candidates_failed_cv_rollback,1817,1817,14,ra|core
ra,rotation,False,all_candidates_failed_cv_rollback,623,623,14,ra|rotation
pra,bench,False,all_candidates_failed_cv_rollback,448,448,14,pra|bench
pra,core,False,all_candidates_failed_cv_rollback,3793,3793,14,pra|core
pra,rotation,False,all_candidates_failed_cv_rollback,1295,1295,14,pra|rotation
