feature,importance
opp_allowed_ast_ewma,1491
mp_ewma_10,1398
per_min_ast_last10,1340
mp_trend_3v10,1121
ast_per_min_trend_3v10,912
ast_per_min_mean_last5,817
opp_allowed_ast_factor,805
implied_team_total,784
mp_vol_last10,771
adv_assist_percentage_mean_last10,764
spread_for_team,747
per_min_pf_last10,718
tov_per_min_mean_last10_gated,675
slope5_pf,635
rest_days,437
games_since_return,424
mp_mean_last10,366
ast_per_min_mean_last10,287
above_mean_pct_min,195
opp_allowed_ast_mean,147
cv_min,134
is_injury_elevated_role,72
is_home,63
did_not_play_last_team_game,45
back_to_back,41
is_high_minutes_uncertainty,32
limited_return_game,31
is_stable_role_player,30
four_in_6,24
is_recent_rotation_change,20
three_in_4,18
dnp_injury,16
returned_from_absence,9
dnp_coach_decision,7
is_bench_fragile_minutes,7
dnp_rest,1
consensus_total,0
vacated_ast,0
blowout_risk_x_mp_vol_gated,0
