feature,importance
opp_allowed_blk_ewma,2338
mp_ewma_10,1994
opp_allowed_blk_guard_ewma,1719
per_min_blk_last10,1423
blk_p_zero_last10,1330
blk_p_ge2_last10,1203
opp_allowed_blk_big_ewma,948
blk_per_min_vol_last10,583
opp_allowed_blk_factor,560
mp_trend_3v10,559
mp_vol_last10,537
mp_mean_last10,472
per_min_pf_last10,345
above_mean_pct_min,295
blk_p_ge1_last10,280
slope5_pf,268
spread_for_team,198
games_since_return,178
opp_allowed_blk_mean,132
cv_min,87
rest_days,77
is_high_minutes_uncertainty,13
did_not_play_last_team_game,10
back_to_back,9
is_stable_role_player,8
limited_return_game,6
is_home,6
is_bench_fragile_minutes,5
is_injury_elevated_role,5
three_in_4,4
four_in_6,3
dnp_injury,2
is_recent_rotation_change,1
returned_from_absence,1
dnp_rest,1
ewma10_blk,0
dnp_coach_decision,0
vacated_big_minutes,0
vacated_minutes,0
blowout_risk_x_mp_vol_gated,0
