feature,importance
per_min_fg3a_last10,2011
mp_ewma_10,1437
opp_allowed_fg3m_ewma,1150
mp_trend_3v10,1040
fg3_pct_safe,1015
fg3m_p_zero_last10,941
adv_pct_3pa_mean_last10,834
fg3a_per_min_trend_3v10,816
opp_allowed_fg3m_factor,566
per_min_pf_last10,552
mp_vol_last10,513
spread_for_team,477
implied_team_total,406
opp_3p_rate_allowed,394
games_since_return,393
opp_3pt_miss_volume,377
slope5_pf,346
fg3m_p_ge3_last10,341
opp_3pa_allowed,318
is_low_3pa_last10,301
rest_days,242
mp_mean_last10,239
above_mean_pct_min,167
cv_min,157
opp_allowed_fg3m_mean,113
is_home,51
four_in_6,35
is_stable_role_player,33
three_in_4,32
did_not_play_last_team_game,29
is_bench_fragile_minutes,27
is_high_minutes_uncertainty,25
opp_3pm_allowed,21
is_injury_elevated_role,15
back_to_back,13
dnp_injury,5
limited_return_game,5
returned_from_absence,4
is_recent_rotation_change,1
dnp_rest,0
dnp_coach_decision,0
consensus_total,0
blowout_risk_x_mp_vol_gated,0
