feature,importance
opp_allowed_pts_ewma,1097
mp_trend_3v10,991
mp_ewma_10,960
per_min_fga_last10,852
per_min_fta_last10,802
per_min_pts_last10,746
spread_for_team,742
opp_allowed_pts_factor,707
fga_per_min_trend_3v10,672
adv_true_shooting_percentage_mean_last10,666
opp_fg_miss_volume,659
per_min_pf_last10,639
implied_team_total,610
mp_vol_last10,606
pts_per_min_mean_last5,576
pts_per_min_trend_3v10,572
adv_mean_usage_percentage_last10,567
slope5_pf,524
pts_regime_shift_gated,455
rest_days,403
games_since_return,396
cv_min,172
mp_mean_last10,160
opp_allowed_pts_mean,159
pts_per_min_mean_last10,154
above_mean_pct_min,139
back_to_back,50
is_stable_role_player,45
is_home,40
is_injury_elevated_role,32
limited_return_game,24
did_not_play_last_team_game,22
four_in_6,18
three_in_4,15
is_recent_rotation_change,13
is_high_minutes_uncertainty,12
is_bench_fragile_minutes,7
dnp_injury,6
returned_from_absence,1
dnp_rest,0
dnp_coach_decision,0
consensus_total,0
vacated_fga,0
vacated_minutes,0
blowout_risk_x_mp_vol_gated,0
