feature,importance
opp_allowed_reb_ewma,1312
mp_ewma_10,1162
mp_trend_3v10,1161
per_min_reb_last10,887
reb_per_min_trend_3v10,883
opp_allowed_reb_factor,784
oreb_per_min_mean_last10,763
spread_for_team,757
per_min_pf_last10,737
reb_per_min_vol_last10,705
mp_vol_last10,684
opp_fg_miss_volume,662
slope5_pf,647
reb_per_min_mean_last5,625
implied_team_total,620
dreb_per_min_mean_last10,578
games_since_return,454
rest_days,429
reb_per_min_mean_last10,273
mp_mean_last10,270
cv_min,168
opp_allowed_reb_mean,151
above_mean_pct_min,121
reb_chances_per_game,67
is_home,55
reb_chances_def_per_game,53
back_to_back,49
is_stable_role_player,40
three_in_4,39
is_high_minutes_uncertainty,37
four_in_6,37
reb_chances_off_per_game,37
is_injury_elevated_role,32
did_not_play_last_team_game,30
limited_return_game,17
adv_mean_rebound_chances_total_last10,16
is_recent_rotation_change,14
is_bench_fragile_minutes,6
returned_from_absence,6
dnp_injury,3
adv_rebound_chances_total_mean_last10,1
vacated_big_minutes,0
vacated_reb,0
reb_regime_shift_gated,0
dnp_coach_decision,0
adv_rebound_chances_def_mean_last10,0
adv_rebound_chances_off_mean_last10,0
reb_chances_sample_last10,0
dnp_rest,0
consensus_total,0
blowout_risk_x_mp_vol_gated,0
