feature,importance
opp_allowed_stl_ewma,2255
mp_ewma_10,1612
per_min_stl_last10,1348
mp_trend_3v10,1140
stl_p_zero_last10,857
opp_allowed_stl_big_ewma,788
opp_allowed_stl_factor,707
mp_vol_last10,699
opp_allowed_stl_guard_ewma,695
stl_per_min_vol_last10,659
spread_for_team,544
stl_p_ge2_last10,519
per_min_pf_last10,479
slope5_pf,464
games_since_return,361
rest_days,341
mp_mean_last10,301
tov_p_zero_last10,267
opp_allowed_stl_mean,247
above_mean_pct_min,238
cv_min,204
tov_p_ge2_last10,202
stl_p_ge1_last10,201
did_not_play_last_team_game,129
tov_p_ge1_last10,81
is_high_minutes_uncertainty,43
returned_from_absence,38
is_stable_role_player,34
is_home,22
is_injury_elevated_role,20
back_to_back,17
is_bench_fragile_minutes,16
three_in_4,14
four_in_6,11
limited_return_game,10
dnp_injury,8
is_recent_rotation_change,6
dnp_rest,4
dnp_coach_decision,0
ewma10_stl,0
vacated_minutes,0
