feature,importance
mp_ewma_10,2479
mp_trend_3v10,1919
mp_vol_last10,1821
per_min_pf_last10,1256
games_since_return,1120
spread_for_team,899
slope5_pf,861
implied_team_total,824
opp_allowed_pts_ewma,710
opp_allowed_pts_factor,709
rest_days,684
above_mean_pct_min,530
mp_mean_last10,524
cv_min,439
opp_allowed_pts_mean,143
four_in_6,121
did_not_play_last_team_game,115
is_injury_elevated_role,62
is_stable_role_player,46
is_high_minutes_uncertainty,43
three_in_4,37
limited_return_game,35
back_to_back,34
is_recent_rotation_change,30
returned_from_absence,30
is_home,28
dnp_injury,21
is_bench_fragile_minutes,19
dnp_coach_decision,4
dnp_rest,2
consensus_total,0
