player,status,reason,out_flag,questionable_flag,probable_flag,game_date
Dominick Barlow,Out,Right elbow laceration,1,0,0,2025-11-11
Paul George,Out,"Left knee, surgery recovery",1,0,0,2025-11-11
LeBron James,Out,Right sciatica,1,0,0,2025-11-11
Austin Reaves,Out,Right groin strain,1,0,0,2025-11-11
Adou Thiero,Out,"Left knee, surgery recovery",1,0,0,2025-11-11
Gabe Vincent,Out,Left ankle sprain,1,0,0,2025-11-11
Yves Missi,Out,Illness,1,0,0,2025-11-11
Dejounte Murray,Out,Right Achilles rupture,1,0,0,2025-11-11
Jordan Poole,Out,Left quad strain,1,0,0,2025-11-11
Zion Williamson,Out,Left hamstring strain,1,0,0,2025-11-11
Scoot Henderson,Out,Left hamstring tear,1,0,0,2025-11-11
Damian Lillard,Out,Left Achilles tendon; injury management,1,0,0,2025-11-11
Matisse Thybulle,Out,Left thumb ligament tear,1,0,0,2025-11-11
Blake Wesley,Out,Right foot fracture,1,0,0,2025-11-11
Johnny Furphy,Out,Left ankle sprain,1,0,0,2025-11-11
Tyrese Haliburton,Out,Right Achilles tendon tear,1,0,0,2025-11-11
Kawhi Leonard,Out,Right ankle sprain,1,0,0,2025-11-11
Jordan Miller,Out,Left hamstring strain,1,0,0,2025-11-11
Kobe Sanders,Out,Right knee sprain,1,0,0,2025-11-11
Quenton Jackson,Out,Right hamstring strain,1,0,0,2025-11-11
Kam Jones,Out,Low back stress reaction,1,0,0,2025-11-11
Bennedict Mathurin,Out,Right great toe sprain,1,0,0,2025-11-11
Obi Toppin,Out,Right foot stress fracture,1,0,0,2025-11-11
Bam Adebayo,Out,Sprained left big toe,1,0,0,2025-11-11
Josh Giddey,Out,Right ankle sprain,1,0,0,2025-11-11
Tobias Harris,Out,High right ankle sprain,1,0,0,2025-11-11
Bradley Beal,Out,Left hip injury,1,0,0,2025-11-11
T.J. McConnell,Questionable,Hamstring strain,0,1,0,2025-11-11
Scotty Pippen Jr.,Questionable,Toe injury,0,1,0,2025-11-11
Maxi Kleber,Questionable,Abdominal muscle strain,0,1,0,2025-11-11
Dillon Brooks,Questionable,Core muscle strain,0,1,0,2025-11-11
Andrew Nembhard,Questionable,Left shoulder strain,0,1,0,2025-11-11
Shaedon Sharpe,Probable,Left calf strain,0,0,1,2025-11-11
