game_id,date,season,home_team_id,home_team,away_team_id,away_team,home_score,away_score,status
1037593,2023-10-24,2023,8,Denver Nuggets,14,Los Angeles Lakers,119,107,Final
1037594,2023-10-24,2023,10,Golden State Warriors,24,Phoenix Suns,104,108,Final
1037595,2023-10-25,2023,4,Charlotte Hornets,1,Atlanta Hawks,116,110,Final
1037596,2023-10-25,2023,12,Indiana Pacers,30,Washington Wizards,143,120,Final
1037597,2023-10-25,2023,20,New York Knicks,2,Boston Celtics,104,108,Final
1037598,2023-10-25,2023,22,Orlando Magic,11,Houston Rockets,116,86,Final
1037599,2023-10-25,2023,3,Brooklyn Nets,6,Cleveland Cavaliers,113,114,Final
1037600,2023-10-25,2023,16,Miami Heat,9,Detroit Pistons,103,102,Final
1037601,2023-10-25,2023,28,Toronto Raptors,18,Minnesota Timberwolves,97,94,Final
1037602,2023-10-25,2023,5,Chicago Bulls,21,Oklahoma City Thunder,104,124,Final
1037603,2023-10-25,2023,15,Memphis Grizzlies,19,New Orleans Pelicans,104,111,Final
1037604,2023-10-25,2023,29,Utah Jazz,26,Sacramento Kings,114,130,Final
1037605,2023-10-25,2023,27,San Antonio Spurs,7,Dallas Mavericks,119,126,Final
1037606,2023-10-25,2023,13,LA Clippers,25,Portland Trail Blazers,123,111,Final
1037607,2023-10-26,2023,17,Milwaukee Bucks,23,Philadelphia 76ers,118,117,Final
1037608,2023-10-26,2023,14,Los Angeles Lakers,24,Phoenix Suns,100,95,Final
1037609,2023-10-27,2023,4,Charlotte Hornets,9,Detroit Pistons,99,111,Final
1037610,2023-10-27,2023,15,Memphis Grizzlies,8,Denver Nuggets,104,108,Final
1037611,2023-10-27,2023,1,Atlanta Hawks,20,New York Knicks,120,126,Final
1037612,2023-10-27,2023,2,Boston Celtics,16,Miami Heat,119,111,Final
1037613,2023-10-27,2023,6,Cleveland Cavaliers,21,Oklahoma City Thunder,105,108,Final
1037614,2023-10-27,2023,5,Chicago Bulls,28,Toronto Raptors,104,103,Final
1037615,2023-10-27,2023,27,San Antonio Spurs,11,Houston Rockets,126,122,Final
1037616,2023-10-27,2023,7,Dallas Mavericks,3,Brooklyn Nets,125,120,Final
1037617,2023-10-27,2023,29,Utah Jazz,13,LA Clippers,120,118,Final
1037618,2023-10-27,2023,25,Portland Trail Blazers,22,Orlando Magic,97,102,Final
1037619,2023-10-27,2023,26,Sacramento Kings,10,Golden State Warriors,114,122,Final
1037620,2023-10-28,2023,9,Detroit Pistons,5,Chicago Bulls,118,102,Final
1037621,2023-10-28,2023,30,Washington Wizards,15,Memphis Grizzlies,113,106,Final
1037622,2023-10-28,2023,19,New Orleans Pelicans,20,New York Knicks,96,87,Final
1037623,2023-10-28,2023,6,Cleveland Cavaliers,12,Indiana Pacers,113,125,Final
1037624,2023-10-28,2023,28,Toronto Raptors,23,Philadelphia 76ers,107,114,Final
1037625,2023-10-28,2023,18,Minnesota Timberwolves,16,Miami Heat,106,90,Final
1037626,2023-10-28,2023,24,Phoenix Suns,29,Utah Jazz,126,104,Final
