pmf_json,player_name,player_id,team,opponent,is_home,game_id,game_start_time,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,role_bucket,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,actual_outcome,pmf_nll,pmf_rps,pmf_mean,mean_error,outcome_prob_assigned
"{""0"": 0.012707624574744843, ""1"": 0.013408044826896136, ""2"": 0.015309185511306781, ""3"": 0.01761056633980388, ""4"": 0.017710626375825492, ""5"": 0.023113868320992593, ""6"": 0.02651590954572743, ""7"": 0.027116269761857107, ""8"": 0.03311987192315388, ""9"": 0.0347208324994997, ""10"": 0.04292575545327196, ""11"": 0.05363217930758454, ""12"": 0.049329597758655176, ""13"": 0.04972983790274164, ""14"": 0.05633380028016809, ""15"": 0.058234940964578735, ""16"": 0.059335601360816476, ""17"": 0.047328397038222926, ""18"": 0.04422653592155293, ""19"": 0.049029417650590344, ""20"": 0.04502701620972583, ""21"": 0.034020412247348406, ""22"": 0.03482089253552131, ""23"": 0.02661596958174904, ""24"": 0.026115669401640982, ""25"": 0.01861116670002001, ""26"": 0.018811286772063236, ""27"": 0.01330798479087452, ""28"": 0.010906543926355813, ""29"": 0.008405043025815488, ""30"": 0.006203722233340003, ""31"": 0.006203722233340003, ""32"": 0.002801681008605163, ""33"": 0.002801681008605163, ""34"": 0.004002401440864518, ""35"": 0.001801080648389033, ""36"": 0.001901140684410646, ""37"": 0.001801080648389033, ""38"": 0.0014008405043025814, ""43"": 0.0016009605763458072, ""80"": 0.0014008405043025814}",Nickeil Alexander-Walker,666400,ATL,NYK,True,21681992,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,15.222733640184106,15,16,0.012707624574744843,0.987292375425255,0.9738843305983588,0.958575145087052,0.9409645787472481,0.9232539523714227,0.9001400840504301,0.8736241745047028,0.8465079047428455,0.8133880328196917,0.778667200320192,0.7357414448669201,0.6821092655593355,0.6327796678006802,0.5830498298979386,0.5267160296177705,0.4684810886531918,0.4091454872923753,0.36181709025415243,0.3175905543325995,0.26856113668200915,,,,,pre_close,2026-04-30T23:34:43Z,6aea017#phase10c,e3686ada-ab5b-48e4-b18f-fb3ae10e7bac,ok,2.220446049250313e-16,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,11,2.9256060308333476,0.11944586053212872,13.982289373624175,2.982289373624175,0.053632179307584585
"{""0"": 0.0702, ""1"": 0.2293, ""2"": 0.2698, ""3"": 0.1992, ""4"": 0.1201, ""5"": 0.051, ""6"": 0.0371, ""15"": 0.0233}",Nickeil Alexander-Walker,666400,ATL,NYK,True,21681992,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,2.6740000000000004,2,2,0.0702,0.9298,0.7005,0.43069999999999997,0.2315,0.1114,0.0604,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-04-30T23:34:43Z,6aea017#phase10c,e3686ada-ab5b-48e4-b18f-fb3ae10e7bac,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,1,1.4727240891182785,0.037783358000000024,2.674,1.674,0.22929999999999995
"{""0"": 0.05593356013608164, ""1"": 0.06593956373824293, ""2"": 0.0694416649989994, ""3"": 0.0671402841705023, ""4"": 0.08064838903342005, ""5"": 0.07634580748449069, ""6"": 0.078847308385031, ""7"": 0.06904142485491294, ""8"": 0.06854112467480487, ""9"": 0.05573344006403841, ""10"": 0.05503301981188712, ""11"": 0.041925155093055826, ""12"": 0.041324794876926155, ""13"": 0.037322393436061634, ""14"": 0.025215129077446462, ""15"": 0.02751650990594356, ""16"": 0.019211526916149687, ""17"": 0.013207924754852909, ""18"": 0.01220732439463678, ""19"": 0.009905943566139684, ""20"": 0.006203722233340003, ""21"": 0.006704022413448068, ""22"": 0.003702221332799679, ""23"": 0.004202521512907744, ""24"": 0.0023013808284970978, ""25"": 0.0023013808284970978, ""27"": 0.0013007804682809683, ""37"": 0.0014008405043025814, ""80"": 0.0014008405043025814}",Miles McBride,17896033,NYK,ATL,False,21681992,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,bench,7.569841905143084,7,4,0.05593356013608164,0.9440664398639182,0.8781268761256753,0.8086852111266759,0.7415449269561736,0.6608965379227535,0.5845507304382628,0.5057034220532318,0.4366619971983189,0.36812087252351405,0.31238743245947564,0.2573544126475885,0.2154292575545327,0.17410446267760654,0.13678206924154493,0.11156694016409845,0.0840504302581549,0.06483890334200519,0.051630978587152286,0.0394236541925155,0.029517710626375822,,,,,pre_close,2026-04-30T23:34:43Z,6aea017#phase10c,e3686ada-ab5b-48e4-b18f-fb3ae10e7bac,ok,2.220446049250313e-16,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes,3,2.700971054932468,0.11264669748416992,7.4054432659595735,4.4054432659595735,0.06714028417050233
"{""0"": 0.21352135213521348, ""1"": 0.3382338233823382, ""2"": 0.2402240224022402, ""3"": 0.12201220122012199, ""4"": 0.0627062706270627, ""15"": 0.0233023302330233}",Miles McBride,17896033,NYK,ATL,False,21681992,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,bench,1.785078507850785,1,1,0.21352135213521348,0.7864786478647864,0.4482448244824482,0.208020802080208,0.086008600860086,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-04-30T23:34:43Z,6aea017#phase10c,e3686ada-ab5b-48e4-b18f-fb3ae10e7bac,ok,2.220446049250313e-16,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes,1,1.0840178375173237,0.015157895427506545,1.7850785078507854,0.7850785078507854,0.33823382338233826
"{""0"": 0.010808646917534028, ""1"": 0.010708566853482785, ""2"": 0.008306645316253003, ""3"": 0.011609287429943955, ""4"": 0.011409127301841474, ""5"": 0.012309847878302643, ""6"": 0.01601281024819856, ""7"": 0.016813450760608487, ""8"": 0.023718975180144115, ""9"": 0.024319455564451562, ""10"": 0.02912329863891113, ""11"": 0.02812249799839872, ""12"": 0.027722177742193755, ""13"": 0.04203362690152122, ""14"": 0.045636509207365894, ""15"": 0.050140112089671736, ""16"": 0.044035228182546036, ""17"": 0.04883907125700561, ""18"": 0.048638911128903124, ""19"": 0.051140912730184146, ""20"": 0.058546837469975986, ""21"": 0.05024019215372298, ""22"": 0.04453562850280224, ""23"": 0.039031224979983986, ""24"": 0.037530024019215374, ""25"": 0.032526020816653324, ""26"": 0.03182546036829464, ""27"": 0.02011609287429944, ""28"": 0.018414731785428344, ""29"": 0.020316253002401922, ""30"": 0.014311449159327463, ""31"": 0.014411529223378704, ""32"": 0.011809447558046438, ""33"": 0.007606084867894315, ""34"": 0.008406725380304243, ""35"": 0.005304243394715772, ""36"": 0.005404323458767014, ""37"": 0.004303442754203363, ""38"": 0.0033026421136909527, ""39"": 0.0019015212169735788, ""40"": 0.0017013610888710969, ""41"": 0.001301040832666133, ""42"": 0.001801441152922338, ""44"": 0.001100880704563651, ""57"": 0.001401120896717374, ""80"": 0.001401120896717374}",Jalen Johnson,17896040,ATL,NYK,True,21681992,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,18.304543634907926,18,20,0.010808646917534028,0.9891913530824661,0.9784827862289832,0.9701761409127303,0.9585668534827864,0.9471577261809448,0.9348478783026423,0.9188350680544436,0.9020216172938352,0.878302642113691,0.8539831865492394,0.8248598879103283,0.7967373899119297,0.7690152121697359,0.7269815852682147,0.6813450760608487,0.6312049639711771,0.587169735788631,0.5383306645316254,0.4896917534027222,0.4385508406725381,,,,,pre_close,2026-04-30T23:34:43Z,6aea017#phase10c,e3686ada-ab5b-48e4-b18f-fb3ae10e7bac,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,21,0.8242795316500017,0.07295911689319431,15.815452361889514,-5.184547638110486,0.0
"{""0"": 0.012621456476009216, ""1"": 0.020134228187919465, ""2"": 0.030451768005609538, ""3"": 0.04477611940298507, ""4"": 0.07152158669738556, ""5"": 0.08995291996393871, ""6"": 0.10728238004607835, ""7"": 0.11369327857357509, ""8"": 0.11589702494240209, ""9"": 0.10648101773014125, ""10"": 0.08233997796253631, ""11"": 0.0694180106180507, ""12"": 0.05088650706200541, ""13"": 0.034959431032755686, ""14"": 0.019232695582490234, ""15"": 0.011820094160072124, ""16"": 0.008814985475308025, ""17"": 0.0048081738956225585, ""18"": 0.003806471000701192, ""19"": 0.001101873184413503}",Jalen Johnson,17896040,ATL,NYK,True,21681992,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,7.687168185916057,8,8,0.012621456476009216,0.9873785435239908,0.9672443153360714,0.9367925473304618,0.8920164279274768,0.8204948412300912,0.7305419212661525,0.6232595412200742,0.5095662626464991,0.393669237704097,0.28718821997395577,0.20484824201141946,0.13543023139336874,0.08454372433136333,0.04958429329860764,0.0303515977161174,0.018531503556045277,0.009716518080737254,0.0049083441851146955,0.001101873184413503,0.0,,,,,pre_close,2026-04-30T23:34:43Z,6aea017#phase10c,e3686ada-ab5b-48e4-b18f-fb3ae10e7bac,ok,1.1102230246251565e-16,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,8,2.155053198142749,0.04064617703446554,7.687168185916057,-0.31283181408394256,0.11589702494240206
"{""0"": 0.04176264396594892, ""1"": 0.05848773159739609, ""2"": 0.0987481221832749, ""3"": 0.12248372558838257, ""4"": 0.15212819228843263, ""5"": 0.14611917876815222, ""6"": 0.12919379068602904, ""7"": 0.09334001001502254, ""8"": 0.06649974962443665, ""9"": 0.044466700050075116, ""10"": 0.02513770655983976, ""11"": 0.011517275913870806, ""12"": 0.004606910365548322, ""13"": 0.002503755633450175, ""14"": 0.001802704056084126, ""15"": 0.001201802704056084}",Jalen Johnson,17896040,ATL,NYK,True,21681992,,ast,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,4.832448673009514,5,4,0.04176264396594892,0.9582373560340509,0.899749624436655,0.8010015022533801,0.6785177766649975,0.5263895843765648,0.38027040560841263,0.25107661492238353,0.15773660490736105,0.09123685528292438,0.046770155232849275,0.02163244867300951,0.010115172759138707,0.005508262393590386,0.00300450676014021,0.001201802704056084,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-04-30T23:34:43Z,6aea017#phase10c,e3686ada-ab5b-48e4-b18f-fb3ae10e7bac,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,6,2.046441748494197,0.04310800401904809,4.832448673009515,-1.167551326990485,0.12919379068602913
"{""0"": 0.2719, ""1"": 0.3417, ""2"": 0.2165, ""3"": 0.0958, ""4"": 0.0508, ""15"": 0.0233}",Jalen Johnson,17896040,ATL,NYK,True,21681992,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,1.6148,1,1,0.2719,0.7281000000000001,0.3864,0.1699,0.0741,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-04-30T23:34:43Z,6aea017#phase10c,e3686ada-ab5b-48e4-b18f-fb3ae10e7bac,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,2,1.5301647315395923,0.024538159000000004,1.6148,-0.3852,0.21650000000000003
"{""0"": 0.023661519951874873, ""1"": 0.03839983958291558, ""2"": 0.05293763785843192, ""3"": 0.0875275716863846, ""4"": 0.11038700621616201, ""5"": 0.13585321836775616, ""6"": 0.15560457188690596, ""7"": 0.13675556446761578, ""8"": 0.09825546420693804, ""9"": 0.06536996190094244, ""10"": 0.043513134148786846, ""11"": 0.025566472829356323, ""12"": 0.01263284539803489, ""13"": 0.008221375576498897, ""14"": 0.0037096450772007216, ""15"": 0.0016041708441949067}",Jalen Brunson,73,NYK,ATL,False,21681992,,ast,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,5.843793864046521,6,6,0.023661519951874873,0.9763384800481251,0.9379386404652095,0.8850010026067776,0.797473430920393,0.687086424704231,0.5512332063364749,0.3956286344495688,0.25887306998195303,0.16061760577501502,0.09524764387407259,0.05173450972528574,0.026168036895929416,0.013535191497894526,0.005313815921395629,0.0016041708441949067,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-04-30T23:34:43Z,6aea017#phase10c,e3686ada-ab5b-48e4-b18f-fb3ae10e7bac,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,8,2.3201844144414507,0.06554695205328118,5.843793864046521,-2.1562061359534788,0.09825546420693801
"{""0"": 0.16471647164716471, ""1"": 0.3116311631163116, ""2"": 0.24672467246724672, ""3"": 0.15051505150515052, ""4"": 0.0624062406240624, ""5"": 0.0407040704070407, ""15"": 0.0233023302330233}",Jalen Brunson,73,NYK,ATL,False,21681992,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,2.059305930593059,2,1,0.16471647164716471,0.8352835283528353,0.5236523652365237,0.2769276927692769,0.1264126412641264,0.064006400640064,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-04-30T23:34:43Z,6aea017#phase10c,e3686ada-ab5b-48e4-b18f-fb3ae10e7bac,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,1,1.1659349599852107,0.020176961190468485,2.059305930593059,1.0593059305930592,0.31163116311631156
"{""0"": 0.06264408138719055, ""1"": 0.09662223113160269, ""2"": 0.14453242457652601, ""3"": 0.16026861782098828, ""4"": 0.1479402626039892, ""5"": 0.14252781397213593, ""6"": 0.10193444923323645, ""7"": 0.06434800040092212, ""8"": 0.03748621830209482, ""9"": 0.026460859977949284, ""10"": 0.010223514082389498, ""11"": 0.002806454846146136, ""12"": 0.0022050716648291074}",Josh Hart,202,NYK,ATL,False,21681992,,ast,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,3.9305402425578837,4,3,0.06264408138719055,0.9373559186128095,0.8407336874812068,0.6962012629046808,0.5359326450836925,0.38799238247970336,0.2454645685075674,0.14353011927433096,0.07918211887340884,0.041695900571314025,0.015235040593364741,0.0050115265109752435,0.0022050716648291074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-04-30T23:34:43Z,6aea017#phase10c,e3686ada-ab5b-48e4-b18f-fb3ae10e7bac,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,2,1.9342514050686126,0.052043615822053725,3.9305402425578837,1.9305402425578837,0.14453242457652604
"{""0"": 0.02291833466773419, ""1"": 0.02121697357886309, ""2"": 0.029723779023218575, ""3"": 0.03763010408326661, ""4"": 0.040132105684547635, ""5"": 0.05404323458767014, ""6"": 0.050640512409927944, ""7"": 0.058646917534027225, ""8"": 0.06805444355484389, ""9"": 0.05934747798238591, ""10"": 0.0705564451561249, ""11"": 0.06345076060848678, ""12"": 0.06385108086469175, ""13"": 0.057546036829463576, ""14"": 0.04843875100080064, ""15"": 0.04333466773418735, ""16"": 0.03763010408326661, ""17"": 0.03432746196957566, ""18"": 0.025520416333066454, ""19"": 0.027522017614091274, ""20"": 0.018614891913530822, ""21"": 0.01601281024819856, ""22"": 0.011709367493995197, ""23"": 0.009707766212970377, ""24"": 0.008306645316253003, ""25"": 0.006505204163330665, ""26"": 0.0050040032025620495, ""27"": 0.0029023218574859887, ""28"": 0.00100080064051241, ""29"": 0.001601281024819856, ""30"": 0.001301040832666133, ""39"": 0.001401120896717374, ""80"": 0.001401120896717374}",Onyeka Okongwu,3547244,ATL,NYK,True,21681992,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,10.871297037630105,10,10,0.02291833466773419,0.9770816653322658,0.9558646917534027,0.9261409127301842,0.8885108086469176,0.84837870296237,0.7943354683746998,0.7436949559647719,0.6850480384307446,0.6169935948759008,0.5576461168935148,0.48708967173738993,0.4236389111289031,0.3597878302642114,0.30224179343474783,0.2538030424339472,0.21046837469975982,0.1728382706164932,0.13851080864691753,0.11299039231385108,0.0854683746997598,,,,,pre_close,2026-04-30T23:34:43Z,6aea017#phase10c,e3686ada-ab5b-48e4-b18f-fb3ae10e7bac,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,4,3.215578624498845,0.19502316474877263,10.540532425940754,6.540532425940754,0.040132105684547614
