book,n,clv_close_minus_morning_p_mean,clv_book_close_minus_morning_p_mean,model_edge_movement_mean
betmgm,41,-0.13812403695158126,-2.7078610356711136e-18,2.7078610356711136e-18
betonlineag,41,-0.12494689260586367,0.00017888047890504756,-0.00017888047890504756
betparx,57,-0.12735346164676506,-7.791038769299344e-18,7.791038769299344e-18
betrivers,57,-0.12742695765174983,-5.843279076974508e-18,5.843279076974508e-18
bovada,166,-0.13170123651634077,-0.001592032720348336,0.0015920327203483358
draftkings,46,-0.11519359416608078,-0.007281680756371886,0.007281680756371886
espnbet,97,-0.11995594826928228,-0.0008757332021289473,0.0008757332021289473
fanatics,5,-0.12684103833440408,0.0224335336733645,-0.0224335336733645
fanduel,150,-0.1336329835661669,-0.004861746753090162,0.004861746753090162
fliff,47,-0.13382096989038064,-0.007561218590908842,0.0075612185909088424
hardrockbet,42,-0.1428691998558073,-0.004116229194217724,0.004116229194217725
hardrockbet_az,42,-0.1428691998558073,-0.004116229194217724,0.004116229194217725
hardrockbet_fl,48,-0.1331685100058921,-0.009260905262966053,0.009260905262966053
williamhill_us,46,-0.12191493170338123,-0.002907302868514909,0.002907302868514909
