pmf_json,player_name,player_id,team,opponent,is_home,game_id,game_start_time,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,role_bucket,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,actual_outcome,pmf_nll,pmf_rps,pmf_mean,mean_error,outcome_prob_assigned
"{""0"": 0.0072072072072072065, ""1"": 0.006306306306306305, ""2"": 0.007607607607607606, ""3"": 0.005605605605605605, ""4"": 0.006506506506506506, ""5"": 0.007007007007007006, ""6"": 0.008308308308308308, ""7"": 0.007307307307307306, ""8"": 0.0072072072072072065, ""9"": 0.009509509509509509, ""10"": 0.008608608608608608, ""11"": 0.014014014014014012, ""12"": 0.014714714714714713, ""13"": 0.01131131131131131, ""14"": 0.015415415415415414, ""15"": 0.01931931931931932, ""16"": 0.02262262262262262, ""17"": 0.021621621621621623, ""18"": 0.04014014014014013, ""19"": 0.03283283283283283, ""20"": 0.04224224224224224, ""21"": 0.04404404404404404, ""22"": 0.048148148148148134, ""23"": 0.05245245245245245, ""24"": 0.04604604604604604, ""25"": 0.04404404404404404, ""26"": 0.05175175175175175, ""27"": 0.04474474474474474, ""28"": 0.046446446446446445, ""29"": 0.03383383383383383, ""30"": 0.03373373373373373, ""31"": 0.030730730730730727, ""32"": 0.02432432432432432, ""33"": 0.022922922922922924, ""34"": 0.023223223223223222, ""35"": 0.022122122122122122, ""36"": 0.02262262262262262, ""37"": 0.014014014014014012, ""38"": 0.014114114114114113, ""39"": 0.010110110110110109, ""40"": 0.01031031031031031, ""41"": 0.006206206206206205, ""42"": 0.005405405405405406, ""43"": 0.005005005005005005, ""44"": 0.005005005005005005, ""45"": 0.004504504504504504, ""46"": 0.0030030030030030025, ""47"": 0.004404404404404405, ""48"": 0.0028028028028028026, ""49"": 0.0019019019019019016, ""50"": 0.0014014014014014013, ""51"": 0.0013013013013013011, ""55"": 0.0011011011011011012, ""65"": 0.0014014014014014013, ""80"": 0.0014014014014014013}",Jaylen Brown,70,BOS,PHI,True,21682743,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,24.397997997997994,24,23,0.0072072072072072065,0.9927927927927926,0.9864864864864864,0.9788788788788787,0.9732732732732732,0.9667667667667668,0.9597597597597597,0.9514514514514514,0.944144144144144,0.9369369369369369,0.9274274274274275,0.9188188188188189,0.9048048048048047,0.89009009009009,0.8787787787787789,0.8633633633633633,0.844044044044044,0.8214214214214213,0.7997997997997998,0.7596596596596596,0.7268268268268268,,,,,pre_close,2026-05-02T23:27:22Z,04ee0aa#phase10c,961d5a39-9501-4b4b-a68a-2fd588c2dbee,ok,2.220446049250313e-16,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,33,0.3190670322623524,0.015430793656519365,18.025525525525527,-14.974474474474473,0.0
"{""0"": 0.01713426853707415, ""1"": 0.02785571142284569, ""2"": 0.04589178356713427, ""3"": 0.06633266533066132, ""4"": 0.0845691382765531, ""5"": 0.1093186372745491, ""6"": 0.12675350701402804, ""7"": 0.12194388777555111, ""8"": 0.09879759519038075, ""9"": 0.09158316633266532, ""10"": 0.06953907815631263, ""11"": 0.050300601202404815, ""12"": 0.032364729458917836, ""13"": 0.02264529058116232, ""14"": 0.015731462925851702, ""15"": 0.009118236472945893, ""16"": 0.0056112224448897794, ""17"": 0.0028056112224448897, ""18"": 0.0017034068136272545}",Jaylen Brown,70,BOS,PHI,True,21682743,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,6.888877755511022,7,6,0.01713426853707415,0.9828657314629259,0.9550100200400802,0.909118236472946,0.8427855711422845,0.7582164328657315,0.6488977955911823,0.5221442885771543,0.40020040080160313,0.3014028056112224,0.20981963927855715,0.1402805611222445,0.08997995991983967,0.05761523046092184,0.03496993987975952,0.019238476953907815,0.010120240480961924,0.0045090180360721445,0.0017034068136272545,0.0,0.0,,,,,pre_close,2026-05-02T23:27:22Z,04ee0aa#phase10c,961d5a39-9501-4b4b-a68a-2fd588c2dbee,ok,2.220446049250313e-16,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,9,2.3905077978513605,0.06850033885406083,6.888877755511021,-2.1111222444889792,0.09158316633266525
"{""0"": 0.10381038103810382, ""1"": 0.26372637263726373, ""2"": 0.2613261326132613, ""3"": 0.18101810181018102, ""4"": 0.0965096509650965, ""5"": 0.038303830383038306, ""6"": 0.032003200320032, ""15"": 0.0233023302330233}",Jaylen Brown,70,BOS,PHI,True,21682743,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,2.4485448544854487,2,1,0.10381038103810382,0.8961896189618962,0.6324632463246325,0.37113711371137115,0.19011901190119013,0.09360936093609362,0.0553055305530553,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-02T23:27:22Z,04ee0aa#phase10c,961d5a39-9501-4b4b-a68a-2fd588c2dbee,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,3,1.709158242715978,0.029709101523213634,2.4485448544854487,-0.5514551455145513,0.18101810181018102
"{""0"": 0.015306122448979591, ""1"": 0.015706282513005203, ""2"": 0.013705482192877153, ""3"": 0.01790716286514606, ""4"": 0.018007202881152463, ""5"": 0.02450980392156863, ""6"": 0.029711884753901564, ""7"": 0.03031212484993998, ""8"": 0.034713885554221696, ""9"": 0.040116046418567426, ""10"": 0.04581832733093238, ""11"": 0.047418967587034816, ""12"": 0.05072028811524611, ""13"": 0.0466186474589836, ""14"": 0.04971988795518208, ""15"": 0.058823529411764705, ""16"": 0.05552220888355343, ""17"": 0.04461784713885555, ""18"": 0.04931972789115646, ""19"": 0.04391756702681073, ""20"": 0.03791516606642658, ""21"": 0.03601440576230493, ""22"": 0.034813925570228096, ""23"": 0.026210484193677476, ""24"": 0.030212084833933575, ""25"": 0.018907563025210086, ""26"": 0.01780712284913966, ""27"": 0.013705482192877153, ""28"": 0.012905162064825932, ""29"": 0.008803521408563428, ""30"": 0.0055022008803521415, ""31"": 0.005002000800320129, ""32"": 0.004401760704281714, ""33"": 0.003601440576230492, ""34"": 0.0024009603841536617, ""35"": 0.002601040416166467, ""36"": 0.0024009603841536617, ""37"": 0.0015006002400960387, ""46"": 0.001400560224089636, ""80"": 0.001400560224089636}",Paul George,172,PHI,BOS,False,21682743,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,15.064325730292119,15,15,0.015306122448979591,0.9846938775510206,0.9689875950380153,0.9552821128451381,0.9373749499799922,0.9193677470988396,0.894857943177271,0.8651460584233694,0.8348339335734295,0.8001200480192078,0.7600040016006404,0.7141856742697079,0.6667667066826731,0.616046418567427,0.5694277711084434,0.5197078831532613,0.4608843537414966,0.40536214485794325,0.36074429771908767,0.3114245698279312,0.2675070028011205,,,,,pre_close,2026-05-02T23:27:22Z,04ee0aa#phase10c,961d5a39-9501-4b4b-a68a-2fd588c2dbee,ok,1.1102230246251565e-16,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,13,3.065754657829198,0.08888014889829482,13.81272509003601,0.8127250900360092,0.046618647458983566
"{""0"": 0.03684790227295484, ""1"": 0.06408330830079102, ""2"": 0.10834084309602483, ""3"": 0.13227195353960147, ""4"": 0.1526985080604786, ""5"": 0.1600080104135376, ""6"": 0.10874136377290478, ""7"": 0.09752678482026635, ""8"": 0.05757484730149194, ""9"": 0.03604686091919495, ""10"": 0.021027335536197057, ""11"": 0.013417442675478121, ""12"": 0.006908981676179033, ""13"": 0.0029037749073795934, ""14"": 0.0016020827075197757}",Paul George,172,PHI,BOS,False,21682743,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,4.70952237909282,5,5,0.03684790227295484,0.963152097727045,0.8990687894262541,0.7907279463302292,0.6584559927906278,0.5057574847301491,0.34574947431661157,0.2370081105437068,0.13948132572344046,0.08190647842194854,0.04585961750275358,0.024832281966556524,0.0114148392910784,0.0045058576148993695,0.0016020827075197757,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-02T23:27:22Z,04ee0aa#phase10c,961d5a39-9501-4b4b-a68a-2fd588c2dbee,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,3,2.0228952217208094,0.047472338351461994,4.709522379092821,1.709522379092821,0.13227195353960144
"{""0"": 0.0858085808580858, ""1"": 0.24802480248024802, ""2"": 0.2638263826382638, ""3"": 0.19171917191719173, ""4"": 0.10871087108710871, ""5"": 0.0443044304430443, ""6"": 0.0343034303430343, ""15"": 0.0233023302330233}",Paul George,172,PHI,BOS,False,21682743,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,2.5625562556255623,2,2,0.0858085808580858,0.9141914191419142,0.6661666166616662,0.40234023402340235,0.21062106210621062,0.1019101910191019,0.057605760576057596,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-02T23:27:22Z,04ee0aa#phase10c,961d5a39-9501-4b4b-a68a-2fd588c2dbee,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,3,1.6517236239302049,0.026947868304182145,2.5625562556255628,-0.4374437443744372,0.19171917191719173
"{""0"": 0.0359, ""1"": 0.1614, ""2"": 0.2423, ""3"": 0.2122, ""4"": 0.1551, ""5"": 0.0897, ""6"": 0.0406, ""7"": 0.0146, ""8"": 0.0249, ""15"": 0.0233}",Payton Pritchard,3547276,BOS,PHI,True,21682743,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,3.246,3,2,0.0359,0.9641,0.8027,0.5603999999999999,0.34819999999999995,0.1931,0.1034,0.0628,0.0482,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-02T23:27:22Z,04ee0aa#phase10c,961d5a39-9501-4b4b-a68a-2fd588c2dbee,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,2,1.4175786511596566,0.02667769900000001,3.2459999999999996,1.2459999999999996,0.24230000000000007
"{""0"": 0.019923908690428517, ""1"": 0.017921505806968364, ""2"": 0.020324389267120546, ""3"": 0.019022827392871446, ""4"": 0.02442931517821386, ""5"": 0.0329395274329195, ""6"": 0.04084901882258711, ""7"": 0.03894673608329996, ""8"": 0.042050460552663205, ""9"": 0.048057669203043656, ""10"": 0.0538646375650781, ""11"": 0.05716860232278735, ""12"": 0.05166199439327193, ""13"": 0.05496595915098118, ""14"": 0.05406487785342411, ""15"": 0.04665598718462155, ""16"": 0.047857428914697644, ""17"": 0.04325190228273929, ""18"": 0.03774529435322387, ""19"": 0.03364036844213056, ""20"": 0.03434120945134161, ""21"": 0.024629555466559875, ""22"": 0.02352823388065679, ""23"": 0.022527032438926713, ""24"": 0.021325590708850622, ""25"": 0.016619943932719265, ""26"": 0.015818982779335206, ""27"": 0.011613936724068883, ""28"": 0.00881057268722467, ""29"": 0.00881057268722467, ""30"": 0.0045054064877853425, ""31"": 0.004805766920304365, ""32"": 0.003904685622747297, ""33"": 0.0027032438926712058, ""34"": 0.0024028834601521826, ""35"": 0.0023027633159791753, ""36"": 0.0019022827392871447, ""38"": 0.001301561874249099, ""43"": 0.0014016820184221067, ""80"": 0.0014016820184221067}",VJ Edgecombe,1057261935,PHI,BOS,False,21682743,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,13.788145774929918,13,11,0.019923908690428517,0.9800760913095716,0.9621545855026031,0.9418301962354826,0.9228073688426112,0.8983780536643974,0.8654385262314779,0.8245895074088907,0.7856427713255908,0.7435923107729276,0.6955346415698839,0.6416700040048059,0.5845014016820185,0.5328394072887465,0.4778734481377654,0.4238085702843413,0.3771525830997197,0.3292951541850221,0.28604325190228275,0.2482979575490589,0.21465758910692834,,,,,pre_close,2026-05-02T23:27:22Z,04ee0aa#phase10c,961d5a39-9501-4b4b-a68a-2fd588c2dbee,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,23,1.538711129208971,0.1963997691302451,12.736183420104128,-10.263816579895872,0.0
"{""0"": 0.1434, ""1"": 0.2927, ""2"": 0.2454, ""3"": 0.1617, ""4"": 0.0766, ""5"": 0.0284, ""6"": 0.0285, ""15"": 0.0233}",VJ Edgecombe,1057261935,PHI,BOS,False,21682743,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,2.2375,2,1,0.1434,0.8566,0.5639,0.3185,0.1568,0.08020000000000001,0.0518,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-02T23:27:22Z,04ee0aa#phase10c,961d5a39-9501-4b4b-a68a-2fd588c2dbee,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,5,3.5613661338149765,0.11198882749999998,2.2375000000000003,-2.7624999999999997,0.02840000000000001
"{""0"": 0.014040718082439074, ""1"": 0.021061077123658612, ""2"": 0.03700732123157156, ""3"": 0.05435763714772841, ""4"": 0.07441580583692708, ""5"": 0.10891585598234882, ""6"": 0.12215424731721994, ""7"": 0.12777053455019557, ""8"": 0.11834319526627218, ""9"": 0.08765419717179822, ""10"": 0.07642162270584696, ""11"": 0.0575669441380002, ""12"": 0.038511683883261455, ""13"": 0.021763113027780563, ""14"": 0.014141008925885067, ""15"": 0.01273693711764116, ""16"": 0.006017450606759603, ""17"": 0.004513087955069702, ""18"": 0.002607561929595828}",Joel Embiid,145,PHI,BOS,False,21682743,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,7.214822986661318,7,7,0.014040718082439074,0.985959281917561,0.9648982047939024,0.9278908835623307,0.8735332464146024,0.7991174405776753,0.6902015845953265,0.5680473372781065,0.4402768027279109,0.3219336074616388,0.23427941028984053,0.15785778758399358,0.10029084344599337,0.06177915956273192,0.040016046534951354,0.025875037609066294,0.013138100491425133,0.00712064988466553,0.002607561929595828,0.0,0.0,,,,,pre_close,2026-05-02T23:27:22Z,04ee0aa#phase10c,961d5a39-9501-4b4b-a68a-2fd588c2dbee,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,12,3.2567936062410663,0.16149622844168054,7.21482298666132,-4.78517701333868,0.038511683883261455
