player_id,player_name,stat,line,actual,p_realized,model_p_over,market_no_vig_over_prob,over_realized,nll
192,James Harden,ast,6.5,3,0.0876,,,0.0,2.4349742810397914
192,James Harden,fg3m,2.5,1,0.261,,,0.0,1.3432348716594436
192,James Harden,stl,1.5,3,0.0446,,,1.0,3.1100214199561185
192,James Harden,blk,0.5,0,0.7553,,,0.0,0.2806402576627348
322,Donovan Mitchell,pts,25.5,22,0.0467,,,0.0,3.0640111143072857
322,Donovan Mitchell,reb,4.5,3,0.1191,,,0.0,2.127791802620883
322,Donovan Mitchell,fg3m,2.5,2,0.2423,,,0.0,1.417578651159657
322,Donovan Mitchell,stl,1.5,0,0.5132,,,0.0,0.6670896462406557
3547299,Sam Merrill,stl,0.5,0,0.701,,,0.0,0.355247391947547
1028029111,Ja'Kobe Walter,reb,3.5,2,0.1968,,,0.0,1.625567294363984
1028029111,Ja'Kobe Walter,fg3m,2.5,3,0.1751,,,1.0,1.742398039690331
1028029111,Ja'Kobe Walter,stl,1.5,3,0.0534,,,1.0,2.9299445330159877
9,Jarrett Allen,pts,11.5,22,0.0126,,,1.0,4.374058465024705
9,Jarrett Allen,blk,1.5,3,0.0214,,,1.0,3.844364356954331
17896076,Evan Mobley,pts,16.5,13,0.0585,,,0.0,2.8387285247443264
17896076,Evan Mobley,reb,8.5,7,0.1133,,,0.0,2.1777161109481766
17896076,Evan Mobley,blk,1.5,1,0.399,,,0.0,0.9187938620922735
666423,RJ Barrett,pts,23.5,23,0.0408,,,0.0,3.199073197572021
666423,RJ Barrett,reb,5.5,4,0.1305,,,0.0,2.036382052219389
666423,RJ Barrett,ast,3.5,6,0.0538,,,1.0,2.9224818118143983
666423,RJ Barrett,stl,0.5,3,0.0715,,,1.0,2.6380578292821752
1057268940,Collin Murray-Boyles,pts,12.5,8,0.0708,,,0.0,2.647896278282463
1057268940,Collin Murray-Boyles,blk,0.5,1,0.4509,,,1.0,0.7965096935550985
373,Jakob Poeltl,reb,5.5,7,0.0906,,,1.0,2.4013010659332035
17896055,Scottie Barnes,pts,21.5,24,0.0334,,,1.0,3.3991993789994823
17896055,Scottie Barnes,reb,6.5,9,0.0656,,,1.0,2.7241795830320936
17896055,Scottie Barnes,ast,7.5,6,0.1327,,,0.0,2.019664337643975
17896055,Scottie Barnes,fg3m,1.0,1,0.3256,,,0.5,1.1220856448537517
17896055,Scottie Barnes,blk,1.5,1,0.4127,,,0.0,0.8850343422236009
409,Dennis Schroder,fg3m,0.5,0,0.3764,,,0.0,0.9771028712709124
1028038426,Jamal Shead,pts,8.5,14,0.0275,,,1.0,3.5935692743096115
1028038426,Jamal Shead,ast,5.5,7,0.0744,,,1.0,2.598299337143091
1028038426,Jamal Shead,fg3m,1.5,2,0.2226,,,1.0,1.5023788401406926
1028038426,Jamal Shead,stl,1.5,0,0.3527,,,0.0,1.0421374417401308
17896059,Sandro Mamukelashvili,reb,3.5,0,0.0423,,,0.0,3.1629681929299047
