pmf_json,player_name,player_id,team,opponent,is_home,game_id,game_start_time,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,role_bucket,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,actual_outcome,pmf_nll,pmf_rps,pmf_mean,mean_error,outcome_prob_assigned
"{""0"": 0.026547786014826685, ""1"": 0.037467441394510116, ""2"": 0.05660188339010218, ""3"": 0.08775796433580443, ""4"": 0.12001602885193348, ""5"": 0.1563814866760168, ""6"": 0.14756561811260266, ""7"": 0.13143658585453816, ""8"": 0.09036265277499499, ""9"": 0.05900621118012422, ""10"": 0.03917050691244239, ""11"": 0.02614706471648968, ""12"": 0.011520737327188939, ""13"": 0.005610098176718092, ""14"": 0.002504508114606291, ""15"": 0.0019034261671007813}",James Harden,192,CLE,TOR,True,21682000,,ast,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,5.6894409937888195,6,5,0.026547786014826685,0.9734522139851731,0.935984772590663,0.8793828892005608,0.7916249248647564,0.671608896012823,0.5152274093368062,0.36766179122420356,0.23622520536966538,0.1458625525946704,0.08685634141454618,0.047685834502103785,0.021538769785614104,0.010018032458425164,0.004407934281707072,0.0019034261671007813,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-03T23:28:12Z,a9bdb1c#phase10c,154fd8f4-e96a-49eb-8d21-7605c8bd60ec,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,3,2.4331726590931635,0.07925988779402204,5.6894409937888195,2.6894409937888195,0.08775796433580442
"{""0"": 0.10141014101410141, ""1"": 0.26102610261026105, ""2"": 0.2619261926192619, ""3"": 0.18191819181918192, ""4"": 0.0991099109910991, ""5"": 0.039003900390039, ""6"": 0.032303230323032305, ""15"": 0.0233023302330233}",James Harden,192,CLE,TOR,True,21682000,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,2.4654465446544656,2,2,0.10141014101410141,0.8985898589858985,0.6375637563756376,0.37563756375637564,0.19371937193719369,0.09460946094609461,0.0556055605560556,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0233023302330233,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-03T23:28:12Z,a9bdb1c#phase10c,154fd8f4-e96a-49eb-8d21-7605c8bd60ec,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,1,1.3431348666591105,0.030616612516337134,2.4654465446544656,1.4654465446544656,0.261026102610261
"{""0"": 0.007405183628539979, ""1"": 0.010407285099569698, ""2"": 0.008105673971780246, ""3"": 0.00920644451115781, ""4"": 0.007004903432402682, ""5"": 0.011808265786050235, ""6"": 0.010007004903432403, ""7"": 0.01390973681577104, ""8"": 0.013509456619633743, ""9"": 0.011708195737015911, ""10"": 0.01491043730611428, ""11"": 0.01841288902231562, ""12"": 0.01961372961072751, ""13"": 0.02531772240568398, ""14"": 0.02671870309216452, ""15"": 0.028620034023816673, ""16"": 0.03242269588712098, ""17"": 0.03422395676973882, ""18"": 0.04182928049634744, ""19"": 0.044230961673171226, ""20"": 0.05223656559591715, ""21"": 0.04753327329130391, ""22"": 0.04673271289902932, ""23"": 0.04393075152606825, ""24"": 0.05063544481136796, ""25"": 0.0462323626538577, ""26"": 0.03642549784849395, ""27"": 0.03832682878014611, ""28"": 0.035825077554288, ""29"": 0.03682577804463124, ""30"": 0.026918843190233164, ""31"": 0.026918843190233164, ""32"": 0.02181527068948264, ""33"": 0.017812468728109678, ""34"": 0.016311417992594817, ""35"": 0.013709596717702393, ""36"": 0.011808265786050235, ""37"": 0.007505253677574302, ""38"": 0.007805463824677274, ""39"": 0.004603222255578905, ""40"": 0.004603222255578905, ""41"": 0.003002101471029721, ""42"": 0.0031021715200640447, ""43"": 0.0023016111277894525, ""44"": 0.0019013309316521566, ""45"": 0.0018012608826178324, ""49"": 0.0012008405884118883, ""59"": 0.0014009806864805365, ""80"": 0.0014009806864805365}",Donovan Mitchell,322,CLE,TOR,True,21682000,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,21.527068948263786,22,20,0.007405183628539979,0.99259481637146,0.9821875312718904,0.9740818573001101,0.9648754127889523,0.9578705093565496,0.9460622435704994,0.936055238667067,0.922145501851296,0.9086360452316622,0.8969278494946462,0.882017412188532,0.8636045231662164,0.8439907935554889,0.8186730711498049,0.7919543680576404,0.7633343340338237,0.7309116381467027,0.6966876813769639,0.6548584008806164,0.6106274392074452,,,,,pre_close,2026-05-03T23:28:12Z,a9bdb1c#phase10c,154fd8f4-e96a-49eb-8d21-7605c8bd60ec,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,22,0.4932682615851744,0.0330129734865241,17.138096667667366,-4.861903332332634,0.0
"{""0"": 0.03224837255883826, ""1"": 0.06119178768152229, ""2"": 0.08933400100150227, ""3"": 0.11927891837756635, ""4"": 0.142914371557336, ""5"": 0.15092638958437657, ""6"": 0.12498748122183274, ""7"": 0.10585878818227341, ""8"": 0.07100650976464698, ""9"": 0.04306459689534301, ""10"": 0.03154732098147221, ""11"": 0.01442163244867301, ""12"": 0.0078117175763645465, ""13"": 0.0034051076614922383, ""14"": 0.0020030045067601404}",Donovan Mitchell,322,CLE,TOR,True,21682000,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,5.010716074111167,5,5,0.03224837255883826,0.9677516274411617,0.9065598397596395,0.8172258387581371,0.6979469203805708,0.5550325488232349,0.4041061592388583,0.27911867801702556,0.17325988983475213,0.10225338007010516,0.05918878317476215,0.027641462193289938,0.013219829744616924,0.005408112168252379,0.0020030045067601404,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-03T23:28:12Z,a9bdb1c#phase10c,154fd8f4-e96a-49eb-8d21-7605c8bd60ec,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,3,2.1262906764946155,0.056226380131037826,5.010716074111167,2.0107160741111674,0.11927891837756634
"{""0"": 0.1766, ""1"": 0.3162, ""2"": 0.2423, ""3"": 0.1439, ""4"": 0.0592, ""5"": 0.0385, ""15"": 0.0233}",Donovan Mitchell,322,CLE,TOR,True,21682000,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,2.0113,2,1,0.1766,0.8234,0.5072,0.2649,0.12100000000000001,0.0618,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-03T23:28:12Z,a9bdb1c#phase10c,154fd8f4-e96a-49eb-8d21-7605c8bd60ec,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,2,1.417578651159657,0.0184050275,2.0113,0.011299999999999866,0.24229999999999996
"{""0"": 0.1146062913243839, ""1"": 0.16599879783610497, ""2"": 0.19715487878180726, ""3"": 0.17701863354037267, ""4"": 0.1313364055299539, ""5"": 0.08685634141454618, ""6"": 0.05630134241634943, ""7"": 0.03185734321779203, ""8"": 0.01873372069725506, ""9"": 0.010418753756762171, ""10"": 0.006611901422560609, ""11"": 0.0018032458425165298, ""12"": 0.0013023442195952714}",Ja'Kobe Walter,1028029111,TOR,CLE,False,21682000,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,2.9570226407533555,3,2,0.1146062913243839,0.8853937086756161,0.7193949108395111,0.5222400320577039,0.3452213985173312,0.2138849929873773,0.1270286515728311,0.07072730915648168,0.03886996593868964,0.02013624524143458,0.00971749148467241,0.003105590062111801,0.0013023442195952714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-03T23:28:12Z,a9bdb1c#phase10c,154fd8f4-e96a-49eb-8d21-7605c8bd60ec,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,2,1.6237656724173557,0.02763469085066404,2.9570226407533555,0.9570226407533555,0.19715487878180726
"{""0"": 0.1145885411458854, ""1"": 0.27417258274172585, ""2"": 0.25687431256874316, ""3"": 0.17508249175082494, ""4"": 0.08979102089791022, ""5"": 0.0352964703529647, ""6"": 0.030896910308969103, ""15"": 0.023297670232976703}",Ja'Kobe Walter,1028029111,TOR,CLE,False,21682000,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,2.383661633836617,2,1,0.1145885411458854,0.8854114588541147,0.6112388761123888,0.35436456354364565,0.17928207179282074,0.08949105089491051,0.05419458054194581,0.023297670232976703,0.023297670232976703,0.023297670232976703,0.023297670232976703,0.023297670232976703,0.023297670232976703,0.023297670232976703,0.023297670232976703,0.023297670232976703,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-03T23:28:12Z,a9bdb1c#phase10c,154fd8f4-e96a-49eb-8d21-7605c8bd60ec,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,3,1.7424980346906642,0.03145418284888839,2.3836616338366166,-0.6163383661633834,0.1750824917508249
"{""0"": 0.026226226226226227, ""1"": 0.02842842842842843, ""2"": 0.026226226226226227, ""3"": 0.03993993993993994, ""4"": 0.04214214214214214, ""5"": 0.04754754754754755, ""6"": 0.05445445445445445, ""7"": 0.05905905905905905, ""8"": 0.05925925925925926, ""9"": 0.05905905905905905, ""10"": 0.06816816816816816, ""11"": 0.05905905905905905, ""12"": 0.06656656656656657, ""13"": 0.051451451451451455, ""14"": 0.05045045045045045, ""15"": 0.042942942942942944, ""16"": 0.03863863863863864, ""17"": 0.02972972972972973, ""18"": 0.02872872872872873, ""19"": 0.027427427427427428, ""20"": 0.02062062062062062, ""21"": 0.016716716716716717, ""22"": 0.012612612612612612, ""23"": 0.007707707707707708, ""24"": 0.00820820820820821, ""25"": 0.006806806806806807, ""26"": 0.007407407407407408, ""27"": 0.004004004004004004, ""28"": 0.0016016016016016017, ""29"": 0.0022022022022022024, ""31"": 0.0025025025025025025, ""32"": 0.0013013013013013013, ""44"": 0.0014014014014014013, ""80"": 0.0014014014014014013}",Jarrett Allen,9,CLE,TOR,True,21682000,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,10.95185185185185,10,10,0.026226226226226227,0.9737737737737737,0.9453453453453454,0.9191191191191191,0.8791791791791792,0.837037037037037,0.7894894894894895,0.735035035035035,0.675975975975976,0.6167167167167167,0.5576576576576577,0.48948948948948945,0.4304304304304304,0.3638638638638639,0.3124124124124124,0.2619619619619619,0.21901901901901902,0.18038038038038037,0.15065065065065067,0.1219219219219219,0.09449449449449449,,,,,pre_close,2026-05-03T23:28:12Z,a9bdb1c#phase10c,154fd8f4-e96a-49eb-8d21-7605c8bd60ec,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,22,2.3592137054970985,0.31073482591700813,10.553953953953956,-11.446046046046044,0.0
"{""0"": 0.018229166666666668, ""1"": 0.017427884615384616, ""2"": 0.017127403846153848, ""3"": 0.01953125, ""4"": 0.024138621794871796, ""5"": 0.025941506410256412, ""6"": 0.03335336538461539, ""7"": 0.037259615384615384, ""8"": 0.038161057692307696, ""9"": 0.045072115384615384, ""10"": 0.04607371794871795, ""11"": 0.05168269230769231, ""12"": 0.045572916666666664, ""13"": 0.05859375000000001, ""14"": 0.052283653846153855, ""15"": 0.05889423076923077, ""16"": 0.05108173076923077, ""17"": 0.04857772435897436, ""18"": 0.04226762820512821, ""19"": 0.050580929487179495, ""20"": 0.03415464743589743, ""21"": 0.031350160256410256, ""22"": 0.03145032051282051, ""23"": 0.02483974358974359, ""24"": 0.022636217948717948, ""25"": 0.014923878205128206, ""26"": 0.01201923076923077, ""27"": 0.011418269230769232, ""28"": 0.010116185897435898, ""29"": 0.007211538461538462, ""30"": 0.005208333333333333, ""31"": 0.004106570512820513, ""33"": 0.0024038461538461535, ""34"": 0.0022035256410256414, ""36"": 0.0013020833333333333, ""42"": 0.0014022435897435897, ""80"": 0.0014022435897435897}",Evan Mobley,17896076,CLE,TOR,True,21682000,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,14.116586538461538,14,15,0.018229166666666668,0.9817708333333333,0.9643429487179488,0.9472155448717949,0.9276842948717949,0.9035456730769231,0.8776041666666667,0.8442508012820513,0.8069911858974359,0.7688301282051282,0.7237580128205129,0.6776842948717949,0.6260016025641026,0.580428685897436,0.5218349358974359,0.4695512820512821,0.4106570512820513,0.3595753205128205,0.3109975961538462,0.26872996794871795,0.21814903846153846,,,,,pre_close,2026-05-03T23:28:12Z,a9bdb1c#phase10c,154fd8f4-e96a-49eb-8d21-7605c8bd60ec,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,13,2.8371272433773504,0.08261066815478481,13.189603365384619,0.18960336538461853,0.05859375000000012
"{""0"": 0.01162208195571586, ""1"": 0.016130648231640118, ""2"": 0.028253681995792004, ""3"": 0.04448452058911933, ""4"": 0.06332030858631402, ""5"": 0.07895000500951808, ""6"": 0.08395952309387837, ""7"": 0.11351567979160405, ""8"": 0.1195271014928364, ""9"": 0.11281434725979361, ""10"": 0.07895000500951808, ""11"": 0.07093477607454164, ""12"": 0.055705841098086364, ""13"": 0.04248071335537522, ""14"": 0.030057108506161705, ""15"": 0.02023845306081555, ""16"": 0.010620178338843805, ""17"": 0.008516180743412486, ""18"": 0.005209898807734696, ""19"": 0.002905520488928965, ""20"": 0.0018034265103697023}",Evan Mobley,17896076,CLE,TOR,True,21682000,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,8.138663460575092,8,8,0.01162208195571586,0.9883779180442843,0.9722472698126441,0.9439935878168522,0.8995090672277327,0.8361887586414187,0.7572387536319007,0.6732792305380223,0.5597635507464183,0.44023644925358185,0.3274221019937882,0.24847209698427017,0.1775373209097285,0.12183147981164213,0.0793507664562669,0.04929365795010521,0.029055204889289653,0.01843502655044585,0.009918845807033363,0.0047089469992986676,0.0018034265103697023,,,,,pre_close,2026-05-03T23:28:12Z,a9bdb1c#phase10c,154fd8f4-e96a-49eb-8d21-7605c8bd60ec,ok,1.1102230246251565e-16,high,full,current_phase8,fresh,projected,derived_from_projected_minutes,7,2.1758143036585804,0.04695688514921161,8.138663460575092,1.138663460575092,0.11351567979160401
