player_id,player_name,stat,model_mean,market_line,role_bucket,lineup_confirmed,injury_context,distribution_notes
161,De'Aaron Fox,pts,,17.5,0,,unavailable,—
161,De'Aaron Fox,reb,,3.5,0,,unavailable,—
387,Julius Randle,pts,,20.5,0,,unavailable,—
387,Julius Randle,reb,,6.5,0,,unavailable,—
387,Julius Randle,ast,,4.5,0,,unavailable,—
261,Luke Kornet,reb,,4.5,0,,unavailable,—
3547238,Anthony Edwards,pts,,24.5,0,,unavailable,—
3547238,Anthony Edwards,reb,,4.5,0,,unavailable,—
3547238,Anthony Edwards,ast,,3.5,0,,unavailable,—
3547238,Anthony Edwards,fg3m,,3.5,0,,unavailable,—
104,Mike Conley,fg3m,,1.5,0,,unavailable,—
1028025261,Stephon Castle,reb,,5.5,0,,unavailable,—
1028025261,Stephon Castle,ast,,7.5,0,,unavailable,—
3547246,Devin Vassell,blk,,0.5,0,,unavailable,—
17895983,Ayo Dosunmu,pts,,17.5,0,,unavailable,—
17895983,Ayo Dosunmu,ast,,3.5,0,,unavailable,—
17895983,Ayo Dosunmu,blk,,0.5,0,,unavailable,—
176,Rudy Gobert,blk,,1.5,0,,unavailable,—
38017649,Julian Champagnie,pts,,8.5,0,,unavailable,—
38017649,Julian Champagnie,reb,,4.5,0,,unavailable,—
38017649,Julian Champagnie,fg3m,,1.5,0,,unavailable,—
667378,Naz Reid,pts,,12.5,0,,unavailable,—
667378,Naz Reid,reb,,5.5,0,,unavailable,—
1057262518,Dylan Harper,stl,,0.5,0,,unavailable,—
666682,Keldon Johnson,reb,,3.5,0,,unavailable,—
666682,Keldon Johnson,fg3m,,0.5,0,,unavailable,—
3547259,Jaden McDaniels,pts,,16.5,0,,unavailable,—
3547259,Jaden McDaniels,ast,,2.5,0,,unavailable,—
56677822,Victor Wembanyama,pts,,27.5,0,,unavailable,—
56677822,Victor Wembanyama,reb,,11.5,0,,unavailable,—
56677822,Victor Wembanyama,ast,,3.5,0,,unavailable,—
56677822,Victor Wembanyama,blk,,3.5,0,,unavailable,—
17896033,Miles McBride,fg3m,,1.5,0,,unavailable,—
17896033,Miles McBride,stl,,0.5,0,,unavailable,—
360,Kelly Oubre Jr.,reb,,5.5,0,,unavailable,—
360,Kelly Oubre Jr.,stl,,0.5,0,,unavailable,—
360,Kelly Oubre Jr.,blk,,0.5,0,,unavailable,—
73,Jalen Brunson,pts,,27.5,0,,unavailable,—
73,Jalen Brunson,reb,,2.5,0,,unavailable,—
73,Jalen Brunson,ast,,6.5,0,,unavailable,—
73,Jalen Brunson,fg3m,,2.5,0,,unavailable,—
202,Josh Hart,ast,,4.5,0,,unavailable,—
172,Paul George,reb,,5.5,0,,unavailable,—
172,Paul George,fg3m,,2.5,0,,unavailable,—
1057261935,VJ Edgecombe,pts,,12.5,0,,unavailable,—
1057261935,VJ Edgecombe,stl,,1.5,0,,unavailable,—
399,Mitchell Robinson,reb,,7.5,0,,unavailable,—
145,Joel Embiid,reb,,8.5,0,,unavailable,—
145,Joel Embiid,stl,,0.5,0,,unavailable,—
145,Joel Embiid,blk,,1.5,0,,unavailable,—
18,OG Anunoby,pts,,17.5,0,,unavailable,—
18,OG Anunoby,reb,,6.5,0,,unavailable,—
18,OG Anunoby,stl,,1.5,0,,unavailable,—
18,OG Anunoby,blk,,0.5,0,,unavailable,—
17895858,Quentin Grimes,reb,,2.5,0,,unavailable,—
17895858,Quentin Grimes,fg3m,,0.5,0,,unavailable,—
3547254,Tyrese Maxey,pts,,25.5,0,,unavailable,—
3547254,Tyrese Maxey,reb,,3.5,0,,unavailable,—
3547254,Tyrese Maxey,ast,,6.5,0,,unavailable,—
3547254,Tyrese Maxey,fg3m,,2.5,0,,unavailable,—
61,Mikal Bridges,ast,,2.5,0,,unavailable,—
61,Mikal Bridges,fg3m,,1.5,0,,unavailable,—
61,Mikal Bridges,stl,,0.5,0,,unavailable,—
61,Mikal Bridges,blk,,0.5,0,,unavailable,—
447,Karl-Anthony Towns,pts,,19.5,0,,unavailable,—
