pmf_json,player_name,player_id,team,opponent,is_home,game_id,game_start_time,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,role_bucket,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status
"{""0"": 0.021987762641149777, ""1"": 0.020401087340554857, ""2"": 0.029792704752956176, ""3"": 0.040439824791459224, ""4"": 0.04516707284084764, ""5"": 0.051126191622344455, ""6"": 0.05660005689404131, ""7"": 0.06390471398293408, ""8"": 0.06466211384091551, ""9"": 0.06944893516018714, ""10"": 0.06871853252938197, ""11"": 0.06162382947740566, ""12"": 0.061895094130564106, ""13"": 0.05314437512607507, ""14"": 0.04699823375257032, ""15"": 0.0434968523865701, ""16"": 0.03705105293016925, ""17"": 0.03162553629347319, ""18"": 0.027356493898369187, ""19"": 0.021088730860742786, ""20"": 0.019362097056898397, ""21"": 0.013534153470355926, ""22"": 0.01084253472065651, ""23"": 0.009071025259680503, ""24"": 0.00721620219731741, ""25"": 0.006054528142411716, ""26"": 0.004862362144529273, ""27"": 0.002993492831120712, ""28"": 0.002555217269886833, ""29"": 0.0014930328673673009, ""30"": 0.001523536447123158, ""31"": 0.0013547287247553975, ""32"": 0.0005904674425310247, ""33"": 0.00029061926452032295, ""34"": 0.00027249760552644324, ""35"": 0.0002698220746633718, ""36"": 0.0002523369488629243, ""37"": 0.00014921554479630905, ""38"": 9.319213203823118e-05, ""39"": 6.548526429784399e-05, ""40"": 0.00022536084272730165, ""41"": 0.000123504207697166, ""42"": 8.261768625731355e-05, ""43"": 0.00016523537251460826, ""46"": 2.753922875242564e-05}",Jarrett Allen,9,CLE,DET,False,21709223,,pts,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core,phase8_role_aware_pmf_cal_v2,core,10.646310540840991,10,9,0.021987762641149777,0.9780122373588503,0.9576111500182954,0.9278184452653393,0.8873786204738802,0.8422115476330324,0.7910853560106881,0.7344852991166467,0.6705805851337125,0.6059184712927971,0.53646953613261,0.4677510036032281,0.4061271741258224,0.3442320799952583,0.29108770486918323,0.24408947111661292,0.20059261873004283,0.16354156579987358,0.13191602950640038,0.1045595356080312,0.08347080474728844,,,,,pre_close,2026-05-07T23:20:15Z,4aa32b8#phase10c,d61e6a92-0d12-48b1-8991-b233dd664751,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.019769177754638045, ""1"": 0.028354368031242173, ""2"": 0.0441101847404345, ""3"": 0.065198869522534, ""4"": 0.08819218632276861, ""5"": 0.10494545269441108, ""6"": 0.11877713073042334, ""7"": 0.1128464881368518, ""8"": 0.10696220193013407, ""9"": 0.0851124287889409, ""10"": 0.0692487248469767, ""11"": 0.04965509008129701, ""12"": 0.03626223434526008, ""13"": 0.023319817718632126, ""14"": 0.017480006146172775, ""15"": 0.010281348018103986, ""16"": 0.007462374972049626, ""17"": 0.004887968033809057, ""18"": 0.0025967176888188215, ""19"": 0.0018973355652214608, ""20"": 0.0009916484562616109, ""21"": 0.0007105327888293336, ""22"": 0.00031844974203173743, ""23"": 0.0002237052139847011, ""24"": 0.00010094441200045391, ""25"": 0.0001229230472861037, ""26"": 8.861433336048553e-05, ""27"": 2.215358334012138e-05, ""28"": 3.876877084520264e-05, ""29"": 5.538395835029237e-06, ""30"": 1.6615187505087658e-05}",Jarrett Allen,9,CLE,DET,False,21709223,,reb,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core,phase8_role_aware_pmf_cal_v2,core,7.032234497270481,7,6,0.019769177754638045,0.980230822245362,0.9518764542141198,0.9077662694736854,0.8425673999511513,0.7543752136283827,0.6494297609339715,0.5306526302035484,0.4178061420666965,0.31084394013656236,0.22573151134762157,0.15648278650064482,0.1068276964193478,0.07056546207408772,0.04724564435545559,0.029765638209282817,0.01948429019117883,0.012021915219129207,0.00713394718532015,0.004537229496501328,0.0026398939312798665,,,,,pre_close,2026-05-07T23:20:15Z,4aa32b8#phase10c,d61e6a92-0d12-48b1-8991-b233dd664751,ok,2.220446049250313e-16,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.4063869865169058, ""1"": 0.28016994164695935, ""2"": 0.17973323209462974, ""3"": 0.07931940838824535, ""4"": 0.03290932428273193, ""5"": 0.012415585144548344, ""6"": 0.004892555124682823, ""7"": 0.002821082077994954, ""8"": 0.0007225473259295749, ""9"": 0.0003644358471284569, ""10"": 0.00014056000625175107, ""11"": 9.731077355895222e-05, ""12"": 1.0812308173208934e-05, ""13"": 1.08123081732077e-05, ""14"": 5.406154086604155e-06}",Jarrett Allen,9,CLE,DET,False,21709223,,ast,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core,phase8_role_aware_pmf_cal_v2,core,1.1322950728134873,1,0,0.4063869865169058,0.5936130134830943,0.31344307183613496,0.13370983974150516,0.05439043135325981,0.021481107070527874,0.009065521925979533,0.00417296680129671,0.0013518847233017558,0.0006293373973721809,0.00026490155024372407,0.000124341543991973,2.703077043302079e-05,1.6218462259811856e-05,5.406154086604155e-06,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-07T23:20:15Z,4aa32b8#phase10c,d61e6a92-0d12-48b1-8991-b233dd664751,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 1.0}",Jarrett Allen,9,CLE,DET,False,21709223,,fg3m,,,,,,stat_grid:fg3m_hurdle_v1+role_aware_pmf_cal_v1:core,phase8_role_aware_pmf_cal_v2,core,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-07T23:20:15Z,4aa32b8#phase10c,d61e6a92-0d12-48b1-8991-b233dd664751,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.3106290548144177, ""1"": 0.29243311235524194, ""2"": 0.22084628314419577, ""3"": 0.10718277952874569, ""4"": 0.04361569465062365, ""5"": 0.015459145318932188, ""6"": 0.006212339788632359, ""7"": 0.002124890478970792, ""8"": 0.0008807551844272586, ""9"": 0.0003120882588950063, ""10"": 0.000168198723536132, ""11"": 9.244073947211495e-05, ""12"": 4.321701390942578e-05}",Jarrett Allen,9,CLE,DET,False,21709223,,tov,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core,phase8_role_aware_pmf_cal_v2,core,1.3726530698535566,1,0,0.3106290548144177,0.6893709451855823,0.3969378328303404,0.17609154968614465,0.06890877015739894,0.025293075506775276,0.009833930187843088,0.003621590399210729,0.0014966999202399378,0.000615944735812679,0.0003038564769176727,0.0001356577533815407,4.321701390942578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-07T23:20:15Z,4aa32b8#phase10c,d61e6a92-0d12-48b1-8991-b233dd664751,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.26632063718501003, ""1"": 0.11948129807704613, ""2"": 0.10476395029788663, ""3"": 0.08611458078717295, ""4"": 0.07862371799134962, ""5"": 0.06592009134822413, ""6"": 0.056230032728015356, ""7"": 0.045221083347098706, ""8"": 0.03777238954730976, ""9"": 0.03253775710864971, ""10"": 0.026340633055178215, ""11"": 0.02002213478501557, ""12"": 0.014598310867966419, ""13"": 0.009512812073781567, ""14"": 0.008591736755071829, ""15"": 0.006895224983244138, ""16"": 0.0049803694632628405, ""17"": 0.0035677951432473063, ""18"": 0.0024200065556144812, ""19"": 0.003172625916816317, ""20"": 0.0016028986802858547, ""21"": 0.0020286550227780805, ""22"": 0.0005130353052655674, ""23"": 0.0009756235325925036, ""24"": 0.0004660045868714312, ""25"": 0.00028221715442465175, ""26"": 0.0002530237793171322, ""27"": 0.00012194652769728257, ""28"": 9.72454914808954e-05, ""29"": 8.573631574122315e-05, ""30"": 6.767709229620113e-05, ""31"": 8.556600728545884e-05, ""32"": 0.00012363156199877485, ""33"": 2.6717938983686746e-05, ""34"": 8.551060569404859e-05, ""35"": 3.086052227825404e-05, ""36"": 3.234644889477849e-05, ""39"": 3.411540915254551e-05}",Lonzo Ball,27,CLE,DET,False,21709223,,pts,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,3.88849120942307,3,0,0.26632063718501003,0.7336793628149901,0.614198064737944,0.5094341144400574,0.4233195336528844,0.34469581566153473,0.27877572431331055,0.22254569158529525,0.1773246082381965,0.13955221869088674,0.10701446158223706,0.08067382852705884,0.06065169374204327,0.04605338287407685,0.03654057080029528,0.02794883404522346,0.021053609061979315,0.016073239598716475,0.012505444455469169,0.010085437899854686,0.006912811983038372,,,,,pre_close,2026-05-07T23:20:15Z,4aa32b8#phase10c,d61e6a92-0d12-48b1-8991-b233dd664751,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.18542683397589912, ""1"": 0.20916490713081373, ""2"": 0.17627985626024778, ""3"": 0.1447568887766228, ""4"": 0.09698218183575885, ""5"": 0.07055645881377984, ""6"": 0.0455681163219588, ""7"": 0.028042223567811816, ""8"": 0.016568031050020776, ""9"": 0.01080294762423433, ""10"": 0.007193492089511371, ""11"": 0.0033617237117127855, ""12"": 0.0024998110512747065, ""13"": 0.0011398011881720456, ""14"": 0.0005703266394083153, ""15"": 0.0003854836796322569, ""16"": 0.00026280428339093827, ""17"": 0.0001245957549014071, ""18"": 0.00010512717953571962, ""19"": 8.696869000659082e-05, ""20"": 5.059182304418585e-05, ""21"": 6.071018765301976e-05, ""22"": 1.0118364608838039e-05}",Lonzo Ball,27,CLE,DET,False,21709223,,reb,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,2.616054250381849,2,1,0.18542683397589912,0.8145731660241009,0.6054082588932872,0.42912840263303936,0.28437151385641657,0.18738933202065775,0.1168328732068779,0.0712647568849191,0.04322253331710729,0.026654502267086513,0.01585155464285218,0.00865806255334081,0.005296338841628024,0.002796527790353317,0.0016567266021812715,0.0010863999627729562,0.0007009162831406995,0.0004381119997497612,0.00031351624484835406,0.00020838906531263446,0.00012142037530604363,,,,,pre_close,2026-05-07T23:20:15Z,4aa32b8#phase10c,d61e6a92-0d12-48b1-8991-b233dd664751,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.2942523261934127, ""1"": 0.209397946707284, ""2"": 0.19372672275432512, ""3"": 0.13608376346832438, ""4"": 0.07904769558225425, ""5"": 0.04096640026282432, ""6"": 0.024604690348233295, ""7"": 0.010461033181033277, ""8"": 0.004961110073011381, ""9"": 0.0028799997899146097, ""10"": 0.0018026155135561289, ""11"": 0.0008098227219793623, ""12"": 0.00041976957675808065, ""13"": 0.00021312127328179464, ""14"": 0.00016933596856422972, ""15"": 0.00010861151212961337, ""16"": 5.883123573686491e-05, ""17"": 1.3576439016191957e-05, ""18"": 9.050959344122659e-06, ""19"": 4.525479672060585e-06, ""20"": 9.050959344122134e-06}",Lonzo Ball,27,CLE,DET,False,21709223,,ast,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,1.8529336319108505,1,0,0.2942523261934127,0.7057476738065873,0.4963497270993032,0.3026230043449781,0.1665392408766537,0.08749154529439945,0.04652514503157512,0.02192045468334184,0.011459421502308564,0.006498311429297182,0.003618311639382572,0.001815696125826443,0.0010058734038470806,0.000586103827089,0.00037298255380720534,0.00020364658524297562,9.503507311336225e-05,3.620383737649733e-05,2.2627398360305377e-05,1.3576439016182718e-05,9.050959344122134e-06,,,,,pre_close,2026-05-07T23:20:15Z,4aa32b8#phase10c,d61e6a92-0d12-48b1-8991-b233dd664751,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.2317150848809385, ""1"": 0.3891431368008907, ""2"": 0.24328478726682412, ""3"": 0.09092607331236774, ""4"": 0.044930917738978886}",Lonzo Ball,27,CLE,DET,False,21709223,,fg3m,,,,,,stat_grid:fg3m_hurdle_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,1.3282146022275576,1,1,0.2317150848809385,0.7682849151190615,0.37914177831817075,0.13585699105134663,0.044930917738978886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-07T23:20:15Z,4aa32b8#phase10c,d61e6a92-0d12-48b1-8991-b233dd664751,ok,2.220446049250313e-16,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.49145934444310335, ""1"": 0.2375228139796507, ""2"": 0.15121119081588777, ""3"": 0.07152033557807191, ""4"": 0.025971582033849323, ""5"": 0.013059380437826396, ""6"": 0.004660410821795035, ""7"": 0.0022465600092085964, ""8"": 0.0011941007646210505, ""9"": 0.0005356837284164718, ""10"": 0.00033518899547206897, ""11"": 0.00014982647978047017, ""12"": 0.0001335819123168883}",Lonzo Ball,27,CLE,DET,False,21709223,,tov,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,0.9883547415182269,1,0,0.49145934444310335,0.5085406555568968,0.27101784157724607,0.11980665076135823,0.048286315183286306,0.022314733149436976,0.009255352711610583,0.004594941889815547,0.0023483818806069494,0.0011542811159858993,0.0006185973875694274,0.00028340839209735845,0.0001335819123168883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-07T23:20:15Z,4aa32b8#phase10c,d61e6a92-0d12-48b1-8991-b233dd664751,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
