pmf_json,player_name,player_id,team,opponent,is_home,game_id,game_start_time,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,role_bucket,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status
"{""0"": 0.11338345864661656, ""1"": 0.16170426065162907, ""2"": 0.17794486215538846, ""3"": 0.16220551378446116, ""4"": 0.1256140350877193, ""5"": 0.09333333333333334, ""6"": 0.06055137844611529, ""7"": 0.041503759398496244, ""8"": 0.02516290726817043, ""9"": 0.015538847117794487, ""10"": 0.01012531328320802, ""11"": 0.006115288220551379, ""12"": 0.0033082706766917294, ""13"": 0.0019047619047619048, ""14"": 0.0016040100250626567}",Jaxson Hayes,666626,LAL,OKC,False,21708301,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,bench,3.223759,3,2,0.113383458647,0.886616541353,0.724912280702,0.546967418546,0.384761904762,0.259147869674,0.165814536341,0.105263157895,0.063759398496,0.038596491228,0.02305764411,0.012932330827,0.006817042607,0.00350877193,0.001604010025,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.625, ""1"": 0.2424, ""2"": 0.0981, ""3"": 0.0046, ""4"": 0.0043, ""5"": 0.0038, ""6"": 0.0041, ""7"": 0.0037, ""8"": 0.0049, ""9"": 0.0044, ""10"": 0.0047}",Jaxson Hayes,666626,LAL,OKC,False,21708301,,blk,,,,,,predict.py:raw,phase8_role_aware_pmf_cal_v2,bench,0.6649,0,0,0.625,0.375,0.1326,0.0345,0.0299,0.0256,0.0218,0.0177,0.014,0.0091,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.0892159807750075, ""1"": 0.14288575147692, ""2"": 0.18714328627215382, ""3"": 0.19114849304095324, ""4"": 0.15490137178331834, ""5"": 0.107239411234605, ""6"": 0.06278161610093122, ""7"": 0.03374386702713528, ""8"": 0.01722238910583759, ""9"": 0.008410934214478822, ""10"": 0.0037048162611394817, ""11"": 0.001602082707519776}",Marcus Smart,420,LAL,OKC,False,21708301,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,3.127466,3,3,0.089215980775,0.910784019225,0.767898267748,0.580754981476,0.389606488435,0.234705116652,0.127465705417,0.064684089316,0.030940222289,0.013717833183,0.005306898969,0.001602082708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.2383, ""1"": 0.361, ""2"": 0.2562, ""3"": 0.1023, ""4"": 0.0422}",Marcus Smart,420,LAL,OKC,False,21708301,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,1.3491,1,1,0.2383,0.7617,0.4007,0.1445,0.0422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.6905, ""1"": 0.2454, ""2"": 0.0356, ""3"": 0.0039, ""4"": 0.0036, ""5"": 0.0032, ""6"": 0.0033, ""7"": 0.003, ""8"": 0.004, ""9"": 0.0036, ""10"": 0.0039}",Marcus Smart,420,LAL,OKC,False,21708301,,blk,,,,,,predict.py:raw,phase8_role_aware_pmf_cal_v2,starter,0.5029,0,0,0.6905,0.3095,0.0641,0.0285,0.0246,0.021,0.0178,0.0145,0.0115,0.0075,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.026017076845806127, ""1"": 0.02742340532395781, ""2"": 0.029131089904570567, ""3"": 0.037066800602712204, ""4"": 0.04239075841285786, ""5"": 0.04419889502762431, ""6"": 0.047212456052235056, ""7"": 0.051431441486690106, ""8"": 0.05334003013561024, ""9"": 0.05615268709191361, ""10"": 0.05836263184329482, ""11"": 0.05323957810145655, ""12"": 0.05374183827222501, ""13"": 0.05203415369161225, ""14"": 0.04861878453038674, ""15"": 0.04460070316423907, ""16"": 0.03867403314917127, ""17"": 0.033550979407332995, ""18"": 0.03254645906579608, ""19"": 0.027825213460572575, ""20"": 0.023907584128578605, ""21"": 0.02119537920642893, ""22"": 0.018382722250125563, ""23"": 0.01637368156705173, ""24"": 0.01185334003013561, ""25"": 0.01064791562029131, ""26"": 0.008337518834756403, ""27"": 0.007132094424912105, ""28"": 0.005826217980914113, ""29"": 0.005323957810145655, ""30"": 0.0037167252636865896, ""31"": 0.0034153691612255144, ""32"": 0.0022099447513812156, ""33"": 0.0024108488196885984, ""34"": 0.0017076845806127572}",Ajay Mitchell,1028037477,OKC,LAL,True,21708301,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,11.714314,11,10,0.026017076846,0.973982923154,0.94655951783,0.917428427926,0.880361627323,0.83797086891,0.793771973882,0.74655951783,0.695128076344,0.641788046208,0.585635359116,0.527272727273,0.474033149171,0.420291310899,0.368257157207,0.319638372677,0.275037669513,0.236363636364,0.202812656956,0.170266197891,0.14244098443,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.09785657051282051, ""1"": 0.1590544871794872, ""2"": 0.18599759615384617, ""3"": 0.17217548076923078, ""4"": 0.12950721153846156, ""5"": 0.0944511217948718, ""6"": 0.06310096153846155, ""7"": 0.04186698717948718, ""8"": 0.025040064102564107, ""9"": 0.014723557692307694, ""10"": 0.008112980769230772, ""11"": 0.004306891025641027, ""12"": 0.002604166666666667, ""13"": 0.001201923076923077}",Ajay Mitchell,1028037477,OKC,LAL,True,21708301,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,3.217748,3,2,0.097856570513,0.902143429487,0.743088942308,0.557091346154,0.384915865385,0.255408653846,0.160957532051,0.097856570513,0.055989583333,0.030949519231,0.016225961538,0.008112980769,0.003806089744,0.001201923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.12915498598317982, ""1"": 0.17010412494993993, ""2"": 0.18682418902683218, ""3"": 0.17200640768922706, ""4"": 0.13846615939126952, ""5"": 0.08480176211453744, ""6"": 0.054965959150981174, ""7"": 0.02973568281938326, ""8"": 0.017220664797757308, ""9"": 0.008610332398878654, ""10"": 0.004205046055266319, ""11"": 0.0027032438926712053, ""12"": 0.001201441730076091}",Ajay Mitchell,1028037477,OKC,LAL,True,21708301,,ast,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,2.877052,3,2,0.129154985983,0.870845014017,0.700740889067,0.51391670004,0.341910292351,0.20344413296,0.118642370845,0.063676411694,0.033940728875,0.016720064077,0.008109731678,0.003904685623,0.00120144173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.10518948105189481, ""1"": 0.26777322267773224, ""2"": 0.29687031296870314, ""3"": 0.1999800019998, ""4"": 0.08909109089091091, ""5"": 0.0410958904109589}",Isaiah Joe,3547272,OKC,LAL,True,21708301,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,fringe,2.023298,2,2,0.105189481052,0.894810518948,0.62703729627,0.330166983302,0.130186981302,0.041095890411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.22714986485133645, ""1"": 0.20913004304735208, ""2"": 0.19571528681549705, ""3"": 0.15917509260186205, ""4"": 0.1002102312543798, ""5"": 0.053759135048553404, ""6"": 0.029932926218840725, ""7"": 0.01371508659525478, ""8"": 0.006306937631394534, ""9"": 0.0032035238762638902, ""10"": 0.0017018720592651916}",Isaiah Hartenstein,201,OKC,LAL,True,21708301,,ast,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,bench,2.119632,2,0,0.227149864851,0.772850135149,0.563720092101,0.368004805286,0.208829712684,0.10861948143,0.054860346381,0.024927420162,0.011212333567,0.004905395936,0.001701872059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
