pmf_json,player_name,player_id,team,opponent,is_home,game_id,game_start_time,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,cal_source,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status
"{""0"": 0.008431195423065342, ""1"": 0.007327110308140119, ""2"": 0.009635651912074676, ""3"": 0.010137508782495232, ""4"": 0.011341965271504566, ""5"": 0.014252735119943793, ""6"": 0.016159791227541905, ""7"": 0.013750878249523237, ""8"": 0.01917093245006524, ""9"": 0.021278731305831577, ""10"": 0.025393957643280136, ""11"": 0.026799156880457697, ""12"": 0.038542607648298706, ""13"": 0.03462812405901837, ""14"": 0.03472849543310248, ""15"": 0.043661547726588375, ""16"": 0.04326006223025193, ""17"": 0.04125263474856971, ""18"": 0.0411522633744856, ""19"": 0.04075077787814915, ""20"": 0.04637157482685938, ""21"": 0.04757603131586871, ""22"": 0.04436414734517716, ""23"": 0.046873431697279935, ""24"": 0.03713740841112115, ""25"": 0.039345578640971594, ""26"": 0.033122553447756706, ""27"": 0.031014754591990365, ""28"": 0.026999899628625916, ""29"": 0.023286158787513802, ""30"": 0.021680216802168025, ""31"": 0.016260162601626015, ""32"": 0.014353106494027905, ""33"": 0.01154270801967279, ""34"": 0.009234166415738232, ""35"": 0.011341965271504566, ""36"": 0.007025996185887785, ""37"": 0.0061226538191307845, ""38"": 0.004516711833785004, ""39"": 0.005620796948710228, ""40"": 0.005219311452373783, ""41"": 0.00331225534477567, ""42"": 0.0017063133594298905, ""43"": 0.0021077988557663355, ""44"": 0.0011040851149252235, ""47"": 0.0011040851149252235}",De'Aaron Fox,161,SAS,MIN,False,21707977,,pts,,,,,,predict.py:role_aware_pmf_cal_v1:monotone_inactive_global_v1:starter,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,,20.0,,role_aware_pmf_cal_v1,19.391448,19,21,0.008431195423,0.991568804577,0.984241694269,0.974606042357,0.964468533574,0.953126568303,0.938873833183,0.922714041955,0.908963163706,0.889792231256,0.86851349995,0.843119542307,0.816320385426,0.777777777778,0.743149653719,0.708421158286,0.664759610559,0.621499548329,0.58024691358,0.539094650206,0.498343872328,,,,,morning,2026-05-14T14:37:02Z,8611c657#phase10c,27597c5b-0a41-4570-9b57-940f8d28ed55,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.05746896275530637, ""1"": 0.10102122547056469, ""2"": 0.13996796155386465, ""3"": 0.14887865438526232, ""4"": 0.15818982779335203, ""5"": 0.14006808169803767, ""6"": 0.10422507008410092, ""7"": 0.07418902683219865, ""8"": 0.034641569883860635, ""9"": 0.01932318782539047, ""10"": 0.012815378454144976, ""11"": 0.005006007208650381, ""12"": 0.0030036043251902285, ""13"": 0.0012014417300760913}",De'Aaron Fox,161,SAS,MIN,False,21707977,,reb,,,,,,predict.py:role_aware_pmf_cal_v1:monotone_inactive_global_v1:starter,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,,4.0,,role_aware_pmf_cal_v1,3.99129,4,4,0.057468962755,0.942531037245,0.841509811774,0.70154185022,0.552663195835,0.394473368042,0.254405286344,0.15018021626,0.075991189427,0.041349619543,0.022026431718,0.009211053264,0.004205046055,0.00120144173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-14T14:37:02Z,8611c657#phase10c,27597c5b-0a41-4570-9b57-940f8d28ed55,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.04144559014916408, ""1"": 0.06186805486034638, ""2"": 0.09730703774151567, ""3"": 0.12193412754029433, ""4"": 0.12904194614075482, ""5"": 0.12463710081089198, ""6"": 0.12453699068975874, ""7"": 0.0952047251977175, ""8"": 0.07278005806387025, ""9"": 0.05786365001501651, ""10"": 0.029632595855440987, ""11"": 0.020822905195715287, ""12"": 0.009510461507658424, ""13"": 0.00700770847932726, ""14"": 0.003303633997397137, ""15"": 0.0021023125437981778, ""16"": 0.0010011012113324658}",De'Aaron Fox,161,SAS,MIN,False,21707977,,ast,,,,,,predict.py:role_aware_pmf_cal_v1:monotone_inactive_global_v1:starter,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,,5.0,,role_aware_pmf_cal_v1,5.102713,5,4,0.041445590149,0.958554409851,0.89668635499,0.799379317249,0.677445189709,0.548403243568,0.423766142757,0.299229152067,0.20402442687,0.131244368806,0.073380718791,0.043748122935,0.02292521774,0.013414756232,0.006407047753,0.003103413755,0.001001101211,0.0,0.0,0.0,0.0,,,,,morning,2026-05-14T14:37:02Z,8611c657#phase10c,27597c5b-0a41-4570-9b57-940f8d28ed55,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.22031391196398353, ""1"": 0.2962703081826628, ""2"": 0.24323438557073843, ""3"": 0.10349043970213263, ""4"": 0.04539035557916239, ""5"": 0.07028517408820903, ""6"": 1.010891996724481e-300, ""7"": 1.0142405139735631e-300, ""8"": 1.0176001229790385e-300, ""9"": 1.0209708604816644e-300, ""10"": 1.0243527633438996e-300, ""11"": 1.0277458685503077e-300, ""12"": 1.0311502132080786e-300, ""13"": 1.0345658345469653e-300, ""14"": 1.0379927699203947e-300, ""15"": 0.021015424913111282}",De'Aaron Fox,161,SAS,MIN,False,21707977,,fg3m,,,,,,stat_grid:fg3m_hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.455855,34.087947,0.0,role_aware_pmf_cal_v1,1.941429,1,1,0.220313911964,0.779686088036,0.483415779853,0.240181394283,0.13669095458,0.091300599001,0.021015424913,0.021015424913,0.021015424913,0.021015424913,0.021015424913,0.021015424913,0.021015424913,0.021015424913,0.021015424913,0.021015424913,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-14T14:37:02Z,8611c657#phase10c,27597c5b-0a41-4570-9b57-940f8d28ed55,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.0720750381817821, ""1"": 0.11976428021954566, ""2"": 0.3123252339053153, ""3"": 0.33455450736827275, ""4"": 0.12122235286825396, ""5"": 0.034051642501938595, ""6"": 0.005420152065338128, ""7"": 0.0005568196516827951, ""8"": 2.8559158161466805e-05, ""9"": 1.0877734644106635e-06, ""10"": 2.998027327542019e-07, ""11"": 2.58766639038795e-08, ""12"": 6.268482217052533e-10}",De'Aaron Fox,161,SAS,MIN,False,21707977,,tov,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.455855,34.087947,0.0,role_aware_pmf_cal_v1,2.439886,2,3,0.072075038182,0.927924961818,0.808160681599,0.495835447693,0.161280940325,0.040058587457,0.006006944955,0.00058679289,2.9973238e-05,1.41408e-06,3.26306e-07,2.6504e-08,6.27e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-14T14:37:02Z,8611c657#phase10c,27597c5b-0a41-4570-9b57-940f8d28ed55,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.5116257122813984, ""1"": 0.2300288759789728, ""2"": 0.15918214538621142, ""3"": 0.07904079649620986, ""4"": 0.0020392692718645923, ""5"": 0.005413141256191405, ""6"": 0.0020098681358771287, ""7"": 0.00046843125765598374, ""8"": 0.00044533094230423905, ""9"": 0.006437696608295213, ""10"": 0.0033087323850188887}",De'Aaron Fox,161,SAS,MIN,False,21707977,,stl,,,,,,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.455855,34.087947,0.0,role_aware_pmf_cal_v1,0.930666,0,0,0.511625712281,0.488374287719,0.25834541174,0.099163266353,0.020122469857,0.018083200585,0.012670059329,0.010660191193,0.010191759936,0.009746428993,0.003308732385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-14T14:37:02Z,8611c657#phase10c,27597c5b-0a41-4570-9b57-940f8d28ed55,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.7605693314602604, ""1"": 0.17137532463834607, ""2"": 0.031593572362862775, ""3"": 0.0024080206052552763, ""4"": 0.0033946156646527262, ""5"": 0.00664445520124443, ""6"": 0.005994699286844473, ""7"": 0.0029104134543753795, ""8"": 0.0029462460228978356, ""9"": 0.008487730370719402, ""10"": 0.0036755909325411314}",De'Aaron Fox,161,SAS,MIN,False,21707977,,blk,,,,,,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.455855,34.087947,0.0,role_aware_pmf_cal_v1,0.481644,0,0,0.76056933146,0.23943066854,0.068055343901,0.036461771539,0.034053750933,0.030659135269,0.024014680067,0.018019980781,0.015109567326,0.012163321303,0.003675590933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-14T14:37:02Z,8611c657#phase10c,27597c5b-0a41-4570-9b57-940f8d28ed55,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.14820502721414008, ""1"": 0.3470554580169537, ""2"": 0.23672750104964096, ""3"": 0.14133755065457138, ""4"": 0.05279077849689829, ""5"": 0.0184740372056913, ""6"": 0.01018713269665406, ""7"": 0.006349537496072079, ""8"": 0.004344515985054838, ""9"": 0.007369106025401216, ""10"": 0.0022847471051308734, ""11"": 7.385729735001075e-05, ""12"": 1.1567839635065185e-05, ""13"": 0.0030930586090117023, ""14"": 0.005048023148027784, ""15"": 0.003068813342818148, ""16"": 0.002086031452806404, ""17"": 0.0019396422416568101, ""18"": 0.002018471593726883, ""19"": 0.0008247904563758637, ""20"": 0.006710352072382547}",De'Aaron Fox,161,SAS,MIN,False,21707977,,stocks,,,,,,stat_grid:joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.455855,34.087947,0.0,role_aware_pmf_cal_v1,2.187978,2,1,0.148205027214,0.851794972786,0.504739514769,0.268012013719,0.126674463065,0.073883684568,0.055409647362,0.045222514665,0.038872977169,0.034528461184,0.027159355159,0.024874608054,0.024800750756,0.024789182917,0.021696124308,0.01664810116,0.013579287817,0.011493256364,0.009553614122,0.007535142529,0.006710352072,,,,,morning,2026-05-14T14:37:02Z,8611c657#phase10c,27597c5b-0a41-4570-9b57-940f8d28ed55,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 5.133548177675161e-06, ""1"": 1.1547859060972989e-05, ""2"": 1.9628507168204605e-05, ""3"": 0.00044792965943011475, ""4"": 0.000599076991691098, ""5"": 0.00035094791321321804, ""6"": 0.001911522668292885, ""7"": 0.0030068583682886104, ""8"": 0.0038988626415904426, ""9"": 0.005791266325747734, ""10"": 0.007379464995062215, ""11"": 0.008771907296134675, ""12"": 0.012677432520113018, ""13"": 0.012189937923038872, ""14"": 0.01832659760455864, ""15"": 0.024423623023629548, ""16"": 0.028036478154121358, ""17"": 0.027378277714463634, ""18"": 0.03310735465626574, ""19"": 0.044004514529836475, ""20"": 0.036912785444306484, ""21"": 0.03967342291714199, ""22"": 0.04495724034696874, ""23"": 0.05756066334899329, ""24"": 0.04940468791506403, ""25"": 0.056983036934848796, ""26"": 0.045127684676762425, ""27"": 0.05505582219711491, ""28"": 0.05147860773616353, ""29"": 0.043333568536091494, ""30"": 0.04145432420309114, ""31"": 0.036384847070311754, ""32"": 0.027926267474311706, ""33"": 0.031035344979049917, ""34"": 0.025564467231867116, ""35"": 0.02205024470723216, ""36"": 0.018171418523212024, ""37"": 0.014287533883199921, ""38"": 0.014070150743119902, ""39"": 0.00974074600276098, ""40"": 0.005315920435983057, ""41"": 0.005951590008906327, ""42"": 0.0035468660368989102, ""43"": 0.0017468642547654456, ""44"": 0.0024110671538222217, ""45"": 0.0015600594529612266, ""46"": 0.0011238424502322264, ""47"": 0.0005830573451878207, ""48"": 0.0006626975448019712, ""49"": 0.000641613959583065, ""50"": 0.0002607378385257597, ""51"": 0.00039869663353619966, ""52"": 0.0006071700787284584, ""53"": 0.00023663946998453422, ""54"": 0.00053075057298968, ""55"": 0.00023614105726654788, ""56"": 0.00016210493737378595, ""57"": 0.00021344836092285213, ""58"": 5.1152472580362485e-05, ""59"": 0.00014010410901488246, ""60"": 7.882451932694767e-05, ""61"": 6.9663439365985624e-06, ""62"": 2.0991074356713213e-05, ""63"": 5.827431209770584e-05, ""64"": 7.121534066756308e-05, ""65"": 0.00010043048001717736, ""66"": 0.00010263911404650994, ""67"": 5.5865750785755175e-05, ""68"": 6.069351002913059e-05, ""69"": 0.00011400360655644537, ""105"": 0.01943834400261668}",De'Aaron Fox,161,SAS,MIN,False,21707977,,pa,,,,,,stat_grid:joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.455855,34.087947,0.0,role_aware_pmf_cal_v1,26.687177,25,23,5.133548e-06,0.999994866452,0.999983318593,0.999963690086,0.999515760426,0.998916683434,0.998565735521,0.996654212853,0.993647354485,0.989748491843,0.983957225517,0.976577760522,0.967805853226,0.955128420706,0.942938482783,0.924611885178,0.900188262155,0.872151784001,0.844773506286,0.81166615163,0.7676616371,,,,,morning,2026-05-14T14:37:02Z,8611c657#phase10c,27597c5b-0a41-4570-9b57-940f8d28ed55,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 6.758095821532097e-06, ""1"": 1.925206005189428e-05, ""2"": 0.00035711349455457627, ""3"": 0.0004971920570829326, ""4"": 0.0004884788031133019, ""5"": 0.001915295946729917, ""6"": 0.0035577223383606456, ""7"": 0.0033076242032185664, ""8"": 0.005248025062572527, ""9"": 0.007961118516109552, ""10"": 0.008663918336072954, ""11"": 0.01327553544514469, ""12"": 0.013414023306152364, ""13"": 0.01467476088443781, ""14"": 0.027551823666408723, ""15"": 0.02647382587554392, ""16"": 0.028898180804915574, ""17"": 0.03759782831330266, ""18"": 0.04288316266609282, ""19"": 0.035430137851078736, ""20"": 0.04606289233390315, ""21"": 0.049260969722365044, ""22"": 0.05355908703211171, ""23"": 0.044748546390744104, ""24"": 0.06185861635444262, ""25"": 0.047070974986734626, ""26"": 0.04968331187011632, ""27"": 0.044078529965628555, ""28"": 0.04389505576317887, ""29"": 0.038438713575272176, ""30"": 0.0396744273448606, ""31"": 0.028626471840051404, ""32"": 0.028669673492641823, ""33"": 0.029756198869033357, ""34"": 0.021610398040969425, ""35"": 0.019036416625532793, ""36"": 0.012930439243307279, ""37"": 0.012012414846566344, ""38"": 0.010348232489112985, ""39"": 0.005616767543457191, ""40"": 0.005024047807972165, ""41"": 0.0032027125908373755, ""42"": 0.0024539276219948114, ""43"": 0.003434741358003035, ""44"": 0.0018949461023743952, ""45"": 0.0006012695477399799, ""46"": 0.0004513209131461471, ""47"": 0.000683566936348301, ""48"": 0.00042921297713627293, ""49"": 0.0002207568227077239, ""50"": 0.00023837769149714916, ""51"": 0.0005681023577674971, ""52"": 0.0004512526185013188, ""53"": 0.00032520346454423255, ""54"": 0.0002428774722585958, ""55"": 0.00021903664648048604, ""56"": 0.00013703061781533687, ""57"": 2.468046316916883e-05, ""58"": 0.00011738496000290866, ""59"": 1.672184512357955e-05, ""60"": 6.353790511404167e-05, ""61"": 1.0705958757517564e-05, ""62"": 4.378541186733642e-06, ""63"": 1.912851203100807e-05, ""64"": 7.543044282842803e-05, ""65"": 0.00025046022699892756, ""68"": 0.019679271540866794}",De'Aaron Fox,161,SAS,MIN,False,21707977,,pr,,,,,,stat_grid:joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.455855,34.087947,0.0,role_aware_pmf_cal_v1,24.902995,24,24,6.758096e-06,0.999993241904,0.999973989844,0.99961687635,0.999119684292,0.998631205489,0.996715909543,0.993158187204,0.989850563001,0.984602537938,0.976641419422,0.967977501086,0.954701965641,0.941287942335,0.926613181451,0.899061357784,0.872587531909,0.843689351104,0.80609152279,0.763208360124,0.727778222273,,,,,morning,2026-05-14T14:37:02Z,8611c657#phase10c,27597c5b-0a41-4570-9b57-940f8d28ed55,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
