stat,n,nll_mean,rps_mean,mean_error,abs_mean_error,outcome_prob_assigned_mean
ast,12,2.3295203633719503,0.05357729441099409,-0.45117192534535144,1.8077958795046714,0.16226808492157732
blk,12,1.260020950169615,0.04721181405617871,0.06378261400427647,0.7889031331812384,0.4680630707922277
fg3m,12,1.5201982346754415,0.05896367047656822,-0.06339499935909018,1.417867603120991,0.2799623239396285
pa,12,3.3733262693121717,0.03931303261215541,-0.2780734734213099,5.359526680683729,0.045992749625910344
pr,12,3.4320902524400663,0.04063171398477794,0.5507512465605723,6.11984388149578,0.039561217815862235
pra,12,3.753441085590571,0.04191090445546367,0.09957932121521888,7.533421617687196,0.03529330919865792
pts,12,3.201113096466429,0.04024983574434,0.17309845192404216,4.430996333575979,0.04951301191548687
ra,12,3.392897237690416,0.059224491060980454,-0.07351913070882343,4.011506948994826,0.0670704362241288
reb,12,2.664299513684802,0.06118330277867715,0.3776527946365285,2.535791664958984,0.1238531481743347
stl,12,1.3091403366848515,0.04719549731865508,0.15154426229218762,0.7674612568506892,0.37194361052003155
stocks,12,1.8304496036836444,0.04403481274125068,0.21532687629646396,1.3619763952969741,0.2305716205718099
tov,12,2.282020528959682,0.08598292834727615,-0.5136347263575217,1.3619085754245086,0.2685927417976568
