slate_date,player_id,player_name,game_id,game,team_id,team,opponent,stat,side,line,odds,over_odds,under_odds,bet_vendor,model_prob,model_prob_raw,model_prob_cal,cal_source,market_prob,raw_edge,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,min_ev_applied,cal_type,cal_applied,is_sparse,pmf,fair_odds_over,fair_odds_under,pmf_median,edge_over,edge_under,line_vs_median,mkt_true_over,mkt_true_under,bdl_lineup_present,current_starter,confirmed_starter,confirmed_bench,lineup_position,lineup_source,lineup_confirmed,role_source,role_bucket_pre_lineup,role_bucket_post_lineup,lineup_context_supplied,lineup_affects_pmf_features,contextual_pmf_applied,contextual_minutes_delta,exp_mp_contextual,contextual_pmf_mean_baseline,contextual_pmf_mean_post,contextual_pmf_mean_shift_ratio,contextual_feature_set_id,contextual_blocker,starter_changed_from_projection,bench_changed_from_projection,role_source_confirmed_lineup,lineup_position_encoded,minutes_projection_conflict,confirmed_starter_low_minutes_flag,confirmed_bench_high_minutes_flag,consecutive_starter_streak,recent_starter_rate_5,lineup_features_missing,team_confirmed_starters_count,team_confirmed_bench_count,team_lineup_num_guards,team_lineup_num_wings,team_lineup_num_bigs,team_lineup_num_high_usage_players,team_lineup_num_primary_ballhandlers,team_lineup_num_shooters,team_lineup_num_rebounders,team_lineup_usage_competition_proxy,team_lineup_rebound_competition_proxy,team_lineup_assist_creation_proxy,team_lineup_spacing_proxy,team_lineup_turnover_pressure_proxy,player_confirmed_with_high_usage_count,player_confirmed_with_primary_ballhandler_count,player_confirmed_with_big_count,player_confirmed_with_shooter_count,player_usage_competition_proxy,player_rebound_competition_proxy,player_assist_target_quality_proxy,player_spacing_support_proxy,player_onball_burden_proxy,contextual_rate_delta_pts,contextual_rate_delta_reb,contextual_rate_delta_ast,contextual_rate_delta_tov,contextual_rate_delta_stl,contextual_rate_delta_blk,contextual_rate_delta_fg3m,model_over_prob,model_under_prob,edge_publish_status,edge_reasonability_status,edge_reasonability_notes,root_cause_label,push_line,push_prob,p0,pmf_mean,pmf_variance,model_prob_from_pmf,market_prob_recomputed,raw_edge_recomputed,ev_recomputed,ev_recomputed_pushinc,large_edge_bucket,calibration_support_status,calibration_bucket_n,lineup_confirmation_dependency
2026-05-25,192,James Harden,21713901,New York Knicks @ Cleveland Cavaliers,6,CLE,NYK,reb,UNDER,4.5,108,-130,108,fanduel,0.5862,0.5862,0.5862,role_aware_pmf_cal_v1:monotone_inactive_global_v1:starter,0.4596,0.12709576108505638,0.2193,0.03,4.0,"{""0.1"": 1.0, ""0.2"": 2.0, ""0.25"": 2.0, ""0.33"": 3.0, ""0.4"": 3.0, ""0.5"": 4.0, ""0.6"": 5.0, ""0.67"": 5.0, ""0.75"": 6.0, ""0.8"": 6.0, ""0.9"": 7.0}",0,3,0.056,pmf_cal,True,False,"{""0"": 0.0532, ""1"": 0.0902, ""2"": 0.1422, ""3"": 0.1369, ""4"": 0.1637, ""5"": 0.1427, ""6"": 0.1087, ""7"": 0.0636, ""8"": 0.0412, ""9"": 0.0231, ""10"": 0.0174, ""11"": 0.0087, ""12"": 0.0039, ""13"": 0.0026, ""14"": 0.001}",142,-142,4,-0.1266,0.1266,0.5,0.5404,0.4596,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False,True,14.452106810119794,14.452106810119794,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029736128406171774,0.007779966918364127,0.008652133615600266,0.0048421906163421445,0.0019942612926327754,-0.0005421461974211162,-0.001493628507207502,,,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SUPPORTED,current_live_unconfirmed_lineup,unconfirmed_lineup_baseline,False,0.0,0.0532,4.156540886798118,6.349431493649056,0.5867280552497247,0.45963229416466833,0.12709576108505638,0.2203943549194275,0.22019600000000006,EDGE_10_20,CALIBRATION_SUPPORTED,376,current_live_unconfirmed_baseline
2026-05-25,192,James Harden,21713901,New York Knicks @ Cleveland Cavaliers,6,CLE,NYK,ast,UNDER,6.5,-143,118,-143,caesars,0.7639,0.7639,0.7639,role_aware_pmf_cal_v1:monotone_inactive_global_v1:starter,0.562,0.20339722012184414,0.2981,0.064,4.0,"{""0.1"": 1.0, ""0.2"": 2.0, ""0.25"": 3.0, ""0.33"": 3.0, ""0.4"": 4.0, ""0.5"": 4.0, ""0.6"": 5.0, ""0.67"": 6.0, ""0.75"": 6.0, ""0.8"": 7.0, ""0.9"": 8.0}",0,3,0.0572,pmf_cal,True,False,"{""0"": 0.0483, ""1"": 0.078, ""2"": 0.0932, ""3"": 0.1481, ""4"": 0.149, ""5"": 0.1367, ""6"": 0.1106, ""7"": 0.0985, ""8"": 0.0519, ""9"": 0.0324, ""10"": 0.0257, ""11"": 0.0129, ""12"": 0.0067, ""13"": 0.0041, ""14"": 0.002}",324,-324,4,-0.2019,0.2019,2.5,0.438,0.562,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False,True,14.452106810119794,14.452106810119794,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029736128406171774,0.007779966918364127,0.008652133615600266,0.0048421906163421445,0.0019942612926327754,-0.0005421461974211162,-0.001493628507207502,,,REVIEW_LARGE_EDGE,CALIBRATION_SAMPLE_LIMITED,current_live_unconfirmed_lineup_with_large_edge; calibration sample limited (n=97),unconfirmed_lineup_baseline,False,0.0,0.0483,4.617473199078247,7.25313221862346,0.7653541729285643,0.5619569528067202,0.20339722012184414,0.3005668812702177,0.2999958041958041,EDGE_20_30,CALIBRATION_SAMPLE_LIMITED,97,current_live_unconfirmed_baseline
2026-05-25,192,James Harden,21713901,New York Knicks @ Cleveland Cavaliers,6,CLE,NYK,fg3m,UNDER,2.5,-135,125,-135,betrivers,0.6662,0.6662,0.6662,role_aware_pmf_cal_v1:monotone_inactive_global_v1:starter,0.5638,0.10229489559164728,0.1596,0.032,2.0,"{""0.1"": 0.0, ""0.2"": 1.0, ""0.25"": 1.0, ""0.33"": 1.0, ""0.4"": 2.0, ""0.5"": 2.0, ""0.6"": 2.0, ""0.67"": 3.0, ""0.75"": 3.0, ""0.8"": 3.0, ""0.9"": 4.0}",0,3,0.0289,pmf_cal,True,False,"{""0"": 0.1242, ""1"": 0.2719, ""2"": 0.27, ""3"": 0.2006, ""4"": 0.0847, ""5"": 0.0291, ""6"": 0.0195}",200,-200,2,-0.1024,0.1024,0.5,0.4362,0.5638,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False,True,14.452106810119794,14.452106810119794,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029736128406171774,0.007779966918364127,0.008652133615600266,0.0048421906163421445,0.0019942612926327754,-0.0005421461974211162,-0.001493628507207502,,,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SUPPORTED,current_live_unconfirmed_lineup,unconfirmed_lineup_baseline,False,0.0,0.1242,2.0149999999999997,1.881775,0.6661,0.5638051044083527,0.10229489559164728,0.15950740740740743,0.15950740740740738,EDGE_10_20,CALIBRATION_SUPPORTED,277,current_live_unconfirmed_baseline
2026-05-25,192,James Harden,21713901,New York Knicks @ Cleveland Cavaliers,6,CLE,NYK,blk,UNDER,0.5,-165,135,-165,draftkings,0.7527,0.7527,0.7527,role_aware_pmf_cal_v1:monotone_inactive_global_v1:starter,0.594,0.15882529244263255,0.2088,0.052,0.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 0.0, ""0.33"": 0.0, ""0.4"": 0.0, ""0.5"": 0.0, ""0.6"": 0.0, ""0.67"": 0.0, ""0.75"": 0.0, ""0.8"": 1.0, ""0.9"": 1.0}",0,3,0.0582,pmf_cal,True,True,"{""0"": 0.7527, ""1"": 0.2059, ""2"": 0.0301, ""3"": 0.0019, ""4"": 0.002, ""5"": 0.0017, ""6"": 0.0015, ""7"": 0.0013, ""8"": 0.0016, ""9"": 0.0011}",304,-304,0,-0.1587,0.1587,0.5,0.406,0.594,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False,True,14.452106810119794,14.452106810119794,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029736128406171774,0.007779966918364127,0.008652133615600266,0.0048421906163421445,0.0019942612926327754,-0.0005421461974211162,-0.001493628507207502,,,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_LIMITED,current_live_unconfirmed_lineup; calibration sample limited (n=70),unconfirmed_lineup_baseline,False,0.0,0.7527,0.32916583316663334,0.618895303365534,0.7528505701140228,0.5940252776713902,0.15882529244263255,0.20912364291040025,0.20908181818181826,EDGE_10_20,CALIBRATION_SAMPLE_LIMITED,70,current_live_unconfirmed_baseline
2026-05-25,322,Donovan Mitchell,21713901,New York Knicks @ Cleveland Cavaliers,6,CLE,NYK,pts,UNDER,26.5,100,-120,100,fanduel,0.6482,0.6482,0.6482,role_aware_pmf_cal_v1:monotone_inactive_global_v1:starter,0.4783,0.17332738938130454,0.2964,0.044,23.0,"{""0.1"": 11.0, ""0.2"": 16.0, ""0.25"": 17.0, ""0.33"": 20.0, ""0.4"": 21.0, ""0.5"": 23.0, ""0.6"": 25.0, ""0.67"": 27.0, ""0.75"": 29.0, ""0.8"": 31.0, ""0.9"": 35.0}",0,3,0.0555,pmf_cal,True,False,"{""0"": 0.0063, ""1"": 0.006, ""2"": 0.0066, ""3"": 0.0061, ""4"": 0.0083, ""5"": 0.0096, ""6"": 0.0109, ""7"": 0.0105, ""8"": 0.0092, ""9"": 0.0097, ""10"": 0.0119, ""11"": 0.0172, ""12"": 0.0187, ""13"": 0.0188, ""14"": 0.0244, ""15"": 0.0257, ""16"": 0.0263, ""17"": 0.0267, ""18"": 0.0341, ""19"": 0.0394, ""20"": 0.0394, ""21"": 0.0444, ""22"": 0.0513, ""23"": 0.0433, ""24"": 0.0451, ""25"": 0.0507, ""26"": 0.0476, ""27"": 0.0403, ""28"": 0.0348, ""29"": 0.0316, ""30"": 0.0339, ""31"": 0.0346, ""32"": 0.0233, ""33"": 0.0192, ""34"": 0.0202, ""35"": 0.0178, ""36"": 0.0132, ""37"": 0.0123, ""38"": 0.0101, ""39"": 0.0091, ""40"": 0.0079, ""41"": 0.0083, ""42"": 0.0062, ""43"": 0.0061, ""44"": 0.005, ""45"": 0.0054, ""46"": 0.0025, ""47"": 0.0023, ""48"": 0.0012, ""49"": 0.0013}",184,-184,23,-0.1699,0.1699,3.5,0.5217,0.4783,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False,True,14.452106810119794,14.452106810119794,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029736128406171774,0.007779966918364127,0.008652133615600266,0.0048421906163421445,0.0019942612926327754,-0.0005421461974211162,-0.001493628507207502,,,PUBLISH_BLOCKER,CALIBRATION_SUPPORTED,calculation_bug,unconfirmed_lineup_baseline,False,0.0,0.0063,23.125251306795345,88.52391806109098,0.651588258946522,0.4782608695652174,0.17332738938130454,0.3031765178930439,0.30160000000000003,EDGE_10_20,CALIBRATION_SUPPORTED,955,current_live_unconfirmed_baseline
2026-05-25,322,Donovan Mitchell,21713901,New York Knicks @ Cleveland Cavaliers,6,CLE,NYK,reb,UNDER,4.5,-110,104,-110,fanduel,0.6513,0.6513,0.6513,role_aware_pmf_cal_v1:monotone_inactive_global_v1:starter,0.5166,0.13566900410823057,0.2435,0.04,4.0,"{""0.1"": 1.0, ""0.2"": 2.0, ""0.25"": 2.0, ""0.33"": 3.0, ""0.4"": 3.0, ""0.5"": 4.0, ""0.6"": 4.0, ""0.67"": 5.0, ""0.75"": 5.0, ""0.8"": 6.0, ""0.9"": 7.0}",0,3,0.025,pmf_cal,True,False,"{""0"": 0.0672, ""1"": 0.115, ""2"": 0.1348, ""3"": 0.168, ""4"": 0.1662, ""5"": 0.1227, ""6"": 0.088, ""7"": 0.0619, ""8"": 0.0302, ""9"": 0.0181, ""10"": 0.0142, ""11"": 0.0067, ""12"": 0.0031, ""13"": 0.0023}",187,-187,4,-0.1347,0.1347,0.5,0.4834,0.5166,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False,True,14.452106810119794,14.452106810119794,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029736128406171774,0.007779966918364127,0.008652133615600266,0.0048421906163421445,0.0019942612926327754,-0.0005421461974211162,-0.001493628507207502,,,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SUPPORTED,current_live_unconfirmed_lineup,unconfirmed_lineup_baseline,False,0.0,0.0672,3.8216145833333335,5.986908611069378,0.6522435897435898,0.5165745856353592,0.13566900410823057,0.2451923076923077,0.24479999999999996,EDGE_10_20,CALIBRATION_SUPPORTED,376,current_live_unconfirmed_baseline
2026-05-25,322,Donovan Mitchell,21713901,New York Knicks @ Cleveland Cavaliers,6,CLE,NYK,ast,UNDER,4.5,-164,135,-164,betmgm,0.718,0.718,0.718,role_aware_pmf_cal_v1:monotone_inactive_global_v1:starter,0.5935,0.1257078719403404,0.1558,0.038,3.0,"{""0.1"": 1.0, ""0.2"": 1.0, ""0.25"": 2.0, ""0.33"": 2.0, ""0.4"": 3.0, ""0.5"": 3.0, ""0.6"": 4.0, ""0.67"": 4.0, ""0.75"": 5.0, ""0.8"": 5.0, ""0.9"": 6.0}",0,3,0.0567,pmf_cal,True,False,"{""0"": 0.0897, ""1"": 0.1182, ""2"": 0.1833, ""3"": 0.175, ""4"": 0.1519, ""5"": 0.1281, ""6"": 0.0661, ""7"": 0.0359, ""8"": 0.0268, ""9"": 0.0129, ""10"": 0.0064, ""11"": 0.0029, ""12"": 0.0013}",255,-255,3,-0.1245,0.1245,1.5,0.4065,0.5935,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False,True,14.452106810119794,14.452106810119794,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029736128406171774,0.007779966918364127,0.008652133615600266,0.0048421906163421445,0.0019942612926327754,-0.0005421461974211162,-0.001493628507207502,,,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SUPPORTED,current_live_unconfirmed_lineup,unconfirmed_lineup_baseline,False,0.0,0.0897,3.3528292438657976,4.918976722469783,0.7191787681522283,0.5934708962118879,0.1257078719403404,0.15770240726944057,0.1574658536585366,EDGE_10_20,CALIBRATION_SUPPORTED,200,current_live_unconfirmed_baseline
2026-05-25,322,Donovan Mitchell,21713901,New York Knicks @ Cleveland Cavaliers,6,CLE,NYK,blk,UNDER,0.5,-325,243,-325,draftkings,0.8438,0.8438,0.8438,role_aware_pmf_cal_v1:monotone_inactive_global_v1:starter,0.724,0.12354796239025678,0.1034,0.05,0.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 0.0, ""0.33"": 0.0, ""0.4"": 0.0, ""0.5"": 0.0, ""0.6"": 0.0, ""0.67"": 0.0, ""0.75"": 0.0, ""0.8"": 0.0, ""0.9"": 1.0}",0,3,0.0663,pmf_cal,True,True,"{""0"": 0.8438, ""1"": 0.1347, ""2"": 0.0145, ""3"": 0.0016, ""4"": 0.001}",540,-540,0,-0.1198,0.1198,0.5,0.276,0.724,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False,True,14.452106810119794,14.452106810119794,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029736128406171774,0.007779966918364127,0.008652133615600266,0.0048421906163421445,0.0019942612926327754,-0.0005421461974211162,-0.001493628507207502,,,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_LIMITED,current_live_unconfirmed_lineup; calibration sample limited (n=70),unconfirmed_lineup_baseline,False,0.0,0.8438,0.1732623543591804,0.1940661348664538,0.8475291281639212,0.7239811657736644,0.12354796239025678,0.10830732144512778,0.10783076923076923,EDGE_10_20,CALIBRATION_SAMPLE_LIMITED,70,current_live_unconfirmed_baseline
2026-05-25,3547299,Sam Merrill,21713901,New York Knicks @ Cleveland Cavaliers,6,CLE,NYK,pts,UNDER,8.5,-111,100,-111,betway,0.5736,0.5736,0.5736,role_aware_pmf_cal_v1:monotone_inactive_global_v1:rotation,0.5127,0.06314372009265701,0.0904,0.015,7.0,"{""0.1"": 1.0, ""0.2"": 3.0, ""0.25"": 3.0, ""0.33"": 5.0, ""0.4"": 6.0, ""0.5"": 7.0, ""0.6"": 9.0, ""0.67"": 10.0, ""0.75"": 12.0, ""0.8"": 13.0, ""0.9"": 16.0}",0,1,0.0361,pmf_cal,True,False,"{""0"": 0.0856, ""1"": 0.0573, ""2"": 0.0569, ""3"": 0.0515, ""4"": 0.0607, ""5"": 0.0689, ""6"": 0.0672, ""7"": 0.0608, ""8"": 0.0647, ""9"": 0.0597, ""10"": 0.0576, ""11"": 0.047, ""12"": 0.0435, ""13"": 0.0298, ""14"": 0.0298, ""15"": 0.0354, ""16"": 0.0237, ""17"": 0.0195, ""18"": 0.0161, ""19"": 0.0137, ""20"": 0.0129, ""21"": 0.0084, ""22"": 0.0079, ""23"": 0.008, ""24"": 0.0029, ""25"": 0.0039, ""26"": 0.0016, ""27"": 0.0011}",135,-135,7,-0.0609,0.0609,1.5,0.4873,0.5127,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False,True,14.452106810119794,14.452106810119794,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029736128406171774,0.007779966918364127,0.008652133615600266,0.0048421906163421445,0.0019942612926327754,-0.0005421461974211162,-0.001493628507207502,,,WATCHLIST_NOT_CONFIRMED_LINEUP,NOT_CHECKED,current_live_unconfirmed_lineup,unconfirmed_lineup_baseline,False,0.0,0.0856,8.070073285814676,34.40830125956242,0.575845798614597,0.5127020785219399,0.06314372009265701,0.09462579736648613,0.09425675675675677,EDGE_LT_10,NOT_CHECKED,0,current_live_unconfirmed_baseline
2026-05-25,3547299,Sam Merrill,21713901,New York Knicks @ Cleveland Cavaliers,6,CLE,NYK,fg3m,UNDER,2.5,-175,162,-175,fanduel,0.7125,0.7125,0.7125,role_aware_pmf_cal_v1:monotone_inactive_global_v1:rotation,0.6251,0.08748604921841885,0.1197,0.031,2.0,"{""0.1"": 0.0, ""0.2"": 1.0, ""0.25"": 1.0, ""0.33"": 1.0, ""0.4"": 1.0, ""0.5"": 2.0, ""0.6"": 2.0, ""0.67"": 2.0, ""0.75"": 3.0, ""0.8"": 3.0, ""0.9"": 4.0}",0,1,0.028,pmf_cal,True,False,"{""0"": 0.1253, ""1"": 0.3226, ""2"": 0.2646, ""3"": 0.1641, ""4"": 0.0769, ""5"": 0.0464}",248,-248,2,-0.0874,0.0874,0.5,0.3749,0.6251,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False,True,14.452106810119794,14.452106810119794,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029736128406171774,0.007779966918364127,0.008652133615600266,0.0048421906163421445,0.0019942612926327754,-0.0005421461974211162,-0.001493628507207502,,,WATCHLIST_NOT_CONFIRMED_LINEUP,NOT_CHECKED,current_live_unconfirmed_lineup,unconfirmed_lineup_baseline,False,0.0,0.1253,1.883888388838884,1.6997894208862832,0.7125712571257126,0.6250852079072937,0.08748604921841885,0.11975483262611974,0.1197428571428571,EDGE_LT_10,NOT_CHECKED,0,current_live_unconfirmed_baseline
