player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source
Jarrett Allen,9,CLE,NYK,True,21713901,pts,0.5,0.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.9878,-8079.0,8079.0,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,1.5,1.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.9805,-5020.0,5020.0,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,2.5,2.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.9687,-3095.0,3095.0,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,3.5,3.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.9465,-1769.0,1769.0,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,4.5,4.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.9221,-1183.0,1183.0,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,5.5,5.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.8906,-814.0,814.0,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,6.5,6.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.856,-595.0,595.0,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,7.5,7.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.8164,-445.0,445.0,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,8.5,8.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.7607,-318.0,318.0,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Jarrett Allen,9,CLE,NYK,True,21713901,pts,9.5,9.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,28.0557,30.0161,0.05,13.3724,13.3724,13,12,0.0122,0.9878,0.9805,0.9687,0.9465,0.9221,0.8906,0.856,0.8165,0.7607,0.704,0.6452,0.5823,0.5138,0.446,0.3957,0.3398,0.2936,0.2475,0.2127,0.182,0.704,-238.0,238.0,pre_close,2026-05-25T19:24:35Z,951aa863#phase10c,7c4e91a2-fb14-4179-ba4c-6edec50b0609,ok,0.0,high,full,current_phase8,unknown,projected,derived_from_projected_minutes,bdl_injuries_only,2026-05-25T19:23:55Z,projected,not_available_yet,bdl_lineup_freshness_manifest
