player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,lineup_last_updated_utc,line_source
Alex Caruso,89,OKC,SAS,True,21713532,pts,12.5,12.5,fanduel,220,-310,0.2924,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.1287,19.5352,0.05,8.98,8.98,9,9,0.0394,0.9606,0.9119,0.8733,0.8261,0.7666,0.7065,0.647,0.5803,0.5142,0.4393,0.3659,0.3053,0.2544,0.2086,0.159,0.1188,0.0942,0.0696,0.0524,0.0378,0.2544,293.0,-293.0,-0.038,pre_close,2026-05-26T22:34:22Z,ff00ad3d#phase10c,804940ec-fb35-4cea-92cc-d8e7e28886f7,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-26T22:33:29Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-26T22:33:11Z,market_offered
Alex Caruso,89,OKC,SAS,True,21713532,pts,11.5,11.5,fanduel,174,-240,0.3408,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.1287,19.5352,0.05,8.98,8.98,9,9,0.0394,0.9606,0.9119,0.8733,0.8261,0.7666,0.7065,0.647,0.5803,0.5142,0.4393,0.3659,0.3053,0.2544,0.2086,0.159,0.1188,0.0942,0.0696,0.0524,0.0378,0.3053,227.0,-227.0,-0.0355,pre_close,2026-05-26T22:34:22Z,ff00ad3d#phase10c,804940ec-fb35-4cea-92cc-d8e7e28886f7,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-26T22:33:29Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-26T22:33:11Z,market_offered
Alex Caruso,89,OKC,SAS,True,21713532,pts,10.5,10.5,fanduel,132,-178,0.4023,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.1287,19.5352,0.05,8.98,8.98,9,9,0.0394,0.9606,0.9119,0.8733,0.8261,0.7666,0.7065,0.647,0.5803,0.5142,0.4393,0.3659,0.3053,0.2544,0.2086,0.159,0.1188,0.0942,0.0696,0.0524,0.0378,0.3659,173.0,-173.0,-0.0365,pre_close,2026-05-26T22:34:22Z,ff00ad3d#phase10c,804940ec-fb35-4cea-92cc-d8e7e28886f7,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-26T22:33:29Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-26T22:33:11Z,market_offered
Alex Caruso,89,OKC,SAS,True,21713532,pts,9.5,9.5,fanduel,106,-138,0.4557,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.1287,19.5352,0.05,8.98,8.98,9,9,0.0394,0.9606,0.9119,0.8733,0.8261,0.7666,0.7065,0.647,0.5803,0.5142,0.4393,0.3659,0.3053,0.2544,0.2086,0.159,0.1188,0.0942,0.0696,0.0524,0.0378,0.4393,128.0,-128.0,-0.0164,pre_close,2026-05-26T22:34:22Z,ff00ad3d#phase10c,804940ec-fb35-4cea-92cc-d8e7e28886f7,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-26T22:33:29Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-26T22:33:11Z,market_offered
Alex Caruso,89,OKC,SAS,True,21713532,pts,8.5,8.5,fanduel,-130,-102,0.5282,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.1287,19.5352,0.05,8.98,8.98,9,9,0.0394,0.9606,0.9119,0.8733,0.8261,0.7666,0.7065,0.647,0.5803,0.5142,0.4393,0.3659,0.3053,0.2544,0.2086,0.159,0.1188,0.0942,0.0696,0.0524,0.0378,0.5142,-106.0,106.0,-0.014,pre_close,2026-05-26T22:34:22Z,ff00ad3d#phase10c,804940ec-fb35-4cea-92cc-d8e7e28886f7,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-26T22:33:29Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-26T22:33:11Z,market_offered
Alex Caruso,89,OKC,SAS,True,21713532,pts,7.5,7.5,fanduel,-180,134,0.6007,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.1287,19.5352,0.05,8.98,8.98,9,9,0.0394,0.9606,0.9119,0.8733,0.8261,0.7666,0.7065,0.647,0.5803,0.5142,0.4393,0.3659,0.3053,0.2544,0.2086,0.159,0.1188,0.0942,0.0696,0.0524,0.0378,0.5803,-138.0,138.0,-0.0204,pre_close,2026-05-26T22:34:22Z,ff00ad3d#phase10c,804940ec-fb35-4cea-92cc-d8e7e28886f7,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-26T22:33:29Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-26T22:33:11Z,market_offered
Alex Caruso,89,OKC,SAS,True,21713532,pts,6.5,6.5,fanduel,-245,174,0.6605,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.1287,19.5352,0.05,8.98,8.98,9,9,0.0394,0.9606,0.9119,0.8733,0.8261,0.7666,0.7065,0.647,0.5803,0.5142,0.4393,0.3659,0.3053,0.2544,0.2086,0.159,0.1188,0.0942,0.0696,0.0524,0.0378,0.647,-183.0,183.0,-0.0135,pre_close,2026-05-26T22:34:22Z,ff00ad3d#phase10c,804940ec-fb35-4cea-92cc-d8e7e28886f7,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-26T22:33:29Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-26T22:33:11Z,market_offered
Alex Caruso,89,OKC,SAS,True,21713532,pts,5.5,5.5,fanduel,-340,235,0.7213,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.1287,19.5352,0.05,8.98,8.98,9,9,0.0394,0.9606,0.9119,0.8733,0.8261,0.7666,0.7065,0.647,0.5803,0.5142,0.4393,0.3659,0.3053,0.2544,0.2086,0.159,0.1188,0.0942,0.0696,0.0524,0.0378,0.7065,-241.0,241.0,-0.0148,pre_close,2026-05-26T22:34:22Z,ff00ad3d#phase10c,804940ec-fb35-4cea-92cc-d8e7e28886f7,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-26T22:33:29Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-26T22:33:11Z,market_offered
Alex Caruso,89,OKC,SAS,True,21713532,pts,4.5,4.5,fanduel,-550,350,0.792,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.1287,19.5352,0.05,8.98,8.98,9,9,0.0394,0.9606,0.9119,0.8733,0.8261,0.7666,0.7065,0.647,0.5803,0.5142,0.4393,0.3659,0.3053,0.2544,0.2086,0.159,0.1188,0.0942,0.0696,0.0524,0.0378,0.7666,-328.0,328.0,-0.0254,pre_close,2026-05-26T22:34:22Z,ff00ad3d#phase10c,804940ec-fb35-4cea-92cc-d8e7e28886f7,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-26T22:33:29Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-26T22:33:11Z,market_offered
Alex Caruso,89,OKC,SAS,True,21713532,pts,3.5,3.5,fanduel,-750,430,0.8238,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,20.1287,19.5352,0.05,8.98,8.98,9,9,0.0394,0.9606,0.9119,0.8733,0.8261,0.7666,0.7065,0.647,0.5803,0.5142,0.4393,0.3659,0.3053,0.2544,0.2086,0.159,0.1188,0.0942,0.0696,0.0524,0.0378,0.8261,-475.0,475.0,0.0023,pre_close,2026-05-26T22:34:22Z,ff00ad3d#phase10c,804940ec-fb35-4cea-92cc-d8e7e28886f7,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-26T22:33:29Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-26T22:33:11Z,market_offered
