pmf_json,player_name,player_id,team,opponent,is_home,game_id,stat,pmf_source,calibration_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,slate_date,minutes_p10,minutes_p50,minutes_p90,minutes_std,rotation_probability,starter_probability,projected_role,player_game_eligible,eligibility_reason,has_current_market_line,cal_source,mean,median,mode,p0,pmf_mean,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,lineup_freshness_status,role_freshness_status
"{""0"": 0.0019320076446543862, ""1"": 0.002215326483643515, ""2"": 0.004600003188713202, ""3"": 0.010587870648146055, ""4"": 0.014016330507601447, ""5"": 0.019758132767136432, ""6"": 0.029918105437648734, ""7"": 0.032781864335512216, ""8"": 0.03758630441311034, ""9"": 0.04123678109674432, ""10"": 0.05854091768503602, ""11"": 0.055652227589673205, ""12"": 0.058669791872345445, ""13"": 0.05899259044082117, ""14"": 0.07061516699117167, ""15"": 0.0967341652774595, ""16"": 0.06558695903579664, ""17"": 0.05743005990394949, ""18"": 0.052190243411638707, ""19"": 0.04341607368169204, ""20"": 0.04221765690677684, ""21"": 0.04007134186192313, ""22"": 0.016692499329850015, ""23"": 0.014928269754659476, ""24"": 0.015231810185189334, ""25"": 0.013781936324540684, ""26"": 0.008427564701849412, ""27"": 0.006761737067477216, ""28"": 0.004764989154177434, ""29"": 0.006629206193049937, ""30"": 0.004157159055782389, ""31"": 0.0034196646454735455, ""32"": 0.0030024895893392524, ""33"": 0.002484532519788381, ""34"": 0.0022835982807689896, ""35"": 0.00036764154375130243, ""36"": 0.0007722993916145812, ""37"": 0.0004657191899234919, ""38"": 0.00014792680975555224, ""39"": 5.809018782201749e-05, ""40"": 0.00022103177471117136, ""41"": 0.00010686681231250443, ""42"": 0.00025138597106514563, ""43"": 3.0485527873626772e-05, ""44"": 5.585594955486779e-05, ""45"": 4.194324774701141e-05, ""46"": 3.353505235215425e-05, ""47"": 2.283582334693357e-05, ""48"": 3.151970708853402e-05, ""49"": 9.148939693357586e-06, ""50"": 7.965266085665975e-06, ""51"": 6.837221419860132e-06, ""53"": 5.353360074173563e-05}",Mikal Bridges,61,NYK,SAS,True,21716136,pts,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.4380,33.4249,0.0500,2026-06-08,13.4058,33.4249,39.0835,10.0583,0.9406,0.6154,starter,True,current_market_line,True,role_aware_pmf_cal_v1,14.6007,15,15,0.0019,14.6007,0.9981,0.9959,0.9913,0.9807,0.9666,0.9469,0.9170,0.8842,0.8466,0.8054,0.7468,0.6912,0.6325,0.5735,0.5029,0.4062,0.3406,0.2831,0.2310,0.1875,pre_close,2026-06-08T20:24:41Z,2a55ede2#phase10c,123a4575-1c87-47c7-b3d9-8e48b45fa2bc,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-08T20:23:52Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.0069459154074014, ""1"": 0.031645536805708294, ""2"": 0.12056371116834391, ""3"": 0.18270666161383112, ""4"": 0.27445808465006427, ""5"": 0.1817425887127799, ""6"": 0.12766442317833848, ""7"": 0.056239995101160206, ""8"": 0.013387352395177991, ""9"": 0.0034690028186529047, ""10"": 0.0010571258230515814, ""11"": 0.00010782805145464663, ""12"": 9.366559048098373e-06, ""13"": 2.018907489848179e-06, ""14"": 3.3681767863554085e-07, ""15"": 4.547053850117611e-08, ""16"": 5.607097318703082e-09, ""17"": 8.8176040469655e-10, ""18"": 2.4385362011830842e-11, ""19"": 5.771283036988744e-12, ""20"": 2.658800106219254e-13}",Mikal Bridges,61,NYK,SAS,True,21716136,reb,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.4380,33.4249,0.0500,2026-06-08,13.4058,33.4249,39.0835,10.0583,0.9406,0.6154,starter,True,current_market_line,True,role_aware_pmf_cal_v1,4.1373,4,4,0.0069,4.1373,0.9931,0.9614,0.8408,0.6581,0.3837,0.2019,0.0743,0.0180,0.0046,0.0012,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-08T20:24:41Z,2a55ede2#phase10c,123a4575-1c87-47c7-b3d9-8e48b45fa2bc,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-08T20:23:52Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.013387785770641158, ""1"": 0.07515634022959336, ""2"": 0.2251745634429636, ""3"": 0.2432939599043004, ""4"": 0.25538531672387155, ""5"": 0.13427093285582675, ""6"": 0.04445910204020661, ""7"": 0.007225479684167264, ""8"": 0.0014901333487543308, ""9"": 0.0001479660731734976, ""10"": 7.429362449395553e-06, ""11"": 8.830442743420215e-07, ""12"": 9.972492497952988e-08, ""13"": 7.054714260333181e-09, ""14"": 7.027560602580274e-10, ""15"": 3.659851487436132e-11, ""16"": 6.663045593645786e-13, ""17"": 1.1761772388202106e-13}",Mikal Bridges,61,NYK,SAS,True,21716136,ast,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.4380,33.4249,0.0500,2026-06-08,13.4058,33.4249,39.0835,10.0583,0.9406,0.6154,starter,True,current_market_line,True,role_aware_pmf_cal_v1,3.2790,3,4,0.0134,3.2790,0.9866,0.9115,0.6863,0.4430,0.1876,0.0533,0.0089,0.0016,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-08T20:24:41Z,2a55ede2#phase10c,123a4575-1c87-47c7-b3d9-8e48b45fa2bc,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-08T20:23:52Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.3963349828331995, ""1"": 0.26887039102402843, ""2"": 0.17592375402692642, ""3"": 0.15887087211584572}",Mikal Bridges,61,NYK,SAS,True,21716136,fg3m,stat_grid:fg3m_hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.4380,33.4249,0.0500,2026-06-08,13.4058,33.4249,39.0835,10.0583,0.9406,0.6154,starter,True,current_market_line,True,role_aware_pmf_cal_v1,1.0973,1,0,0.3963,1.0973,0.6037,0.3348,0.1589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-08T20:24:41Z,2a55ede2#phase10c,123a4575-1c87-47c7-b3d9-8e48b45fa2bc,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-08T20:23:52Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.1179676615856025, ""1"": 0.6523342520124863, ""2"": 0.20967954313466913, ""3"": 0.01912254392940687, ""4"": 0.0008919338726420886, ""5"": 3.776747882457545e-06, ""6"": 2.811367816849125e-07, ""7"": 7.5083741727948e-09, ""8"": 7.171285615436408e-11, ""9"": 4.407013992962907e-13, ""10"": 1.2921295715081767e-15}",Mikal Bridges,61,NYK,SAS,True,21716136,tov,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.4380,33.4249,0.0500,2026-06-08,13.4058,33.4249,39.0835,10.0583,0.9406,0.6154,starter,True,current_market_line,True,role_aware_pmf_cal_v1,1.1326,1,1,0.1180,1.1326,0.8820,0.2297,0.0200,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-08T20:24:41Z,2a55ede2#phase10c,123a4575-1c87-47c7-b3d9-8e48b45fa2bc,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-08T20:23:52Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.6235279118251958, ""1"": 0.16145142477319271, ""2"": 0.0976947921832784, ""3"": 0.0869287262150306, ""4"": 0.010759720774754898, ""5"": 0.009828364765504157, ""10"": 0.009809059463043324}",Mikal Bridges,61,NYK,SAS,True,21716136,stl,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.4380,33.4249,0.0500,2026-06-08,13.4058,33.4249,39.0835,10.0583,0.9406,0.6154,starter,True,current_market_line,True,role_aware_pmf_cal_v1,0.8079,0,0,0.6235,0.8079,0.3765,0.2150,0.1173,0.0304,0.0196,0.0098,0.0098,0.0098,0.0098,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-08T20:24:41Z,2a55ede2#phase10c,123a4575-1c87-47c7-b3d9-8e48b45fa2bc,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-08T20:23:52Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.7740380201679007, ""1"": 0.15405762641711507, ""2"": 0.03620809042380763, ""3"": 0.03569626299117667}",Mikal Bridges,61,NYK,SAS,True,21716136,blk,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.4380,33.4249,0.0500,2026-06-08,13.4058,33.4249,39.0835,10.0583,0.9406,0.6154,starter,True,current_market_line,True,role_aware_pmf_cal_v1,0.3336,0,0,0.7740,0.3336,0.2260,0.0719,0.0357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-08T20:24:41Z,2a55ede2#phase10c,123a4575-1c87-47c7-b3d9-8e48b45fa2bc,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-08T20:23:52Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.48263431038859994, ""1"": 0.2210287712853387, ""2"": 0.11638779945949612, ""3"": 0.10776599430424037, ""4"": 0.0300732231252856, ""5"": 0.029475740322416358, ""6"": 0.007620875894619116, ""7"": 0.0013751787053160372, ""8"": 0.0009951487796871726, ""10"": 0.0009559940992768784, ""11"": 0.0009526659496390308, ""12"": 0.00036976227103106374, ""13"": 0.00036453541505356143}",Mikal Bridges,61,NYK,SAS,True,21716136,stocks,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.4380,33.4249,0.0500,2026-06-08,13.4058,33.4249,39.0835,10.0583,0.9406,0.6154,starter,True,current_market_line,True,phase8_pmf_cal,1.1373,1,0,0.4826,1.1373,0.5174,0.2963,0.1799,0.0722,0.0421,0.0126,0.0050,0.0036,0.0026,0.0026,0.0017,0.0007,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-08T20:24:41Z,2a55ede2#phase10c,123a4575-1c87-47c7-b3d9-8e48b45fa2bc,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-08T20:23:52Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 2.5865304453873906e-05, ""1"": 0.00017486094024286739, ""2"": 0.0006631186661126185, ""3"": 0.001456348512984192, ""4"": 0.0030515788856494953, ""5"": 0.00564638021985974, ""6"": 0.009175694764710007, ""7"": 0.01398061388736394, ""8"": 0.01973539906449623, ""9"": 0.025472928830650603, ""10"": 0.031322488518292724, ""11"": 0.036960094680333594, ""12"": 0.04367868672873524, ""13"": 0.04925654535761621, ""14"": 0.054572772891717886, ""15"": 0.05839134179335623, ""16"": 0.0638191427826821, ""17"": 0.07056845939032298, ""18"": 0.0723775318990696, ""19"": 0.07071703156156482, ""20"": 0.0629529015069007, ""21"": 0.05456437386402642, ""22"": 0.04807344566790595, ""23"": 0.042026489537099, ""24"": 0.03429292319945762, ""25"": 0.02705757376950389, ""26"": 0.020131345467829388, ""27"": 0.015746328472431702, ""28"": 0.01281857647644614, ""29"": 0.010435351962711678, ""30"": 0.008090933308216273, ""31"": 0.006616510035437264, ""32"": 0.005470284796742881, ""33"": 0.004757587806560781, ""34"": 0.003952585524025886, ""35"": 0.0032386059139051736, ""36"": 0.0026235034389717024, ""37"": 0.0019330228557594075, ""38"": 0.0013825419251140612, ""39"": 0.0008430899423216986, ""40"": 0.0005250345311641661, ""41"": 0.00032676941775267395, ""42"": 0.0002164002381557905, ""43"": 0.0001590313241474721, ""44"": 0.00016105928950738778, ""45"": 0.00013421982397341026, ""46"": 0.00011268719221251821, ""47"": 7.386035558994441e-05, ""48"": 5.054023751592198e-05, ""49"": 3.736814103351168e-05, ""50"": 3.0739312463335654e-05, ""51"": 2.3105520681172945e-05, ""52"": 1.7532901916204594e-05, ""53"": 1.2091644783501277e-05, ""54"": 1.0572476258444806e-05, ""55"": 1.5543889792407923e-05, ""56"": 1.4413315507758024e-05, ""57"": 1.4051726037384667e-05, ""58"": 7.250889773594263e-06, ""59"": 2.391521128288493e-06, ""60"": 3.8788820669588925e-07, ""61"": 7.983118567259667e-08, ""62"": 7.928076146286346e-09, ""63"": 3.984661594459354e-10, ""64"": 4.732673045764165e-11, ""65"": 5.34374055748955e-12, ""66"": 3.779208995853236e-13, ""67"": 3.762656396618783e-14, ""68"": 1.960061562258087e-15}",Mikal Bridges,61,NYK,SAS,True,21716136,pa,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.4380,33.4249,0.0500,2026-06-08,13.4058,33.4249,39.0835,10.0583,0.9406,0.6154,starter,True,current_market_line,True,phase8_pmf_cal,17.8797,18,18,0.0000,17.8797,1.0000,0.9998,0.9991,0.9977,0.9946,0.9890,0.9798,0.9658,0.9461,0.9206,0.8893,0.8523,0.8087,0.7594,0.7048,0.6464,0.5826,0.5120,0.4397,0.3690,pre_close,2026-06-08T20:24:41Z,2a55ede2#phase10c,123a4575-1c87-47c7-b3d9-8e48b45fa2bc,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-08T20:23:52Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 1.3419561666222194e-05, ""1"": 7.652688938298405e-05, ""2"": 0.00033498644044252377, ""3"": 0.0008391906733661135, ""4"": 0.0019220185760277825, ""5"": 0.0036568991608293745, ""6"": 0.006369176545965165, ""7"": 0.010250882995011732, ""8"": 0.015024324702565596, ""9"": 0.020511307880785288, ""10"": 0.026490907546837503, ""11"": 0.03198362379093896, ""12"": 0.03819469655947358, ""13"": 0.044013166604916304, ""14"": 0.05028748511709433, ""15"": 0.05459535064662, ""16"": 0.05946907286954122, ""17"": 0.0650104099749917, ""18"": 0.06945394541504415, ""19"": 0.07207054366667648, ""20"": 0.0674118973254616, ""21"": 0.06144613538292308, ""22"": 0.05419998309088652, ""23"": 0.04720732121656583, ""24"": 0.04057755394661694, ""25"": 0.033682827386694245, ""26"": 0.025732526927813047, ""27"": 0.020210272595960425, ""28"": 0.015837426097369586, ""29"": 0.01268238904324698, ""30"": 0.010062881919471425, ""31"": 0.008133909895921568, ""32"": 0.00650732687131249, ""33"": 0.005562142772560904, ""34"": 0.004594245274112774, ""35"": 0.0038674807143079483, ""36"": 0.0031931850289499374, ""37"": 0.002500675815000647, ""38"": 0.0019145067546824123, ""39"": 0.0012721223978560837, ""40"": 0.0008735719728796612, ""41"": 0.0005331268246594109, ""42"": 0.0003296890982739105, ""43"": 0.00022298973038039957, ""44"": 0.00018181756842869834, ""45"": 0.00014648051729770984, ""46"": 0.00013824599777854048, ""47"": 9.848587268265641e-05, ""48"": 7.499789419354359e-05, ""49"": 5.191513486688689e-05, ""50"": 3.796805700652063e-05, ""51"": 2.943769201420192e-05, ""52"": 2.3422513875810794e-05, ""53"": 1.6508358655036648e-05, ""54"": 1.275985040377629e-05, ""55"": 1.3192276752599975e-05, ""56"": 1.3096809163310359e-05, ""57"": 1.6273672495821632e-05, ""58"": 1.0288435137895951e-05, ""59"": 6.9668690321865315e-06, ""60"": 3.044209468515877e-06, ""61"": 7.249186930311209e-07, ""62"": 1.865504155015854e-07, ""63"": 5.6676547827051734e-08, ""64"": 5.78952436698561e-09, ""65"": 5.041705677668357e-10, ""66"": 1.0844391815849105e-10, ""67"": 1.8076834633917406e-11, ""68"": 2.4404858622373906e-12, ""69"": 3.0038323962421383e-13, ""70"": 4.724538679992839e-14, ""71"": 1.3072541143877766e-15}",Mikal Bridges,61,NYK,SAS,True,21716136,pr,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.4380,33.4249,0.0500,2026-06-08,13.4058,33.4249,39.0835,10.0583,0.9406,0.6154,starter,True,current_market_line,True,phase8_pmf_cal,18.7381,19,19,0.0000,18.7381,1.0000,0.9999,0.9996,0.9987,0.9968,0.9932,0.9868,0.9765,0.9615,0.9410,0.9145,0.8825,0.8443,0.8003,0.7500,0.6954,0.6360,0.5710,0.5015,0.4294,pre_close,2026-06-08T20:24:41Z,2a55ede2#phase10c,123a4575-1c87-47c7-b3d9-8e48b45fa2bc,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-08T20:23:52Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
