snapshot_type,snapshot_time_utc,delivery_date,game_id,player_id,player_name,team,opponent,is_home,stat,pmf_json,pmf_mean,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_version,pmf_source,calibration_source,role_bucket,role_source,calibration_confidence,minutes_mean,minutes_q50,minutes_p10,minutes_p50,minutes_p90,minutes_std,p_inactive_used,rotation_probability,starter_probability,projected_role,player_game_eligible,eligibility_reason,has_current_market_line,sportsbook,book,market_key,line,market_line,p_over,over_price_american,under_price_american,market_no_vig_over_prob,market_no_vig_under_prob,model_p_under,fair_over_odds_american,fair_under_odds_american,edge,edge_over,edge_under,market_snapshot_time_utc,market_coverage_status,finality_status,finality_blocker_codes,injury_freshness_status,lineup_freshness_status,role_freshness_status,odds_freshness_status,outcomes_freshness_status,tov_status,pmf_valid,pmf_sum_error,expected_lineup_status,official_lineup_status,lineup_source,lineup_last_updated_utc,injury_context_source,injury_report_fetched_at_utc
morning,2026-06-10T23:27:36Z,2026-06-10,21716137,399,Mitchell Robinson,NYK,SAS,True,stl,"{""0"": 0.6331193268246254, ""1"": 0.24512900255889347, ""2"": 0.11366056538859619, ""3"": 0.007954975801261336, ""4"": 7.096282630114104e-05, ""10"": 6.516660032244706e-05}",0.4973,0.4973,0,0,0.6331,0.3669,0.1218,0.0081,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f8521df#phase10c,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,projected_minutes,medium,14.0041,12.8687,3.8727,12.8687,24.5458,7.5787,0.05,0.5916,0.0279,rotation,True,current_market_line,True,betparx,betparx,player_stl_over_under,0.5,0.5,0.3669,135.0,-182.0,0.3974,0.6026,0.6331,173.0,-173.0,-0.0305,-0.0305,0.0305,2026-06-10T23:26:07.189016Z,full,provisional,lineup_unconfirmed,latest_valid_report_selected,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,bdl_plus_nba_official,2026-06-10T23:26:36Z
morning,2026-06-10T23:27:36Z,2026-06-10,21716137,399,Mitchell Robinson,NYK,SAS,True,blk,"{""0"": 0.7732971151030418, ""1"": 0.1301939222333341, ""2"": 0.08893466798380265, ""3"": 0.007361646724382864, ""4"": 0.00011206405352976497, ""10"": 0.00010058390190887222}",0.3316,0.3316,0,0,0.7733,0.2267,0.0965,0.0076,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f8521df#phase10c,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,projected_minutes,medium,14.0041,12.8687,3.8727,12.8687,24.5458,7.5787,0.05,0.5916,0.0279,rotation,True,current_market_line,True,bovada,bovada,player_blk_over_under,0.5,0.5,0.2267,115.0,-150.0,0.4367,0.5633,0.7733,341.0,-341.0,-0.21,-0.21,0.21,2026-06-10T23:26:07.189016Z,full,provisional,lineup_unconfirmed,latest_valid_report_selected,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,bdl_plus_nba_official,2026-06-10T23:26:36Z
morning,2026-06-10T23:27:36Z,2026-06-10,21716137,399,Mitchell Robinson,NYK,SAS,True,blk,"{""0"": 0.7732971151030418, ""1"": 0.1301939222333341, ""2"": 0.08893466798380265, ""3"": 0.007361646724382864, ""4"": 0.00011206405352976497, ""10"": 0.00010058390190887222}",0.3316,0.3316,0,0,0.7733,0.2267,0.0965,0.0076,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f8521df#phase10c,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,projected_minutes,medium,14.0041,12.8687,3.8727,12.8687,24.5458,7.5787,0.05,0.5916,0.0279,rotation,True,current_market_line,True,draftkings,draftkings,player_blk_over_under,0.5,0.5,0.2267,111.0,-148.0,0.4426,0.5574,0.7733,341.0,-341.0,-0.2159,-0.2159,0.2159,2026-06-10T23:26:07.189016Z,full,provisional,lineup_unconfirmed,latest_valid_report_selected,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,bdl_plus_nba_official,2026-06-10T23:26:36Z
morning,2026-06-10T23:27:36Z,2026-06-10,21716137,399,Mitchell Robinson,NYK,SAS,True,blk,"{""0"": 0.7732971151030418, ""1"": 0.1301939222333341, ""2"": 0.08893466798380265, ""3"": 0.007361646724382864, ""4"": 0.00011206405352976497, ""10"": 0.00010058390190887222}",0.3316,0.3316,0,0,0.7733,0.2267,0.0965,0.0076,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f8521df#phase10c,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,projected_minutes,medium,14.0041,12.8687,3.8727,12.8687,24.5458,7.5787,0.05,0.5916,0.0279,rotation,True,current_market_line,True,hardrockbet_az,hardrockbet_az,player_blk_over_under,0.5,0.5,0.2267,105.0,-145.0,0.4518,0.5482,0.7733,341.0,-341.0,-0.2251,-0.2251,0.2251,2026-06-10T23:26:07.189016Z,full,provisional,lineup_unconfirmed,latest_valid_report_selected,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,bdl_plus_nba_official,2026-06-10T23:26:36Z
morning,2026-06-10T23:27:36Z,2026-06-10,21716137,399,Mitchell Robinson,NYK,SAS,True,blk,"{""0"": 0.7732971151030418, ""1"": 0.1301939222333341, ""2"": 0.08893466798380265, ""3"": 0.007361646724382864, ""4"": 0.00011206405352976497, ""10"": 0.00010058390190887222}",0.3316,0.3316,0,0,0.7733,0.2267,0.0965,0.0076,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f8521df#phase10c,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,projected_minutes,medium,14.0041,12.8687,3.8727,12.8687,24.5458,7.5787,0.05,0.5916,0.0279,rotation,True,current_market_line,True,hardrockbet_fl,hardrockbet_fl,player_blk_over_under,0.5,0.5,0.2267,105.0,-145.0,0.4518,0.5482,0.7733,341.0,-341.0,-0.2251,-0.2251,0.2251,2026-06-10T23:26:07.189016Z,full,provisional,lineup_unconfirmed,latest_valid_report_selected,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,bdl_plus_nba_official,2026-06-10T23:26:36Z
morning,2026-06-10T23:27:36Z,2026-06-10,21716137,399,Mitchell Robinson,NYK,SAS,True,blk,"{""0"": 0.7732971151030418, ""1"": 0.1301939222333341, ""2"": 0.08893466798380265, ""3"": 0.007361646724382864, ""4"": 0.00011206405352976497, ""10"": 0.00010058390190887222}",0.3316,0.3316,0,0,0.7733,0.2267,0.0965,0.0076,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f8521df#phase10c,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,projected_minutes,medium,14.0041,12.8687,3.8727,12.8687,24.5458,7.5787,0.05,0.5916,0.0279,rotation,True,current_market_line,True,betparx,betparx,player_blk_over_under,0.5,0.5,0.2267,-113.0,-118.0,0.495,0.505,0.7733,341.0,-341.0,-0.2683,-0.2683,0.2683,2026-06-10T23:26:07.189016Z,full,provisional,lineup_unconfirmed,latest_valid_report_selected,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,bdl_plus_nba_official,2026-06-10T23:26:36Z
morning,2026-06-10T23:27:36Z,2026-06-10,21716137,399,Mitchell Robinson,NYK,SAS,True,blk,"{""0"": 0.7732971151030418, ""1"": 0.1301939222333341, ""2"": 0.08893466798380265, ""3"": 0.007361646724382864, ""4"": 0.00011206405352976497, ""10"": 0.00010058390190887222}",0.3316,0.3316,0,0,0.7733,0.2267,0.0965,0.0076,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f8521df#phase10c,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,projected_minutes,medium,14.0041,12.8687,3.8727,12.8687,24.5458,7.5787,0.05,0.5916,0.0279,rotation,True,current_market_line,True,hardrockbet,hardrockbet,player_blk_over_under,0.5,0.5,0.2267,105.0,-145.0,0.4518,0.5482,0.7733,341.0,-341.0,-0.2251,-0.2251,0.2251,2026-06-10T23:26:07.189016Z,full,provisional,lineup_unconfirmed,latest_valid_report_selected,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,bdl_plus_nba_official,2026-06-10T23:26:36Z
morning,2026-06-10T23:27:36Z,2026-06-10,21716137,399,Mitchell Robinson,NYK,SAS,True,blk,"{""0"": 0.7732971151030418, ""1"": 0.1301939222333341, ""2"": 0.08893466798380265, ""3"": 0.007361646724382864, ""4"": 0.00011206405352976497, ""10"": 0.00010058390190887222}",0.3316,0.3316,0,0,0.7733,0.2267,0.0965,0.0076,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f8521df#phase10c,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,projected_minutes,medium,14.0041,12.8687,3.8727,12.8687,24.5458,7.5787,0.05,0.5916,0.0279,rotation,True,current_market_line,True,fliff,fliff,player_blk_over_under,0.5,0.5,0.2267,110.0,-160.0,0.4362,0.5638,0.7733,341.0,-341.0,-0.2095,-0.2095,0.2095,2026-06-10T23:26:07.189016Z,full,provisional,lineup_unconfirmed,latest_valid_report_selected,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,bdl_plus_nba_official,2026-06-10T23:26:36Z
morning,2026-06-10T23:27:36Z,2026-06-10,21716137,399,Mitchell Robinson,NYK,SAS,True,stocks,"{""0"": 0.48958934894946254, ""1"": 0.27198583890790456, ""2"": 0.16316667202467938, ""3"": 0.05842289179731619, ""4"": 0.014971872524245911, ""5"": 0.0017748066089980103, ""6"": 8.69364017648713e-05, ""7"": 1.5837741785373885e-06, ""8"": 8.90801586887806e-09, ""10"": 7.104972167507758e-09, ""11"": 6.741056639335651e-09, ""12"": 6.575719429006589e-09, ""13"": 6.5635594346205355e-09, ""14"": 6.563415349375238e-09, ""20"": 6.5547109345676945e-09}",0.8429,0.8429,1,0,0.4896,0.5104,0.2384,0.0753,0.0168,0.0019,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f8521df#phase10c,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,projected_minutes,medium,14.0041,12.8687,3.8727,12.8687,24.5458,7.5787,0.05,0.5916,0.0279,rotation,True,current_market_line,True,betparx,betparx,player_stocks_over_under,1.5,1.5,0.2384,175.0,-245.0,0.3387,0.6613,0.7616,319.0,-319.0,-0.1002,-0.1002,0.1002,2026-06-10T23:26:07.189016Z,full,provisional,lineup_unconfirmed,latest_valid_report_selected,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,bdl_plus_nba_official,2026-06-10T23:26:36Z
morning,2026-06-10T23:27:36Z,2026-06-10,21716137,399,Mitchell Robinson,NYK,SAS,True,pa,"{""0"": 0.09888410172134883, ""1"": 0.1057648299903564, ""2"": 0.07336880112323098, ""3"": 0.09168845381031146, ""4"": 0.1016220704304913, ""5"": 0.09983474256626268, ""6"": 0.08565357568168343, ""7"": 0.07182029127760038, ""8"": 0.060352788033861474, ""9"": 0.0533295690773642, ""10"": 0.04639391460132071, ""11"": 0.028015391133625497, ""12"": 0.018770919320838422, ""13"": 0.019200924476591368, ""14"": 0.013647993513152025, ""15"": 0.007357358717375601, ""16"": 0.004788695050530165, ""17"": 0.0047321670118206, ""18"": 0.005201210672347197, ""19"": 0.003580105319753187, ""20"": 0.0018167643066671752, ""21"": 0.0008535581047123819, ""22"": 0.0005359371447037212, ""23"": 0.00044460584898488965, ""24"": 0.00046241080063482603, ""25"": 0.0003359271082724037, ""26"": 0.00013517804219531458, ""27"": 8.724294724129617e-05, ""28"": 0.0002822134532551664, ""29"": 0.00023947567382986694, ""30"": 7.315477502056801e-05, ""31"": 4.241852531451581e-05, ""32"": 6.816474938059419e-05, ""33"": 5.3945376126594096e-05, ""34"": 2.7284852827234368e-05, ""35"": 2.7653165086208502e-05, ""36"": 2.124497004702467e-05, ""37"": 2.187814918803266e-05, ""38"": 1.3323752283902005e-05, ""39"": 8.804837567603658e-06, ""40"": 6.20665747618789e-06, ""41"": 9.865775301667867e-07, ""42"": 0.000211552783895591, ""43"": 0.00018893386339058953, ""44"": 3.035414769825302e-05, ""45"": 2.5890577277229917e-06, ""46"": 2.6436808876414657e-07, ""47"": 2.1548935401796755e-08, ""48"": 8.210001951905538e-10, ""49"": 5.843518087759768e-11, ""50"": 2.5615774530067513e-12, ""51"": 5.5252815943203797e-14}",5.4268,5.4268,5,1,0.0989,0.9011,0.7954,0.722,0.6303,0.5287,0.4288,0.3432,0.2714,0.211,0.1577,0.1113,0.0833,0.0645,0.0453,0.0317,0.0243,0.0195,0.0148,0.0096,0.006,5f8521df#phase10c,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,projected_minutes,medium,14.0041,12.8687,3.8727,12.8687,24.5458,7.5787,0.05,0.5916,0.0279,rotation,True,current_market_line,True,,,player_pa_over_under,,,,,,,,,,,,,,,no_market,provisional,lineup_unconfirmed,latest_valid_report_selected,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-10T23:04:23Z,bdl_plus_nba_official,2026-06-10T23:26:36Z
