pmf_json,player_name,player_id,team,opponent,is_home,game_id,stat,pmf_source,calibration_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,slate_date,minutes_p10,minutes_p50,minutes_p90,minutes_std,rotation_probability,starter_probability,projected_role,player_game_eligible,eligibility_reason,has_current_market_line,cal_source,mean,median,mode,p0,pmf_mean,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,lineup_freshness_status,role_freshness_status
"{""0"": 0.0010486361484817964, ""1"": 0.0005071963606325717, ""2"": 0.001461820079574427, ""3"": 0.0018974411949176525, ""4"": 0.0034395460945359103, ""5"": 0.007750627474509781, ""6"": 0.012512621417104451, ""7"": 0.013740235849008253, ""8"": 0.0244132098613292, ""9"": 0.028663661206052043, ""10"": 0.034223355149522974, ""11"": 0.039349065574527754, ""12"": 0.05385733641152234, ""13"": 0.06540626270592469, ""14"": 0.08754334428262972, ""15"": 0.06628941326193692, ""16"": 0.08813872837736393, ""17"": 0.08346571655719949, ""18"": 0.06388004132722518, ""19"": 0.059242214926235055, ""20"": 0.052191377214932985, ""21"": 0.058367512487327335, ""22"": 0.039558274581472395, ""23"": 0.02456767540213046, ""24"": 0.020820016617755968, ""25"": 0.017020157937913172, ""26"": 0.006115877278957689, ""27"": 0.012736547765056037, ""28"": 0.010765035948995543, ""29"": 0.007326309931020845, ""30"": 0.0034574406915088137, ""31"": 0.0027638862542121593, ""32"": 0.002868432521935311, ""33"": 0.0019566928197714967, ""34"": 0.0003394475989911631, ""35"": 0.0010991000529466202, ""36"": 0.00023366680579380112, ""37"": 0.00019278711009290396, ""38"": 0.0002018632773336989, ""39"": 0.00025019137710656985, ""40"": 4.4662916699373996e-05, ""41"": 7.01859908056595e-05, ""42"": 3.544196504819725e-05, ""43"": 3.8007226903022776e-05, ""44"": 5.4265125963700695e-05, ""45"": 1.3593991072524063e-05, ""46"": 6.065149673779151e-06, ""47"": 7.666649747107921e-06, ""48"": 6.395372713961108e-06, ""49"": 6.094767588357791e-05}",OG Anunoby,18,NYK,SAS,True,21716137,pts,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.8515,33.6713,0.0500,2026-06-10,14.1540,33.6713,38.7363,9.7673,0.9415,0.6375,starter,True,current_market_line,True,role_aware_pmf_cal_v1,16.3727,16,16,0.0010,16.3727,0.9990,0.9984,0.9970,0.9951,0.9916,0.9839,0.9714,0.9576,0.9332,0.9046,0.8703,0.8310,0.7771,0.7117,0.6242,0.5579,0.4698,0.3863,0.3224,0.2632,morning,2026-06-10T20:38:53Z,8f3f8f0e#phase10c,6352a147-a4d0-4e79-a893-08b7fd203a14,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-10T20:37:54Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.0031831276121605636, ""1"": 0.0078139260591706, ""2"": 0.023023420076345596, ""3"": 0.04767748866878628, ""4"": 0.09274902357590654, ""5"": 0.17968984137518715, ""6"": 0.2434783940838533, ""7"": 0.19821527081158283, ""8"": 0.10221806794378659, ""9"": 0.0665373400325652, ""10"": 0.02176536678116294, ""11"": 0.009039930291949116, ""12"": 0.003153709784440971, ""13"": 0.0013706748014487458, ""14"": 5.7474228534032816e-05, ""15"": 1.5457582247433062e-05, ""16"": 8.49365827968174e-06, ""17"": 2.3045424766504324e-06, ""18"": 5.235982399835745e-07, ""19"": 1.326536172803923e-07, ""20"": 2.668624809402344e-08, ""21"": 4.701132590628328e-09, ""22"": 3.412754952941849e-10, ""23"": 5.162825025915576e-11, ""24"": 5.797406608192047e-11}",OG Anunoby,18,NYK,SAS,True,21716137,reb,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.8515,33.6713,0.0500,2026-06-10,14.1540,33.6713,38.7363,9.7673,0.9415,0.6375,starter,True,current_market_line,True,role_aware_pmf_cal_v1,6.1053,6,6,0.0032,6.1053,0.9968,0.9890,0.9660,0.9183,0.8256,0.6459,0.4024,0.2042,0.1020,0.0354,0.0136,0.0046,0.0015,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,morning,2026-06-10T20:38:53Z,8f3f8f0e#phase10c,6352a147-a4d0-4e79-a893-08b7fd203a14,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-10T20:37:54Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.044916949673341804, ""1"": 0.2766808504025849, ""2"": 0.34230806334437314, ""3"": 0.26171193099218837, ""4"": 0.06470942035752994, ""5"": 0.008565924276059464, ""6"": 0.0010570615354266242, ""7"": 4.8397537845208845e-05, ""8"": 1.3027381801533272e-06, ""9"": 9.567655235369551e-08, ""10"": 3.3674850976423525e-09, ""11"": 9.563592242287013e-11, ""12"": 2.7478160062916973e-12, ""13"": 4.921450049174017e-14}",OG Anunoby,18,NYK,SAS,True,21716137,ast,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.8515,33.6713,0.0500,2026-06-10,14.1540,33.6713,38.7363,9.7673,0.9415,0.6375,starter,True,current_market_line,True,role_aware_pmf_cal_v1,2.0548,2,2,0.0449,2.0548,0.9551,0.6784,0.3361,0.0744,0.0097,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,morning,2026-06-10T20:38:53Z,8f3f8f0e#phase10c,6352a147-a4d0-4e79-a893-08b7fd203a14,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-10T20:37:54Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.4083350854857854, ""1"": 0.1269206595906269, ""2"": 0.1940398308211097, ""3"": 0.11145514021820564, ""4"": 0.15924928388427245}",OG Anunoby,18,NYK,SAS,True,21716137,fg3m,stat_grid:fg3m_hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.8515,33.6713,0.0500,2026-06-10,14.1540,33.6713,38.7363,9.7673,0.9415,0.6375,starter,True,current_market_line,True,role_aware_pmf_cal_v1,1.4864,1,0,0.4083,1.4864,0.5917,0.4647,0.2707,0.1592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,morning,2026-06-10T20:38:53Z,8f3f8f0e#phase10c,6352a147-a4d0-4e79-a893-08b7fd203a14,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-10T20:37:54Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.1242794730817181, ""1"": 0.6156627373244289, ""2"": 0.21654999891425475, ""3"": 0.04135326536268694, ""4"": 0.0020866984963683623, ""5"": 6.706889844139642e-05, ""6"": 6.675508745199326e-07, ""7"": 8.811813225751943e-08, ""8"": 2.230594916725496e-09, ""9"": 2.2322039215401293e-11, ""10"": 1.7784281324197832e-13}",OG Anunoby,18,NYK,SAS,True,21716137,tov,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.8515,33.6713,0.0500,2026-06-10,14.1540,33.6713,38.7363,9.7673,0.9415,0.6375,starter,True,current_market_line,True,role_aware_pmf_cal_v1,1.1815,1,1,0.1243,1.1815,0.8757,0.2601,0.0435,0.0022,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,morning,2026-06-10T20:38:53Z,8f3f8f0e#phase10c,6352a147-a4d0-4e79-a893-08b7fd203a14,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-10T20:37:54Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.5665089018956692, ""1"": 0.29701438892831006, ""2"": 0.08298491294997903, ""3"": 0.045151315360965984, ""4"": 0.00834048086507572}",OG Anunoby,18,NYK,SAS,True,21716137,stl,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.8515,33.6713,0.0500,2026-06-10,14.1540,33.6713,38.7363,9.7673,0.9415,0.6375,starter,True,current_market_line,True,role_aware_pmf_cal_v1,0.6318,0,0,0.5665,0.6318,0.4335,0.1365,0.0535,0.0083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,morning,2026-06-10T20:38:53Z,8f3f8f0e#phase10c,6352a147-a4d0-4e79-a893-08b7fd203a14,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-10T20:37:54Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.756041347404668, ""1"": 0.14686821964312527, ""2"": 0.07520524909042539, ""3"": 0.014622659396184328, ""4"": 0.007262524465597068}",OG Anunoby,18,NYK,SAS,True,21716137,blk,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.8515,33.6713,0.0500,2026-06-10,14.1540,33.6713,38.7363,9.7673,0.9415,0.6375,starter,True,current_market_line,True,role_aware_pmf_cal_v1,0.3702,0,0,0.7560,0.3702,0.2440,0.0971,0.0219,0.0073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,morning,2026-06-10T20:38:53Z,8f3f8f0e#phase10c,6352a147-a4d0-4e79-a893-08b7fd203a14,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-10T20:37:54Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.4283041535059406, ""1"": 0.30775731263733247, ""2"": 0.14896644299026007, ""3"": 0.07694501554492178, ""4"": 0.02763536774705583, ""5"": 0.007991101877418786, ""6"": 0.0018901602073797229, ""7"": 0.00044987254335329924, ""8"": 6.0572946337456615e-05}",OG Anunoby,18,NYK,SAS,True,21716137,stocks,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.8515,33.6713,0.0500,2026-06-10,14.1540,33.6713,38.7363,9.7673,0.9415,0.6375,starter,True,current_market_line,True,phase8_pmf_cal,1.0020,1,0,0.4283,1.0020,0.5717,0.2639,0.1150,0.0380,0.0104,0.0024,0.0005,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,morning,2026-06-10T20:38:53Z,8f3f8f0e#phase10c,6352a147-a4d0-4e79-a893-08b7fd203a14,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-10T20:37:54Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 4.710153710700382e-05, ""1"": 0.00031291925472986995, ""2"": 0.000564948628466347, ""3"": 0.0009377428886833002, ""4"": 0.0013804683388907312, ""5"": 0.0023736791795201492, ""6"": 0.004480492957316725, ""7"": 0.007768335796384463, ""8"": 0.011450225464142752, ""9"": 0.016553326453890793, ""10"": 0.022300522489906906, ""11"": 0.028442084489031946, ""12"": 0.03423386160921338, ""13"": 0.04234437713798321, ""14"": 0.053249353373129006, ""15"": 0.0665541936205037, ""16"": 0.07324406075435688, ""17"": 0.07847489170971969, ""18"": 0.07976601628843563, ""19"": 0.07708454714150781, ""20"": 0.06881310532168185, ""21"": 0.0602897092581751, ""22"": 0.05624103198917318, ""23"": 0.0501606084055018, ""24"": 0.04050559195201503, ""25"": 0.029577406283749597, ""26"": 0.021658264554301306, ""27"": 0.015532137839825544, ""28"": 0.012157794263315334, ""29"": 0.010575648392003967, ""30"": 0.009765415080438641, ""31"": 0.007301544028355182, ""32"": 0.004807465929761306, ""33"": 0.0033125603644297984, ""34"": 0.002560346964652857, ""35"": 0.0017805298672174202, ""36"": 0.0011561954579336143, ""37"": 0.0006926656177794984, ""38"": 0.0004719386706620059, ""39"": 0.00027047644668861716, ""40"": 0.00021577618046962347, ""41"": 0.00016964026054805436, ""42"": 0.00011679229825935912, ""43"": 6.536278295069273e-05, ""44"": 4.8710232464278295e-05, ""45"": 4.3109275715125945e-05, ""46"": 3.5510199261436016e-05, ""47"": 2.3717354168596397e-05, ""48"": 1.1920310960222633e-05, ""49"": 1.0105217005146903e-05, ""50"": 2.162686766429759e-05, ""51"": 2.310173344279475e-05, ""52"": 1.6437390355426567e-05, ""53"": 4.007091748698882e-06, ""54"": 5.292139142934458e-07, ""55"": 6.474558314656657e-08, ""56"": 2.9588043403565732e-09, ""57"": 8.003718899893225e-11, ""58"": 5.853550398408925e-12, ""59"": 2.0587339077100644e-13, ""60"": 5.846741385145969e-15}",OG Anunoby,18,NYK,SAS,True,21716137,pa,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.8515,33.6713,0.0500,2026-06-10,14.1540,33.6713,38.7363,9.7673,0.9415,0.6375,starter,True,current_market_line,True,phase8_pmf_cal,18.4275,18,18,0.0000,18.4275,1.0000,0.9996,0.9991,0.9981,0.9968,0.9944,0.9899,0.9821,0.9707,0.9541,0.9318,0.9034,0.8692,0.8268,0.7736,0.7070,0.6338,0.5553,0.4755,0.3984,morning,2026-06-10T20:38:53Z,8f3f8f0e#phase10c,6352a147-a4d0-4e79-a893-08b7fd203a14,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-10T20:37:54Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 3.3379426793421104e-06, ""1"": 9.808436067527085e-06, ""2"": 3.2759545272504967e-05, ""3"": 7.913608443255669e-05, ""4"": 0.00018087290470860114, ""5"": 0.0004004003215568667, ""6"": 0.0007520881104310672, ""7"": 0.0012539515847023674, ""8"": 0.0020663000217165783, ""9"": 0.003405194408387516, ""10"": 0.005522883852410143, ""11"": 0.008619970525927596, ""12"": 0.01246712700771739, ""13"": 0.017116305575279434, ""14"": 0.02279025472320384, ""15"": 0.029030831594313296, ""16"": 0.035778222253905936, ""17"": 0.043758474205384305, ""18"": 0.05294173329164477, ""19"": 0.062495802518298685, ""20"": 0.06966904237213041, ""21"": 0.07363464139383945, ""22"": 0.07510771395673316, ""23"": 0.0736697880647888, ""24"": 0.06767855364938977, ""25"": 0.06146013621224432, ""26"": 0.05538107669124444, ""27"": 0.048669580731978884, ""28"": 0.04042964730209031, ""29"": 0.031530461541982795, ""30"": 0.024409433048058347, ""31"": 0.018435807785787146, ""32"": 0.014012649256692378, ""33"": 0.011462697502997242, ""34"": 0.009639296585347394, ""35"": 0.007387239045748906, ""36"": 0.005505072700865609, ""37"": 0.003981658867834979, ""38"": 0.0029242877260768733, ""39"": 0.0020454008522432948, ""40"": 0.0013764751077230291, ""41"": 0.0009318948958750943, ""42"": 0.0006159104387865664, ""43"": 0.00037450707531856925, ""44"": 0.0002764602145615563, ""45"": 0.0001911505678476259, ""46"": 0.00013204928061368704, ""47"": 8.824667651717065e-05, ""48"": 6.494775353255685e-05, ""49"": 4.6438904689511515e-05, ""50"": 3.720754184740346e-05, ""51"": 2.684172054025894e-05, ""52"": 1.9032958729099646e-05, ""53"": 1.6321660739904456e-05, ""54"": 1.7294476016824774e-05, ""55"": 1.825668451356036e-05, ""56"": 1.3726953038709969e-05, ""57"": 6.998027954313566e-06, ""58"": 4.305792657752398e-06, ""59"": 1.4189290306362119e-06, ""60"": 5.827779215411503e-07, ""61"": 2.017789563017918e-07, ""62"": 8.414313431047099e-08, ""63"": 3.6964108561854655e-09, ""64"": 1.0207160549155234e-09, ""65"": 5.378626982066232e-10, ""66"": 1.450704222078492e-10, ""67"": 3.300321668111771e-11, ""68"": 8.297557801605744e-12, ""69"": 1.660247966169771e-12, ""70"": 2.8945312650966564e-13, ""71"": 2.157459703624023e-14, ""72"": 3.5173876235689647e-15, ""73"": 3.533384589214016e-15}",OG Anunoby,18,NYK,SAS,True,21716137,pr,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,30.8515,33.6713,0.0500,2026-06-10,14.1540,33.6713,38.7363,9.7673,0.9415,0.6375,starter,True,current_market_line,True,phase8_pmf_cal,22.4779,22,22,0.0000,22.4779,1.0000,1.0000,1.0000,0.9999,0.9997,0.9993,0.9985,0.9973,0.9952,0.9918,0.9863,0.9777,0.9652,0.9481,0.9253,0.8963,0.8605,0.8167,0.7638,0.7013,morning,2026-06-10T20:38:53Z,8f3f8f0e#phase10c,6352a147-a4d0-4e79-a893-08b7fd203a14,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-10T20:37:54Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
