pmf_json,player_name,player_id,team,opponent,is_home,game_id,stat,pmf_source,calibration_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,slate_date,minutes_p10,minutes_p50,minutes_p90,minutes_std,rotation_probability,starter_probability,projected_role,player_game_eligible,eligibility_reason,has_current_market_line,cal_source,mean,median,mode,p0,pmf_mean,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,lineup_last_updated_utc,lineup_freshness_status,role_freshness_status,actual_outcome,pmf_nll,pmf_rps,mean_error,outcome_prob_assigned
"{""0"": 0.0006657112896958961, ""1"": 0.0009239400548960343, ""2"": 0.0011309501868589473, ""3"": 0.0018122514524228236, ""4"": 0.0022878987546347063, ""5"": 0.005917639490548846, ""6"": 0.007303223770885866, ""7"": 0.013828015198371409, ""8"": 0.024582803059193217, ""9"": 0.030547177761280048, ""10"": 0.03318345410347525, ""11"": 0.04037062845868584, ""12"": 0.05890069167742621, ""13"": 0.060824671779628095, ""14"": 0.08045752549011306, ""15"": 0.0705562528562014, ""16"": 0.09626387911290925, ""17"": 0.09839772396643982, ""18"": 0.0594726145779399, ""19"": 0.05415991219393497, ""20"": 0.04829917268549835, ""21"": 0.05015178625773884, ""22"": 0.04226482510648303, ""23"": 0.022668595900898165, ""24"": 0.02452026424747178, ""25"": 0.016074094597794096, ""26"": 0.007028625964464488, ""27"": 0.010313251767462596, ""28"": 0.00884472850176222, ""29"": 0.012352880324289087, ""30"": 0.0031683136606534624, ""31"": 0.003393508857787063, ""32"": 0.003268813430549706, ""33"": 0.0028061277962174156, ""34"": 0.0006627245684471009, ""35"": 0.0008272372424206846, ""36"": 0.000572149966978695, ""37"": 0.00022144056846250398, ""38"": 0.0002462164475374026, ""39"": 0.00034055879045426723, ""40"": 7.769928722276528e-05, ""41"": 5.5840602476745116e-05, ""42"": 4.3909182060780855e-05, ""43"": 4.777041135308625e-05, ""44"": 5.675668151803266e-05, ""45"": 2.3055370657623154e-05, ""46"": 1.8854179980276216e-05, ""47"": 6.466842962023043e-06, ""48"": 2.7564405789941355e-06, ""49"": 4.6538717623001735e-06, ""50"": 3.916819638801965e-06, ""52"": 4.603839087616799e-05}",OG Anunoby,18,NYK,SAS,False,21716138,pts,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.010982920291184,35.36755462857424,0.050000000000000044,2026-06-13,13.579270380709975,35.36755462857424,39.46500465522523,10.08169850563714,0.9436591092352157,0.6950181753505678,starter,True,current_market_line,True,role_aware_pmf_cal_v1,16.47540383850598,16,17,0.0006657112896958961,16.475403838505976,0.9993342887103042,0.9984103486554082,0.9972793984685492,0.9954671470161265,0.9931792482614916,0.9872616087709429,0.979958385000057,0.9661303698016857,0.9415475667424924,0.9110003889812124,0.877816934877737,0.8374463064190512,0.778545614741625,0.7177209429619968,0.6372634174718839,0.5667071646156825,0.47044328550277326,0.3720455615363334,0.31257294695839355,0.25841303476445854,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,3.3306690738754696e-16,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,projected,derived_from_projected_minutes,11,3.209652776770393,0.06168538600695787,5.475403838505976,0.04037062845868583
"{""0"": 0.0032005754669008793, ""1"": 0.008364937944866691, ""2"": 0.027470364672407235, ""3"": 0.07155948007370243, ""4"": 0.1454997371816793, ""5"": 0.18466043473797608, ""6"": 0.26631667005425774, ""7"": 0.15485733308536062, ""8"": 0.08507601717281739, ""9"": 0.03710190413473458, ""10"": 0.010642815819712211, ""11"": 0.0037549169827990874, ""12"": 0.0014097445979145502, ""13"": 6.434821028417084e-05, ""14"": 1.2395340101906774e-05, ""15"": 6.537089237884426e-06, ""16"": 1.4302555978064443e-06, ""17"": 2.8881156349117684e-07, ""18"": 5.4781999554795314e-08, ""19"": 1.255258549927928e-08, ""20"": 7.930214264008366e-10, ""21"": 2.100809154615226e-10, ""22"": 3.0398582679986765e-11}",OG Anunoby,18,NYK,SAS,False,21716138,reb,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.010982920291184,35.36755462857424,0.050000000000000044,2026-06-13,13.579270380709975,35.36755462857424,39.46500465522523,10.08169850563714,0.9436591092352157,0.6950181753505678,starter,True,current_market_line,True,role_aware_pmf_cal_v1,5.6454981938643405,6,6,0.0032005754669008793,5.6454981938643405,0.9967994245330992,0.9884344865882324,0.9609641219158251,0.8894046418421229,0.7439049046604436,0.5592444699224673,0.29292779986820966,0.13807046678284907,0.05299444961003166,0.015892545475297087,0.005249729655584876,0.0014948126727857883,8.506807487123828e-05,2.0719864587067436e-05,8.324524485160664e-06,1.787435247276238e-06,3.5717964946979377e-07,6.836808597861695e-08,1.3586086423821625e-08,1.0335009245423459e-09,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,2.220446049250313e-16,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,projected,derived_from_projected_minutes,8,2.464210102477193,0.06907789436117145,-2.3545018061356595,0.08507601717281739
"{""0"": 0.042927169955385806, ""1"": 0.30344849144028135, ""2"": 0.3537575971272993, ""3"": 0.2486571404801858, ""4"": 0.04520470071916429, ""5"": 0.005100135136326512, ""6"": 0.0008746308167543831, ""7"": 2.9222358720193722e-05, ""8"": 8.630500483905974e-07, ""9"": 4.703760680002963e-08, ""10"": 1.843080422332574e-09, ""11"": 3.400411825945862e-11, ""12"": 1.1256590992923815e-12, ""13"": 1.6982535045432126e-14}",OG Anunoby,18,NYK,SAS,False,21716138,ast,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.010982920291184,35.36755462857424,0.050000000000000044,2026-06-13,13.579270380709975,35.36755462857424,39.46500465522523,10.08169850563714,0.9436591092352157,0.6950181753505678,starter,True,current_market_line,True,role_aware_pmf_cal_v1,1.9687142736627214,2,2,0.042927169955385806,1.9687142736627208,0.9570728300446142,0.6536243386043328,0.29986674147703357,0.05120960099684776,0.006004900277683462,0.0009047651413569497,3.0134324602566573e-05,9.119658823728533e-07,4.8915833982255996e-08,1.8782271822263706e-09,3.514675989379643e-11,1.1426416343378135e-12,1.6982535045432126e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,2.220446049250313e-16,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,projected,derived_from_projected_minutes,0,3.148250321225049,0.11044558017231437,1.9687142736627208,0.0429271699553858
"{""0"": 0.39445679384557614, ""1"": 0.08231417826598265, ""2"": 0.196341432339321, ""3"": 0.11333749955374157, ""4"": 0.07346915464664704, ""5"": 0.14008094134873172}",OG Anunoby,18,NYK,SAS,False,21716138,fg3m,stat_grid:fg3m_hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.010982920291184,35.36755462857424,0.050000000000000044,2026-06-13,13.579270380709975,35.36755462857424,39.46500465522523,10.08169850563714,0.9436591092352157,0.6950181753505678,starter,True,current_market_line,True,role_aware_pmf_cal_v1,1.809290866936096,2,0,0.39445679384557614,1.8092908669360956,0.6055432061544239,0.5232290278884413,0.32688759554912034,0.21355009599537877,0.14008094134873172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,2.220446049250313e-16,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,projected,derived_from_projected_minutes,1,2.4972119107299804,0.12028931831773644,0.8092908669360956,0.08231417826598264
"{""0"": 0.11981109260485748, ""1"": 0.6019796225944736, ""2"": 0.22340645941468062, ""3"": 0.05232140209851941, ""4"": 0.0023987069511486312, ""5"": 8.18687867041771e-05, ""6"": 7.550839009813776e-07, ""7"": 8.977574279578831e-08, ""8"": 2.6621124968166446e-09, ""9"": 2.767140232066552e-11, ""10"": 1.8837481863454115e-13}",OG Anunoby,18,NYK,SAS,False,21716138,tov,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.010982920291184,35.36755462857424,0.050000000000000044,2026-06-13,13.579270380709975,35.36755462857424,39.46500465522523,10.08169850563714,0.9436591092352157,0.6950181753505678,starter,True,current_market_line,True,role_aware_pmf_cal_v1,1.2157660999389404,1,1,0.11981109260485748,1.2157660999389404,0.8801889073951426,0.2782092848006689,0.054802825385988276,0.0024814232874688594,8.271633632022822e-05,8.475496160511217e-07,9.246571506974427e-08,2.6899722739559445e-09,2.785977713930006e-11,1.8837481863454115e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,projected,derived_from_projected_minutes,1,0.5075316837570649,0.00947646180350074,0.21576609993894036,0.6019796225944736
"{""0"": 0.5090554688063025, ""1"": 0.3143860732274611, ""2"": 0.10138926140875179, ""3"": 0.0633392267089308, ""4"": 0.006021814470192257, ""10"": 0.005808155378361687}",OG Anunoby,18,NYK,SAS,False,21716138,stl,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.010982920291184,35.36755462857424,0.050000000000000044,2026-06-13,13.579270380709975,35.36755462857424,39.46500465522523,10.08169850563714,0.9436591092352157,0.6950181753505678,starter,True,current_market_line,True,role_aware_pmf_cal_v1,0.789351087836143,0,0,0.5090554688063025,0.7893510878361429,0.49094453119369763,0.17655845796623654,0.07516919655748475,0.011829969848553945,0.005808155378361687,0.005808155378361687,0.005808155378361687,0.005808155378361687,0.005808155378361687,0.005808155378361687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,projected,derived_from_projected_minutes,3,2.759250446520043,0.1792847814664688,-2.2106489121638573,0.0633392267089308
"{""0"": 0.76291044282263, ""1"": 0.11973744789300438, ""2"": 0.09989945706529849, ""3"": 0.0110509122806599, ""4"": 0.006401739938407317}",OG Anunoby,18,NYK,SAS,False,21716138,blk,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.010982920291184,35.36755462857424,0.050000000000000044,2026-06-13,13.579270380709975,35.36755462857424,39.46500465522523,10.08169850563714,0.9436591092352157,0.6950181753505678,starter,True,current_market_line,True,role_aware_pmf_cal_v1,0.3782960586192103,0,0,0.76291044282263,0.37829605861921034,0.23708955717737007,0.1173521092843657,0.017452652219067215,0.006401739938407317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,projected,derived_from_projected_minutes,1,2.1224538674501345,0.14903735966625745,-0.6217039413807897,0.11973744789300438
"{""0"": 0.38836373312829764, ""1"": 0.30080142101407364, ""2"": 0.1631046007688082, ""3"": 0.10354626667073741, ""4"": 0.030676932493917102, ""5"": 0.010742160141987516, ""6"": 0.002043125199333914, ""7"": 0.0004944180943507202, ""8"": 4.03786855358602e-05, ""10"": 3.786590573885922e-05, ""11"": 3.750777659909293e-05, ""12"": 3.721575350431334e-05, ""13"": 3.719206686161435e-05, ""14"": 3.718230025413327e-05}",OG Anunoby,18,NYK,SAS,False,21716138,stocks,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.010982920291184,35.36755462857424,0.050000000000000044,2026-06-13,13.579270380709975,35.36755462857424,39.46500465522523,10.08169850563714,0.9436591092352157,0.6950181753505678,starter,True,current_market_line,True,phase8_pmf_cal,1.132352543305043,1,0,0.38836373312829764,1.1323525433050428,0.6116362668717024,0.31083484585762877,0.14773024508882054,0.04418397841808312,0.013507045924166024,0.0027648857821785076,0.0007217605828445934,0.0002273424884938733,0.00018696380295801313,0.0001869638029580131,0.0001490978972191539,0.00011159012062006096,7.437436711574762e-05,3.718230025413327e-05,0.0,0.0,0.0,0.0,0.0,0.0,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,projected,derived_from_projected_minutes,4,3.484244291382812,0.161850983582567,-2.8676474566949572,0.030676932493917102
"{""0"": 2.8577101673994803e-05, ""1"": 0.00024167121835809427, ""2"": 0.0005644171329451572, ""3"": 0.0009133646335873452, ""4"": 0.001308057780244601, ""5"": 0.0019157651517001772, ""6"": 0.003425615069702256, ""7"": 0.0055605799267891215, ""8"": 0.0094200779669678, ""9"": 0.015759475207553674, ""10"": 0.023191130693752362, ""11"": 0.029389034578456777, ""12"": 0.0353018647814954, ""13"": 0.04453564107397129, ""14"": 0.054463735349858156, ""15"": 0.0656283927292413, ""16"": 0.07202789584624653, ""17"": 0.08148748261979075, ""18"": 0.08801002518858146, ""19"": 0.08277222559247067, ""20"": 0.06879790348225068, ""21"": 0.05576007164582298, ""22"": 0.050862854398235915, ""23"": 0.046390346178660245, ""24"": 0.037867990575606324, ""25"": 0.02922191739364083, ""26"": 0.021700549193343743, ""27"": 0.01564462538111653, ""28"": 0.011255108211598494, ""29"": 0.009483091596461062, ""30"": 0.009999677756936125, ""31"": 0.008193175377494215, ""32"": 0.005821584745490135, ""33"": 0.0037134373024135876, ""34"": 0.0030944200777565847, ""35"": 0.0022227498667723397, ""36"": 0.0013760055404122772, ""37"": 0.0007871498234394243, ""38"": 0.0005330974266105174, ""39"": 0.0003532666387585081, ""40"": 0.00027958869690766444, ""41"": 0.0002213472199987034, ""42"": 0.0001437835532149088, ""43"": 7.131108763508286e-05, ""44"": 5.182225665885123e-05, ""45"": 4.9255721189961275e-05, ""46"": 4.2109865366778675e-05, ""47"": 3.0702648701525654e-05, ""48"": 1.7332795893045672e-05, ""49"": 9.386931551048795e-06, ""50"": 5.184447676258387e-06, ""51"": 3.930661602727363e-06, ""52"": 4.69392231535767e-06, ""53"": 1.5174890251512309e-05, ""54"": 1.6489841873530497e-05, ""55"": 1.1471908418937462e-05, ""56"": 2.084716168148364e-06, ""57"": 2.3492063240357828e-07, ""58"": 4.027020005431346e-08, ""59"": 1.3455432896993288e-09, ""60"": 3.974081595333055e-11, ""61"": 2.165674202197379e-12, ""62"": 8.485694535112976e-14, ""63"": 1.5655620899713065e-15}",OG Anunoby,18,NYK,SAS,False,21716138,pa,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.010982920291184,35.36755462857424,0.050000000000000044,2026-06-13,13.579270380709975,35.36755462857424,39.46500465522523,10.08169850563714,0.9436591092352157,0.6950181753505678,starter,True,current_market_line,True,phase8_pmf_cal,18.4441181121687,18,18,2.8577101673994803e-05,18.4441181121687,0.9999714228983261,0.9997297516799681,0.9991653345470228,0.9982519699134356,0.9969439121331909,0.9950281469814908,0.9916025319117885,0.9860419519849994,0.9766218740180316,0.960862398810478,0.9376712681167255,0.9082822335382689,0.8729803687567734,0.8284447276828022,0.7739809923329439,0.7083525996037027,0.6363247037574561,0.5548372211376654,0.46682719594908395,0.38405497035661323,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,0.0,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,projected,derived_from_projected_minutes,11,3.527133647731303,0.07513402148571263,7.444118112168699,0.029389034578456777
"{""0"": 2.130659221839629e-06, ""1"": 8.525773500090642e-06, ""2"": 2.963572454081456e-05, ""3"": 8.82794996835607e-05, ""4"": 0.00021652706526144864, ""5"": 0.0004261549698433313, ""6"": 0.0007778665318222847, ""7"": 0.0012533039568727094, ""8"": 0.0019868806851560043, ""9"": 0.0032504500535345962, ""10"": 0.0052094542784825145, ""11"": 0.008504387048291664, ""12"": 0.012893682030666228, ""13"": 0.018581841383158708, ""14"": 0.02530414991218237, ""15"": 0.03224986905549608, ""16"": 0.039761495139065524, ""17"": 0.04812656303112866, ""18"": 0.057863939619860985, ""19"": 0.06580871926219715, ""20"": 0.07417670730566109, ""21"": 0.07761005383195389, ""22"": 0.07907281233939677, ""23"": 0.07515055488569089, ""24"": 0.06510132224357575, ""25"": 0.05683939082731267, ""26"": 0.04923147202597989, ""27"": 0.04255547495850217, ""28"": 0.035496504008649, ""29"": 0.027353389270446414, ""30"": 0.021391735017247865, ""31"": 0.016179983623936623, ""32"": 0.012200621243945206, ""33"": 0.010374175639088455, ""34"": 0.008657198381956836, ""35"": 0.007494503344054162, ""36"": 0.005393972342645867, ""37"": 0.004022068462998983, ""38"": 0.002960404945239859, ""39"": 0.0021327717707086613, ""40"": 0.0013702333366522855, ""41"": 0.0009148267511960345, ""42"": 0.0005977860366865056, ""43"": 0.00039252926418499313, ""44"": 0.00028176075008997926, ""45"": 0.00021191030728335742, ""46"": 0.00013490646097231185, ""47"": 9.072085604900783e-05, ""48"": 6.324116082798468e-05, ""49"": 4.7473061143232036e-05, ""50"": 3.839244857961255e-05, ""51"": 2.6792908663432522e-05, ""52"": 1.818976348454104e-05, ""53"": 1.132408998665551e-05, ""54"": 7.741501652770594e-06, ""55"": 7.464161548024751e-06, ""56"": 9.30826811982982e-06, ""57"": 9.782998803275307e-06, ""58"": 1.2849471286870222e-05, ""59"": 7.345656403547148e-06, ""60"": 3.98070847112779e-06, ""61"": 1.7298134563042852e-06, ""62"": 4.959131224792503e-07, ""63"": 1.7321480032762035e-07, ""64"": 6.498853468838765e-08, ""65"": 2.996167569150674e-09, ""66"": 5.778613573590899e-10, ""67"": 3.023876312857733e-10, ""68"": 6.612377321662675e-11, ""69"": 1.3350052141409261e-11, ""70"": 2.5262427119057526e-12, ""71"": 5.788651578833033e-13, ""72"": 3.662849616745072e-14, ""73"": 9.671787301640782e-15, ""74"": 1.399501831502741e-15}",OG Anunoby,18,NYK,SAS,False,21716138,pr,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.010982920291184,35.36755462857424,0.050000000000000044,2026-06-13,13.579270380709975,35.36755462857424,39.46500465522523,10.08169850563714,0.9436591092352157,0.6950181753505678,starter,True,current_market_line,True,phase8_pmf_cal,22.120902032370317,22,22,2.130659221839629e-06,22.120902032370314,0.9999978693407783,0.9999893435672781,0.9999597078427374,0.9998714283430536,0.9996549012777923,0.9992287463079488,0.9984508797761267,0.997197575819254,0.9952106951340979,0.9919602450805632,0.9867507908020807,0.9782464037537891,0.9653527217231228,0.9467708803399643,0.9214667304277819,0.8892168613722857,0.8494553662332202,0.8013288032020915,0.7434648635822305,0.6776561443200334,morning,2026-06-13T22:59:51Z,1751c17d#phase10c,9cd4defe-e740-40a1-b3f4-565702c84681,ok,2.220446049250313e-16,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T22:58:48Z,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-06-13T21:52:00Z,projected,derived_from_projected_minutes,19,2.7210029378462064,0.024969218785121056,3.1209020323703136,0.06580871926219715
