pmf_json,player_name,player_id,team,opponent,is_home,game_id,stat,pmf_source,calibration_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,slate_date,minutes_p10,minutes_p50,minutes_p90,minutes_std,rotation_probability,starter_probability,projected_role,player_game_eligible,eligibility_reason,has_current_market_line,cal_source,mean,median,mode,p0,pmf_mean,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,lineup_freshness_status,role_freshness_status
"{""0"": 0.000783934791630844, ""1"": 0.0009716171692061374, ""2"": 0.001179026028728751, ""3"": 0.0019082087387119822, ""4"": 0.0022925769046431375, ""5"": 0.006199833772149661, ""6"": 0.006606730971357947, ""7"": 0.013819018990477794, ""8"": 0.02493332246354542, ""9"": 0.031868201630515625, ""10"": 0.031246258702075418, ""11"": 0.04060127591264355, ""12"": 0.06066279455357805, ""13"": 0.05835920546351348, ""14"": 0.07717680121397068, ""15"": 0.06912409627640297, ""16"": 0.0938215430389105, ""17"": 0.09746622149926037, ""18"": 0.06283841156244249, ""19"": 0.0561318162356842, ""20"": 0.043864338898638694, ""21"": 0.047606304324502705, ""22"": 0.047941781782648754, ""23"": 0.022949919079286084, ""24"": 0.023712675234908852, ""25"": 0.018573804927492363, ""26"": 0.006595665094627153, ""27"": 0.011403857076455184, ""28"": 0.008876356964612718, ""29"": 0.013267814971702282, ""30"": 0.003057962032010934, ""31"": 0.0033582502492898437, ""32"": 0.004219121644387537, ""33"": 0.003101311243177207, ""34"": 0.0005381184314006499, ""35"": 0.001109594422033427, ""36"": 0.00048666586759545317, ""37"": 0.0002220743261684971, ""38"": 0.00024227524395308152, ""39"": 0.00040883975151526607, ""40"": 0.0001172010829806434, ""41"": 6.330421226555403e-05, ""42"": 4.468394912799968e-05, ""43"": 4.304240327597446e-05, ""44"": 9.593728942354637e-05, ""45"": 2.9216781311240064e-05, ""46"": 2.4802203689870774e-05, ""47"": 1.3461842842394189e-05, ""48"": 7.824712925953046e-06, ""49"": 1.0138652206617442e-05, ""52"": 2.13636603142364e-06, ""59"": 2.062301806317063e-05}",OG Anunoby,18,NYK,SAS,False,21716138,pts,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.0110,35.3676,0.0500,2026-06-13,13.5793,35.3676,39.4650,10.0817,0.9437,0.6950,starter,True,current_market_line,True,role_aware_pmf_cal_v1,16.5581,16,17,0.0008,16.5581,0.9992,0.9982,0.9971,0.9952,0.9929,0.9867,0.9801,0.9662,0.9413,0.9094,0.8782,0.8376,0.7769,0.7186,0.6414,0.5723,0.4784,0.3810,0.3181,0.2620,pre_close,2026-06-13T21:10:56Z,011ba5f1#phase10c,0133f5ee-9fb4-4da1-83d3-1676b0c25078,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T21:09:53Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.003129982331335372, ""1"": 0.008977188031847688, ""2"": 0.02594520736514315, ""3"": 0.07060482755997424, ""4"": 0.1438844390712361, ""5"": 0.18091563500711483, ""6"": 0.26025559884266786, ""7"": 0.16312084790303374, ""8"": 0.08682910429808831, ""9"": 0.040320473091128295, ""10"": 0.010881757707167698, ""11"": 0.0036391019646217844, ""12"": 0.0014111575802933786, ""13"": 6.441625995398057e-05, ""14"": 1.2574256423633158e-05, ""15"": 5.951901151205837e-06, ""16"": 1.4260268028093762e-06, ""17"": 2.5200278498984796e-07, ""18"": 5.2665192427202374e-08, ""19"": 4.668722114288149e-09, ""20"": 1.1911457730528622e-09, ""21"": 2.721663563221419e-10, ""23"": 2.0043580204458354e-12}",OG Anunoby,18,NYK,SAS,False,21716138,reb,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.0110,35.3676,0.0500,2026-06-13,13.5793,35.3676,39.4650,10.0817,0.9437,0.6950,starter,True,current_market_line,True,role_aware_pmf_cal_v1,5.6806,6,6,0.0031,5.6806,0.9969,0.9879,0.9619,0.8913,0.7475,0.5665,0.3063,0.1432,0.0563,0.0160,0.0051,0.0015,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-13T21:10:56Z,011ba5f1#phase10c,0133f5ee-9fb4-4da1-83d3-1676b0c25078,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T21:09:53Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.042380950260552816, ""1"": 0.3033611087164972, ""2"": 0.35450502415808843, ""3"": 0.24909098992667567, ""4"": 0.04470971556518153, ""5"": 0.0050756334871031525, ""6"": 0.0008457143161454013, ""7"": 2.998603965429744e-05, ""8"": 8.227613795556576e-07, ""9"": 5.26122199450418e-08, ""10"": 2.093090008274885e-09, ""11"": 6.230170876232572e-11, ""12"": 1.0978111695823717e-12, ""13"": 1.235487365804237e-14}",OG Anunoby,18,NYK,SAS,False,21716138,ast,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.0110,35.3676,0.0500,2026-06-13,13.5793,35.3676,39.4650,10.0817,0.9437,0.6950,starter,True,current_market_line,True,role_aware_pmf_cal_v1,1.9692,2,2,0.0424,1.9692,0.9576,0.6543,0.2998,0.0507,0.0060,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-13T21:10:56Z,011ba5f1#phase10c,0133f5ee-9fb4-4da1-83d3-1676b0c25078,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T21:09:53Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.39445679384557614, ""1"": 0.08231417826598265, ""2"": 0.196341432339321, ""3"": 0.11333749955374157, ""4"": 0.07346915464664704, ""5"": 0.14008094134873172}",OG Anunoby,18,NYK,SAS,False,21716138,fg3m,stat_grid:fg3m_hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.0110,35.3676,0.0500,2026-06-13,13.5793,35.3676,39.4650,10.0817,0.9437,0.6950,starter,True,current_market_line,True,role_aware_pmf_cal_v1,1.8093,2,0,0.3945,1.8093,0.6055,0.5232,0.3269,0.2136,0.1401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-13T21:10:56Z,011ba5f1#phase10c,0133f5ee-9fb4-4da1-83d3-1676b0c25078,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T21:09:53Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.12041506656190724, ""1"": 0.6049419104640277, ""2"": 0.21805776319557635, ""3"": 0.05401301206933497, ""4"": 0.0024779971099754723, ""5"": 9.323337021412956e-05, ""6"": 9.094729256210976e-07, ""7"": 1.0504118233332137e-07, ""8"": 2.6827598197450683e-09, ""9"": 3.184993048894383e-11, ""10"": 2.455030991539987e-13, ""11"": 1.0245342912041184e-15}",OG Anunoby,18,NYK,SAS,False,21716138,tov,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.0110,35.3676,0.0500,2026-06-13,13.5793,35.3676,39.4650,10.0817,0.9437,0.6950,starter,True,current_market_line,True,role_aware_pmf_cal_v1,1.2135,1,1,0.1204,1.2135,0.8796,0.2746,0.0566,0.0026,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-13T21:10:56Z,011ba5f1#phase10c,0133f5ee-9fb4-4da1-83d3-1676b0c25078,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T21:09:53Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.5090554688063025, ""1"": 0.3143860732274611, ""2"": 0.10138926140875179, ""3"": 0.0633392267089308, ""4"": 0.006021814470192257, ""10"": 0.005808155378361687}",OG Anunoby,18,NYK,SAS,False,21716138,stl,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.0110,35.3676,0.0500,2026-06-13,13.5793,35.3676,39.4650,10.0817,0.9437,0.6950,starter,True,current_market_line,True,role_aware_pmf_cal_v1,0.7894,0,0,0.5091,0.7894,0.4909,0.1766,0.0752,0.0118,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-13T21:10:56Z,011ba5f1#phase10c,0133f5ee-9fb4-4da1-83d3-1676b0c25078,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T21:09:53Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.76291044282263, ""1"": 0.11973744789300438, ""2"": 0.09989945706529849, ""3"": 0.0110509122806599, ""4"": 0.006401739938407317}",OG Anunoby,18,NYK,SAS,False,21716138,blk,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.0110,35.3676,0.0500,2026-06-13,13.5793,35.3676,39.4650,10.0817,0.9437,0.6950,starter,True,current_market_line,True,role_aware_pmf_cal_v1,0.3783,0,0,0.7629,0.3783,0.2371,0.1174,0.0175,0.0064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-13T21:10:56Z,011ba5f1#phase10c,0133f5ee-9fb4-4da1-83d3-1676b0c25078,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T21:09:53Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 0.38836373312829764, ""1"": 0.30080142101407364, ""2"": 0.1631046007688082, ""3"": 0.10354626667073741, ""4"": 0.030676932493917102, ""5"": 0.010742160141987516, ""6"": 0.002043125199333914, ""7"": 0.0004944180943507202, ""8"": 4.03786855358602e-05, ""10"": 3.786590573885922e-05, ""11"": 3.750777659909293e-05, ""12"": 3.721575350431334e-05, ""13"": 3.719206686161435e-05, ""14"": 3.718230025413327e-05}",OG Anunoby,18,NYK,SAS,False,21716138,stocks,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.0110,35.3676,0.0500,2026-06-13,13.5793,35.3676,39.4650,10.0817,0.9437,0.6950,starter,True,current_market_line,True,phase8_pmf_cal,1.1324,1,0,0.3884,1.1324,0.6116,0.3108,0.1477,0.0442,0.0135,0.0028,0.0007,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,pre_close,2026-06-13T21:10:56Z,011ba5f1#phase10c,0133f5ee-9fb4-4da1-83d3-1676b0c25078,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T21:09:53Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 3.3223901411623645e-05, ""1"": 0.0002789933864709935, ""2"": 0.0006226279274232671, ""3"": 0.0009782566042499919, ""4"": 0.0013710791412626256, ""5"": 0.0019758075569462365, ""6"": 0.003507144094241853, ""7"": 0.005450965852370431, ""8"": 0.00924850560440268, ""9"": 0.015749472912655018, ""10"": 0.023601850571751726, ""11"": 0.029364415322586716, ""12"": 0.03509350987774428, ""13"": 0.04461582992195204, ""14"": 0.05417368616751526, ""15"": 0.06414274879038695, ""16"": 0.0697878204238097, ""17"": 0.07927383081860766, ""18"": 0.08650832163338464, ""19"": 0.08289746536244665, ""20"": 0.07005436726190065, ""21"": 0.055770543474056834, ""22"": 0.04939145372764439, ""23"": 0.046233082376272654, ""24"": 0.03912319619329306, ""25"": 0.03045895111909736, ""26"": 0.022460913658960063, ""27"": 0.01628634110529041, ""28"": 0.01201912313855145, ""29"": 0.009912364113552613, ""30"": 0.01055179809259056, ""31"": 0.008544301273428555, ""32"": 0.006047425990953084, ""33"": 0.004011693444590959, ""34"": 0.0035077513394528004, ""35"": 0.0025378097000233273, ""36"": 0.0015291804368472734, ""37"": 0.0008474611510049875, ""38"": 0.0005700243837462413, ""39"": 0.00034586768413930963, ""40"": 0.00029814001140505297, ""41"": 0.0002568778037969551, ""42"": 0.0001768891481440404, ""43"": 8.672710734340562e-05, ""44"": 5.625966073745154e-05, ""45"": 6.0509415027730376e-05, ""46"": 5.707680793939814e-05, ""47"": 4.455777411155719e-05, ""48"": 2.5033164080625405e-05, ""49"": 1.5584712788901987e-05, ""50"": 1.0542456301141806e-05, ""51"": 6.2986544285194715e-06, ""52"": 3.0560891767658973e-06, ""53"": 1.1532597711794553e-06, ""54"": 8.158558603207432e-07, ""55"": 5.409710130442764e-07, ""56"": 9.582753560356852e-08, ""57"": 1.0852194092127586e-08, ""58"": 1.807305998419446e-09, ""59"": 8.740871856379421e-07, ""60"": 6.2562233830836675e-06, ""61"": 7.310963629107186e-06, ""62"": 5.137007989102619e-06, ""63"": 9.220492718330596e-07, ""64"": 1.046748810889074e-07, ""65"": 1.7441181618175006e-08, ""66"": 6.184026374336274e-10, ""67"": 1.6967822792257154e-11, ""68"": 1.0850227622701035e-12, ""69"": 4.316583304849493e-14, ""70"": 1.2848492651718406e-15}",OG Anunoby,18,NYK,SAS,False,21716138,pa,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.0110,35.3676,0.0500,2026-06-13,13.5793,35.3676,39.4650,10.0817,0.9437,0.6950,starter,True,current_market_line,True,phase8_pmf_cal,18.5272,18,18,0.0000,18.5272,1.0000,0.9997,0.9991,0.9981,0.9967,0.9947,0.9912,0.9858,0.9765,0.9608,0.9372,0.9078,0.8727,0.8281,0.7739,0.7098,0.6400,0.5607,0.4742,0.3913,pre_close,2026-06-13T21:10:56Z,011ba5f1#phase10c,0133f5ee-9fb4-4da1-83d3-1676b0c25078,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T21:09:53Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
"{""0"": 2.453702046723617e-06, ""1"": 1.0078674601614722e-05, ""2"": 3.27520713906531e-05, ""3"": 9.711538770695558e-05, ""4"": 0.00023629302910880155, ""5"": 0.0004543667169987446, ""6"": 0.0008199938114779776, ""7"": 0.0012938968241572996, ""8"": 0.0020197464251701155, ""9"": 0.0032603240611646144, ""10"": 0.005136734423207274, ""11"": 0.0083925887773395, ""12"": 0.012726927108617584, ""13"": 0.018414369291252543, ""14"": 0.02506779609112852, ""15"": 0.032107140022580964, ""16"": 0.03926119109943315, ""17"": 0.047381027829291496, ""18"": 0.056789147422209835, ""19"": 0.06412766166936032, ""20"": 0.0721600728445337, ""21"": 0.07612811856279862, ""22"": 0.07795515668538845, ""23"": 0.07497920599791058, ""24"": 0.06567927376943082, ""25"": 0.057261686349988766, ""26"": 0.04927830703001271, ""27"": 0.04268484316481873, ""28"": 0.0366679761988971, ""29"": 0.028525143285666594, ""30"": 0.02224893121284775, ""31"": 0.017233565340802698, ""32"": 0.012892382110582117, ""33"": 0.010973638023153114, ""34"": 0.009121654976936552, ""35"": 0.007905004370673686, ""36"": 0.005824955206969866, ""37"": 0.004340624698533236, ""38"": 0.0033276711346571356, ""39"": 0.0024044563116827995, ""40"": 0.001539510104667547, ""41"": 0.0010321028452035283, ""42"": 0.0006505749578397248, ""43"": 0.0004226102864839885, ""44"": 0.0003068643432745583, ""45"": 0.00023912750131769333, ""46"": 0.00016130741562143933, ""47"": 0.0001087931608173656, ""48"": 7.72942680871825e-05, ""49"": 5.817410124466541e-05, ""50"": 5.165445308316747e-05, ""51"": 3.7747288656828396e-05, ""52"": 2.6483980457830572e-05, ""53"": 1.7582922369817198e-05, ""54"": 1.0725666098708886e-05, ""55"": 6.967595494118456e-06, ""56"": 3.6990092333874443e-06, ""57"": 1.86743394808374e-06, ""58"": 1.1373646067623833e-06, ""59"": 5.734467160507389e-07, ""60"": 4.2007643436410735e-07, ""61"": 6.364043604317272e-07, ""62"": 1.4802117153051323e-06, ""63"": 2.975307395179113e-06, ""64"": 3.7341176214439603e-06, ""65"": 5.367410848289555e-06, ""66"": 3.364074123487612e-06, ""67"": 1.7906914952509583e-06, ""68"": 8.315329517664906e-07, ""69"": 2.244152383801041e-07, ""70"": 7.504938084862529e-08, ""71"": 2.910233825815336e-08, ""72"": 1.3284602576376928e-09, ""73"": 2.5931969880248447e-10, ""74"": 1.2274616495152403e-10, ""75"": 2.9408980794945614e-11, ""76"": 5.1970579868149375e-12, ""77"": 1.0861152147265516e-12, ""78"": 9.628314049488867e-14, ""79"": 2.456502079353852e-14, ""80"": 5.612891682618866e-15}",OG Anunoby,18,NYK,SAS,False,21716138,pr,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,reb:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,derived_from_projected_minutes,32.0110,35.3676,0.0500,2026-06-13,13.5793,35.3676,39.4650,10.0817,0.9437,0.6950,starter,True,current_market_line,True,phase8_pmf_cal,22.2387,22,22,0.0000,22.2387,1.0000,1.0000,1.0000,0.9999,0.9996,0.9992,0.9983,0.9971,0.9950,0.9918,0.9866,0.9782,0.9655,0.9471,0.9220,0.8899,0.8507,0.8033,0.7465,0.6824,pre_close,2026-06-13T21:10:56Z,011ba5f1#phase10c,0133f5ee-9fb4-4da1-83d3-1676b0c25078,ok,0.0000,high,full,current_phase8,fallback_used,bdl_plus_nba_official,2026-06-13T21:09:53Z,projected,not_available_yet,bdl_lineup_freshness_manifest,projected,derived_from_projected_minutes
