Line,Fair Over,Fair Under,Book Over,Book Under,Edge Over,Edge Under
15.5,-4882.45,4882.45,-99900.00,3823.63,0.04,0.01
16.5,-2935.66,2935.66,-99900.00,2356.43,0.04,0.01
17.5,-1843.05,1843.05,-8223.59,1512.54,0.04,0.01
18.5,-1201.65,1201.65,-2373.69,1005.88,0.04,0.01
19.5,-809.45,809.45,-1204.72,689.61,0.03,0.02
20.5,-560.64,560.64,-727.02,485.08,0.03,0.02
21.5,-397.46,397.46,-478.21,348.54,0.03,0.02
22.5,-287.23,287.23,-331.21,254.73,0.03,0.02
23.5,-210.77,210.77,-237.31,188.63,0.03,0.02
24.5,-156.52,156.52,-174.02,141.00,0.02,0.03
25.5,-117.24,117.24,-129.66,106.01,0.02,0.03
26.5,113.22,-113.22,102.40,-125.19,0.03,0.02
27.5,149.81,-149.81,135.06,-166.37,0.03,0.02
28.5,198.09,-198.09,177.56,-222.29,0.02,0.03
29.5,262.33,-262.33,233.32,-299.98,0.02,0.03
30.5,348.64,-348.64,307.18,-411.26,0.02,0.03
31.5,465.86,-465.86,406.06,-577.48,0.02,0.03
32.5,626.92,-626.92,539.94,-841.05,0.02,0.03
33.5,850.97,-850.97,723.40,-1299.63,0.02,0.03
34.5,1166.67,-1166.67,977.91,-2237.99,0.01,0.04
35.5,1617.43,-1617.43,1335.52,-4986.15,0.01,0.04
