player_id,player_name,game_id,game,team_id,stat,side,line,odds,over_odds,under_odds,bet_vendor,model_prob,model_prob_raw,model_prob_cal,cal_source,market_prob,raw_edge,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,min_ev_applied,cal_type,cal_applied,is_sparse,actual,result,profit,clv_proxy,clv,clv_is_true,grade_date
1028038426,Jamal Shead,18447943,Toronto Raptors @ Memphis Grizzlies,28,ast,UNDER,7.5,-110,-114,-110,fanduel,0.7454,0.9303,0.7454,global_side,0.4958,0.2496,0.423,0.116,4.37,"{'0.1': 2.43, '0.2': 3.3, '0.25': 3.48, '0.33': 4.22, '0.4': 4.23, '0.5': 4.37, '0.6': 4.76, '0.67': 4.76, '0.75': 4.8, '0.8': 5.05, '0.9': 6.93}",0,2,0.05,global,True,False,6.0,HIT,0.9090909090909092,-0.2496,-0.2496,False,2026-04-03
17895983,Ayo Dosunmu,18447939,Minnesota Timberwolves @ Philadelphia 76ers,18,reb,OVER,4.5,-117,-117,110,draftkings,0.6236,0.7559,0.6236,global_side,0.531,0.0926,0.1566,0.046,5.89,"{'0.1': 3.01, '0.2': 3.78, '0.25': 4.6, '0.33': 4.86, '0.4': 5.79, '0.5': 5.89, '0.6': 6.52, '0.67': 6.67, '0.75': 6.96, '0.8': 7.88, '0.9': 8.18}",0,3,0.025,global,True,False,5.0,HIT,0.8547008547008548,0.0926,0.1445,True,2026-04-03
74,Thomas Bryant,18447954,Indiana Pacers @ Cleveland Cavaliers,6,blk,UNDER,0.5,143,-180,143,betway,0.6708,0.8644,0.6708,global_side,0.3903,0.2805,0.6302,0.066,-0.04,"{'0.1': -0.04, '0.2': -0.04, '0.25': -0.04, '0.33': -0.04, '0.4': -0.04, '0.5': -0.04, '0.6': -0.04, '0.67': -0.04, '0.75': -0.01, '0.8': 0.24, '0.9': 0.65}",0,1,0.025,global,True,True,1.0,MISS,-1.0,-0.2805,-0.2805,False,2026-04-05
56677849,Kobe Brown,18447954,Indiana Pacers @ Cleveland Cavaliers,12,reb,UNDER,5.5,105,-122,105,betparx,0.7606,0.9392,0.7606,global_side,0.4702,0.2903,0.5592,0.08,3.21,"{'0.1': 1.78, '0.2': 1.94, '0.25': 2.19, '0.33': 2.43, '0.4': 2.58, '0.5': 3.21, '0.6': 3.55, '0.67': 3.55, '0.75': 4.04, '0.8': 4.31, '0.9': 5.16}",0,2,0.025,global,True,False,7.0,MISS,-1.0,-0.2904,-0.2904,False,2026-04-05
666969,Zion Williamson,18447956,Orlando Magic @ New Orleans Pelicans,19,pts,UNDER,22.5,-117,-105,-117,betway,0.823,0.9707,0.823,global_side,0.5128,0.3102,0.5265,0.092,17.0,"{'0.1': 11.24, '0.2': 13.82, '0.25': 14.15, '0.33': 14.52, '0.4': 15.71, '0.5': 17.0, '0.6': 18.13, '0.67': 18.71, '0.75': 19.68, '0.8': 19.76, '0.9': 21.36}",0,2,0.025,global,True,False,17.0,HIT,0.8547008547008548,-0.3102,-0.3102,False,2026-04-05
17896055,Scottie Barnes,18447950,Toronto Raptors @ Boston Celtics,28,reb,UNDER,6.5,-113,105,-113,betway,0.7767,0.9488,0.7767,global_side,0.521,0.2557,0.464,0.079,4.17,"{'0.1': 2.26, '0.2': 2.69, '0.25': 2.94, '0.33': 3.25, '0.4': 3.33, '0.5': 4.17, '0.6': 4.48, '0.67': 4.54, '0.75': 5.07, '0.8': 5.45, '0.9': 6.16}",0,2,0.025,global,True,False,6.0,HIT,0.8849557522123894,-0.2557,-0.2557,False,2026-04-05
413,Collin Sexton,18447952,Phoenix Suns @ Chicago Bulls,5,ast,UNDER,3.5,120,-125,120,betway,0.6511,0.8425,0.6511,global_side,0.45,0.2011,0.4325,0.054,2.05,"{'0.1': 0.85, '0.2': 1.39, '0.25': 1.43, '0.33': 1.6, '0.4': 1.88, '0.5': 2.05, '0.6': 2.4, '0.67': 2.64, '0.75': 3.12, '0.8': 3.21, '0.9': 3.9}",0,2,0.025,global,True,False,1.0,HIT,1.2000000000000002,-0.2011,-0.2011,False,2026-04-05
56677859,Olivier-Maxence Prosper,18447953,Memphis Grizzlies @ Milwaukee Bucks,15,pts,UNDER,16.5,-105,-110,-105,betmgm,0.7286,0.917,0.7286,global_side,0.4944,0.2342,0.4226,0.067,12.53,"{'0.1': 6.87, '0.2': 8.72, '0.25': 10.19, '0.33': 10.95, '0.4': 11.99, '0.5': 12.53, '0.6': 12.76, '0.67': 13.65, '0.75': 14.58, '0.8': 14.79, '0.9': 16.25}",0,2,0.025,global,True,False,13.0,HIT,0.9523809523809524,-0.2342,-0.2342,False,2026-04-05
237,LeBron James,18447958,Los Angeles Lakers @ Dallas Mavericks,14,pts,UNDER,25.5,-102,-105,-102,betway,0.7117,0.9033,0.7117,global_side,0.4964,0.2152,0.4094,0.063,18.29,"{'0.1': 11.77, '0.2': 13.9, '0.25': 14.49, '0.33': 15.54, '0.4': 16.8, '0.5': 18.29, '0.6': 19.93, '0.67': 20.98, '0.75': 21.46, '0.8': 22.48, '0.9': 25.4}",0,3,0.025,global,True,False,30.0,MISS,-1.0,-0.2153,-0.2153,False,2026-04-05
44477085,Quenton Jackson,18447954,Indiana Pacers @ Cleveland Cavaliers,12,ast,UNDER,4.0,124,122,124,draftkings,0.6256,0.8109,0.6256,global_side,0.4978,0.1278,0.4013,0.049,2.4,"{'0.1': 0.94, '0.2': 1.44, '0.25': 1.85, '0.33': 2.04, '0.4': 2.1, '0.5': 2.4, '0.6': 2.96, '0.67': 3.42, '0.75': 3.9, '0.8': 3.9, '0.9': 4.78}",0,1,0.025,global,True,False,4.0,PUSH,0.0,-0.1278,-0.1278,False,2026-04-05
