auc_cal_oof,auc_raw,brier_cal_oof,brier_raw,ece_cal_oof,ece_raw,intercept_cal,intercept_final,intercept_raw,key,logloss_cal_oof,logloss_raw,n_oof,n_total,promoted,scope,slope_cal,slope_final,slope_raw
0.5063,0.4454,0.24879,0.25144,0.03456,0.08872,0.2461,0.4544,0.3444,PTS_OVER,0.69072,0.69609,155,189,False,stat_side,0.0027,-0.7216,-0.287
0.4784,0.512,0.25269,0.26933,0.0443,0.13021,-0.0882,-0.1374,-0.1235,PTS_UNDER,0.69858,0.73506,255,307,False,stat_side,-0.2272,0.1212,0.1689
0.4556,0.5519,0.26653,0.27067,0.12485,0.14129,-0.0814,-0.2048,-0.2693,REB_OVER,0.72848,0.74078,165,200,False,stat_side,-0.5412,0.381,0.2106
0.5074,0.5981,0.24972,0.25988,0.01696,0.12257,-0.0229,-0.2658,-0.3348,REB_UNDER,0.69261,0.71782,260,316,False,stat_side,0.4126,0.5231,0.6586
0.5844,0.5976,0.25217,0.25004,0.06155,0.07371,0.1922,-0.3626,-0.2427,AST_OVER,0.69775,0.69483,125,155,False,stat_side,0.6733,0.7064,0.6857
0.5616,0.5629,0.24962,0.26301,0.04608,0.12609,-0.0398,-0.3699,-0.3173,AST_UNDER,0.69491,0.7227,240,292,False,stat_side,0.4262,0.7132,0.5203
0.458,0.5099,0.24887,0.25328,0.08912,0.08434,-0.3386,-0.2906,-0.3058,FG3M_OVER,0.69103,0.70013,90,113,False,stat_side,-0.1034,0.4068,0.1351
0.558,0.5679,0.25011,0.24913,0.05094,0.09807,0.2028,-0.153,-0.0616,FG3M_UNDER,0.69338,0.6917,200,245,False,stat_side,0.5248,0.6047,0.547
0.5505,0.5438,0.2081,0.21482,0.0,0.0445,-0.2527,-0.6923,-0.6427,BLK_OVER,0.60761,0.62119,205,250,False,stat_side,0.5566,0.5357,0.5171
0.6196,0.6357,0.24152,0.24167,0.11445,0.10139,0.0971,-0.1708,-0.1262,BLK_UNDER,0.67899,0.68657,130,158,False,stat_side,0.6029,0.6467,0.5824
0.2857,0.75,0.22999,0.2158,0.0,0.03133,-1.5479,-1.1647,-0.718,STL_OVER,0.67069,0.62363,20,33,False,stat_side,-0.5046,-0.1847,0.4417
0.4705,0.5108,0.25725,0.26194,0.03327,0.0911,-0.1081,-0.1059,-0.1035,STL_UNDER,0.70815,0.71909,225,271,False,stat_side,-0.2365,0.2749,0.1492
0.606,0.6074,0.23834,0.24413,0.03077,0.06932,0.0668,,-0.3459,global_OVER,0.66941,0.68261,780,940,True,global,0.9243,,0.748
0.5646,0.5667,0.2476,0.25811,0.01354,0.09931,0.0511,,-0.1976,global_UNDER,0.68852,0.71276,1320,1589,True,global,0.7282,,0.4891
