feature,importance
ast_per_min_ewma_10,2707
mp_ewma_10,2407
tov_per_min_mean_last10,2081
usage_proxy_per_min_mean_last10,2044
mp_mean_last5,1820
games_played,1778
pf_per_min_mean_last10,1765
ast_per_min_p75_last10,1607
mp_mean_season,1528
ast_per_min_mean_last5,1521
mp_vol_last10,1512
ast_per_min_mean_last10,1434
ast_per_min_vol_last10,1379
mp_mean_last10,1311
mp_p25_last10,1285
mp_p75_last10,1280
rest_days,1232
ast_per_min_p25_last10,955
games_last_7,373
is_home,210
adv_pace_mean_last10,89
missed_last_game,74
four_in_6,55
three_in_4,49
adv_true_shooting_percentage_mean_last10,40
adv_usage_percentage_mean_last10,38
back_to_back,31
missed_2_of_last5,22
adv_effective_field_goal_percentage_mean_last10,17
adv_assist_percentage_mean_last10,15
adv_assist_to_turnover_mean_last10,4
blowout_risk,0
has_odds,0
spread_for_team,0
game_total,0
blowout_risk_x_mp_vol,0
implied_team_total,0
has_advanced_stats,0
vacated_minutes,0
vacated_ast,0
vacated_top2_usage_proxy,0
vacated_usage_proxy,0
num_teammates_inactive,0
has_injury_data,0
ast_pct_x_itt,0
usage_x_itt,0
