feature,importance
blk_per_min_vol_last10,4647
mp_ewma_10,4122
mp_mean_last10,3284
opp_allowed_blk_ewma,2877
blk_p_zero_last10,2376
blk_p_ge2_last10,2206
per_min_pf_last10,2066
mp_trend_3v10,1947
cv_min,1523
slope5_pf,1257
mp_vol_last10,1159
opp_allowed_blk_factor,892
games_since_return,863
above_mean_pct_min,621
blk_p_ge1_last10,550
rest_days,348
opp_allowed_blk_mean,149
is_stable_role_player,73
is_high_minutes_uncertainty,41
is_home,36
is_bench_fragile_minutes,33
three_in_4,22
is_injury_elevated_role,20
four_in_6,20
limited_return_game,19
did_not_play_last_team_game,18
back_to_back,11
returned_from_absence,9
is_recent_rotation_change,4
dnp_injury,3
dnp_rest,3
dnp_coach_decision,1
spread_for_team,0
vacated_big_minutes,0
vacated_minutes,0
