feature,importance
fg3a_count_last10,3546
fg3a_count_season,3512
fg3_pct_safe,3051
fg3a_per_min_mean_last10,2722
games_played,2003
mp_mean_season,1913
pf_per_min_mean_last10,1658
mp_mean_last5,1509
fg3m_p_zero_last10,1390
mp_p75_last10,1317
mp_ewma_10,1268
mp_vol_last10,1224
mp_mean_last10,1038
mp_p25_last10,1016
rest_days,732
games_last_7,539
fg3m_p_ge3_last10,295
is_home,158
is_low_3pa_last10,126
four_in_6,60
adv_pace_mean_last10,53
adv_usage_percentage_mean_last10,50
missed_last_game,42
adv_assist_percentage_mean_last10,39
three_in_4,39
adv_effective_field_goal_percentage_mean_last10,15
adv_true_shooting_percentage_mean_last10,14
missed_2_of_last5,12
back_to_back,9
adv_assist_to_turnover_mean_last10,2
fg3m_games_in_window_last10,0
blowout_risk_x_mp_vol,0
blowout_risk,0
spread_for_team,0
implied_team_total,0
game_total,0
has_odds,0
has_advanced_stats,0
has_injury_data,0
