feature,importance
usage_proxy_per_min_mean_last10,2473
games_played,2122
pf_per_min_mean_last10,2006
pts_per_min_vol_last10,1986
mp_ewma_10,1876
E_ast_proxy,1852
ast_per_min_vol_last10,1818
mp_mean_season,1812
ast_per_min_mean_last10,1681
mp_vol_last10,1646
pts_per_min_mean_last10,1602
mp_mean_last5,1479
E_pts_proxy,1454
mp_mean_last10,1359
mp_p75_last10,1224
rest_days,1122
mp_p25_last10,1069
games_last_7,444
is_home,250
four_in_6,76
adv_pace_mean_last10,59
three_in_4,51
missed_last_game,46
missed_2_of_last5,46
adv_usage_percentage_mean_last10,41
back_to_back,40
adv_true_shooting_percentage_mean_last10,36
adv_assist_percentage_mean_last10,32
adv_effective_field_goal_percentage_mean_last10,15
adv_assist_to_turnover_mean_last10,9
blowout_risk,0
game_total,0
blowout_risk_x_mp_vol,0
implied_team_total,0
spread_for_team,0
has_odds,0
has_advanced_stats,0
vacated_minutes,0
vacated_fga,0
num_teammates_inactive,0
vacated_usage_proxy,0
vacated_ast,0
has_injury_data,0
