feature,importance
usage_proxy_per_min_mean_last10,2191
games_played,1880
mp_mean_season,1841
pf_per_min_mean_last10,1841
reb_per_min_mean_last10,1826
reb_per_min_vol_last10,1798
pts_per_min_vol_last10,1764
E_reb_proxy,1705
mp_ewma_10,1696
pts_per_min_mean_last10,1669
mp_vol_last10,1592
mp_mean_last5,1495
E_pts_proxy,1450
mp_mean_last10,1252
mp_p75_last10,1166
mp_p25_last10,1076
rest_days,1063
games_last_7,398
is_home,229
adv_pace_mean_last10,186
adv_usage_percentage_mean_last10,153
adv_true_shooting_percentage_mean_last10,110
adv_assist_percentage_mean_last10,95
four_in_6,83
adv_effective_field_goal_percentage_mean_last10,74
three_in_4,56
missed_last_game,43
adv_assist_to_turnover_mean_last10,37
back_to_back,26
missed_2_of_last5,26
game_total,0
blowout_risk_x_mp_vol,0
implied_team_total,0
spread_for_team,0
has_odds,0
blowout_risk,0
has_advanced_stats,0
vacated_minutes,0
num_teammates_inactive,0
vacated_reb,0
vacated_fga,0
has_injury_data,0
