feature,importance
usage_proxy_per_min_mean_last10,1586
reb_per_min_cv_last10,1242
games_played,1207
mp_trend_3v10,1139
pf_per_min_mean_last10,1086
ast_per_min_mean_last10,1030
reb_per_min_vol_last10,1014
pts_per_min_cv_last10,1004
mp_ewma_10,971
E_reb_proxy,965
pts_per_min_vol_last10,959
reb_per_min_mean_last10,946
mp_mean_season,936
reb_per_min_median_last10,915
E_ast_proxy,897
ast_per_min_vol_last10,896
ast_per_min_cv_last10,895
pts_per_min_mean_last10,889
E_pts_proxy,835
rest_days,758
mp_vol_last10,743
role_stability_index,718
mp_mean_last5,698
mp_mean_last3,658
mp_vol,618
mp_cv_last10,590
mp_pred_ceiling,577
mp_p75_last10,448
mp_pred_floor,433
mp_q75,429
mp_q25,422
mp_p25_last10,411
mp_mean_last10,396
mp_ceiling_last10,369
exp_mp,332
mp_floor_last10,281
games_last_7,240
is_home,173
adv_usage_percentage_mean_last10,99
adv_pace_mean_last10,91
adv_assist_percentage_mean_last10,72
adv_effective_field_goal_percentage_mean_last10,67
starter_rate_last10,66
games_30plus_last10,65
adv_true_shooting_percentage_mean_last10,61
games_20minus_last10,58
four_in_6,46
three_in_4,40
adv_assist_to_turnover_mean_last10,34
missed_2_of_last5,34
back_to_back,27
missed_last_game,21
vacated_usage_proxy,0
vacated_creation_share,0
has_injury_data,0
vacated_reb_share,0
num_teammates_inactive,0
vacated_ast,0
vacated_reb,0
opp_implied_total,0
vacated_fga,0
vacated_minutes,0
has_advanced_stats,0
opp_pace_context,0
has_odds,0
implied_team_total,0
spread_for_team,0
game_total,0
blowout_risk_x_mp_vol,0
blowout_risk,0
