feature,importance
fta_per_min_mean_last10,2066
pf_per_min_mean_last10,1954
games_played,1941
fg3a_per_min_mean_last10,1904
mp_mean_season,1840
usage_proxy_per_min_mean_last10,1825
mp_ewma_10,1763
fga_per_min_ewma_10,1753
usage_proxy_per_min_vol_last10,1704
fga_per_min_vol_last10,1648
fga_per_min_mean_last5,1622
mp_vol_last10,1562
mp_mean_last5,1499
fga_per_min_mean_last10,1395
mp_p75_last10,1250
mp_mean_last10,1205
rest_days,1062
mp_p25_last10,1036
games_last_7,387
is_home,234
four_in_6,89
three_in_4,45
missed_last_game,35
back_to_back,26
missed_2_of_last5,23
spread_for_team,0
blowout_risk_x_mp_vol,0
implied_team_total,0
blowout_risk,0
has_odds,0
game_total,0
adv_usage_percentage_mean_last10,0
adv_pace_mean_last10,0
adv_effective_field_goal_percentage_mean_last10,0
adv_true_shooting_percentage_mean_last10,0
adv_assist_to_turnover_mean_last10,0
has_advanced_stats,0
vacated_minutes,0
adv_assist_percentage_mean_last10,0
vacated_fga,0
vacated_fta,0
vacated_top2_fga,0
vacated_usage_proxy,0
num_teammates_inactive,0
has_injury_data,0
usage_proxy_x_itt,0
fga_x_itt,0
