feature,importance
per_min_reb_last10,2589
per_min_ast_last10,2330
mp_trend_3v10,2129
implied_team_total,1968
per_min_pf_last10,1851
opp_allowed_ast_factor,1789
spread_for_team,1745
opp_fg_miss_volume,1740
adv_mean_usage_percentage_last10,1697
mp_vol_last10,1501
slope5_pf,1387
mp_q25,1203
games_since_return,1063
mp_ewma_10,1029
mp_pred_floor,1019
rest_days,1010
mp_pred_ceiling,1008
mp_q75,978
cv_min,346
reb_chances_per_game,315
mp_mean_last10,276
above_mean_pct_min,188
is_injury_elevated_role,182
is_home,168
back_to_back,133
three_in_4,71
limited_return_game,67
four_in_6,66
did_not_play_last_team_game,60
is_high_minutes_uncertainty,46
is_recent_rotation_change,36
is_stable_role_player,32
dnp_injury,13
returned_from_absence,9
is_bench_fragile_minutes,8
dnp_rest,6
dnp_coach_decision,2
consensus_total,0
vacated_minutes,0
blowout_risk_x_mp_vol_gated,0
