feature,importance
mp_trend_3v10,1204
opp_pace_true,1178
pf_per_min_mean_last10,1107
games_played,1044
reb_per_min_trend_3v10,956
reb_raw_mean_last10,929
oreb_per_min_mean_last10,851
opp_oreb_chances_allowed,840
opp_reb_chances_allowed,835
opp_dreb_chances_allowed,825
reb_per_min_cv_last10,816
mp_mean_season,801
mp_mean_last3,758
reb_raw_cv_last10,745
rest_days,728
reb_per_min_vol_last10,684
reb_per_min_mean_last3,667
dreb_per_min_mean_last10,640
role_stability_index,636
reb_per_min_p75_last10,632
reb_x_mp,632
mp_mean_last5,630
mp_ewma_10,621
reb_per_min_mean_last5,588
reb_per_min_ewma_10,564
mp_pred_ceiling,560
mp_vol,558
reb_per_min_median_last10,545
reb_per_min_ceiling_last10,537
mp_vol_last10,518
reb_per_min_mean_last10,450
reb_per_min_p25_last10,444
mp_cv_last10,430
mp_p25_last10,407
mp_q25,405
mp_mean_last10,381
mp_pred_floor,380
mp_p75_last10,363
mp_q75,358
exp_mp,349
mp_ceiling_last10,336
reb_per_min_floor_last10,305
reb_raw_median_last10,205
mp_floor_last10,201
adv_usage_percentage_mean_last10,175
games_last_7,148
adv_assist_percentage_mean_last10,136
adv_pace_mean_last10,105
is_home,86
adv_effective_field_goal_percentage_mean_last10,75
three_in_4,59
games_20minus_last10,46
adv_true_shooting_percentage_mean_last10,44
missed_2_of_last5,38
starter_rate_last10,36
games_30plus_last10,36
missed_last_game,33
adv_assist_to_turnover_mean_last10,31
four_in_6,28
back_to_back,19
opp_has_env_data,0
vacated_minutes,0
has_injury_data,0
num_teammates_inactive,0
vacated_reb_share,0
vacated_big_minutes,0
vacated_reb,0
implied_team_total,0
has_advanced_stats,0
adv_rebound_chances_total_ewma,0
adv_rebound_chances_off_mean_last10,0
adv_rebound_chances_def_mean_last10,0
adv_rebound_chances_total_mean_last10,0
opp_implied_total,0
opp_pace_context,0
has_odds,0
blowout_risk,0
spread_for_team,0
game_total,0
blowout_risk_x_mp_vol,0
